[00000.00-00004.04] 小朋友大家好 欢迎大家来学习新的知识板块
[00004.04-00005.80] 我是结束青年的解锐
[00005.80-00008.18] 今天给大家去分享和讲解的是
[00008.18-00010.72] 人民历史长时当中的党史的内容
[00010.72-00013.32] 那其实说到党史有了解过功好的消败
[00013.32-00014.54] 其实应该都知道
[00014.54-00016.84] 咱们整个这个党史在考试当中
[00016.84-00019.00] 它是用的范围其实非常广的
[00019.00-00022.56] 在这里面比如说它是用在我们的国生考考试里面
[00022.56-00025.06] 国生考在整个考察当中
[00025.06-00027.00] 长时部分占的题目呢
[00027.00-00028.46] 它其实只有失忆到底
[00028.46-00029.80] 但在失忆到底当中
[00029.80-00032.50] 机会每年都会考察一到两道的党史
[00032.50-00034.30] 相对于十几道题来说
[00034.30-00037.04] 一到两道题目其实占比相对来说并不小
[00037.04-00038.92] 第二个呢就是它会在世界单位
[00038.92-00039.98] 三季服啊
[00039.98-00042.38] 军队轮植社区社工考试当中呢
[00042.38-00043.90] 机会都会考察到
[00043.90-00045.98] 而且我们也会发现这几年党史
[00045.98-00048.62] 它考察的比众是有所上升的
[00048.62-00051.66] 那机会年年就考察考察的题目呢
[00051.66-00052.50] 又不少
[00052.50-00054.44] 那相当时张那个部分
[00054.44-00055.54] 它在考试当中呢
[00055.54-00057.76] 它其实只有两个考察的角度
[00057.76-00058.96] 第一个考察的角度呢
[00058.96-00060.76] 就是单纯的背宋
[00060.76-00062.72] 这是考的是单一的时间
[00062.72-00063.92] 非常的简单
[00065.00-00066.16] 就是给你一个事
[00066.16-00066.52] 对吧
[00066.52-00069.44] 然后让你去分析这个事说法正确或错误的事
[00069.44-00071.36] 那考察的是单一的事件
[00071.36-00074.16] 那这种呢就是纯粹的背宋的题目
[00074.16-00076.36] 也就是考察一些党史的基本之事
[00076.36-00077.24] 但是这几年呢
[00077.24-00078.92] 由于考察的频率就高
[00078.92-00080.76] 而且考察的角度非常多元
[00080.76-00082.72] 在这一年出现了我们所说的
