[00000.00-00002.82] 好的 同学们 刚刚看完了
[00002.82-00005.38] 我们所说的新思想他提出来的背景
[00005.38-00008.44] 叫中国特色收入主义进入到了新时代
[00008.44-00011.26] 接下来我们要来看总论当中的第二张
[00011.26-00013.56] 我们要从红官上去了解一下
[00013.56-00014.60] 这样的一个思想
[00014.60-00016.64] 他到底包含了哪些内容
[00016.64-00018.94] 一句在国家未来发展变化过程当中
[00018.94-00020.98] 这样的一个思想套什么样的作用
[00020.98-00022.52] 一他处在一个什么样的地位
[00022.52-00025.34] 这个就是总论要给大家去讲解的第二张
[00025.34-00027.40] 就叫做新思想的科学体系
[00027.40-00029.18] 以及他的历史地位
[00029.18-00033.46] 那在讲解第二张之前我在这里要提前给大家去打一个预防针
[00033.46-00037.10] 因为咱们在整个第二张有给大家讲解的内容还是特别多的
[00037.10-00040.90] 大家能看到虽然讲一上给大家设置的内容并不多
[00040.90-00043.38] 但是我在考虑比较密集的地方
[00043.38-00046.42] 都给大家去设了比机的补充体系框架
[00046.42-00048.02] 大家其实有看到这里对吧
[00048.02-00051.06] 既然给大家设置的内容需要同学的动笔
[00051.06-00053.22] 在我留摆的地方去写一些
[00053.22-00055.54] 有很多同学还是在这里会产生一问
[00055.54-00057.30] 咱们已经强调过很多次了
[00057.30-00058.72] 給大家留白的原因
[00058.72-00060.98] 就希望同一個通過動比寫願
[00060.98-00062.86] 能夠加深相的印象
[00062.86-00064.34] 所以整個第二張內容
[00064.34-00064.98] 相對來說
[00064.98-00065.66] 有多
[00065.66-00067.94] 所以同時們需要多一點的內心
[00067.94-00069.78] 不要覺得這個地方的內容說老師
[00069.78-00071.10] 他太多了太砸了
[00071.10-00072.58] 我還是那樣的一個觀點
[00072.58-00073.82] 學好中特
[00073.82-00075.06] 對於你第一個
[00075.06-00075.94] 在正式方面
[00075.94-00078.14] 打體會有非常大的這樣一個幫助
[00078.14-00078.90] 第二個
[00078.90-00080.94] 他也有助於你的深樂寫作
[00080.94-00082.94] 第三個就是你在面試的時候
[00082.94-00084.38] 這個部分都能用得到
[00084.38-00085.70] 與據說胡倫吞早
[00085.70-00086.98] 他从头到尾背变
[00086.98-00087.74] 你也记不住
[00087.74-00088.78] 也不知道他什么含意
[00088.78-00089.54] 被的很痛苦
[00089.54-00091.06] 不如我们一起
[00091.06-00091.86] 一点一点
[00091.86-00092.86] 细化去了解
[00092.86-00093.90] 每个思想
[00093.90-00095.42] 他背后所运行的道理
[00095.42-00097.46] 他所体现的加国情怀
[00097.46-00099.02] 他所体现的底层国际
[00099.02-00100.82] 让我们去理解这些政策
[00100.82-00102.86] 能够变于我们更好的生活
[00102.86-00105.42] 这个就是我们要在第二张这样之前
[00105.42-00107.98] 给大家去详细的做了一个简单的说明
[00107.98-00109.74] 我们来看一下整个第二张
[00109.74-00111.30] 咱们要讲一些什么内容
[00111.30-00113.86] 其实和前面的思想理论是一样的
[00113.86-00116.02] 其实我们必须要承认的一个问题就是
[00116.82-00118.66] 随着时代的补断变化
[00118.90-00120.26] 满私主义中国化
[00120.26-00123.30] 它的理论体系也在补断的变化
[00123.46-00125.06] 任何一个理论的产生
[00125.06-00127.54] 它其实都要解决一个什么时代问题
[00127.54-00129.06] 咱们这个简单的回顾
[00129.22-00131.70] 咱们最开始在讲到平理论的时候咱们说了
[00131.70-00134.54] 到平理论他要不要解决当时社会
[00134.54-00135.86] 所面临的一个问题呢
[00136.50-00137.38] 当然要解决
[00137.38-00138.82] 那他解决的这个问题
[00138.82-00139.94] 同们回顾一下
[00139.94-00141.30] 打在大木当中
[00141.30-00142.66] 打在工程中都可以
[00142.66-00146.14] 他回答的问题就叫做什么是社会主义
[00146.14-00148.58] 怎样建设社会主义的问题
[00148.58-00152.90] 所以到平理论当时解决就是社会主义到底是什么
[00152.90-00154.26] 咱们具体该怎么办
[00154.26-00155.58] 这样的一个问题对吧
[00155.58-00158.38] 而我们所说的到平把这个问题解决了之后呢
[00158.38-00161.02] 第二个我们就逐渐发展到了三个代表
[00161.86-00163.10] 壮思想时期
[00163.10-00165.46] 我们说了三个代表这个思想的提出
[00165.46-00168.50] 它是在国际局势比较波轨云
[00168.50-00170.02] 觉得这样那个时刻提出的
[00170.02-00170.46] 对吧
[00170.46-00173.28] 我们说了八九十年代的时候都居于苏联结体
[00173.52-00176.34] 200两三百个收质主义国家分分垮台了
[00176.34-00179.16] 这时候事实上最大的收质主义国家苏联
[00179.42-00181.20] 也怎么样结体了
[00181.20-00184.04] 这种情况之下作为收质主义国家的中国
[00184.28-00185.30] 接下来应该
[00185.56-00186.84] 何去何从那么体
[00187.10-00187.36] 对吧
[00187.36-00188.12] 所以在这里面
[00188.38-00190.18] 我们说了收质主义到底怎么走
[00190.42-00191.96] 如何走能走得更好
[00191.96-00195.54] 这些这个国家的领导率两有一个非常强大的内河
[00195.80-00198.88] 而对于中国来说中国的领导率量就在于是什么
[00198.88-00200.68] 就在于中国共产党
[00200.68-00203.08] 所以在三个代表照四样当中就提出来了
[00203.08-00205.28] 竟然是什么样的党
[00205.28-00206.08] 怎样
[00206.08-00207.68] 竟然是要党的问题 对吧
[00207.68-00209.68] 那三个代表照思想
[00209.68-00212.68] 提出来之后我们明确了党劲的相关的要求
[00212.68-00213.88] 那到了下一任领导人
[00213.88-00216.28] 一直到了科学发展关时期
[00216.28-00219.48] 科学发展关的本质上是要实现发展
[00219.48-00220.88] 国家内部稳定了
[00220.88-00223.48] 接下来国家一定要记不实现经济的建设
[00223.48-00226.08] 那怎么样能够实现经济又快又好
[00226.08-00228.28] 又科学又评论的发展
[00228.28-00231.60] 于是在科学发展观道中提出来的问题就是什么
[00231.60-00233.16] 它会答的这个问题就是
[00234.04-00235.72] 实现什么样的发展
[00236.08-00237.80] 怎样发展的问题
[00238.00-00240.20] 所以我们会发现任何一个时代
[00240.20-00244.08] 它都要解决这个时代调建之下特定的什么
[00244.28-00245.68] 时代的命题
[00245.88-00248.00] 我们所说的西思想也不厉害
[00248.24-00251.92] 西思想它的提出是陆续从2012年一直到现在
[00252.12-00255.20] 不断的丰富完成和发展的这样一个过程
[00255.20-00255.52] 对吧
[00255.68-00257.92] 所以西思想他也会面臨自己所
[00257.92-00259.46] 用对的时代客题
