[00000.00-00003.00] 那我们了解完了合通的解除呢
[00003.00-00004.00] 其实就知道了
[00004.00-00006.00] 我们在从红官上
[00006.00-00007.00] 其中一大局讲清楚了
[00007.00-00008.80] 就是合通全力务关系的
[00008.80-00010.00] 终止它的一些室友
[00010.00-00011.00] 对吧
[00011.00-00012.00] 那我们刚才这讲合通解除的时候
[00012.00-00013.00] 一直在提到一个点
[00013.00-00014.00] 说那他如果维越了
[00014.00-00015.28] 就像他承担的
[00015.28-00016.00] 维责任呗 对吧
[00016.00-00018.00] 那这个时候我们就会睡到
[00018.00-00020.00] 在合通当中的另一个概念
[00020.00-00021.00] 就叫做维续责任
[00021.00-00023.00] 所以维越责任就是
[00023.00-00025.00] 如果在咱们签订合通之后
[00025.00-00026.00] 你不按照合通办事
[00026.00-00028.00] 你是不是这个时候就够成了什么
[00028.00-00030.60] 什么違反 约定了这样的一个情况
[00030.60-00032.84] 那我们居于迷法的城市性约则
[00032.84-00033.88] 你现在違反约定了
[00033.88-00035.56] 你说还不算是你错了反而
[00035.56-00038.20] 那法律必须给他一定相应的
[00038.20-00038.64] 规范
[00038.64-00040.60] 那这个时候就规定了我们所说的这个
[00040.60-00041.20] 违约则认
[00041.20-00043.80] 那我们先来看一下违约则认的概念是什么
[00043.80-00044.80] 他如果违约则认
[00044.80-00047.84] 是指当时一方不旅行合同一物
[00047.84-00049.52] 就是我应该把手表
[00049.52-00050.08] 总理给你
[00050.08-00051.48] 但是我偏偏不证语
[00051.48-00051.72] 对吧
[00051.72-00052.96] 照不旅行合同一物
[00052.96-00055.12] 过者旅行合同一物怎么样呢
[00055.12-00056.68] 不符合约定的
[00056.68-00058.56] 布女玄就是不安斗合同去做事
[00058.56-00060.16] 那布服和规定的是啥呢
[00060.16-00061.56] 就是我给你的这个
[00061.56-00063.60] 或者我向你提供的这个手表
[00063.60-00065.12] 会在签订版来合同之后
[00065.12-00066.60] 我向你提供的防护
[00066.60-00068.04] 我向你提供的这个标击我
[00068.04-00069.08] 他出现了一些
[00069.08-00069.88] 瑕疵
[00069.88-00071.00] 就是我给你提供的东西
[00071.00-00072.56] 他是一些刺品的不合格
[00072.56-00073.16] 那这个呢
[00073.16-00074.84] 也可以被理解为叫做
[00074.84-00076.44] 女玄和东一部布服和约定
[00076.44-00078.04] 那这个时候我都什么呀
[00078.04-00078.96] 我都够成了
[00078.96-00079.48] 纹约
[00079.48-00081.16] 那这个时候我就要承担相应的
[00081.16-00081.76] 责任
[00081.76-00083.44] 那这里的责任主要包括啥呢
[00083.44-00085.24] 比如说要承担继续旅行
[00085.24-00088.04] 比如说咱俩的副条件的责任和通成立之后
[00088.04-00089.44] 那你考上了之后
[00089.44-00091.36] 我应当按照合同的约定
[00091.36-00094.44] 向你旅行几乎一五把手标给你
[00094.44-00095.84] 那如果现在我不旅行
[00095.84-00097.84] 你就可以像法院起诉
[00097.84-00099.84] 要求我继续旅行合同
[00099.84-00101.84] 那把小天才而通说表给你一百
[00101.84-00104.04] 这个就是我们所说的继续旅行
[00104.04-00105.64] 或者才去不就错识
[00106.44-00107.64] 咱们是个前面讲了
[00107.64-00108.84] 合同解除当中
[00108.84-00111.64] 已经旅行的部分能恢复原状的恢复原状
[00111.64-00114.16] 不能恢復原罩的即使他却不救措施
[00114.16-00116.82] 也就是如果就那个陪迅机构来说的话
[00116.82-00118.68] 他如果不能够继续开课
[00118.68-00121.04] 那他就想方设法给你一些别的课
[00121.04-00122.60] 比如说给你一些网课听听啊
[00122.60-00124.72] 这要不准叫不救措施
[00124.72-00125.20] 对吧
[00125.20-00127.64] 或者是赔常損失
[00127.64-00128.00] 对吧
[00128.00-00129.16] 那赔则損失太事
[00129.16-00130.28] 被约责任的一种
[00130.28-00132.32] 所以总体该活下来我会发现
[00132.32-00134.04] 每一阵任他的类型
[00134.04-00135.88] 其实很多的对吧
[00135.88-00136.88] 比如说继续率型
[00136.88-00138.08] 才就不救措施
[00138.08-00139.80] 損害赔常机
[00139.80-00141.36] 还有我们所说的这个什么
[00141.36-00143.16] 就叫做委员金和定金
[00143.16-00144.84] 在这些委员责任当中
[00144.84-00145.60] 大家注意
[00145.60-00146.60] 最为长考的
[00146.60-00147.96] 其实两种形式
[00147.96-00150.12] 一种就是我们所说的委员金
[00150.12-00152.48] 另外一种就是我们所说的定金
[00152.48-00153.44] 我们就来看一下
[00153.44-00155.44] 这两种经常考的形式
[00155.44-00157.44] 委员金和定金到底是怎么回事
[00157.44-00158.08] 一集
[00158.08-00159.72] 如果真的让它成呌
[00159.72-00160.68] 委员责任的话
[00160.68-00161.84] 委员金和定金
[00161.84-00163.84] 应该取多少数额
