[00000.00-00002.56] 那今晚合同说完了之后呢
[00002.56-00004.04] 我们还剩下最后一个合同
[00004.04-00005.44] 就是保证合同
[00005.44-00006.48] 保证合同呢
[00006.48-00008.00] 它其实是我们在前面
[00008.00-00010.08] 也拿讲到的保证制度的一种
[00010.08-00012.68] 我们在之前给大家讲到单宝
[00012.68-00014.48] 我们在讲到单宝制度的时候
[00014.48-00015.48] 大家来回忆一下
[00015.48-00017.24] 我们在讲到单宝制度的时候
[00017.24-00019.48] 我们说了有法定单宝
[00019.48-00020.28] 对不对
[00020.28-00021.56] 有法定单宝
[00021.56-00023.08] 还有我们所说的
[00023.08-00024.28] 意定单宝
[00024.28-00025.08] 一定单宝呢
[00025.08-00026.04] 就是合同
[00026.04-00027.44] 比如说有
[00027.44-00029.16] 追索权的保护合同
[00029.16-00031.52] 然后动产融资猪令和虹
[00031.52-00033.00] 还有我们所说的保留宿
[00033.00-00034.52] 动产保留宿圈满卖和痛
[00034.52-00034.96] 对吧
[00034.96-00036.00] 这是一零单报
[00036.00-00037.52] 而在法定单报当中
[00037.52-00038.76] 我们讲到了三个
[00038.76-00040.00] 一个是物宝
[00041.00-00043.28] 然后还有一个是人宝
[00043.28-00044.44] 还比各是什么
[00044.44-00045.40] 金钱宝
[00045.40-00047.40] 这里面我们在法定单报当中
[00047.40-00049.32] 其实已经给大家讲了两个了
[00049.32-00050.52] 第一个就是物宝
[00050.52-00052.04] 我们说了单宝误权
[00052.04-00053.44] 包括第2权
[00053.44-00054.32] 制权
[00054.32-00055.20] 刘志权
[00055.20-00056.60] 还有我们讲了金钱宝
[00056.60-00058.32] 今天报咱们讲的是什么来着
[00058.32-00060.06] 叫做定金合同
[00060.06-00062.68] 咱在定金合同当中讲了两个核心的点
[00062.68-00065.00] 第一个定金合同它是实现性合同
[00065.00-00068.04] 只有交付定金的时候定金合同才成立
[00068.04-00070.20] 第二个我们说了定金合同它
[00070.20-00073.88] 是用在一个点上就是我们所说的定金法子
[00073.88-00075.68] 这个反馆定金的问题
[00075.68-00077.52] 对吧 那就要看它是
[00077.52-00080.12] 几副的一方还是收受的一方了
[00080.12-00081.68] 那这个就是金钱宝
[00081.68-00083.68] 除了物宝和进行宝之外
[00083.68-00086.48] 在法定宝制度当中还有一个叫做人宝
[00086.48-00089.48] 人寶是什么呢?人寶就是保证合同
[00091.76-00094.40] 人寶就是签订保证合同
[00094.40-00096.54] 所以我们就来看一下这个里面
[00096.54-00099.80] 我们所强的这个人寶所强订的保证合同
[00099.80-00101.60] 它到底是怎么回事
[00101.60-00105.12] 在保证合同当中我们先来看一下保证合同的概念
[00105.12-00108.40] 我说了接保证合同它是单寶制度的一环
[00108.40-00110.40] 它本身上就是为了保证什么?
[00110.40-00111.64] 这一权的实现
[00111.64-00114.64] 我问你借了20万块钱
[00114.64-00117.86] 那这个时候你就会担心我前还不上的问题
[00117.86-00120.60] 你这个时候就可能要求我给你提供一个误宝
[00120.60-00122.52] 比如说你说你要20万怎么还上啊
[00122.52-00124.16] 我说我把我的房子给你
[00124.16-00126.52] 那这个时候受设定的安全就误宝
[00126.52-00128.12] 那对于债权人来说
[00128.12-00130.92] 就是保证越多就对他越有利
[00130.92-00131.88] 就多多意义上嘛
[00131.88-00133.12] 所以我说了我说你别
[00133.12-00134.28] 说你别看不起人啊
[00134.28-00135.24] 我是去去二十万
[00135.24-00136.84] 我怎么可能放在心上呢
[00136.84-00137.96] 对吧咱们不差钱儿
[00137.96-00140.32] 这次现在资金搞不出来
[00140.32-00141.64] 于是在这里你看
[00141.64-00142.60] 咱们两个之间
[00142.60-00145.62] 我和你心里心,我和你
