[00000.00-00002.00] 蘇上蘇頂道的第二名確實是什麼
[00002.00-00004.60] 就是我們所提到的總任務
[00004.60-00008.64] 他說明確和叫明確堅持發展中國特色收主義
[00008.64-00010.64] 總任務事通過這個點話出來
[00010.64-00012.00] 這個點是要大家去背後來
[00014.00-00014.52] 來看
[00014.52-00016.72] 說明確我們所說的總任務
[00016.72-00020.52] 是實現社會主義現代化和中華民族的偉大俗星
[00020.52-00022.88] 在全面堅成小黃社會的基礎之上
[00022.88-00024.00] 分兩步走
[00024.00-00025.60] 在本世紀中夜堅成
[00025.60-00028.32] 富強民主文明和學的收主義現代化強國
[00028.32-00031.14] 以中国是现在画推进中华民族委员父亲
[00031.40-00032.66] 这是第二个名曲
[00032.66-00035.36] 同时不要看今天是这短短的这一句话
[00035.36-00037.28] 越含了考点极其的风服
[00037.28-00038.82] 咱们首先来看一下第一个点
[00038.82-00039.84] 我们刚才说了
[00039.84-00041.64] 在中国共产党的领导之下
[00041.64-00043.94] 我们在进行西史代社屋主义建设的时候
[00043.94-00045.22] 咱们要做成什么事
[00045.22-00046.88] 我们把这个就叫做什么
[00046.88-00048.28] 就叫做总任务
[00048.28-00050.08] 他们来看一下他都总任务是什么
[00050.08-00052.90] 他都总任务在书上给到了一句话
[00052.90-00055.20] 这些不要他把这句话都背下来
[00055.20-00056.74] 你就只记关键此就行了
[00056.74-00058.86] 我们最简单的机梨方式
[00058.86-00060.78] 就是明确它说了是什么
[00060.78-00061.98] 然后在这个逻辑体系
[00061.98-00064.66] 框架当中把关键词拿出来就行了
[00064.66-00067.42] 来看一下我们所说的总任我第一步
[00067.42-00068.70] 我们要实现什么
[00069.26-00071.38] 我们要实现现代化
[00071.38-00075.26] 第二个就是要在现代化的同时实现中华民族的什么
[00075.26-00076.46] 伟大复兴
[00076.46-00079.10] 所以我们接下来演这社会主义方向
[00079.10-00081.18] 在中国共产党的领导之下
[00081.18-00085.82] 要实现的就是现代化和复兴这两件事
[00085.82-00090.42] 明白吧,这个就是我们所说的什么?总任务,这个就是我们所说的总任务
