[00000.00-00005.00] 了解了整個行政法以行政訴訟法的一個基本價格之後
[00005.00-00009.00] 今天我們就來學習一下第一個部分的那種就是行政法的概數
[00009.00-00012.00] 在行政法該處當中,我們要給大家講四個問題
[00012.00-00015.00] 第一個就是行政法到底是什麼叫行政法的概念
[00015.00-00019.00] 第二個叫行政法的基本原則,就是在行政法設立的當中
[00019.00-00025.00] 我們要注意哪一些我們所說的這種什麼這種共同性的一些規則
[00025.00-00027.00] 这是基本原走
[00027.00-00029.00] 第三个就是形政法
[00029.00-00031.00] 它调整的是关关民
[00031.00-00034.00] 所以我们要知道形政法上所谓的关
[00034.00-00036.00] 我把称政为叫做形政主体
[00036.00-00037.00] 它管民
[00037.00-00039.00] 它这个管就是实施了我们所说的
[00039.00-00041.00] 我们形政立法行为
[00041.00-00043.00] 还是具体形成形为抽象形成形为
[00043.00-00045.00] 我们把称政为叫做形政行为
[00045.00-00047.00] 所以这是在第一张当中
[00047.00-00049.00] 我们要去掌握的四个方面的问题
[00049.00-00051.00] 首先来看一下第一个点
[00051.00-00054.00] 这叫做形政法的概念
[00054.00-00055.32] 什么叫行政法呢
[00055.32-00056.52] 这个概念不用被
[00056.52-00058.56] 同时就来简单地去看一下就行了
[00058.56-00061.88] 他说行政法是调整行政关系的
[00061.88-00064.84] 规范和控制行政权的法律规范体系
[00064.84-00065.20] 对吧
[00065.20-00067.88] 所以整个行政法去调整的就是什么
[00067.88-00069.12] 关民关系
[00069.12-00072.44] 你就老老的记住行政法调整的所谓的行政关系
[00072.44-00074.84] 去调整的就是关民关系
[00074.84-00075.96] 关民关系
[00075.96-00077.92] 你说老实他这个地方有啥了不起的
[00077.92-00078.80] 他会考吗
[00078.80-00081.12] 他有的时候会考一个理解行政题目
[00081.12-00082.60] 解案单道的就这个题
[00082.60-00083.32] 你再去打的时候
[00083.32-00084.60] 你感觉都考得好难后
[00084.60-00085.00] 对吧
[00085.00-00085.88] 他那个题出的
[00085.88-00087.44] 你感觉很像一个正体
[00087.44-00089.88] 但是他其实特别的好搞定
[00089.88-00091.00] 他说形容法
[00091.00-00092.60] 他说调整的官民关系
[00092.60-00093.68] 在这里面他说一下
[00093.68-00095.32] ABCD色选当中
[00095.32-00098.68] 哪一个属于形容法调整的范围之内
[00098.68-00101.00] 给到了我们所说的什么法院
[00101.00-00102.64] 什么谁谁就法院
[00102.64-00103.92] 一神维生效的
[00103.92-00105.12] 我们所说的这个
[00105.12-00106.16] 判决书对吧
[00106.16-00107.36] 然后进行了上诉
[00107.36-00108.36] 要开启二神
[00108.36-00108.64] 对吧
[00108.64-00110.92] 就是谁谁针对于法院什么什么的事
[00110.92-00115.36] 然后并且向给到了一个比如说像什么国家行为的
[00115.36-00118.64] 比如说国家行为当中类似于外交行为等等这些
[00118.64-00120.92] 你看外交行为它属于关民关系
[00120.92-00121.84] 就都不属于
[00121.84-00126.48] 所以它如果真考察我们到底属于行政法律关系的话
[00126.48-00129.28] 那你就看它是不是和关民有关
[00129.28-00131.08] 我们后面会做到这样一个题目
[00131.08-00133.44] 所以在这里的大家就从行政法的干净当中
[00133.44-00134.48] 界定一个机票
[00134.48-00139.00] 我经常或者是我在讲课当中会从头到尾给大家去关书
[00139.00-00141.00] 就是官民關係
[00141.00-00142.64] 你甚至在聽時間長的時候
[00142.64-00144.00] 都感覺老實你被說了
[00144.00-00145.00] 我都要停吐了
[00145.00-00146.68] 那其實
[00146.68-00148.28] 你就是要重複
[00148.28-00148.52] 對吧
[00148.52-00150.52] 學習的本質就要在重複
[00150.52-00151.08] 所以在這
[00151.08-00153.52] 大家知道行政法的關系
[00153.52-00154.28] 人第一個
[00154.28-00155.72] 就是行政關係
[00155.72-00157.24] 強調的是官民關係
[00157.24-00158.28] 這個了解一下就想
[00158.28-00159.96] 只要能夠判斷就OK了
[00159.96-00161.20] 是第一個行政法的
[00161.20-00162.08] 基本概念
[00162.08-00163.92] 第二個點叫行政法的
[00163.92-00165.00] 基本原則
[00165.00-00166.44] 行政法的基本原則
[00166.44-00171.48] 它其实是行政制度运行它的一些共同的内在的一些规则
[00171.48-00176.68] 这个行政法的进了原则它其实可以提到很好的这种补充作有
[00176.68-00181.04] 比如说相应的有一些行政法的行为它有很明确的制度规范
[00181.04-00183.60] 但一些行政法的行为它没有制度规范的时候
[00183.60-00185.96] 我们怎么去调整我们去释用呢
[00185.96-00188.36] 这有时候就会要起动原则
[00188.36-00190.80] 所以这个就叫做行政法的进了原则
[00190.80-00193.12] 行政法进了原则同样可以给它标出来
[00193.12-00196.04] 它可以说是行政法一个两星级的知识点
[00196.04-00199.38] 他在考试的时候很容易考察这么级电
[00199.38-00201.80] 我就给大家把考察教杜协旁边
[00201.80-00202.64] 老规矩
[00202.64-00204.68] 只是他计视一个实际性的点
[00204.68-00206.68] 也是一个理解性提目的点
[00206.68-00207.68] 他考察的时候
[00207.68-00210.08] 第一个就是考察单纯的实际
[00210.08-00212.28] 考察单纯的实际很容易考
[00212.28-00213.48] 单纯或者多许
[00213.48-00216.48] 就是问形容法的基本原则
[00216.48-00217.52] 有哪些
[00217.52-00218.68] 这个有哪些呢
[00218.68-00220.76] 它其实是有很六个大原则
[00220.76-00223.64] 和一些大原则下面的子原则构成的
[00223.64-00226.98] 所以在这里面它问考察到游南洁的时候
[00226.98-00229.12] 同时就要掌握着整个形容法
[00229.12-00230.82] 它的一个基本框架
[00230.82-00235.36] 除了考察的那些之外它会考察个别的形容法原则的地位
[00236.36-00239.14] 比如说这些原则当中一个六大类
[00239.14-00242.38] 说这些原则当中哪个原则是最首要的
[00242.38-00245.40] 哪个原则是区别于民事活动的主要标志
[00245.40-00248.62] 这个时候就会考察一些个别点的什么地位
[00248.62-00250.22] 所以在这里面大家要注意一下
[00250.22-00254.18] 实际实际上一般考的是大矿比较多
[00254.18-00256.30] 这是能够把这几大类权的记住
[00256.30-00258.98] 某一大类下面几个小类几个就OK了
[00258.98-00260.50] 这是第一个考察实际
[00260.50-00263.02] 第二个考察的就是理解型的题目
[00263.02-00264.54] 理解型的题目考什么呢
[00264.54-00266.06] 理解型的题目就考案例
[00266.06-00267.14] 给你一个案例
[00267.14-00268.14] 然后这有时候问
[00268.14-00270.50] 他体现了哪一个
[00270.50-00272.42] 我们所说的形容法的记得原走
[00272.42-00274.22] 或者他就会经常会给到
[00274.22-00275.82] 说给你一段描述
[00275.82-00278.38] 说一下ABCB4个选拔
[00278.38-00279.86] 都给你变成具体的选项
[00279.86-00282.46] 说哪一个没有体现和发言则
[00282.46-00284.78] 这时候就会考一个理解形的题目
[00284.78-00286.18] 但是这里面大家注意
[00286.18-00288.18] 无论它考的是实际体验
[00288.18-00289.62] 还是理解形的题目
[00289.62-00291.10] 破体的关键在那儿
[00291.10-00291.90] 同样注意一下
[00291.90-00293.58] 如果小把这个题答对
