[00000.00-00004.36] 那我們了解了行政法的蓋數之後我們接下來來看一下
[00004.36-00006.40] 有關於具體行政行為的內容
[00006.40-00009.48] 咱們在行政法蓋數當中給大家講了行政行為
[00009.48-00011.96] 我們在行政行為當中講了一個非常抓的分類
[00011.96-00013.32] 不知道大家還記不記得
[00013.32-00015.12] 就是我們所提到的
[00015.12-00017.52] 抽象行政行為和具體行政行為
[00017.52-00021.16] 我們說抽象行政行為本身就是什麼行政立法
[00021.16-00023.80] 比如說國務院制定相當的行政法規
[00023.80-00026.64] 或者是省政府制定相當的政府規章
[00026.64-00029.64] 或者是某某部門制定相當的不能規章
[00029.64-00032.84] 那这一个过程其实就叫做抽象形容性味
[00032.84-00035.96] 无说抽象形容性味就是初台相的政策
[00035.96-00038.40] 相的实施管理办法等等对不对
[00038.40-00041.88] 抽象形容性味它针对的不是我们所说的什么
[00041.88-00043.88] 特定的对象以及特定的事象
[00043.88-00045.60] 这是形容形容性味的分类
[00045.60-00049.96] 形容性味的另一个分类就是我们所说的叫做具体形容性味
[00049.96-00054.96] 具体形容性味是针对特定的对象针对特定的事象
[00054.96-00057.20] 实施的相应的形容性味
[00057.20-00059.76] 所以我们说了具体形狠行为它具有特定性
[00059.76-00063.48] 具有外部性具有处分性等等这系列的特征
[00063.48-00065.92] 而我们说了在整个形狠法当中
[00065.92-00069.56] 我们要讲到说关管民、民、高官、对不对
[00069.56-00073.92] 那民、高官可以就哪些事件去直接进行副议
[00073.92-00075.56] 或者是直接体育诉讼呢
[00075.56-00078.28] 我们说了那就是针对具体形狠行为
[00078.28-00081.28] 所以我们了解了具体形狠行为的概念以及特征之后
[00081.28-00085.56] 那接下来我们就来看一下具体形狠行为到底有哪些
[00085.56-00088.96] 在具体形狀形微当中,我们要给大家讲四个方面的内容
[00088.96-00090.96] 第一个叫形正处乏
[00090.96-00092.96] 第二个叫形正娶可
[00092.96-00096.96] 第三个叫形正强制,第四个叫其他形正行为
[00096.96-00099.36] 这四个节的内容
[00099.36-00102.16] 它其实是非常揉的具体形正形微的体现
[00102.16-00105.36] 接下来,我们就要从这些内容
[00105.36-00107.76] 形正处乏形正娶可形正强制
[00107.76-00109.16] 它到底是什么?
[00109.16-00110.76] 它包含哪些种类
[00110.76-00113.56] 也是形正处乏当中形正处的内容
[00113.56-00114.72] 以及形认强制当中
[00114.72-00117.04] 他所给到的具体的一些种类
[00117.04-00120.36] 到底哪些规范性的法文件能够去设立
[00120.36-00122.32] 我们要从它的设立角度去看
[00122.32-00125.64] 那最后再从我们所说的如何去实施
[00125.64-00128.60] 如何去执行分别去了解触发训课
[00128.60-00129.92] 和强制的内容
[00129.92-00132.20] 那么就先来看一下第一部分的内容吧
[00132.20-00135.40] 就是我们所提到的叫做行政触发
[00135.40-00136.24] 行政触发呢
[00136.24-00138.28] 我们要给大家讲这么几个方面
[00138.28-00138.88] 第一个呢
[00138.88-00140.40] 我们要从红官上去了解
[00140.40-00142.56] 就是咱们今天说触发触发
[00142.56-00144.10] 行政處法到底是什麼
[00144.10-00145.88] 要了解行政處法的概數
[00145.88-00148.20] 第二個大家一聽到處法這個層
[00148.20-00150.24] 你就知道它是好還是會
[00150.24-00153.06] 聽到處法這個層就知道它只能不是好事
[00153.06-00155.10] 它一定是增加你的負擔的
[00155.10-00158.18] 所以在這裡我們就要來看一下行政處法
[00158.18-00159.46] 它既然作為一種
[00159.46-00162.02] 負擔性行為或是具有一定的成縣性
[00162.02-00163.76] 那我們就要來看一下行政處法
[00163.76-00165.60] 它要遵循哪些記了原則
[00165.60-00167.90] 你罰眾了只得也不想罰清了也不想
[00167.90-00170.72] 因為我們說了它要符合相的比例原則
[00170.72-00172.92] 所以在这里了解了行政处罢之后
[00172.92-00175.92] 我们来了解行政处罢的基本原则
[00175.92-00178.52] 那知道了基本原则之后咱们就来看一下
[00178.52-00182.32] 行政处罢他是一个比较红观的具体行政行为
[00182.32-00184.24] 他到底包括哪些内容呢
[00184.24-00186.12] 这个叫行政处罢的种类
[00186.12-00189.72] 以及这些内容比如说我们会跟大家讲到行政局劉
[00189.72-00191.52] 这是我们经常能看到的吧
[00191.52-00192.92] 一个人就在外面
[00192.92-00195.32] 所以挑心他人随意慢慢看人严重的
[00195.32-00196.72] 我说就可以把它抓起来
[00196.72-00198.72] 这个时候就会给大家去讲到
[00198.72-00200.52] 那像行政局劉
[00200.52-00203.20] 限制从夜限制生产经营
[00203.20-00205.92] 像这样的一系列的具体的形容触法
[00205.92-00208.72] 它到底是由哪些法律来设定的
[00208.72-00211.36] 或者是哪些法规或者是规章来设定的
[00211.36-00213.48] 这里会讲到它的设定
[00213.48-00215.64] 这里你了解了形容触法
[00215.64-00216.44] 有哪些之后
[00216.44-00219.12] 还要来看一下形容触法的实施主体
[00219.12-00221.92] 就谁可以去持续形容触法
[00221.92-00226.40] 以及如果说形容触法对我产生了一系列的不利的影响
[00226.40-00228.96] 那这个时候我小了进行处罚的话
[00228.96-00232.04] 那那些我们所说的不门
[00232.04-00233.32] 他可以实施处罚
[00233.32-00235.88] 那这个时候就会涉及到我们所说的
[00236.40-00238.12] 行政处罚的关销
[00238.12-00239.20] 那行政处罚呢
[00239.20-00240.72] 他是一个具体行政行为
[00240.72-00242.72] 他的比如说我还是
[00242.72-00244.08] 当然应该还记得我说了
[00244.08-00245.16] 我闯红灯对吧
[00245.16-00245.88] 然后被罚了
[00245.88-00246.76] 看显这个事
[00246.76-00248.16] 那我闯红灯被罚了
[00248.16-00249.20] 是看显的这个事
[00249.20-00251.84] 他不是说说交警看到我了之后
[00251.84-00253.24] 然后他就一拍到玩
[00253.24-00254.00] 然后他说说了
[00254.00-00255.84] 还行了给你下来一个处罚就已经说
[00255.84-00257.44] 任何一个形容处发
[00257.44-00258.84] 它的一个实施
[00258.84-00261.20] 它都需要经过一系列的程序
[00261.20-00262.16] 所以在这里面
[00262.16-00264.16] 我们要来看一下一个处发
[00264.16-00265.76] 它到底是怎么产生的
[00265.76-00268.56] 这个时候就会涉一到形容处发的决定程序
[00268.56-00269.84] 有了决定之后
[00269.84-00271.32] 形容处发就要怎么样
[00271.32-00272.04] 只行
[00272.04-00274.20] 比如说要涉一到对我进行法款
[00274.20-00275.92] 我这个法款怎么去交了
[00275.92-00278.12] 是当场交还是过后交
[00278.12-00279.80] 这时候就会涉一到什么
[00279.80-00280.92] 執行程序
[00280.92-00282.68] 所以在整个形容处发当中
[00282.68-00284.44] 我们要从红官上了解
[00284.44-00286.32] 形容触发是什么?
[00286.32-00288.12] 谁来实施触发?
[00288.64-00290.40] 在这里面就是社道主题和怪下
[00290.40-00292.96] 以及这个触发决定它如何产生
[00292.96-00295.64] 这里说一道决定程序以及執行程序
[00295.64-00299.32] 这里面其实想给大家去进行一个红官的这个扑射
[00299.32-00301.44] 你有了一个大该的这个框架之后
[00301.44-00305.28] 我们就知道我们具体如何学写这些内容了
[00305.28-00308.28] 那么现在看一下第一个形容触发
[00308.28-00310.48] 它的一个概束
[00310.48-00312.24] 形容触发该触当中
[00312.24-00314.24] 先來看一下形容處法的概念
[00314.24-00316.24] 它說形證處法首先
[00316.24-00317.24] 同一話一下第一個
[00317.24-00319.24] 它只是有形證機關
[00319.24-00321.24] 你把形證機關標誦出來
[00321.24-00322.24] 也就是在這裡
[00322.24-00326.24] 我們要通過概念去掌握形證處法的基本特徵
[00326.24-00327.24] 因為一般情況下
[00327.24-00329.24] 形證處法的基本特徵
[00329.24-00331.24] 也是一個考察的點
[00331.24-00332.24] 它在考試的時候
[00332.24-00334.24] 往往是一判斷體
[00334.24-00336.24] 或者是我們所說的這種
[00336.24-00337.24] 綜合的考察處限
[00337.24-00339.24] 比如說它經常會考到
[00339.24-00341.24] 以下關於形證處法
[00341.24-00342.64] 正确或者错误的是
[00342.64-00344.60] 他很容易把行政处发
[00344.60-00347.04] 还有我们所说的行政训合行政强制
[00347.04-00348.04] 给你搞混货销
[00348.04-00349.44] 这里面想要去变弃
[00349.44-00351.84] 他的政政处发说是对的还是错的
[00351.84-00353.56] 就要对他的基本概念
[00353.56-00354.44] 有一个了解
[00354.44-00356.12] 从而在他的基本概念当中
[00356.12-00358.40] 抽象出来他的基本特征
[00359.40-00360.88] 那首先我们来看一下第一个
