[00000.00-00005.72] 我们讲完了形正处发也讲完了形正娟克
[00005.72-00009.72] 我们再来看一下第三个具体形状形状 讲制
[00009.72-00012.72] 形状强制它其实包含两个部分的内容
[00012.72-00017.56] 第一个叫做形正强制 措施第二个叫做形正强制 直形
[00017.56-00020.24] 这两个部分我们再去学习的时候
[00020.24-00023.80] 它大概的轮扩和模块其实和钱都一样
[00023.80-00027.88] 我们需要知道这两个形状强制措施也好形状强制 直形好
[00027.88-00028.92] 到底是什麼
[00028.92-00031.68] 第二一個就是它具體包好了哪些內容
[00031.68-00036.04] 然後了解它的內容能夠幫我們更好的應對理解先題目
[00036.04-00039.68] 第三一個就是和我們學處罰 還有許可是一樣的
[00039.68-00042.36] 形狀相對措施也好還是執行也好
[00042.36-00044.88] 到底是怎麼從無道有產生的
[00044.88-00047.80] 那些法律或者是規範性法文件
[00047.80-00051.40] 可以去設定形狀的措施或形證強制執行
[00051.40-00054.36] 這個就是我們要整個形證強制當中
[00054.36-00055.88] 我們要去學習的內容
[00055.88-00059.28] 那麼現在看一下第一個什麼叫做行政強制
[00059.28-00060.36] 在這裡他說
[00060.36-00062.08] 說行政強制是誰呢?
[00062.08-00064.56] 同樣的畫下是行政級官
[00064.56-00066.08] 這個點一定要給的標誌出來
[00066.08-00069.88] 說是行政級官為了實現行政目的
[00069.88-00072.60] 你說老師他行政級官去進行相的行政管理
[00072.60-00074.08] 他要實現什麼樣的目的呢?
[00074.08-00077.04] 如果是行政強制措施的話
[00077.04-00078.76] 我們一會會大家再後面講到
[00078.76-00080.36] 他是為了預防
[00080.36-00082.72] 他要達到相的預防而加一強制
[00082.72-00085.80] 这个可能是形政强制措施的目的
[00085.80-00087.44] 形政强制執行有目的
[00087.44-00088.64] 你看他叫做什么
[00088.64-00090.52] 執行什么东西呢
[00090.52-00093.16] 執行你应当旅行而为旅行的意误
[00093.16-00095.72] 所以在这里面形政强制
[00095.72-00098.72] 他是为了形政机关实现形政目的
[00098.72-00101.36] 去对相对人的人生财产和形位
[00101.36-00103.12] 採取的强制形政措施
[00103.12-00104.48] 这个点我们要了解
[00104.48-00107.24] 形政强制他分成两种情况
[00107.24-00109.96] 第一种叫做形政强制措施
[00109.96-00112.96] 第二种叫做行政强制执行
[00112.96-00117.20] 我们就分别来看一下行政强制措施和行政强制行是什么
[00117.20-00120.32] 虽然第一个我们来看一下行政强制措施
[00120.32-00124.44] 行政强制措施它的主体我们一样的说是指行政机关
[00124.44-00128.20] 当然了就是我们所说的关关民当中广一上的关
[00128.20-00132.24] 它说是行政强制机关在行政管理过程当中
[00132.24-00133.88] 同时把后面制余挂出来
[00133.88-00137.04] 它是我们做理解行题目的破体的一个关键
[00137.04-00140.80] 他经常可能会考到一下ABCD4的选当中
[00140.80-00142.24] 哪一个选项
[00142.24-00145.16] 他属于我们所说的行政强制措施
[00145.16-00148.40] 或者哪一个选项属于行政强制之情
[00148.40-00150.84] 哪一个属于处罚哪一个属于虚客
[00150.84-00152.60] 他经常就会这么考察我们
[00152.60-00154.52] 但是由于有很多同学
[00154.52-00156.00] 就会发现这样一个问题
[00156.00-00156.76] 说老师
[00157.28-00159.68] 我把整个行政
