[00000.00-00008.64] 好 那到这呢 我们就把三大非常重要的具体形容行为在这里给大家说完了 分别是形容出发形容虚可和形容抢质
[00008.64-00013.50] 同样要注意一下他们的实行的机关 第二个就是他们设定的
[00013.50-00019.64] 我们所说具体的设定 哪一层级的规判刑法文件对于用哪些设定 以及他的具体的总绪
[00019.64-00024.72] 说了这些之外呢 我们在具体形容行为当中还有一些其他场件的具体形容行为
[00024.72-00027.32] 那这些其他场见的巨型人行为呢 同学们
[00028.32-00031.36] 大概有一个概念 有一个印象就可以了
[00031.36-00034.92] 在这里面我们主要掌握其他巨型人行为的概念
[00034.92-00037.92] 以及他入一旦出现你知道他属于具体型人行为
[00037.92-00039.52] 他是可塑的就可以了
[00039.52-00041.82] 第一个呢 来看一下 叫做形装
[00041.82-00044.72] 我们经常会听到叫做征收和中用
[00044.72-00047.12] 形装收是啥呢 在这里他说了
[00047.72-00052.32] 说形装中收呢是指 形装机关或者是法定受权的组织
[00052.32-00053.92] 根据法律法规的规定
[00053.92-00055.92] 向公民法认过其他组织
[00055.92-00056.54] 注意一下
[00056.54-00059.82] 这做有常或者是无常收取
[00059.82-00061.96] 一定财务的行政行为
[00061.96-00065.76] 这个就叫做行政征收 叫行政征收
[00065.76-00068.64] 和行政征收相对应的另外一个概念中的什么呢
[00068.64-00070.36] 和行政征收对应的另外一个概念
[00070.36-00073.24] 叫做行政征用
[00073.24-00075.68] 行政征用咱们来看一下在这里他说了
[00075.68-00078.40] 说行政征用是指行政主体
[00078.40-00081.58] 出于国家或社会公共利益的需要
[00081.58-00084.26] 说一句法律形政法规
[00084.26-00089.34] 强制性的取得行政相对人财产使用权或者是老物
[00089.34-00091.58] 变几以和理经济不长的行政行为
[00091.58-00093.82] 这个就叫做行政征用
[00093.82-00097.54] 那你看像行政征用当中我们经常会在电视剧里面看到
[00097.54-00100.14] 在电视剧当中经常看到那个港台具
[00100.14-00101.54] 不知道大家有没有注意
[00102.06-00105.94] 商量的港台剧里面他经常不是会有那种警察嘛
[00105.94-00108.02] 所以我上阿斯我要征用一下你的车
[00108.02-00109.98] 对吧 那那个当时那个人告他
[00109.98-00112.50] 都可以都 problem 然后就把车开走了也不借他
[00112.50-00115.38] 那这个呢 就是比较长见的这种正用的行为
[00115.38-00118.74] 大家注意一下形正征收和正用的区别在哪呢
[00118.74-00123.02] 大家明确 形正征收 征收的是这个东西的所有权
[00123.02-00125.62] 有是这个东西呢 如果一旦被征收了
[00125.62-00127.74] 那他呢就不在你的手中了
[00127.74-00130.42] 他可以征收你的房可以征收你的车
[00130.42-00131.82] 可以是有长的
[00131.82-00134.50] 我们所说的征收也可以是无长的征收
[00134.50-00136.98] 那你看像这里面我们所说的无长征收
[00136.98-00138.74] 就是不给你任何的补常的
[00138.74-00140.38] 比如说像征税
[00140.38-00142.94] 征税它就属于形正征稚的一种
[00142.94-00144.94] 那还有很多就是工艺的征稚
[00144.94-00146.94] 对吧 它出于国家公共利于的需要
[00146.94-00148.82] 为了公共利于要它去征稚
[00148.82-00151.18] 你这块土地的说别说在这块土地上
[00151.18-00153.22] 去进行相应的科研建设
[00153.22-00155.22] 军事基地界是办这块地增久了
[00155.22-00156.78] 它要给你一定的部场
[00156.78-00159.38] 那这个时候它把这个东西征走了之后
[00159.38-00160.58] 东西就已经是什么
[00160.58-00161.62] 就已经是它的了
[00161.62-00164.18] 你就要回来了 所以它就给你相当的部场
[00164.18-00166.22] 所以像这里的有长必要长见
[00166.22-00168.82] 有常常就是出語 公義證說
[00169.82-00172.62] 就是我剛才所說的出語公共利益的需要
[00172.62-00174.14] 我要把你這個地方拿走用用
[00174.14-00176.46] 還得無常的就是常見的徵稅
[00176.46-00178.90] 我們的稅收徵收他就數語
[00178.90-00179.78] 無常徵收
[00179.78-00182.74] 那這個時候他徵收的是這個東西的所有權
[00182.74-00184.66] 和他相對應的是徵用
[00184.66-00185.94] 徵用指徵什麼呢
[00185.94-00187.98] 徵用在這裡指徵使用權
[00187.98-00190.74] 比如說剛才那電視劇來說我說我是阿索
[00190.74-00192.58] 對外面的車購用用
[00192.58-00193.42] 他說OK
[00193.42-00195.02] 那这时候你我把车用完了
[00195.02-00195.82] 支援换人之后
[00195.82-00196.82] 要再把车怎么样
[00196.82-00197.54] 还给你
[00197.54-00198.90] 他只是真的是什么
[00198.90-00199.74] 使用权
[00199.74-00201.10] 并且他在这种
[00201.10-00202.02] 争手情况之下
[00202.02-00204.18] 他是有相当的补常的
[00204.18-00205.42] 争了你的东西
[00205.42-00207.34] 那一定要给你相当的食用飞
[00207.34-00208.14] 所以要补常
[00208.14-00209.38] 而且他是出于什么
[00209.38-00210.58] 国家和公务力需要
[00210.58-00211.38] 也就换句话说
[00211.38-00213.14] 争用一般出现在
[00213.14-00214.66] 特别紧急的情况之下
[00214.66-00216.86] 所以大家知道这里会有争手和忠用
[00216.86-00219.34] 他也属于具体形容形为就可以了
[00219.34-00220.50] 所以大家一定要明确
[00220.50-00221.86] 这是第一个概念
[00221.86-00223.02] 第二个概念叫做
[00223.02-00226.74] 行政卻认 行政卻认 其实我们不太常听
[00226.74-00228.90] 咱们来看一下行政卻认说的是什么
[00228.90-00231.54] 他行政卻认是指行政主体
[00231.54-00233.42] 依法对行政相对人
[00233.42-00238.22] 他的法律地位法律关系或法律事实进行
[00238.22-00240.94] 真比与却定任可
[00240.94-00242.34] 并与宣告
[00243.50-00247.22] 这种行为被称之为叫做行政卻认
[00247.22-00250.26] 什么叫做对于他的法律的关系
[00250.26-00253.74] 第1位还有法律师师于真别确定任可可证明
[00253.74-00255.70] 最为常见呢
[00255.70-00257.18] 其实我们所说正行政确认
[00257.18-00259.46] 他其实本身是要起到一定相应的什么
[00259.46-00260.18] 保护的
[00260.18-00262.58] 比如说行政确认的总绿包括很多
[00262.58-00263.78] 大家应该都知道
[00263.78-00264.50] 你看
[00264.50-00265.62] 在农村的话
[00265.62-00267.62] 咱们家里是否都有中的那个地
[00267.62-00270.74] 在农村的话咱们家里中的那个地单想一下
[00270.74-00272.22] 这个土地的所有权
[00272.22-00274.18] 我们之前在林法当中给大家讲过
[00274.18-00277.74] 在土地的所有权是规寸集体所有的
[00277.74-00279.38] 你只想要有这个土地的什么
[00279.38-00281.96] 你只想要这个土地的使用权
[00281.96-00284.30] 那你只想要这个土地的使用权的话
[00284.30-00285.86] 你说这块地是你中的
[00285.86-00287.02] 它就是你中的吗
[00287.02-00288.92] 这个时候是不是要一定的证明
[00288.92-00290.86] 或者有一定的证书来确定
[00290.86-00292.46] 这块土地是成包给你的
[00292.46-00294.02] 于是就会给你发放什么
[00294.02-00295.94] 土地成包精全证书吧
[00295.94-00297.54] 那你看这种情况之下
[00297.54-00299.34] 它就属于什么形正确认
[00299.34-00302.38] 它就是对于你这种法律关系
[00302.38-00303.96] 你的这种权力一无的确认
[00303.96-00306.74] 就确认这块地的使用权是要规理的
[00306.74-00308.50] 是不是这属于它对于它的什么
[00308.50-00312.30] 对于法律事实进行真比认定与宣告
[00312.30-00314.54] 给你发了土地成报经验证
[00314.54-00316.30] 就确定了这块历史里的
[00316.30-00318.10] 别人要强制在这块土地上去
[00318.10-00318.98] 种旨东西的时候
[00318.98-00319.86] 他就属于什么
[00319.86-00321.54] 他就属于違法行为
[00321.54-00322.30] 明确了
[00322.30-00323.78] 这个就是形成确认
[00323.78-00326.30] 形确认当中的第一种形成叫做确定
[00326.30-00327.82] 第二种就比如说登记
[00327.82-00329.94] 登记是针对于法律事实
[00329.94-00332.30] 先真比在确定在宣告
[00332.30-00333.82] 最为常见的户伙登记
[00333.82-00335.18] 当我出生之后
[00335.18-00335.70] 你看
[00335.70-00337.70] 我家人就拿着又户伙找到了
[00337.70-00339.98] 派出所说我家心天了一定人口
[00339.98-00343.06] 这时候就先真别我到底是不是他亲生的
[00343.06-00344.26] 我的来月是我合法
[00344.26-00345.38] 有出生周明的周明
[00345.38-00346.78] 我就说他亲生女儿等等
[00346.78-00347.74] 对吧 先真别
[00347.74-00348.90] 然后最后遇什么
[00348.90-00350.14] 遇已任可
[00350.14-00350.90] 任可了说说
[00350.90-00352.26] 哦 果然没问题
[00352.26-00355.22] 最后遇已宣告宣告就是在户口登记上
[00355.22-00356.50] 确认了我的身份
[00356.50-00359.06] 那你看他是不是也是关管民那一种行为
[00359.06-00360.34] 那他也属于什么
[00360.34-00361.62] 行状确认
[00361.62-00363.94] 包括大家所常见的一些周明
[00363.94-00365.94] 大家有沒有見過
[00365.94-00366.94] 無犯罪證明
[00366.94-00368.94] 你自己要進行什麼考試
[00368.94-00369.94] 或者是有一些
[00369.94-00370.94] 他要用到這種
[00370.94-00372.94] 或者你的學歷證明
[00372.94-00373.94] 大家應該都聽過
[00373.94-00374.94] 對吧
[00374.94-00375.94] 那一看像這種
[00375.94-00377.94] 他也是對於法律事實的一種認可和宣告
