[00000.00-00003.00] 好 那我就把行政法给大家讲完了
[00003.00-00005.00] 那我们在整个行政法当中呢
[00005.00-00006.00] 我们讲了行政法是什么
[00006.00-00009.00] 然后讲了行政法当中的具体行政行为
[00009.00-00011.00] 但是行政法一直强调的是什么
[00011.00-00013.00] 说不所说的官管理
[00013.00-00015.00] 但是我们前面说了官管理
[00015.00-00017.00] 民呢可能不一定服务啊
[00017.00-00019.00] 因为可能会相当来说所谓
[00019.00-00020.00] 还他的权益
[00020.00-00021.00] 所以这种情况就会出现民
[00021.00-00022.00] 告官
[00022.00-00023.00] 那在民告官当中呢
[00023.00-00025.00] 涉及到的就是行政诉讼法
[00025.00-00027.00] 那行政诉讼法当中
[00027.00-00028.00] 没有给大家讲两个部分的内容
[00028.00-00029.80] 那种一个叫做形容副一
[00029.80-00031.20] 一个叫形容素素
[00031.20-00032.76] 那既然就名高官
[00032.76-00034.36] 他可以去哪里高呢
[00034.36-00035.12] 那第一个呢
[00035.12-00036.20] 可以高的情况就是
[00036.20-00037.40] 找形容机关告
[00037.40-00039.08] 比如说关局给你相当
[00039.08-00040.32] 比如说某某线关局
[00040.32-00041.32] 或某某区关局
[00041.32-00042.48] 给了你一个法款
[00042.48-00043.44] 或者是给了你一个
[00043.44-00044.56] 通报批评等等
[00044.56-00045.52] 给了你一个触发
[00045.52-00046.44] 但是你不符
[00046.44-00047.32] 你可以找谁
[00047.32-00048.08] 他做错事
[00048.08-00049.04] 你可以找他大哥
[00049.04-00049.76] 你可以像
[00049.76-00051.08] 四关局去高
[00051.08-00052.32] 又或者是去找
[00053.08-00053.80] 他的什么
[00053.80-00054.60] 通计政府
[00054.60-00055.00] 对吧
[00055.00-00055.88] 那这种情况之下
[00055.88-00057.48] 就是可以找形容机关告
[00057.48-00061.20] 那就冠 明告官可以找行政机关告
[00062.40-00064.04] 可以找行政机关告
[00064.04-00065.60] 除了找行政机关告
[00065.60-00066.92] 这种叫做行政福议
[00066.92-00067.80] 你还可以找谁
[00067.80-00070.20] 我们最直到就是告证者找法院
[00070.20-00072.20] 所以你可以去找法院告
[00072.20-00075.12] 那你找法院告这种叫做行政诉讼
[00075.12-00076.72] 那首先来看一下第一个
[00076.72-00079.32] 叫做行政福议行政福议
[00079.32-00081.28] 那什么叫做行政福议呢
[00081.28-00082.92] 行政福议还在这里说了
[00082.92-00087.08] 是行政机关根据上级行政机关对下级的监督权
[00087.08-00089.08] 当时人在申请和参加下
[00089.08-00090.42] 按照行动副一个程序
[00090.42-00091.04] 对什么
[00091.04-00091.64] 换一下
[00091.64-00092.84] 具体行动行为
[00092.84-00093.88] 对具体行动行为
[00093.88-00096.20] 进行后面这个子是一个长考点
[00096.20-00098.88] 进行合法性和適当性的审查
[00098.88-00100.00] 这个点标注一下
[00100.00-00102.16] 它是一个医生级的实际行动题目
[00102.16-00103.40] 有的经常会考到说
[00103.40-00105.88] 行政副一的审查范围
[00105.88-00108.44] 是他的合法性和什么性
[00108.44-00109.28] 適当性
[00109.28-00110.00] 这个適当性
[00110.00-00111.60] 那就是我们所说的合理性
[00112.84-00114.72] 也认识如果你要搞行动副一
[00114.72-00116.32] 比如说现观局
[00116.32-00119.00] 对我开了一个什么法款的这样一个处分
[00119.00-00121.04] 我不服的话我可能是上找到
[00121.04-00122.96] 事关局去进行形成副业
[00122.96-00125.32] 我进行形成副业可以让他副业一下
[00125.32-00127.60] 他对我进行法款的这件事到底合不合法
[00127.60-00128.64] 这个叫合法性
[00128.64-00131.04] 第二个他除以我们所说的是吧
[00131.04-00133.24] 除以我一圈以下的法款
[00133.24-00134.24] 法都多不多
[00134.24-00135.52] 这个叫合理性
[00135.52-00136.72] 也叫的市场性
[00136.72-00138.16] 所以在形成副业当中
[00138.16-00139.52] 他既副业合法性
[00139.52-00140.96] 又可以使他在什么性
[00140.96-00142.80] 又可以使他到合理性
[00142.80-00144.16] 也叫做市场性
[00144.16-00146.40] 所以在这里面这是第一个医生级的点
[00146.40-00148.76] 因为行动诉讼和行动副一部一样
[00148.76-00150.52] 行动诉讼他只诉讼什么
[00150.52-00153.32] 大家注意一下行动诉讼他只选择他的合法行
[00153.32-00155.88] 合理性不管只看他是否符合法律
[00156.72-00157.64] 规范
[00157.64-00161.28] 所以这是我们所说的第一个考点叫做行政复益
[00161.28-00163.36] 那了解了行政复益的第一个考点之后
[00163.36-00166.04] 我们来看一下那行政复益针对的是什么
[00166.04-00169.40] 这个点同时标注意一下一个两星级的点
[00169.40-00172.48] 在这里两星级的实际型或理解型提目的点
[00172.48-00175.28] 就是以下可以进行行州副艺的行为用哪些
[00175.28-00177.98] 他就给你ABCD4个案例 让你去选
[00177.98-00179.20] 那他注意想啊
[00179.20-00184.48] 行政副艺行政副艺行政副艺行政副艺行政副艺的事想和行政诉讼的事想是要的
[00184.48-00186.48] 我前面花了那么多时间
[00187.18-00188.38] 去一大去讲解
[00188.38-00191.98] 说关管民通过什么行为具体行政行为
[00191.98-00193.98] 那民购关购的就是什么
[00193.98-00195.98] 购的就是他的具体行政行为
[00195.98-00199.28] 所以你看可以申请副艺的事想是什么
[00199.28-00200.58] 具体行政行为
[00200.58-00206.54] 可以服役比如说形容触伐形容曲课形证 强制形容确认
[00206.54-00209.34] 你只要是属于具体形容形为的
[00209.34-00211.18] 我对你的形容形为不服
[00211.18-00213.70] 我都可以找你的上级去告诉
[00213.70-00215.70] 所以在这里服役找上级
[00215.70-00217.50] 告诉什么具体形容形为
[00217.50-00219.26] 比如说你对我的法款物不服
[00219.26-00221.26] 那我就找上级告诉这个法款的这个事
[00221.26-00222.66] 你对我的警告物不服
[00222.66-00223.94] 那我就开始警告
[00223.94-00225.38] 你没有够发挣我不服
[00225.38-00229.38] 那么OK我就去找我们所说的上级去找服役
[00229.38-00230.78] 所以在这里的注意下
[00230.78-00232.96] 这是我们所说的叫具体形狠的行为
[00232.96-00234.76] 除了具形狠的行为之后
[00234.76-00235.66] 大家注意一下
[00235.66-00237.82] 毕竟我们刚才说了
[00237.82-00242.50] 形狠副一样是对它的合法性和合理性进行审查
[00242.50-00244.48] 这里的合法性就要看一下
[00244.48-00246.28] 它对你进行形狠主帏也好
[00246.28-00249.10] 给你发放或者是不发放形狠症数也好
[00249.74-00251.40] 优货者在这里面
[00251.40-00253.20] 我们去强调的说啥呢
[00253.20-00254.28] 比如说
[00254.28-00256.78] 它在形狠强制当中
[00256.78-00260.30] 他太慢你的這些財務或者長所一號
[00260.30-00261.68] 就他做了這些事情
[00261.68-00264.18] 他到底有沒有與法有趣
[00264.18-00268.38] 他所依據的這個法律條文到底何不何規呢
[00268.38-00272.28] 那這個時候你在提起行政副一的同時
[00272.28-00274.18] 就是再去副一具體行政行政行政的同時
[00274.18-00274.88] 可以怎麼樣
[00274.88-00277.98] 可以順帶的副戴
[00277.98-00279.28] 部分抽象行政
[00279.28-00280.38] 我們所說的副一
[00280.38-00282.38] 你在這裡寫上旁邊兩個字就是副戴
[00282.38-00283.38] 副戴什麼意思呢
[00283.38-00285.78] 比如說我急於你相用的發快
[00285.78-00287.32] 我经以相应的查款无说
[00287.32-00289.12] 前面在形容出发决定收上
[00289.12-00289.98] 我都写到了
[00289.98-00291.58] 说你叫什么什么名字
[00291.58-00292.34] 在身份中
[00292.34-00293.34] 是多少少那年
[00293.34-00294.86] 那月哪日因传红当
[00294.86-00296.18] 然后我根据
[00296.18-00297.74] 支援管理出发法当中
[00297.74-00298.98] 第多少条
[00298.98-00301.14] 然后所规定的内容基于你
[00301.14-00302.86] 然后我去会把这个条的内容
[00302.86-00303.62] 给你写在这儿
[00303.62-00303.94] 对吧
[00303.94-00306.18] 然后基于你20元的发款
[00306.18-00307.80] 然后这就是形容出发决定
[00307.80-00309.14] 说下面写上日期和多款
[00309.14-00311.02] 还有我们所说的机关
[00311.02-00311.54] 对吧
[00311.54-00313.74] 你看在这个形容出发决定出当中
[00313.74-00315.02] 我给你这个出发
[00315.02-00316.16] 他属于什么行为
[00316.16-00317.66] 他属于具体行为行为
[00317.66-00319.74] 但在这个行动处发决定说
[00319.74-00321.12] 这个具体行动行为当中
[00321.12-00322.06] 我写了一条
[00322.06-00324.42] 说一句真管理处发法
[00324.42-00325.54] 第多少条
[00325.54-00326.54] 我只安管理处发条
[00326.54-00327.70] 立对多少条
[00327.70-00329.74] 我去急于你相当的行动处发
[00329.74-00331.46] 这是不是我处发你的法律
[00331.46-00332.26] 一句
[00332.26-00333.74] 而这个真管理处发法
