[00000.00-00003.00] 同一瞬好 我是結束新年的解瑞
[00003.00-00007.00] 今天我們就進入法律當中的刑法短塊的學習
[00007.00-00011.00] 那一提到刑法的 我相信在今天大多數的同學對於刑法
[00011.00-00014.00] 這個詞會來說 他其實都有一定的了解的
[00014.00-00016.00] 對吧 一方面是我們在生活當中
[00016.00-00018.00] 總會聽到各種各樣的法律
[00018.00-00021.00] 對不對 提到法律大家就能想到什麼名法
[00021.00-00023.00] 刑法 那他不知道其中的內容
[00023.00-00027.00] 你最起碼也會對於這個法律規範性文件
[00027.00-00028.48] 会有一定的感觉
[00028.48-00028.80] 对吧
[00028.80-00029.60] 因为我们都知道
[00029.60-00030.48] 你不能出现型化
[00030.48-00031.64] 穿性化是分岁了
[00031.64-00032.64] 另外一个方面
[00032.64-00034.24] 就是在现在的今天
[00034.24-00036.52] 由于科技网络的这样的一个发展
[00036.52-00038.68] 其实针对于这种普及性支持
[00038.68-00039.72] 在日常生活当中
[00039.72-00041.72] 开展的也会特别特别多
[00041.72-00042.28] 你比如说
[00042.28-00043.72] 在型化普及当中
[00043.72-00045.08] 有一个非常赵的人物
[00045.08-00046.32] 我们就不得不提了
[00046.32-00048.52] 就是法外狂徒张三
[00048.52-00049.52] 也就是我们所说的
[00049.52-00050.68] 罗晓老师
[00050.68-00052.52] 罗晓老师通过他的奖解
[00052.52-00053.92] 通过他的驻作
[00053.92-00055.16] 直接把这个型法
[00055.16-00056.76] 在我们生活当中的普及
[00056.76-00058.76] 起到了一个非常大的一个推动作用
[00058.76-00061.52] 那今天我们就从另外一个角度
[00061.52-00063.24] 我们来从考试的角度
[00063.24-00064.80] 来从世界单位考试
[00064.80-00065.92] 三十一副考试等等
[00065.92-00068.48] 这些设计到法律了一个公职类的考试当中
[00068.48-00069.48] 我们来看一看
[00069.48-00071.68] 我们在考试当中的形法
[00071.68-00073.00] 应该怎么去学习
[00073.00-00074.68] 它会重点抗点些
[00074.68-00076.24] 那其实一说到形法呢
[00076.24-00078.24] 我们是要对形法的整个框架
[00078.24-00079.52] 有一个了解
[00079.52-00080.60] 形法的框架
[00080.60-00082.32] 它其实包括两个部分
[00082.32-00085.40] 那那怕是我们在整个形法
[00085.40-00085.80] 或形法
[00085.80-00087.40] 充着按辜入都能看到
[00087.40-00089.56] 他非常明确的分成两个部分
[00089.56-00092.28] 第一个就叫做刑法的总论
[00092.28-00095.00] 第二个部分就叫做刑法的分论
[00095.00-00096.84] 说到刑法的总论
[00096.84-00098.92] 首先第一个我们就要知道刑法
[00098.92-00100.40] 他主要针对的是什么
[00100.40-00101.60] 大家应该明确
[00101.60-00104.80] 刑法针对的是犯罪刑围
[00104.80-00106.52] 而不同的犯罪刑围
[00106.52-00108.56] 他会侵犯不同的法意
[00108.56-00110.44] 从而产生不同的罪名
[00110.44-00112.52] 那他如果是失了不同的犯罪刑围
[00112.52-00113.88] 够成了不同的犯罪
[00113.88-00117.72] 那我们要给他定于什么样的成法才能热制
[00117.72-00119.24] 或者是打击中犯罪
[00119.24-00122.40] 所以在这里面我们从形法的干书当中
[00122.40-00124.72] 其实就是抓住了两个核心的词
