[00000.00-00005.38] 聊件了新法的構成以及他每個內容如何去考察之後呢
[00005.38-00008.18] 正是進入到具體內容的學習
[00008.18-00012.54] 我們先來看一下在新法當中第一個內容就叫做新法的概數
[00012.54-00015.36] 新法跟收到我們要給大家講三個問題
[00015.36-00018.96] 第一個就要從概念上去定義到底什麼事情
[00018.96-00020.98] 新法我們要了解新法的概念
[00020.98-00024.32] 但是新法的概念一般沒有考察的點了解之客
[00024.32-00026.04] 第二個我們就要知道
[00026.04-00028.72] 行法他借相对来说是比较严厉的
[00028.72-00029.12] 对吧
[00029.12-00030.48] 因为一般情况下我们提到
[00030.48-00031.72] 有时候故意杀人
[00031.72-00034.28] 那么要怕有气无气或者是死刑
[00034.28-00035.72] 那如果是强节
[00035.72-00037.24] 都气强度
[00037.24-00038.88] 他其实都会出现
[00038.88-00041.20] 多多人的自由的这样的一个情况
[00041.20-00042.76] 那我们都知道行
[00042.76-00044.96] 他这个字就是从刀开始
[00044.96-00047.12] 从谁开刀就是拿人开刀
[00047.12-00048.12] 那开刀的话
[00048.12-00048.96] 这种情况之下
[00048.96-00049.92] 都知道行法
[00049.92-00051.36] 就是非常的严厉
[00051.36-00053.40] 所以行法如果在实施过程当中
[00053.40-00054.56] 非常严厉的话
[00054.56-00062.02] 我们在室友形法当中,就一定要甚至用是交给形法的室友,就规定一些原则。
[00062.02-00065.32] 这种情况下就会出现形法的基本原则。
[00065.32-00072.70] 形法的基本原则大家注意,在考试当中,它经常会考察理解形和实际形体目并存的情况。
[00072.70-00079.16] 如果考理解形的体目,相对来说,出会给你感恩力,然后问,
[00079.16-00083.36] 这个案例体现的是刑法的基本原则当中的哪一个
[00083.36-00087.36] 这个就是我们所说的基本原则他的立警体目考察
[00087.36-00088.44] 这个例子来说
[00088.44-00092.36] 比如说我们经常提到说一个人因为故意杀人罪他被判了
[00092.36-00093.96] 我们所说的武器兔刑
[00093.96-00096.04] 一个人那因为到现在他被判了
[00096.04-00097.36] 武器兔刑多少年
[00097.36-00099.88] 然后说了不同的分罪
[00099.88-00102.08] 这是用不同的刑法
[00102.08-00104.76] 在这种情况之下体现的是刑法
[00104.76-00106.36] 基本原则当中的哪一个
[00106.36-00112.24] 那这里面就会给到我们这种考察的方式就是理解性的题目
[00112.24-00116.20] 另外一种考察的方式就是在这里面它会考实际
[00116.20-00120.44] 就是问以下属于或者是不属于新化基本原则的事
[00120.44-00122.92] 那在这里面就会考察到这两个电
[00122.92-00127.88] 所以在这个地方大家明确一个是理解一个就是要把它背下来
[00127.88-00131.72] 那新化的基本原则当中其实考理解性题目会偏多
[00131.72-00134.28] 这是第二个叫形化的基本原则
[00134.28-00136.84] 第三个叫形化的使用
[00136.84-00138.84] 我们都知道形化形化
[00138.84-00140.92] 它的使用要適当的一些范围
[00140.92-00142.72] 这是哪些行为的发生
[00142.72-00145.20] 它是用于中华人民共产国形化呢
[00145.20-00148.64] 这时候我们就要知道形化它在哪些地方使用
[00148.64-00151.88] 这个就被称之为叫形化的空间效率
[00151.88-00154.08] 行为的空间效率有四种情况
