[00000.00-00003.34] 好 那我们今日来看一下 犯罪论郎中的最后一个问题
[00003.34-00005.26] 我们在整个犯罪论郎中
[00005.26-00008.26] 我们先去讲了 什么是犯罪 去犯罪够成
[00008.26-00011.66] 然后呢 我们又提到 我们说出现哪些行为
[00011.66-00014.74] 它没有引起实施上的危险可以组确 客官犯罪
[00014.74-00019.08] 所以在这里面呢 我又讲了犯罪排除市油 这种防疫和警惧避险
[00019.08-00022.08] 然后犯罪 水的时间的推移会在时间上
[00022.08-00023.88] 呈现不同的状态
[00023.88-00026.88] 这个时候就要犯罪形态 那这个是在时间上
[00026.88-00030.92] 那我们前面都讲完了之后我们接下来看一下关于分最论的最后一个问题
[00030.92-00035.28] 就是在我们所说的这个犯罪他在空间上的分布问题
[00035.28-00036.88] 那这个在空间上的分布呢
[00036.88-00039.88] 我就把它称之为叫做共同犯罪
[00039.88-00042.36] 那么来看一下关于共同犯罪的内容
[00042.36-00046.04] 那提到共同犯罪首先第一个我们要从宏观上来看一下
[00046.04-00049.60] 我们要在共同犯罪这一个内容里面讲到哪些
[00049.60-00052.60] 第一个我们要了解到底什么叫做共同犯罪
[00052.60-00054.48] 共同犯罪在咱们考试当中
[00054.48-00056.60] 他要求的成立条件是什么
[00056.60-00058.90] 那是第一個為共同犯罪的概數
[00058.90-00061.00] 第二個我們要知道共同犯罪
[00061.00-00062.80] 接著是在空間上的分布
[00062.80-00064.00] 它可能會適應到
[00064.00-00065.80] 堅固到分工等等問題
[00065.80-00067.00] 那這個時候我們要知道
[00067.00-00068.60] 我們所說的共同犯罪
[00068.60-00070.10] 也就常說的共犯了
[00070.10-00071.40] 它包括哪些
[00071.40-00072.70] 那這是第一個
[00072.70-00074.80] 第二個如果它是共犯的話
[00074.80-00077.20] 那它在進行形式處罰的時候
[00077.20-00078.80] 我們如何記不太相當處罰
[00078.80-00080.00] 那第二個大的問題
[00080.00-00081.30] 我們就要去瞭解一下
[00081.30-00083.50] 我們所說的分類以及處罰
[00083.50-00085.90] 那整個考察形式上大住一下
[00085.90-00089.62] 共同犯罪的成立条件是一个两星期的理解性的点
[00089.62-00091.38] 因为他经常会考一些案例
[00091.38-00094.54] 同时在这些案例当中会考察一些混晓的项
[00094.54-00097.90] 比如说在这里我们要讲他的条件当中会提到
[00097.90-00101.26] 说共同犯罪是两人以上共同故意犯罪
[00101.26-00103.26] 如果不是共同故意
[00103.26-00105.90] 这个时候如果出现了我们所说的什么事情
[00105.90-00108.10] 帮而是后帮等等这些新战的情况
[00108.10-00109.86] 接接症犯没有意思连落
[00109.86-00111.46] 那我们应该如何去考量他
[00111.46-00114.10] 所以在这个地方会出理解性的体目
[00114.10-00115.90] 所以在这里大家要注意一下
[00115.90-00118.70] 而到后面它的分类继续处罚这个地方
[00118.70-00121.78] 它一般请外交会出是实际性的题目
[00121.78-00124.34] 这个地方在实际性的题目考察的时候
[00124.34-00127.42] 一般撤重的是综合和细节性的考察
[00127.42-00131.62] 那所有的综合性考察就是以下关于共饭受法正确或错误的事
[00131.62-00133.66] 那第二个就是在细节处的考察
[00133.66-00135.86] 它就会会考到特别详细的
[00135.86-00138.18] 比如说类似于包含于背另的关系
[00138.18-00140.98] 比如说我们在讲主饭当中会呆讲到
[00140.98-00143.10] 主饭它其实包括两种情况
[00143.10-00147.02] 一个是组织领导翻译集团进行犯罪活动的手奋子
[00147.02-00152.54] 一个是除刚才那一个犯罪活动之外的其主要做的犯罪分子
[00152.54-00156.74] 那这个时候就可以把主办和犯罪分子进行相当混乡
[00156.74-00159.34] 它会考察一些细节上的一些基本概念
[00159.34-00161.90] 所以这个地方跟家撤重的是被送
[00161.90-00166.38] 所以上面的撤重理解下面撤重要求扎实的去实际
[00166.38-00169.58] 好,那这是在整个供奋当中同学们需要掌握的
[00169.58-00172.58] 他的一个大的框架以及他的考察方式
[00172.58-00173.58] 那么首先来看一下
[00173.58-00176.58] 第一个叫共犯以及共同犯罪他的概念
[00176.58-00179.58] 他说共同犯罪是两人以上共同故意犯罪
[00179.58-00181.58] 我们经常会看到比如说经常
[00181.58-00184.58] 我们再去看什么司法审判
[00184.58-00185.58] 看停时的时候他总会去的
[00185.58-00186.58] 看到什么呢
[00186.58-00187.58] 团火专的情况
[00187.58-00189.58] 我和我的好朋友一起商量
[00189.58-00191.58] 入世道歉一家人
[00191.58-00194.58] 那在整个我们实行犯罪的过程当中
[00194.58-00196.58] 我说我进去圈门道所拿东西
[00196.58-00197.58] 你在门口中放风
[00197.58-00200.40] 那他其实对我起到里丢的相当的什么
[00200.40-00201.92] 帮付作帮助作用
[00201.92-00204.06] 是我两个共同去完成了这件事情
[00204.06-00204.56] 对吧
[00204.56-00206.28] 从这个层位上来说
[00206.28-00207.82] 我们两个其实就属于什么
[00207.82-00208.84] 共同犯罪
[00208.84-00210.64] 但是这是从案例的感觉上
[00210.64-00212.58] 我一说大家就会有这样的一个感觉
[00212.58-00213.58] 就该得到了说
[00213.58-00214.88] 这就是共同犯罪
[00214.88-00216.52] 但是小成立共同犯罪
[00216.52-00217.48] 它的条件
[00217.48-00219.20] 相对来说还是比较严格的
[00219.20-00221.08] 我们来看一下具体的内容
[00221.08-00223.80] 就是成立共同犯罪它的条件
[00223.80-00224.66] 实际上第一个
[00224.66-00226.80] 在共同犯罪当中共同共同
[00226.80-00228.28] 你一个人就单独了
[00228.28-00228.48] 对吧
[00228.48-00231.16] 所以共同他在主体上要求什么呢
[00231.16-00232.48] 同时再出场坏下
[00232.48-00234.12] 共同犯罪的主体
[00234.96-00238.04] 他必须是两个以上的
[00238.04-00241.28] 达到形式责任年龄形式责任能力的人或者是单位
[00241.28-00242.52] 所以首先共同犯罪
[00242.52-00244.12] 应该是两人其两人以上
[00244.12-00246.16] 你一个人只能不能叫共同犯罪
[00246.16-00246.40] 对吧
[00246.40-00248.16] 这个是相对来说比较简单的
[00248.16-00249.28] 所以同们把它话出来
[00249.28-00250.40] 共同犯罪的条件
[00250.40-00252.00] 第一个两人以上
[00252.00-00253.92] 第二个叫做两人以上
[00253.92-00255.36] 共同故意犯罪
[00255.36-00259.08] 所以在这里面第二个条件就是意思表示条件上
[00259.08-00265.60] 他说构成共同犯罪必须两人以上花一下具有共同的犯罪故意
[00265.60-00269.46] 后面说了说共同人军有犯罪故意且共同人
[00269.46-00272.20] 共犯人直接有相顾协作的意思联系
[00272.20-00276.32] 把这个话出来所以第二个大家注意一下是共同故意犯罪
[00276.32-00280.56] 那如果是一个是故意一个是过失能不能成立共同犯罪
[00280.56-00282.28] 大家注意一下这就不行了
[00282.28-00287.40] 因为他在我们所说的主观要介绍要求是共同故意犯罪
[00287.40-00289.24] 也就是说他包含两层含意
[00289.24-00292.52] 第一个就是各个共犯人对共同犯罪的性质
[00292.52-00294.52] 持有共同故意的心态
[00294.52-00298.68] 也是我们都是要追求到去 到去财务的
[00298.68-00299.64] 这样一个要求
[00299.64-00303.32] 第二个就是我们要求共同犯罪人之间
[00303.32-00305.48] 他要要求有什么意思连落
[00305.48-00309.80] 只是有关于共犯成立他的要件上
[00309.80-00313.84] 也就是它是不是要求完全故意的那种是不是完全相同
[00313.84-00316.00] 它其实是一个观点展示
[00316.00-00318.56] 这是我们在考法术也好
[00318.56-00319.66] 在考试的位置
[00319.66-00321.62] 在考我们所说的法考也好
[00321.62-00324.72] 它其实在共同犯罪成立上其实有三种
[00324.72-00327.60] 学说的第一种叫完全犯罪共同说
[00327.60-00329.52] 完全犯罪共同说的是什么呢
[00329.52-00331.74] 要求我们两个实行的行为
[00331.74-00333.06] 必须是一模一样的
[00333.06-00335.20] 比如说都是共同
[00335.20-00336.24] 就是道歉嘛
[00336.24-00336.64] 对吧
[00336.64-00338.40] 第一个要求我们的实行行为
[00338.40-00341.08] 完全相同 客观行为上是完全相同的
[00341.08-00342.74] 比如说 在这个地方
[00342.74-00344.32] 我们两个都是去翻道气嘴
[00344.32-00346.44] 我们两个都是去翻走私独品嘴
[00346.44-00347.64] 要求行为一样
[00347.64-00351.08] 那第二个呢就是故意的内容是完全相同的
[00351.08-00353.04] 就是我们两个都是为了道气
[00353.04-00354.92] 这个叫完全翻嘴公统说
[00354.92-00357.32] 所以它所触犯的罪名也是相同的
[00357.32-00360.48] 那还有一种说法呢叫做部分翻嘴公统说
[00360.48-00361.52] 不能翻嘴公统说呢
[00361.52-00363.92] 这说不要求咱们两个行为是完全一样的
[00363.92-00365.48] 行为只要部分相同
[00365.48-00368.70] 然后在主要加上内容也是部分相同就行了
[00368.70-00374.48] 所以在部分犯罪共同说当中可以是成立不同的罪名的
[00374.48-00376.54] 而最后一个就是行为共同说了
[00376.54-00380.40] 行为共同说主要就是在法考当中经常会出现
[00380.40-00382.74] 说咱们两个的行为可以是部分相同的
[00382.74-00384.40] 只要有意思连落机客
[00384.40-00386.56] 这个说可以触犯不同的罪名
[00386.56-00389.52] 我们在考试当中它不会考得这么细
[00389.52-00391.82] 它可在考试当中你只需要记住一个点
