[00000.00-00006.28] 我们接着来看有关于第七个明确当中的第2个部分就是我们经常提到的三星
[00006.28-00009.48] 这三星我们前面给大家说过叫新发展阶段
[00009.48-00012.72] 新发展理念以及我们所提到的新发展格局
[00012.72-00016.24] 我们把它捅成为新的话国家的战略导项
[00016.24-00020.28] 所以在这里消单明确的第1个考点就是它如果提到三星
[00020.28-00021.96] 你要知道是哪三星
[00021.96-00026.68] 或者它在提到的哪种提到说我们要玩上一个新的话国家的战略导项
[00026.68-00029.12] 你大概要知道它红外上要说一些什么
[00029.12-00031.94] 那这三星的内容其实有一个是我们讲过的
[00031.94-00034.76] 我们讲过的这个就是新发展阶段
[00034.76-00038.84] 我们在前面给大家讲中国特色受主意进入到新时代的时候
[00038.84-00042.18] 我们讲了新时代它是在二人一二年的时候不入的
[00042.18-00045.00] 然后我们就讲了它有没有快乐
[00045.00-00047.56] 我们所说的受主触阶段没有
[00047.56-00051.40] 随着新时代不断的发展就自二人一二年以来
[00051.40-00056.00] 中国经济实力中国的基础设施建设能力等等各项能力
[00056.00-00058.00] 都有所谓的月生
[00058.00-00061.00] 然后我们又进入到了一个新的发展阶段
[00061.00-00063.00] 所以这是我们所说的新发阶段
[00063.00-00064.00] 它的一个背景
[00064.00-00065.00] 它具体的内容
[00065.00-00067.00] 其实我们在前面已经给大家去讲到过了
[00067.00-00069.00] 但是新发展阶段
[00069.00-00071.00] 它其实是相当于一个新的背景
[00071.00-00072.00] 而在新发展阶段
[00072.00-00074.00] 它想要实现经济的发展
[00074.00-00077.00] 它就必须有一个新的理念来
[00077.00-00079.00] 也认为新的理念
[00079.00-00080.00] 就叫做什么
[00080.00-00082.00] 就叫做新发展理念
[00082.00-00084.00] 新发展理念在这里
[00084.00-00086.40] 中共有五个烧同学就给个记住啊
[00086.40-00090.72] 这五个分别是创新协调绿色开放共享
[00090.72-00092.84] 但是考试的时候呢可不单单
[00092.84-00095.20] 减减只是会考我们所说的什么
[00095.20-00096.48] 这五个内容是什么
[00096.48-00098.92] 他可能考的相对来说更深层自一些
[00098.92-00101.12] 所以在新发展里面这一块大注意下
[00101.12-00103.64] 他考试第一个考实跡形的题目
[00103.64-00105.80] 实跡形就是问新发里面有哪些
[00105.80-00107.44] 这是最基础形的考察
[00107.44-00110.56] 第二种呢就是针对每一个发展的里面
[00110.56-00112.16] 考察它的一些细节
[00112.16-00115.04] 所以在实际上就是第一个红官上考察
[00115.04-00117.08] 这是你最起码要知道有哪些
[00119.12-00121.60] 第二个就是在这里面的考察当中
[00121.60-00123.20] 它会有一些微观上的考察
[00123.20-00125.64] 就是考比如说创新
[00125.64-00127.20] 它解决的是发展什么问题
[00127.20-00128.64] 创新处在一个什么样的地位
[00128.64-00130.48] 它会考察一些细节
[00130.48-00134.08] 那这个是在它考实际上提目的时候考的
[00134.08-00136.00] 那它也会考一些理解行的题目
[00136.00-00137.96] 理解行的题目也有两个角度
[00137.96-00139.08] 第一个考案例
[00139.08-00141.80] 这个案例在考试当中经常会考到
[00141.80-00145.92] 比如说他给到一家里说我们不断地去玩善和推动
[00145.92-00147.60] 我们国家的科技创新
[00147.60-00149.36] 那他为什么要完成推动可以创新
[00149.36-00151.92] 这表明了新发展里面当中的哪一个
[00151.92-00153.76] 那这个时候就会给你一家里
[00153.76-00157.16] 让你把案例往我们所说的新发展里面里面
[00157.16-00159.00] 去贴贺这是一种考法
[00159.00-00160.76] 第二个考英用
[00160.76-00162.32] 说老师什么叫英用呢
[00162.32-00165.28] 就是我们把新发展里面给他吃透了之后
[00165.28-00171.24] 然后他会考以下关于新发展里面说法正确或者是错误的事
[00171.24-00173.34] 你比如说在之前考规道题
[00173.34-00175.32] 然后这套题目当时说的就是
[00175.32-00178.46] 说新发展理念是针对我国发展面临的
[00178.46-00181.58] 突出问题和挑战提出来的战略运动
[00181.58-00185.70] 然后问以下关于新发展理念是认识正确的
[00185.70-00188.34] 是 这套题是当年考虑到多选题
[00188.34-00189.68] 然后他就给到了说
[00189.68-00191.68] 新发展理念以为写入室法
[00191.68-00194.24] 是党的哪一次会议当中提出的
[00194.24-00195.96] 他就会考一个这样的题目
[00195.96-00199.34] 所以整个新发展理念无论是从他考察的难度
[00199.34-00201.94] 還從他考察到多元化的角度來看
[00201.94-00203.50] 相對來說都會廣一些
[00203.50-00205.26] 所以在這裡面大家要知道
[00205.82-00207.38] 這是新發展裡面
[00207.38-00209.18] 最後一個就是新發展
[00209.18-00209.58] 各舉
[00209.58-00210.30] 新發展各舉
[00210.30-00211.10] 咱們最後講
[00211.10-00212.38] 我們先來看一看
[00212.38-00214.58] 有關於新發展裡面的具體內含
[00214.58-00217.62] 同學們在我給大家留白的這個獎役當中
[00217.62-00219.10] 把它找到這個框框
[00219.10-00220.50] 未來化了一塊對吧
[00220.50-00221.58] 叫既然是數主義
[00221.58-00223.02] 現在化國家的戰略島項
[00223.02-00224.54] 也就是我們所提到的
[00224.54-00226.94] 三星的新發展階段
[00226.94-00227.78] 咱不說了
[00227.78-00229.14] 前面說得太多了
[00229.14-00232.54] 咱们直接来进入新发展理念的学习
[00235.14-00237.54] 他们来看一下这个新发展理念
[00237.54-00239.14] 他包括哪些内容呢
[00239.14-00242.02] 第一个就是我们所说的叫做创新
[00243.14-00245.34] 第二个是协调
[00246.74-00248.34] 第三个绿色
[00250.14-00251.54] 第四个开放
[00252.14-00255.54] 然后最后一个是我们所提到的叫做功行
[00255.54-00258.94] 那么就主意来看一下首先第一个我们来看一下创新
[00258.94-00263.14] 创新它其实考两个角度如果是就细节来看的话
[00263.14-00268.54] 人第一个我们必须要明确创新它是什么地位在新发展领令当中
[00268.54-00274.14] 大主要创新在新发展领令当中叫做引领发展的第一动力
[00275.54-00279.74] 你先写在旁边叫引领发展的第一动力
[00279.74-00281.84] 那它既然是第一动力的话
[00281.84-00283.84] 那创新要解决的就是什么问题
[00283.84-00286.84] 创新要解决的就是发展的动力问题
[00286.84-00295.48] 画个箭头,你先写下来我们解释解决发展的动力问题
[00299.08-00301.56] 好,这个就是我们所提到的创新
[00301.56-00306.40] 那么来看一下,它具体怎么说的,创新是引领发展的第一动力
[00306.40-00312.04] 那同没有知道所谓的第一动力,它其实和我们前面所提到的什么,改革
[00312.04-00314.04] 还有一点不太一样对不对
[00314.04-00317.14] 我们说了改革也是一类国家发展的动力
[00317.14-00319.14] 所以改革一般请要被称之为叫做什么
[00319.14-00320.44] 叫做重要动力
[00320.44-00321.96] 所以在这里面大家注意
[00321.96-00324.04] 推动国家发展的动力
[00324.04-00326.04] 就是就政治和中特部分来说
[00326.04-00327.34] 我们一般讲两个
[00327.34-00329.14] 一个是创新一个是改革
[00329.14-00330.54] 你一定要记住它的地位
[00330.54-00332.64] 就是创新是影理发展的什么动力
[00332.64-00333.34] 第一动力
[00333.34-00336.34] 如果它在这里说创新是一类发展的重要动力
[00336.34-00337.34] 众说法对不对
[00337.34-00338.14] 就不对了
[00338.14-00341.34] 所以在这里面大家一定要做一个简单的区分
[00341.34-00345.68] 所以在这里我先把这个区分点给他写上
[00345.68-00348.66] 为什么创新是英雄发展的第一动命
