[00000.00-00003.58] 好,我們看完了形法總論之後呢
[00003.58-00005.46] 今天我們就來看一下第二個部分
[00005.46-00006.90] 那就是形法分論
[00006.90-00008.44] 那其實說到形法分論呢
[00008.44-00009.72] 一般在考試的時候
[00009.72-00012.16] 他的考察其實非常的單一的
[00012.16-00013.32] 就是相對來說呢
[00013.32-00014.46] 他會給你一個案例
[00014.46-00016.40] 然後通過這個案例問你
[00016.40-00018.68] 他構成什麼樣的罪名
[00018.68-00020.00] 我們前面其實說了
[00020.00-00020.74] 形法呢
[00020.74-00022.80] 他主要針對的是犯罪行為
[00022.80-00024.84] 所以我們判斷他到底是否構成
[00024.84-00026.72] A罪還是構成B罪
[00026.72-00028.00] 就看他的什麼
[00028.00-00029.70] 構成要件就可以了
[00029.70-00033.10] 如果他符合A罪的过程要件,那么他犯了就是A罪
[00033.10-00035.80] 如果他符合B罪的过程要件,那就是B罪
[00035.80-00039.90] 所以针对于刑法分裂,我们在这学习的思路和刑法总论
[00039.90-00041.50] 他就会有一点点不同
[00041.50-00044.70] 刑法总论呢,我们要去发觉细节理解细节
[00044.70-00048.70] 然后掌握框架,而刑法分论呢,我们在这里要去掌握的
[00048.70-00052.30] 其实是我们所说的每一个罪名,他的刑为模型
[00052.30-00056.30] 你掌握他的刑为模型,通过这个模型啊,往按离当中去带
[00056.30-00063.72] 那这种情况之下,我们如果应对的是理解行的案例行的题目的话,那他就不会出现太大的问题
[00063.72-00071.02] 好,那这是刑法分论,大家也知道,刑法分论是一刀的罪名非常多,我们在这里没有办法主意给大家讲解
[00071.02-00082.14] 所以给大家呈现的,这是我们在考试当中,大部分地区可能都会考察的,然后同学们再去理解当中存在一些问题的,这样的一些罪名,我们主重来给大家去讲解
[00082.14-00085.90] 首先看一下形法分论当中的第一个大罪名
[00085.90-00087.94] 第一类不能说第一个
[00087.94-00090.90] 第一类大的罪名就是微害公共安全罪
[00090.90-00093.34] 微害公共安全罪的罪名非常多
[00093.34-00095.22] 我们在这两个大家讲两个
[00095.22-00099.14] 一个就是我们所说的交通行犯罪当中的交通兆制罪
[00099.14-00102.58] 还有一个就是要给大家去讲解一下微显价事罪
[00102.58-00106.14] 首先看一下第一个就是交通兆制罪
[00106.34-00108.06] 交通兆制罪的情况
[00108.06-00109.54] 在日常生活当中
[00109.54-00111.02] 非常的常见对完比
[00111.02-00112.54] 说你闯个红灯啊
[00112.54-00114.42] 或者说在那个
[00114.42-00115.78] 我们所说的人行到什么
[00115.78-00118.22] 明明人行通道的那个灯已经是红色了
[00118.22-00119.22] 我闯个红灯
[00119.22-00120.58] 然后这个时候不小心
[00120.58-00123.22] 有一个车把过往的行人给碰到了
[00123.22-00124.38] 那这种情况之下
[00124.38-00126.70] 他到底能不能过程交通照示罪
[00126.70-00127.90] 那就要看行法
[00127.90-00129.42] 他具体是如何规定的
[00129.42-00132.42] 交通照示罪和交通照示行为
[00132.42-00133.82] 他完全是两个概念
[00133.82-00135.90] 如果他没有出犯到行法
[00135.90-00137.38] 他就没有办法入罪的
[00137.38-00139.34] 那这个时候你只是为反了交通
[00139.50-00141.14] 道路管理相关的规定
[00141.14-00143.18] 接受相当的行政处发就行了
[00143.34-00146.14] 但是如果引发了相当的实害结果
[00146.14-00148.50] 造成了相当危险出现的话
[00148.62-00150.26] 那这个时候我们说了
[00150.26-00151.74] 他进行的处发
[00151.74-00153.66] 如果经济进行的处发的话
[00153.66-00154.94] 那就相当人数比较轻了
[00154.94-00156.94] 所以在交通招式这一块
[00156.94-00158.98] 如果他的实害结果非常严重的话
[00158.98-00160.90] 在行法当中就入了什么
[00160.90-00161.90] 就入罪了
[00161.90-00163.30] 所以我们还是那个概念
[00163.30-00164.38] 为法和犯罪
[00164.38-00165.42] 他其实不一样的
[00165.42-00166.50] 这个一定要去分
[00166.50-00168.34] 那我們來看一下交通照時最
[00168.34-00169.74] 他在這裡是如何說的
[00169.74-00170.86] 都是刑反
[00171.42-00173.06] 133條規定了
[00173.06-00176.18] 他說違反交通運輸管理法規
[00176.18-00178.30] 12發生重大事故
[00178.30-00179.70] 只能重傷死亡
[00179.70-00182.10] 或者是公司
[00182.10-00184.30] 或者是公司財產
[00184.30-00185.86] 遭受重大損失處
[00185.86-00187.98] 3月1下有期徒刑或者是居議
[00187.98-00191.74] 交通運輸照時頭一或者有其他特別熱烈情景的
[00191.74-00193.78] 處3月1上7月1下有期徒刑
[00193.78-00195.46] 您討議支援死亡的
[00195.46-00197.46] 處親眼以上有趣圖形
[00197.46-00199.62] 那也就是說在交通照片
[00199.62-00200.98] 照片最當中
[00200.98-00202.98] 我們可以清晰的能夠看得出來
[00202.98-00205.22] 他規定了極容情況出現
[00205.22-00206.74] 交通照片最
[00206.74-00209.30] 他其實是規定了三種情況出現
[00209.30-00211.14] 這三種情況分別是第一個
[00211.14-00212.98] 英交通照片發生重大事故
[00212.98-00215.14] 真是重傷或者是死亡的
[00215.14-00216.82] 比如說在高速公路上
[00216.82-00217.86] 等等對不對
[00217.86-00218.98] 然後不小心
[00218.98-00220.26] 造成了幾人重傷
[00220.26-00220.90] 檢視死亡
[00220.90-00222.02] 像這種特大重傷事故
[00222.02-00223.22] 咱們也經常能夠看到
[00223.22-00223.72] 对吧
[00223.72-00228.60] 就是在日常的大家去学习驾驶的过程当中总会睡到这个方面
[00228.60-00230.72] 那这个时候就要第一种情况
[00230.72-00233.36] 第二种情况叫交通照示后讨议
[00233.36-00235.92] 你是为了讨议反律追究而讨访
[00235.92-00237.98] 那这时候过程交通照示最
[00237.98-00240.42] 第三一个是因讨议之人死亡的
[00240.42-00241.42] 但是考试的时候
[00241.42-00243.36] 今天只知道这三种情况
[00243.36-00245.20] 不足以帮我们用对考试
[00245.20-00247.10] 我们要知道交通照示最
[00247.10-00249.24] 它本身是一个过失犯罪
[00252.24-00253.12] 辣注意
[00253.12-00254.40] 交通照示罪
[00254.40-00255.92] 他本身是过失犯罪
[00255.92-00257.28] 也就是对于他的行为
[00257.28-00259.20] 他是交通照示行为
[00259.20-00260.88] 他本身是一个过失行为
[00260.88-00262.96] 这个点大家是一定要明确的
[00262.96-00264.00] 那么就来看一下
[00264.00-00265.68] 这个交通照示罪
[00265.68-00268.08] 他到底符合什么样的过程要件
[00268.08-00270.88] 我们才能够认定他是交通照示罪
[00270.88-00273.60] 我们来把这个法条进行一个拆解
[00273.60-00274.88] 交通照示
[00274.88-00276.64] 我们所说的这个犯罪的话
[00276.64-00279.36] 他其实是分成三个行为模型的
[00279.36-00280.56] 第一个行为模型的
[00280.56-00282.56] 就是我们所说的基础的
[00283.12-00288.12] 给他标注在你的讲异的任何一个地方就可以了
[00288.12-00291.12] 第一个呢就是我们所说的基础形儿
[00296.12-00298.12] 这就是我们所说的基本的
[00298.12-00300.12] 我就不能说基础形儿了
[00300.12-00302.12] 这是我们所说的第一种情况
[00302.12-00304.12] 这是非常常见的在这上生活当中
[00304.12-00307.12] 比较常见比较多的这种交通招式最大的过程
[00307.12-00311.12] 我们就把它称着为交通基础的交通招式最好吧
