[00000.00-00002.32] 同一番好 我是杰瑞老师
[00002.32-00005.64] 今天我们就要进入到文学知识的学习了
[00005.64-00009.24] 我们在整个文学知识在这里要着中给大家讲两个部分
[00009.24-00012.84] 第1个部分就是要给同们讲一讲示文理的人间煙火
[00012.84-00015.56] 来聊一聊中国古代的文学题材
[00015.56-00019.80] 我们经常会听到叫唐师送词原曲和明清小说
[00019.80-00022.96] 我们要给同们着中去讲一讲这里面的师词曲
[00022.96-00023.88] 还有小说
[00023.88-00027.92] 他的演变他的代表人物以及他所包含的具体内容
[00027.92-00031.60] 而这些内容也是我们在考试当中经常会遇见的
[00031.60-00033.80] 那第二个部分我们要给大家去聊聊
[00033.80-00035.24] 旧人叫《失化中国》嘛
[00035.24-00037.56] 讲完了实之后还给同一面讲一讲
[00037.56-00039.16] 我们所说的国务化
[00039.16-00040.12] 而这个话呢
[00040.12-00042.08] 它其实是中国国粹的代表
[00042.08-00043.12] 所以在这里呢
[00043.12-00044.20] 会同一讲一讲
[00044.20-00046.20] 国粹当中的垂餐山河
[00046.20-00047.24] 要给同一面去聊聊
[00047.24-00048.92] 我们国家的三大国粹
[00048.92-00051.32] 包括我们所说的中一国务化
[00051.32-00053.00] 还有整个细绪部分
[00053.00-00056.88] 那么先来看一下第一个部分就是十文里的人间煙火
[00056.88-00061.76] 那么先来看一下第一个就是常见的中国古代的文学体裁包括那些
[00061.76-00062.72] 这个点呢
[00062.72-00065.04] 不需要同学们去记忆了解一下就行了
[00065.04-00069.28] 比如说我们常见的师哥从小我们就被过什么离林月上草
[00069.28-00071.44] 小时不时月和俄俄亚
[00071.44-00073.96] 对吧 这是最典型的这样的一个师哥形式
[00073.96-00075.80] 第二个到给同们聊一聊词
[00075.80-00078.56] 我们生活当中也经常会见到很多的词
[00078.56-00080.76] 看到有很多非常欺贝的
[00080.76-00083.70] 比如说两轻若是九长时
[00083.70-00085.32] 尤其在招招目目
[00085.32-00087.16] 也看过比较舒闷的
[00087.16-00088.56] 就是我们常说的
[00088.56-00093.16] 那种左千黄又轻苍老夫聊话 少年黄
[00093.16-00094.32] 就类似于这种子
[00094.32-00096.72] 当然也还看过我们所说的比较怎么样
[00096.72-00099.88] 获打的 主帜忙鞋听声 谁怕
[00099.88-00101.96] 一说 议说 烟雨人平声
[00101.96-00103.60] 那这里面都是我们所说的
[00103.60-00105.32] 送此他的转内容
[00105.32-00107.88] 而不同的时代它就有不同的体材
[00107.88-00110.48] 到了原炒的时候转就是原曲
[00110.48-00112.10] 也就是我们所说的原杂具
[00112.10-00112.88] 那最后呢
[00112.88-00115.04] 就是到明天的时候会有很多小说
[00115.04-00116.98] 那在整个文学体材发展
[00116.98-00119.84] 除了唐师送次原去和明天小说之外呢
[00119.84-00122.12] 其实在心情还有其他的一些文学
[00122.12-00123.08] 或者在汉朝
[00123.08-00124.92] 你看我们经常说了叫做汉富
[00124.92-00125.68] 所以富呢
[00125.68-00127.56] 它也是中国古代的文学体材
[00127.56-00129.68] 而在我们整个公共基础
[00129.68-00131.56] 这是考试当中最喜欢考的
[00131.56-00134.92] 其实还是从唐朝开始各个时代的代表做
[00134.92-00137.56] 那我们就接下来卒重来给大家去讲一讲
[00137.56-00139.92] 唐师送次原去一节
[00139.92-00141.24] 明天小说的那种
[00141.24-00143.00] 那么先来看一下第一个部分
[00143.00-00144.00] 我们先来聊一聊
[00144.00-00144.40] 10哥
[00144.40-00145.36] 我们先来看一下
[00146.24-00147.96] 10哥的传统一发展
[00147.96-00149.04] 其实说到师的
[00149.04-00150.80] 并不是唐朝所特有的
[00150.80-00151.44] 10哥呢
[00151.44-00153.08] 他其实就是书发年
[00153.08-00154.28] 性质的一手
[00154.28-00156.88] 我们所说的这种文学体才而已
[00156.88-00159.24] 比如说我们经常在看小片的时候
[00159.24-00160.76] 大家应该还记得送小风
[00160.76-00162.24] 我记得他演为一个小片
[00162.24-00163.44] 印象特别的深刻
[00163.44-00164.56] 你看他那样的那样的小片当中说
[00164.56-00167.16] 说此情赐节我小阴师一手
[00167.16-00168.92] 那你看只要是性质到了
[00168.92-00170.80] 这时候都有想做师的育望
[00170.80-00171.64] 所以师呢
[00171.64-00174.10] 他就是你说发情感的一个替彩
[00174.10-00175.60] 那在不同的朝代
[00175.60-00178.28] 师他所表达的内容会不一样
[00178.28-00179.80] 所以他演变出来的
[00179.80-00181.60] 具体的内容也叫有所不同
[00181.60-00184.04] 在毛时大序当中有这么一句话
[00184.04-00187.00] 他说师者制之所之言
[00187.00-00189.08] 在西伟制发言为师
[00189.08-00190.52] 就是你内心的想法
[00190.52-00193.58] 护制于外外在的表情是就是我们所说的
[00193.58-00194.44] 师哥
[00194.44-00196.84] 那师哥他的整个的演变的流程
[00196.84-00199.24] 我们说了他并非唐唐所读有
[00199.24-00200.42] 我们就来看
[00200.42-00202.98] 适歌他到底是从什么时候开始用的
[00202.98-00204.62] 我们先来看一下第一个
[00204.62-00206.32] 就是适歌他的源头
[00206.32-00208.10] 说到适歌的源头呢
[00208.62-00211.42] 我们不得不提一个非常有名的诸作
[00211.42-00213.68] 就是我们所说的时间
[00213.68-00217.58] 因为适经它是中国第一步适歌总级
[00217.58-00219.38] 我之前在看了一本书当中
[00219.38-00222.06] 它在这个适经当中的续言写了一本话
[00222.06-00223.90] 玩这个话写的非常非常美
[00223.90-00226.10] 就是每次我再看它这个话的时候
[00226.10-00228.30] 我都会觉得这个事情这个东西
[00228.30-00229.62] 真的是太微美了
[00229.62-00232.10] 就是你想想不到文字的这种优美
[00232.10-00233.46] 它是怎么表达出来的
[00233.46-00234.94] 古人用它的这种文字
