[00000.00-00006.68] 那么今日让我下看,那么说了南北朝之后我们说南北朝并历随堂武改传对吧
[00006.68-00012.52] 所以最后就南朝统一了北朝建立的随朝,而随朝之后呢,有被堂朝搓灭
[00012.52-00014.56] 于是我们就有了我们所说的什么?
[00014.56-00018.28] 迎来了十个发人,一个圣识时期,就是在堂朝
[00018.28-00023.00] 所以我们来看一下,随这时间发展当中的第四个时期,就是堂朝是个
[00023.00-00027.60] 我们都知道唐朝 紫围 出唐 圣唐 中唐 万唐
[00027.60-00033.60] 而在每个不同的时代 或者是不同的时期 它绝都会永远出来不同的事
[00033.60-00038.60] 而于国家的境遇不同 它的适个所表达的情感 也需要所差异的
[00038.60-00041.80] 我们先来看一下 在初唐时期的转代表人物
[00041.80-00045.20] 初唐时期的转代表人物 第一个叫做出唐四节
[00045.20-00050.60] 大家要知道 在整个地方的考察都是考察人物和住座的对应对吧
[00050.60-00054.32] 在这里面说人呆第一个要知道初堂世界4世谁
[00054.32-00055.96] 我们叫做王洋奴陋
[00055.96-00059.08] 王子的是王伯洋子的是洋酒奴
[00059.08-00060.92] 奴照林落职的是落边王
[00060.92-00063.32] 所以我们经常说叫王洋奴陋
[00063.32-00065.32] 第一个带要知道考察一个对应
[00065.32-00066.56] 初堂4节是谁
[00066.56-00068.32] 这个地方特别喜欢考察
[00068.32-00071.44] 他的一个别称称为和他具体人物的对应
[00071.44-00072.40] 只是第一个
[00072.40-00076.04] 第二个就是会在这里考察人物和住座的对应
[00076.04-00077.52] 他都住座在考察的时候
[00077.52-00078.52] 也是两个违度
[00078.52-00083.00] 第一個,靠名稱第二個,要常見,這考衝做的具體內容
[00083.00-00086.92] 比如說在這裡,王伯有什麼?有送渡少夫,支任鼠桌
[00086.92-00089.56] 裡面常見的失去,大家狼狼上口
[00089.56-00091.84] 還內存知幾天,若避聯
[00091.84-00095.16] 或者是我們所說的王伯,他有我們常見的
[00095.16-00099.04] 同王哥,同王高格,林江主,佩玉明輪大歌舞
[00099.04-00104.12] 或者在同王哥當中,落下與故期非,秋水共長天一色
[00104.12-00107.68] 這些都是我們所熟知的,來自用所說的王伯的時
[00107.68-00109.08] 深圳大家必要熟悉的
[00109.08-00111.48] 我在这里为大家去做详细的介绍
[00111.48-00113.28] 就是第一个叫做王国
[00113.28-00116.28] 第二个人就是我们所说的叫做杨韭
[00116.28-00118.68] 杨韭这个人相对来说也是
[00119.48-00120.88] 不能说他悲财很多
[00120.88-00123.68] 但是他的人生过的并没有他想像那么顺随
[00123.68-00124.88] 所以杨韭呢
[00124.88-00126.68] 他很聪明
[00126.68-00128.48] 少年天赋吧
[00128.48-00130.68] 他以前读书的时候在很小的时候
[00130.68-00132.08] 读书就被皇上知道了
[00132.08-00134.88] 比如说像人家王国在几岁读书的时候
[00134.88-00137.48] 他那个时候他就开始领皇了
[00137.48-00138.96] 就是开领官两了
[00138.96-00141.04] 当然皇上就知道杨韧读师特别好
[00141.04-00143.56] 就跟杨韧说说小小小杨韧
[00143.56-00144.52] 你好好读师
[00144.52-00145.60] 读师之后呢
[00145.60-00146.24] 然后以后呢
[00146.24-00147.52] 我让用你做大官
[00147.52-00148.84] 杨韧说说那不行啊
[00148.84-00150.44] 如果我一直怪怪读书的话
[00150.44-00151.20] 那我做不了官
[00151.20-00152.32] 没有办法养会加密
[00152.32-00154.72] 他也想要赚大钱做大官
[00154.72-00156.36] 然后来皇上跟杨韧说
[00156.36-00157.12] 他说要问这样
[00157.12-00159.04] 你怪怪读书每月给你发钱
[00159.04-00160.20] 然后这家好了
[00160.20-00162.56] 再人家还在读三字经百家文的时候
[00162.56-00163.48] 他已经开始怎么样
[00163.48-00164.60] 他已经开始了
[00164.60-00166.60] 官方所发的影子了
[00166.60-00168.38] 但是他给官方所发了言字
[00168.38-00169.42] 这是领这个钱
[00169.42-00170.60] 读书读书好读书
[00170.60-00171.98] 这一读书是好几年
[00171.98-00173.16] 到他二十几岁的时候
[00173.16-00174.54] 皇帝的故事是给他忘了
[00174.54-00175.98] 就一直人没有提击过
[00175.98-00177.48] 我们所说的这个养久
[00177.48-00179.00] 所以养久那个时候就很奋们
[00179.00-00180.42] 他觉得读书什么用呢
[00180.42-00180.82] 对吧
[00180.82-00182.22] 我读了这么多年的说
[00182.22-00184.78] 还比不上战场上删
[00184.78-00185.98] 第一个战的一个组
[00185.98-00186.82] 所以他就说了
[00186.82-00187.78] 说读书没有用
[00187.78-00189.14] 所以写了一个从军形
[00189.14-00190.78] 他想为我效力
[00190.78-00191.98] 所以他提到了一个点
[00191.98-00193.68] 叫做你用为百夫掌
[00195.02-00196.12] 现在旁边
[00196.12-00199.12] 叫做另外百夫掌 剩作 易术生
[00200.62-00204.02] 這是他表現他自己的內心的情感
[00204.02-00204.32] 對不對
[00204.32-00207.12] 另外百夫掌剩作 易术生
[00207.32-00209.92] 這個是我們所說的關於楊韆
[00209.92-00211.12] 他所寫著從军形
[00211.52-00213.12] 楊韆其實半年
[00213.12-00214.52] 像這來說還是比較好的
[00214.52-00216.52] 因為楊韆最後去做官了
[00216.52-00217.62] 雖然做官作的不如遇
[00217.62-00219.12] 最後此官也拘了
[00219.12-00220.72] 是一個比較好的解決
[00220.72-00222.72] 但是大家都做王國的解決不太好
[00222.92-00224.32] 寫完頭王國之後
[00224.32-00228.92] 然后去找到父亲落水,颜色了,对吧,其实是下死了
[00228.92-00235.92] 大家都知道后来说是经济了,所以这是292多岁的年级,真的是天赌英才
[00235.92-00254.12] 然后这样像的是努照铃,努照铃最有名的事就是,长安古异,长古异当中最为典型的一句话就是大家经常说了,说只线缘要不线线,那这句话言之于谁呢,其实就是它的长安古异,这句话叫做得成比木和此死,现在旁边
[00254.32-00258.32] 就得成比目和此死
[00258.32-00261.82] 比目于买成双存责的对不对
[00261.82-00264.32] 后面就换愿作愿不现仙
[00267.32-00270.24] 叫做愿作愿
[00274.32-00275.32] 不现仙
[00275.32-00276.82] 所以我们经常说了
[00276.82-00277.82] 只作愿不现仙
[00277.82-00281.32] 其实是来自于辱照林的长谷一
[00281.32-00283.32] 而辱照林这个人相对来说
[00283.32-00285.46] 他说他的一生过得一比我欺贷
[00285.46-00288.08] 他其实比较擅长写长时
[00288.08-00290.92] 而且他写生也一直就是真边实际的
[00290.92-00292.28] 就是看到谁对谁
[00292.28-00294.16] 所以他其实不针对特定的人
[00294.16-00296.20] 他只针对于特定的这个事件
[00296.20-00298.96] 所以他年轻说写失得罪了不少人
[00298.96-00300.64] 当时得罪了一个网业
[00300.64-00303.96] 但是当时鲁赵林得到另外一个网业的赏实
[00303.96-00304.68] 就是动网
[00304.68-00306.28] 所以当时动网特别喜欢鲁赵林
[00306.28-00307.68] 所以鲁赵林一直没啥事
[00307.68-00308.84] 当时去世了之后
[00308.84-00311.72] 另外一个网业看鲁赵林不太顺眼
[00311.72-00315.12] 后来努照林郑于一些事情就被关到监狱当中了
[00315.12-00316.48] 他的身体我不太好
[00316.48-00318.44] 所以他后来的时候努照林就是
[00319.08-00321.96] 那就是我们所说的有点像现在的那种脑梗
[00321.96-00324.04] 就是他汤换了他没有办法
[00324.20-00325.60] 后来他就动不了了
[00325.60-00327.20] 后来他跑了的照料之下
[00327.20-00328.84] 他就给他许内出载子
[00328.84-00331.56] 但是大家都知道他在监狱当中带了很多年
[00331.56-00333.80] 他把最好的年化就在监狱当中度过了
[00333.80-00337.04] 而且到了他晚年的时候他身体我不是很好
[00337.04-00338.32] 你自己不能照顾自己
[00338.32-00339.36] 就对一个门人来说
[00339.36-00340.68] 其实是一个很痛苦的事
[00340.68-00343.56] 后来有一次他就要去看江后来
[00343.56-00344.76] 他跑就退退去
[00344.76-00346.32] 最后头疆子杀了
[00346.32-00347.48] 这个就是读照里
[00347.48-00349.68] 若兵网大家也知道些用额的
[00349.68-00351.44] 俄俄曲相相天歌
[00351.44-00352.56] 小时候就写
[00352.56-00352.96] 你看
[00352.96-00354.56] 这时候小就写的就很好
[00354.56-00356.28] 但是对于若兵网最终的
[00356.28-00357.92] 这个去处有好一种说法
[00357.92-00360.76] 那种说法他才与反五则天
[00360.76-00361.84] 然后那最后呢
[00361.84-00363.20] 就是被下月
[00363.20-00364.04] 然后杀死了
[00364.04-00365.76] 还一种说法就是不知所做
[00365.76-00366.88] 说在反五的天分
[00366.88-00368.76] 占一当中人就不知道去的
[00368.76-00370.76] 因為說他怎麼樣的出家了
[00370.76-00372.04] 這是對於裸兵王
[00372.04-00374.52] 他的一個我們所說的這個解舉
[00374.52-00376.80] 會有目前有其中說法
[00376.80-00377.72] 所以大家注意一下
[00377.72-00380.92] 在這裡面對於王國和裸兵王的失禁同學們
[00380.92-00383.40] 而書能想我在這不多強調
[00383.40-00385.68] 在這裡也打補充的就是楊九恨不照顧
[00385.68-00387.12] 所以大家注意一下這是第一個
[00387.12-00388.32] 叫初堂四節
[00388.32-00390.84] 那為什麼初堂那麼多本人一定是他們的
[00390.84-00392.16] 這些因為這四個人
[00392.16-00393.48] 他起到領很大的作用
[00393.48-00395.24] 以前是哥勇判的
[00395.24-00396.60] 都是工廷當中的
[00396.60-00399.16] 高官贵族对把工庭当中的事
[00399.16-00400.56] 而这色人写的东西
[00400.56-00402.44] 你看宋杜少府之手
[00402.44-00404.52] 署州从军行常为用额
[00404.52-00406.16] 就推动适个不代事
[00406.16-00407.08] 我们所说的
[00407.08-00409.12] 针对于贵族的这样的一种附属品
[00409.12-00410.24] 不是歌宋他们的
[00410.24-00412.48] 而是推动适歌从什么呢
[00412.48-00414.92] 从工庭走向世警
[00414.92-00416.08] 贡献很大
[00416.08-00418.08] 所以说了初堂司机是他们几个
