[00000.00-00004.20] 好的,我们看完个试歌体材之后,我们来看一下
[00004.20-00007.72] 试文当中的第二部分,就是我们所提到的词
[00007.72-00012.00] 说到这个词,我们说了,最为典型的代表朝代,其实就是我们所说的
[00012.00-00016.32] 宋朝,我们常说,堂师,宋词,原曲和明经小说
[00016.32-00018.84] 我们来看一下这个词,到底是怎么回事
[00018.84-00022.48] 所以我们在总数当中来看一下一个规则的发展的内容
[00022.48-00028.36] 词是一种试的别体,在这里面它标注一下,它是盟丫于南朝时期
[00028.36-00031.36] 是随堂時心起的一種心的那些替彩
[00031.36-00033.86] 而到了送代的時候達到了什麼
[00033.86-00035.16] 全勝時期
[00035.16-00036.68] 所以我們說了到了送朝詞
[00036.68-00039.44] 是非常典型的一個代表的文學形式
[00039.44-00041.68] 那這裡他經常會考察一個
[00041.68-00043.12] 綜合性的判斷體
[00043.12-00044.44] 或者是一個選項
[00044.44-00046.32] 這時候就考察這個詞的發展
[00046.32-00047.56] 立場代表知道
[00047.56-00050.04] 盟央於南朝随堂時心勝
[00050.04-00051.88] 到了送朝的時候達到全勝
[00051.88-00053.08] 他如果給你考說
[00053.08-00054.92] 到了随堂時期達到全勝
[00054.92-00056.52] 這時候就算是錯的
[00056.52-00057.36] 那大家要知道
[00057.36-00059.46] 这是我们所说的此的体彩
[00059.46-00063.16] 刚才说的 此是施的一种别体
[00063.16-00067.86] 此其实就是在写作的过程当中会分出很多的流派
[00067.86-00071.46] 我们就来看一下有关辞的发展到具体的形式
[00071.46-00073.76] 既然此在随同时经习的
[00073.76-00076.56] 我们就先来看看有关于玩旁时期
[00076.56-00078.46] 它的此发展
[00078.46-00080.26] 在网堂的此派当中
[00080.26-00082.76] 我们来看一下第一个叫花坚辞
[00082.76-00084.16] 花坚辞在这里面
[00084.16-00085.96] 同时先标助一下第1个考察点
[00085.96-00088.36] 就是花坚慈他的命名的来源是什么
[00089.20-00091.20] 同时们标助一下 圈一
[00091.40-00095.64] 花坚慈他的来源来自于我们所说的叫做花坚级
[00095.64-00097.96] 而这个花坚级是五代的学家
[00098.16-00100.56] 当时的一个文学家编写的一个我们所说的
[00100.56-00102.88] 五代的这样一个适合的一个总级
[00102.88-00105.72] 它的其实有自己独特的这样的一个地位
[00105.72-00108.20] 同时把这个花坚级在旁边标助一下
