[00000.00-00004.48] 我们说了唐师送子还有什么 还有缘曲
[00004.48-00007.76] 那既然我们来看一下有关于原曲的内容
[00007.76-00011.00] 他说原曲是圣形于原代的一种文艺形式
[00011.00-00013.00] 包括砸剧 三剧
[00013.00-00016.84] 有时专制砸剧 所以我们说有说原曲 原砸剧
[00016.84-00018.44] 请说的是什么 一回事
[00018.44-00020.16] 那这个地方我要给大家去说一下
[00020.16-00021.60] 有关于原曲在考察的时候
[00021.60-00025.80] 考什么 基础的考察方式 考察人物 朝代
[00025.80-00027.60] 还有作品的对应
[00027.60-00029.72] 这个地方是一定要能够去给他
[00029.72-00031.26] 对应上的 只是第一种
[00031.26-00034.84] 第二种就是在这里面会考察作品的 具体内容
[00037.90-00039.90] 作品的具体内容 比如说他说了
[00039.90-00041.48] 说 给你举个例子 比如说
[00041.48-00044.00] 汉宫区区描迫了谁和谁之间的这样的有故事
[00044.00-00046.88] 你要能够去给的对应上 所以在这里面大家要知道
[00046.88-00050.20] 这是我们所说的 他在具体考察的时候考察的
[00050.20-00053.28] 那还有一种考法 这是考的会比较难一点
[00053.28-00055.92] 但是一到遇到这种的话 同时就是尽量地去进来
[00055.92-00057.08] 其類不到也沒有關係
[00057.08-00058.36] 因為它如果一旦出
[00058.36-00059.64] 第三種考察方式的話
[00059.64-00061.52] 它其實就是想拉開區分度的
[00061.52-00065.32] 第三種的就是考察作品當中的具體失聚
[00070.84-00072.20] 作品當中的具體失聚
[00072.20-00074.36] 這不是考具體內容這種故事等該了
[00074.36-00074.96] 而是說
[00074.96-00078.12] 以下它的出處和它的作品對應的是
[00078.12-00079.44] 那這種情況就很難了
[00079.44-00081.76] 很多同學就會把注意力放在這個上面
[00081.76-00084.28] 我還是建議大家先把基礎鋪的時候
[00084.28-00085.92] 有的时候我们在考试的时候
[00085.92-00087.16] 考不上的原因
[00087.16-00088.92] 或者是我们跟人家拉开区分度
[00088.92-00089.92] 比较大的原因
[00089.92-00092.92] 不在于我们掌握了多少偏体贵体
[00092.92-00095.28] 而是基础之神又没有抓老
[00095.28-00096.32] 我还是那句话
[00096.32-00098.28] 就是与其你收藏了那么多老神
[00098.28-00100.08] 你给人大家分享那么多老神
[00100.08-00101.80] 你不如先跟着一个老神
[00101.80-00103.00] 那怕那个老师呢
[00103.00-00103.84] 不是我
[00103.84-00105.12] 但我希望是我
[00105.12-00106.28] 那怕这个老师呢
[00106.28-00107.08] 他不是我
[00107.08-00108.36] 你只要觉得这个老师
[00108.36-00109.60] 他符合你的风格
[00109.60-00112.12] 你先把他的客戧到位听完
[00112.12-00113.92] 然后再去听其他的
[00113.92-00115.46] 你不要说马远你听了一个老师
[00115.46-00116.64] 然后你就听第二老师
[00116.64-00117.80] 去听第三个老师
[00117.80-00118.68] 无意的
[00118.68-00120.44] 你更多的是要掌握基础之外
[00120.44-00121.68] 这些东西去汪时调
[00121.68-00122.28] 好吧
[00122.28-00123.24] 所以一样的
[00123.24-00124.16] 所以相对着
[00124.16-00125.28] 我说口句给记者
[00125.28-00126.84] 你说老师我要把所有记者都被起来
[00126.84-00128.00] 时间不允许
[00128.00-00128.80] 我们考试的时候
[00128.80-00130.56] 他也不会说特征考在这
[00130.56-00132.28] 而是考的是一些基础之师
[00132.28-00134.04] 他考你偏提冠体难提的时候
[00134.04-00135.56] 他这里面一定会给你放
[00135.56-00137.72] 两个以上的选项是你见过的
[00137.72-00139.56] 重点不在于那个偏和怪的
[00139.56-00141.56] 而是你的基础到底长得了多少
[00141.56-00143.80] 这个话能我已经跟同学们说过好多边了
[00143.80-00145.60] 我还是需要同行能够数了一个
[00145.60-00148.40] 相对来说比较正确的这样一个学习的观念
[00148.40-00151.48] 就是学习它是要失办工备才可以
[00151.48-00153.28] 所以在这大家要注意一下
[00153.28-00155.16] 好 那我们来看一下在原曲当中
[00155.16-00157.64] 首先第一个我们要掌握原曲斯拉姜
[00157.64-00159.68] 第一个大家知道原曲斯拉姜是谁
[00159.68-00161.12] 第一个人就是官汉青
[00161.12-00162.80] 画一下第一个官汉青
[00162.80-00164.28] 金沫原出人
[00164.28-00165.44] 也就是原曲斯拉姜猫
[00165.44-00167.80] 就知道它是原炒人就可以了
[00167.80-00170.60] 后面它在这里标注一下官汉青的作品
[00170.60-00171.60] 官兵作品当中
[00171.60-00173.14] 都我援救封城
[00173.14-00173.90] 然后
[00174.16-00175.18] 望江停
[00175.44-00176.72] 拜月停和单独会
[00176.72-00178.52] 我说他会考察具体内容
[00178.52-00181.58] 首先这个杜俄威娜大家应该都知道对吧
[00181.84-00182.60] 杜俄威娜
[00183.12-00184.14] 讲的是什么呢
[00184.40-00185.42] 讲的是这个
[00186.18-00186.96] 杜俄
