[00000.00-00004.90] 那我們看完了社人裡的人間煙火之後我們來看一看
[00004.90-00007.10] 國粹當中的嘴散傷盒
[00007.10-00010.44] 就說到國粹呢它其實是流傳在幾千年
[00010.44-00013.60] 歷史長和當中的所形成的文化的規保
[00013.60-00015.80] 我們都可以把它稱之為叫做國粹
[00015.80-00018.00] 如果在日常生活當中的沒有國粹有啊
[00018.00-00020.16] 中國的快子是不中國的特色
[00020.16-00023.00] 中國的快子代表的是中國的演示文化
[00023.00-00025.20] 同時不要簡單地看得那一雙快子
[00025.20-00026.80] 快子有很多的講究的
[00026.80-00029.40] 當然沒有發現的快子有一頭粗有一頭細
[00029.40-00033.24] 然后吸了那一头就是你挑饭吃饭的那一头代表的是圆
[00033.24-00034.28] 对吧是圆形的
[00034.28-00037.20] 而出了那一头就是快乐的每段它是方形的
[00037.20-00039.32] 这预认识什么天员地方
[00039.32-00042.52] 你看这其实就是中国也是文化当中的一个
[00042.52-00045.36] 那说老师不对啊那天员地方我吃大米饭
[00045.36-00047.08] 大米是图里长出来的
[00047.08-00050.08] 为什么对着米饭的那一头它不是方的呢
[00050.08-00052.72] 因为中国老百姓讲究明以十一天
[00052.72-00056.00] 所以你看仅仅就是一个我们所说的这双快乐
[00056.00-00057.84] 它其实也是中国的特色
[00057.84-00060.36] 我可以说它是某种程度上中国的什么
[00060.36-00063.76] 国粪它是中国文化的一个读缩和体现
[00063.76-00067.28] 在日上生活当成除了常见的筷子又比较休息
[00067.28-00070.32] 周六周日你约上35个好友一块了吗?
[00070.32-00073.20] 粗粗马降对吧那马降也是中国国粪的一种
[00073.20-00075.48] 所以中国的国粪随着文化的流唐
[00075.48-00077.20] 它的表现形成是非常多
[00077.20-00080.88] 但是我们在考试当中经常会提到叫三大国粪
[00080.88-00082.92] 那这三大国粪分别只能是啥呢
[00082.92-00084.48] 就是我们要给大家讲解的
[00084.48-00088.58] 叫做中醫國劃 還有我們所說的戲劇
[00088.58-00091.28] 那這裡面 我們先來看一下第一個部分
[00091.28-00093.38] 這讓大家講解的是中醫
[00093.38-00095.88] 其實說到中醫在正式講解他之前
[00095.88-00097.88] 我們要對中醫他怎麼考
[00097.88-00099.58] 有一個大概的了解
[00099.58-00101.38] 中醫他在整體的考察上
[00101.38-00103.38] 其實就是會考察一個對應
[00103.38-00105.68] 只不過這個對應的考察方式就要看
[00105.68-00108.48] 他出的相對來說是比較簡單還是比較難的
[00108.48-00109.98] 如果出的比較簡單的話
[00109.98-00113.18] 就是以下關於醫學說法正確無錯的是
[00113.18-00114.98] 给你abcd4个选项
[00114.98-00116.58] 然后你充里去挑就行了
[00116.58-00117.74] 如果他出的相对来说
[00117.74-00118.54] 哪一点比如说
[00118.54-00120.10] 测证在像国生考制中
[00120.10-00122.14] 比较复杂的这种考试的话
[00122.14-00123.78] 他在长时的地方就可以考
[00123.78-00125.42] 以下关于什么什么说法
[00125.42-00126.82] 正确的有几项
[00126.82-00129.18] 给你圈一圈2-3-3-4-5
[00129.18-00129.98] 让你去选
[00129.98-00131.38] 几项正确减错误
[00131.38-00133.10] 这是他在整体的考察上
[00133.10-00134.62] 可能出两种考察的
[00134.62-00136.74] 这样的一个体目的模式
[00136.74-00138.50] 但是他无论出哪种体
[00138.50-00141.26] 其实中一他本身上就是在考察对应
[00141.26-00142.78] 他的对应是三种
[00142.78-00145.46] 第六會考察人物和時期的對應
[00146.46-00148.62] 比如說我們要講到這些醫學家
[00148.62-00151.30] 像張忠警、像我們所說的免確
[00151.30-00152.74] 它都是什麼時期的人
[00152.74-00155.02] 它很容易把這些時期給你搞混
[00155.02-00157.42] 所以第六個考察人物和時期的對應
