[00000.00-00007.24] 我们接下来再往后看,看下第三个,这第三个住民的要学家就是张重警
[00007.24-00012.00] 人第一个一样,同时在这里标注出来的明确,张重警是什么时期的人,华出来
[00012.00-00016.72] 张重警是东汉墨年的一学家,他为什么叫做重警呢?
[00016.72-00023.68] 因为他出生的时候,他父亲说,这个孩子出生的时候,他曾在台头看天上的北斗戏性
[00023.68-00026.92] 突然看到天机型呼善呼善的一闪一亮
[00026.92-00030.40] 而当时就召好是重寸时间
[00030.40-00034.32] 跑又一同到家里迎接这个小孩出生
[00034.32-00036.92] 说看伟一键与吹色的阵光
[00036.92-00039.00] 在家上他在家里排行老二
[00039.00-00041.16] 所以当时就给他起名了
[00041.16-00043.08] 叫做张机自重警
[00043.08-00044.92] 因为看到天机兴议闪闪
[00044.92-00046.92] 所以他的名字叫做名机
[00046.92-00049.24] 叫做张机自重警的第二次
[00049.24-00050.20] 因为他排行老二
[00050.20-00053.40] 第二个就是他是重寸世界出生的
[00053.40-00055.20] 而家里人都来就感觉
[00055.20-00058.00] 这个警刺就和春色无意
[00058.00-00059.80] 所以叫做与一井争春
[00059.80-00061.00] 所以叫做重警
[00061.00-00064.20] 所以他有了叫天上一星人间一井的张重警
[00064.20-00066.20] 所以这是他名字的这样一个由来
[00066.20-00069.80] 他也是出生在我们所说的冬漢莫年
[00069.80-00072.40] 张东警其实从小就开始去学义了
[00072.40-00076.40] 当时是跟着他在同一个距离面的叫做张博祖的人
[00076.40-00078.40] 一同去学习这样的一属
[00078.40-00080.80] 他很聪明而且天分特别高
[00080.80-00083.40] 清血好血 清分好血 不只下溫
[00083.40-00085.72] 后来呢 明生啊
[00085.72-00088.52] 这是特别的 怎么说呢 明生大造
[00088.52-00090.40] 但是他所处的这样的一个年代
[00090.40-00091.72] 相对来说不是特别好
[00091.72-00093.00] 这是东汉莫年呢
[00093.00-00095.00] 大家注意一下 这是连年 真正
[00095.00-00096.68] 一般情况下 还有大战的时候
[00096.68-00098.76] 都会有大战 或者是大意
[00098.76-00100.00] 所以到了东汉莫年
[00100.00-00101.60] 他所在的地区
[00101.60-00103.40] 这是爆发了门意
[00103.40-00105.16] 尤其是在我说了
[00105.16-00107.68] 他那个我们所在的地区
[00107.68-00108.76] 像洛阳
[00108.76-00111.58] 很难养的这些地区就很大的这样的一个问议
[00111.58-00114.14] 所以当时张忠仅他就说了这样的一句话
[00114.14-00116.96] 他说在他的伤害砸冰论的字续当中他说了
[00116.96-00120.28] 所以家家有姜师之痛事实有好气之生
[00120.28-00124.62] 人们当时每一个家里面都是多人去是姜师
[00124.62-00125.72] 就是师弟
[00125.72-00127.18] 事实有好气之生
[00127.18-00130.02] 所以当时张忠仅虽然他家是施家大族
[00130.02-00131.42] 但是也不利外
[00131.42-00134.62] 所以当时张忠仅他里家里面的人
[00134.62-00136.92] 其实也是因为这个去世了很多
[00136.92-00140.00] 所以当时张重与对于这样的一个情形
[00140.00-00141.40] 非常痛心
[00141.40-00143.08] 所以当时就说
[00143.08-00144.04] 说死了这么多人
[00144.04-00146.28] 他就会想方设法想去就与他们
[00146.28-00148.80] 所以后来又前心专严一树
[00148.80-00153.72] 他是在我们所说的他所在的认职的期间
[00153.72-00155.88] 他也会想方设法起老百姓看命
[00155.88-00157.44] 他为什么被尊冲为什么呢
[00157.44-00158.68] 同时标注一下第二个
[00158.68-00160.72] 就是他被尊冲的一树
[00160.72-00162.32] 被尊冲的一树
[00162.32-00164.04] 不单单是因为他的
[00164.04-00165.28] 那样的衣術特别的高
[00165.28-00168.08] 而且它的衣抖也特别的高
[00168.08-00168.88] 大家都知道
[00168.88-00171.08] 和张重警有关的这样的一个点顾
[00171.08-00172.08] 有这么几个
[00172.08-00176.04] 第一个点顾其实就是和它的衣圣的这个充位有关的
[00176.04-00178.76] 就是我们经常听到就做唐衣
[00178.76-00181.12] 做唐衣其实是从谁开始
[00181.12-00182.88] 其实就是从张重警开始的
[00182.88-00185.24] 张重警其实不单单是衣術特别好
[00185.24-00187.68] 而且它特别的充位的学什么都特别快
[00187.68-00189.40] 所以它的文学成就上
[00189.40-00191.16] 它的视图也相对而是好一些
[00191.16-00196.76] 后来张重警就是到他相对说青典史馨他在长杀认知太瘦
[00196.76-00198.96] 所以他那个时候就叫做张长杀了
[00198.96-00203.36] 然后在完成自己的这个政治工作之语还经常被百姓治病
[00203.36-00205.36] 但当然大家知道吃官员
[00205.36-00207.76] 这官民这件却是有一定的必类的
[00207.76-00210.96] 所以那个时候他小了给老百姓看病他不能说
[00210.96-00213.36] 亲自老百姓家里去到出去走着
[00213.36-00216.96] 所以他就只能做一个事就是他美风出一核15的时候
[00216.96-00218.76] 就把自己的杨门打开
[00218.76-00221.64] 然后老百姓来到他的牙堂上
[00221.64-00222.80] 他来给他们去看病
[00222.80-00225.04] 然后就有很多人不原谜里
[00225.04-00227.40] 来找张重警让他给看病
[00227.40-00229.00] 所以就有了无所说的什么
[00229.00-00230.76] 做唐一这样一个油耐
[00230.76-00232.24] 后来的时候张重警
[00232.24-00234.44] 发现这样能够一直的人太少了
[00234.44-00236.52] 后来他就此去了长山派手的职位
[00236.52-00239.52] 开始去研究商航病中的整治
[00239.52-00242.60] 然后决定一定要徹底解决所谓的
[00242.60-00244.12] 你系列的这样一个商航中
[00244.12-00246.84] 所以就开始去搜集什么呢
[00246.84-00247.64] 大家注意一下
[00247.64-00249.92] 所以它就开始是广泛去搜集
[00249.92-00250.84] 要方
[00250.84-00252.28] 写出了我们所说的
[00252.28-00253.28] 传示剧主
[00253.28-00254.52] 我们搜一下圈子
[00254.52-00256.32] 它的传示剧主就要上
[00256.32-00257.08] 叫做
[00257.08-00257.88] 伤喊
[00257.88-00258.72] 砸并论
[00258.72-00259.96] 叫做伤喊砸并论
[00259.96-00260.60] 你看
[00260.60-00261.56] 像我们所说的
[00261.56-00262.96] 它在去进行
[00262.96-00264.64] 像我们所说的
[00264.64-00265.96] 搜集并方的时候
[00265.96-00266.76] 它在这里面
[00266.76-00268.08] 其实搜集了很多的方子
[00268.08-00268.84] 它把这方子
[00268.84-00269.88] 最后都整理起来
[00269.88-00271.88] 都放到它的伤喊砸并论当中了
[00271.88-00273.40] 所以大家注意一下
[00273.40-00274.48] 它的伤喊论
[00274.48-00275.76] 住作之后
