[00000.00-00004.90] 好了,那我们了解了三大国税当中的中英和国务化之后呢,
[00004.90-00008.70] 今天我们就来看一看,我们在三大国税当中的最后一个,
[00008.70-00011.00] 就是我们所说的西曲,
[00011.00-00015.00] 西曲在中国呢,其实已经有了很长的这样一个历史了,
[00015.00-00018.00] 西曲它和中华文化呢,其实是分不开的,
[00018.00-00021.50] 在北京中华是一谈的见到续然了,这样一句话,
[00021.50-00027.00] 它说文明生活千古未觉者,为我无双和天地病存,
[00027.00-00029.00] 越越越痛逛
[00029.00-00034.00] 这句话其实讲述了中华文化生生不息的这样一个创造力
[00034.00-00037.00] 而在最美中国系当中这样一句话来形容细曲
[00037.00-00042.00] 他是细曲全成千年形成华资多彩的中华细曲百花月
[00042.00-00047.00] 在过去细曲有很长的历史在未来应该有更长的生命力
[00047.00-00051.00] 所以细曲和中华文化 杰然分不开
[00051.00-00055.00] 他也是中华文化百花圆中非常粗畜 可能明昼
[00055.00-00059.48] 所以我们经常说大木开启生弹精仇满堂彩
[00059.48-00062.68] 大木落实细因内断传承依舊
[00062.68-00068.32] 细取的魅力很难在今天的短段的一堂客当中给大家去完全呈现出来
[00068.32-00070.56] 但希望通过今天课程的讲解
[00070.56-00072.20] 不仅能够让大家有支持
[00072.20-00073.84] 更需要通过今天的讲解
[00073.84-00079.44] 大家去了解中国的细取了解中国传承千百年的文化故事
[00079.44-00081.60] 经济传承生不期
[00081.60-00083.92] 我们一起来了解一下中国的细绝
[00083.92-00085.68] 接收到中国的细续
[00085.68-00087.50] 它的整个艺术的表现形式
[00087.50-00089.30] 相对来说是比较复杂的
[00089.30-00091.60] 在这里面我们来看一下书上怎么说的
[00091.60-00095.44] 它说中国细续是由文学音乐舞蹈
[00095.44-00099.02] 美术、武术、杂技、一接、表演等
[00099.02-00100.30] 终合形式而成的
[00100.30-00103.12] 它的特点是将种多艺术形式一种
[00103.12-00104.92] 标准融合再一块
[00104.92-00108.24] 在共同具有的性质当中体现出各自的各性
[00108.24-00109.00] 其实在这里呢
[00109.00-00112.34] 它就其实跟我们去强调了中国细续它的一个
[00112.34-00113.76] 呈現的角度
[00113.76-00115.54] 以及所包含用四個多元
[00115.54-00116.42] 有通面在這
[00116.42-00117.70] 可能會產生一個一萬
[00117.70-00119.18] 說老師這有啥了不起的
[00119.18-00119.64] 對吧
[00119.64-00121.94] 中國戲曲不就是把這些東西都放在一塊嗎
[00121.94-00122.94] 同樣知道啊
[00122.94-00125.84] 大家現在其實提到像西方的歌舞劇
[00125.84-00127.68] 你是會有很多的這種印象
[00127.68-00129.18] 你比如說像我們看到的
[00129.18-00130.42] 羅咪歐與朱利液
[00130.42-00133.82] 又或者我們經常去看到的西方歌舞劇當中的歌劇沒有
[00133.82-00135.82] 你覺得他那個場景給你的呈現
[00135.82-00137.18] 感覺到很紅大
[00137.18-00139.02] 但是像西方的歌舞劇
[00139.02-00142.50] 他只能做到比如说把文学音乐舞蹈
[00142.50-00144.46] 以及我们所说的舞台
[00144.46-00147.54] 这四者当中的三者能够融合在块
[00147.54-00150.66] 已经被定一为是非常优秀的西方购务去了
[00150.66-00152.94] 而中国细取的传承的要求
[00152.94-00157.06] 原本不止于想西方购务务务当中四者只做其身
[00157.06-00163.26] 中国的细取要求是把文学性音乐舞蹈每束舞术雜计及表演
[00163.26-00164.86] 完全融合赋一块
[00164.86-00168.66] 所以这就电定了中国细取在世界文化细取
[00168.66-00171.18] 当中的一个非常重要的一个地位
[00171.18-00173.14] 我们通常说有这样一个考点
[00173.14-00175.02] 同样标注在旁边
[00175.02-00177.82] 说中国的细继和希拉的背景具
[00177.82-00181.26] 印度的反具并成为世界三大
[00181.26-00183.14] 我们所说的古老细续文化
[00183.14-00185.74] 这个点它其实是我们需要同一们掌握的
[00185.74-00187.30] 第一个考察的点
[00187.30-00188.66] 同时在这个地方要知道
[00188.66-00192.94] 说中国的细续它其实是世界三大古老细续文化
[00192.94-00193.58] 是1
[00193.58-00196.58] 这个点考过一个单线体同样注意
[00196.58-00198.82] 那中国的细群其实在本质上
[00198.82-00204.52] 他不单单是我们所说的和我们所提到的这些古老的剧种之间
