[00000.00-00004.08] 今天来聊聊为提当中的第三个方面的网
[00004.08-00007.92] 文化建设,我们来看一下第三届,就是建设社会主义
[00007.92-00011.92] 文化强国,在文化建设当中,我们第一个要给大家去明确的
[00011.92-00015.92] 就是坚持买四主义在意识形态领域直到地位的根本制度
[00015.92-00018.72] 这里面谈到了一个点,就是意识形态
[00018.72-00022.80] 那什么是意识形态呢,咱们其实是在哲学当中有给大家讲过的
[00022.80-00027.04] 我们再讲社会存在决定社会意识,然后在社会意识当中说了
[00027.04-00029.86] 社会议使是人类精神现象的总合
[00029.86-00030.70] 我们又把
[00031.14-00032.34] 社会议使的分为
[00032.34-00034.10] 意识形态和非是形态
[00034.10-00035.48] 大家吃法也记得
[00035.48-00036.48] 所以意识形态的
[00036.48-00038.82] 吃你所形成的这些思想观点
[00038.82-00041.26] 观点精神总合这些东西
[00041.26-00043.94] 它是为特定阶级所服务的
[00043.94-00045.98] 所以这些东西叫做意识形态
[00045.98-00047.78] 比如说我们所说的道德
[00048.02-00049.06] 法律
[00049.06-00051.88] 正是法律思想等等这些意书
[00051.88-00053.04] 文学等等
[00053.04-00054.94] 它属于意识形态
[00054.94-00057.34] 而非是平台的就是不未特定建计服
[00057.34-00059.10] 放在任何国家他都释用的
[00059.10-00060.78] 比如说自然科选像
[00060.78-00062.46] 扭顿的外面眼力订率
[00062.46-00064.34] 对吧在英国评过像下落
[00064.34-00066.30] 在中国评国也会像下落
[00066.30-00067.62] 那哲学当中
[00067.62-00068.58] 其实我们就在
[00068.58-00069.54] 维护使观里面
[00069.54-00071.58] 其实又给大家讲到到底什么事
[00071.58-00072.46] 意识平台
[00072.46-00074.66] 如果老实那意识平台就意识平台
[00074.66-00075.42] 那为什么在这里
[00075.42-00077.46] 还要把它和文化掛锅再跨呢
[00077.46-00078.50] 大家明确啊
[00078.50-00079.50] 文化
[00079.50-00081.30] 它也是意识平台的一个
[00081.30-00082.98] 非常重要的一个部分
[00082.98-00085.10] 文化发展为了谁
[00085.10-00087.90] 中国的售主于文化建设王德走
[00087.90-00090.02] 这是一个非常做的一个命题
[00090.02-00092.46] 而文化建设他和什么有关
[00092.46-00095.06] 他和意识形态有很大的关系
[00095.06-00096.74] 所以在这里我们先来看一下
[00096.74-00098.46] 收上所提到的第一个点
[00098.46-00100.14] 这是意识形态的地位
[00100.14-00101.02] 同时把它划出来
[00101.02-00102.70] 这个点需要同时去备送
[00103.22-00104.98] 先来意识形态不要住出来
[00104.98-00106.34] 他说意识形态
[00106.34-00110.02] 关乎骑志关乎道路关乎国家安全
[00110.02-00111.66] 也就是我们经常提到的
[00111.66-00112.68] 一直形態的問題
[00112.68-00115.14] 它其實就是關乎到我們所說的
[00115.14-00117.04] 它到底是為了誰要發展呢
[00117.04-00117.80] 所以我們才說了
[00117.80-00119.50] 叫意識形態關乎其制
[00119.50-00121.02] 關乎到我關乎國家安全
[00121.02-00123.18] 後面是一話就決定的話下
[00123.18-00126.50] 決定文化的前進方向和道路
[00126.50-00128.18] 大家注意意識形態不同
[00128.18-00130.62] 文化它的發展的結果也是不一樣的
[00130.62-00132.18] 你比如說在我們國家
[00132.18-00134.46] 我們國家都知道是社會主義國家
[00134.46-00135.22] 社會主義國家
[00135.22-00138.30] 我們強調的是個人英雄主義還是基地主義
[00138.30-00140.46] 我們強調的是集體主義
[00140.46-00141.58] 所以你會發現
[00141.58-00142.90] 一是行台我们刚才说了
[00142.90-00146.18] 一是行台在折行上是为特定接级服务的
[00146.18-00147.78] 这系列的精神流化理念
[00147.78-00148.26] 对吧
[00148.26-00149.54] 这个叫意识行台
[00149.54-00151.30] 我们国家的主人
[00151.30-00153.18] 我们国家的文化发展
[00153.18-00154.14] 到底要为了谁呢
[00154.14-00156.30] 那他和意识行台就很大的关系
[00156.30-00157.10] 所以一是行台
[00157.10-00159.02] 决定文化前进的方向
[00159.02-00160.54] 我刚才说了我们国家是
[00161.10-00162.02] 社会主义国家
[00162.02-00163.22] 我们唱到集体主义
