[00000.00-00004.80] 好的,那我们在接在里来看一下无意体当中的第四个方面的一种
[00004.80-00008.00] 就是加强以民生为重点的事我会一件事
[00008.00-00013.60] 我们要在社会建设当中首先要给大家讲一下,我们说了整个社会智慮他最绪跟元上
[00013.60-00016.00] 其实就是要关注老百姓的生活嘛
[00016.00-00022.00] 所以在社会建设当中时间第一个问题,我们要解决的就是在发展中保障和改善民生
[00022.00-00026.60] 都是因为一旦听到民生这个词,就会觉得,这个民生他到底说的是个啥呢?
[00026.60-00030.18] 民生民生 你看从我们所说的自卖意思
[00030.18-00032.48] 你造此来看就是老百姓的生活
[00032.48-00036.58] 所以整个社会建设关注的就是如何让百姓生活的更好
[00036.58-00038.64] 如何在百姓所关心的方方面面
[00038.64-00042.48] 我们就出他一定的政策能够把不好的地方给他改掉
[00042.48-00044.52] 把好的地方给他记忆不恐怖好
[00044.52-00046.56] 然后再提出一些更好的策略
[00046.56-00049.38] 所以所谓的民生就是和老百姓的生活
[00049.38-00050.92] 细细相关的一些
[00050.92-00054.24] 老百姓关心什么民生建设就去搞什么
[00054.24-00056.54] 所以我们经常会听到一句话叫做
[00056.54-00058.94] 迷声无大小之夜总关请
[00058.94-00060.84] 对吧 最要和老百姓有关的事
[00060.84-00062.04] 只是天大的事
[00062.04-00064.48] 所以在整个社会监视当中的第一个
[00064.48-00067.14] 发展和在发展中保障和改善迷声
[00067.14-00071.24] 它的本质就是要关注老百姓所关心的领域
[00071.24-00073.74] 就是要以人民为中心
[00073.74-00075.34] 其实它是我们国家以人民为中心
[00075.34-00077.44] 正错落实的一个具体体现
[00077.44-00079.24] 那和首先先来看一下第一个问题
[00079.24-00081.04] 就是 既然迷声这么重要
[00081.04-00082.84] 也是要在国家经济发展当中
[00082.84-00084.56] 不断去玩善民生的建设
[00084.56-00088.40] 那为什么要保障和改善民生在这里面
[00088.40-00089.78] 我们来看一下第一个电
[00089.78-00092.44] 通常给的标准出来原因就是在于在这
[00092.44-00096.52] 他说为民造福是利导立功指揮为民的什么要求
[00096.52-00097.68] 本质要求
[00097.68-00100.20] 也是在本质上所谓的为民造福
[00100.20-00103.16] 就是这个国家的根本出发点和落脚电
[00103.16-00105.36] 所以在这里面为什么保障和改善民生
[00105.36-00108.12] 因为我们国家的建设在最于根源上
[00108.12-00109.68] 就是要为了百姓
[00109.68-00111.24] 所以在这里你看他说了
[00111.24-00115.20] 未明造腐是力道力攻直周未明的 本質要求
[00115.20-00118.28] 所以在這兒同時可以給他做一個發散言聲
[00118.28-00121.44] 這就是我們經常會看到在考試當中有很多的什麼
[00121.44-00122.32] 定位此
[00122.32-00123.44] 這是這些定位此
[00123.44-00125.44] 他一般情況下出來一些描述
[00125.44-00127.52] 他都和什麼有關和人民有關
[00127.52-00131.32] 比如說咱們來給他貴娜總結一下
