[00000.00-00002.68] 好的同学们我们讲完了
[00002.68-00003.96] 唯一体的内容之后
[00003.96-00004.96] 今天我们来看一下
[00004.96-00006.68] 分论当中的第二部分内容
[00006.68-00008.16] 就叫做四个全面
[00008.16-00009.20] 四个全面
[00009.20-00010.60] 它具体内容的讲解
[00010.60-00012.36] 我们已经在新思想
[00012.36-00014.12] 总论当中的十个明确
[00014.12-00016.00] 给他们去详细地讲完了
[00016.00-00017.08] 为什么在这里
[00017.08-00018.64] 依旧会把四个全面拿出来
[00018.64-00019.92] 你大家去讲一下
[00019.92-00021.32] 原因就在于第一个
[00021.32-00023.60] 我们要保证整个新思想体系
[00023.60-00024.80] 框架的完整
[00024.80-00025.64] 所以在这里
[00025.64-00027.92] 我们就单独的把四个全面拿出来
[00027.92-00029.76] 第二个就是我们拋开
[00029.76-00033.34] 10个明确当中有关于4个全面罗列式的这种讲解
[00033.34-00036.32] 我们单纯的从4个全面的角度来看一下
[00036.32-00039.24] 4个全面之间他们的内在联系到底
[00039.24-00042.82] 由那些变于同学们对这个框架里一个全面的了解
[00042.82-00045.12] 同时也能够加深记忆
[00045.12-00048.96] 我们来看一下4个全面战略不举它的一个具体内容
[00048.96-00052.56] 那还是老规矩在具体开始讲这一部分内容之前
[00052.56-00053.84] 我们先来了解一下
[00053.84-00055.94] 4个全面才在考试当中
[00055.94-00058.94] 到底是如何考察的
[00058.94-00067.46] 大家知道,这个四个全面它在考察的时候,其实现在依旧测中在实际的角度,也是100%的,对数下来,
[00067.46-00078.54] 它在考察实际性维度的时候,一般情况下,从两个维度考,第一个就是我们要能够明确,四个全面战略不觉,它到底有哪些,我们天天说四个全面四个全面,
[00078.54-00080.14] 那四个全面在现在来看
[00080.14-00081.90] 它到底是哪些内容
[00081.90-00083.42] 那我们都知道四个全面
[00083.42-00085.58] 它其实是有两个版本的
[00085.58-00087.74] 一个是以前的舅的四个全面
[00087.74-00088.94] 一个是新的
[00088.94-00090.86] 那新就四个全面的提出
[00090.86-00092.78] 它和哪一次会遗有关系呢
[00092.78-00095.26] 那在这里面就要看一下它的转变
[00095.26-00096.46] 所以在第一个伟度
[00096.46-00097.82] 单纯的去考察的时候
[00097.82-00099.58] 大家要知道四个全面有哪些
[00099.58-00102.54] 它的一个变化是从哪一个会遗写的
[00102.54-00104.22] 这是第一个考察的伟度
[00104.22-00105.98] 相当于来说比较红观
[00105.98-00108.38] 那第二个就是要在这里面去明确
[00108.38-00119.28] 四个全面这六部局当中,我们要去给大家讲到四个方面的内容,其中在考试当中有三个方面是比较喜欢考,他的具体内涵以及他的细节的
[00119.28-00125.28] 这三个方面是全面生画改革,全面依法之谷,以及我们所说的全面从言,知道
[00125.28-00132.28] 这三个方面会考察他的具体内容,比如说你看,我们在考试当中以前就考察过,说在整个
[00132.28-00137.88] 我们所说的,这个四个前面当中,前面说话改革的总统标是什么?
[00137.88-00143.40] 哪一次会议题出来的,直接发控考,是保考过前面一法之国的总统标是什么?
[00143.40-00149.00] 对吧,大家这里面也会直接去考察,最后一个呢,就前面传知的,为什么提出全面传人知道?
[00149.00-00156.28] 因为它面临思想考验和思想危险,那这四个考验和四个我们所说的危险分别指的是什么?
[00156.28-00158.08] 你看也是去考察之前那种
[00158.08-00161.28] 是包括我们在10个明确当中提到的
[00161.28-00162.92] 全面团制党的总要求
[00162.92-00163.24] 对吧
[00163.24-00164.68] 都是它考察一些重点
[00164.68-00168.84] 所以在这里会更加特重对它具体内容的考察
[00168.84-00170.48] 而在整个设提当中
[00170.48-00172.68] 它记可能问的比较直接
[00172.68-00173.80] 就像我刚才所说的
[00173.80-00174.92] 直接去问
[00174.92-00176.00] 我们所说的
[00176.00-00179.28] 它都总比较也可能考得比较综合
[00179.28-00180.08] 这个综合呢
[00180.08-00181.12] 就是上来
[00181.12-00184.08] 以下关于四个全面说法正确过错误的事
[00184.08-00186.52] 就是把各个细节给它组合起来
[00186.52-00189.80] 这个是我们目前在四个全面战略不局当中
[00189.80-00192.36] 它依旧会出现和考察的这样的一个点
[00192.36-00195.04] 那么小把四个全面战略不局局给它学好
[00195.04-00197.36] 给它应用到我们的考试做答当中
[00197.36-00200.16] 甚至把它应用到我们的深乐写作当中的话
[00200.16-00204.40] 不仅要备送还要从红官的框架上去了解
[00204.40-00206.00] 甚至说是去理解
[00206.00-00209.04] 四个全面战略不局背后的邏輯关系
[00209.04-00210.80] 我们就深入来看一看
