[00:00:00] 好,那我们就沿着这样一条主线来主意来看一下这些具体的事件。
[00:00:06] 首先,第一个就是我们所说的新文化运动。
[00:00:09] 提到新文化运动,大家其实应该并不陌生,因为大家看过觉醒年代的电视剧。
[00:00:15] 电视剧其实很大一部分都在去讲述新文化运动以及新文化运动前夕的事情,对吧。
[00:00:21] 所以在电视剧当中,我们已经能够看到有关于新文化运动它的一个具体的情况。
[00:00:26] 我们也知道新文化运动它其实是在1915年的时候开始的。
[00:00:31] 这个其实和一个世界性的事件分不开。
[00:00:34] 1919年到1918年,其实是世界第一次事业大战。
[00:00:38] 第一次事业大战的时候,欧洲列强,它大部分的经历其实都被牵制到了欧洲战场上。
[00:00:44] 所以那时候它就放松了对中国的这样一个进一步的这样剥削和压迫。
[00:00:49] 所以使得中国的民族自然階级得以发展,中国的一些文化,
[00:00:53] 还有我们所说的思想能够得到进一步的解放。
[00:00:57] 所以在这种背景之下就有了我们所说的新文化运动。
[00:01:01] 那新文化运动,我们先来看一下第1个,同学们再说完标注。
[00:01:05] 新文化运动兴起的标志是什么呢?
[00:01:08] 大家都知道,新文化运动兴起的标志是陈东雄先生创刊的新青年。
[00:01:14] 新青年原名的叫做青年杂志对吧?
[00:01:17] 但是后来他这个杂志的名称和人名称重了,
[00:01:21] 青权乐属于是,后来改成了叫做新青年。
[00:01:24] 而新青年上面呢,他主要是在这个杂志上去写不同的文章,
[00:01:29] 所以我们会发现新青年他其实就是宣传新思想的一个什么,
[00:01:33] 一个主要阵地,所以在这里面他给到了第2个,同学们标志出来,
[00:01:38] 他说新青年是新文化运动的主要阵地,
[00:01:41] 那这个就是我们所说的新文化运动,
[00:01:43] 他的一个思想宣传的一个非常重要的一个内容。
[00:01:46] 那第2个呢,就是我们也知道啊,
[00:01:48] 在我们所说的新文化运动当中呢,
[00:01:51] 北大它是新文化运动的什么?
[00:01:53] 主要活动基地,同学标志一下,
[00:01:55] 北京大学是新文化运动的主要活动基地,
[00:01:58] 这里面大家就要去考察两个定位,哪两个定位呢?
[00:02:01] 第一个就是新文化运动的兴起以及主要阵地是一个杂志,
[00:02:06] 第二一个呢,就是它的主要活动基地,
[00:02:09] 那这个时候是在北京大学,是在北京大学,
[00:02:12] 因为当时陈独秀先生他其实就是北京大学的文科学长,
[00:02:17] 那这是我们所说的有关于新文化运动的一些基本情况,
[00:02:22] 那新文化运动呢,它必然是要宣传一些新思想的,
[00:02:26] 那它都宣传了哪些内容呢?
[00:02:28] 那这个地方我们来看一下新文化运动的内容,
[00:02:31] 新文化运动的内容呢,分为前期和后期,
[00:02:34] 前期呢,它主要宣传一些新思想,
[00:02:36] 同学标志一下,叫做提倡科学,
[00:02:39] 这里面的科学和民主,
[00:02:41] 就是我们所说的德先生和赛先生。
[00:02:47] 这里面的赛先生当然指的是科学了,
[00:02:50] 就是英文单词科学的那一个,对吧,
[00:02:53] 而民主呢,就是德先生啊,
[00:02:55] 所以在我们所说的新文化运动前期呢,宣传民主和科学,
[00:02:59] 它其实是和中国的那种封建专制愚昧形成了鲜明的对比,
[00:03:04] 那这是第一个,叫提倡民主科学,
[00:03:06] 第二个呢,就是提倡新道德反对旧道德,
[00:03:09] 那第三一个,同学也要标志一下,
[00:03:11] 叫提倡新文学反对科学,
[00:03:14] 这个新旧文学之争啊,其实是在当时的这个北大,
[00:03:18] 有非常大的这样的一个争论,对吧,
[00:03:20] 大家其实也能够看到,
[00:03:22] 当时在新旧文学之争,新旧文化之争,
[00:03:25] 它那种针锋相对的那种情况,
[00:03:27] 你比如说最为典型的,
[00:03:29] 就是当时我们所说的孤鸿鸣老先生,
[00:03:31] 他其实呢,大家都说他头上扎着辫子,对吧,
[00:03:34] 他其实是,相对来说是旧文学,
[00:03:37] 或者旧文化流派的,
[00:03:39] 那当时大家很多人说他是保皇派,
[00:03:41] 对吧,而我们所说的陈都秀也好,
[00:03:43] 李大昭也好,胡诗也好,
[00:03:45] 他们其实是典型的我们所说的新文化,
[00:03:47] 或者新文学的这样的一个提倡人,
[00:03:50] 那当时不是还在北大的这个学堂当中,
[00:03:52] 去有各种各样的这样的一个辩论赛载,
[00:03:55] 大家应该还记得吧,
[00:03:56] 所以这是新文化运动的前期,
[00:03:58] 提倡民主科学,提倡新文学,
[00:04:01] 而到了新文化运动的后期,
[00:04:03] 就开始去宣传什么了呢,
[00:04:06] 大家注意一下,把马克思主义话下来,
[00:04:08] 到了新文化运动的后期,
[00:04:10] 其实就开始致力于宣传马克思主义,
[00:04:13] 而马克思主义的宣传,
[00:04:15] 也为武私运动的发展,
[00:04:17] 奠定了一个基础,
[00:04:18] 那这是我们所说的有关于
[00:04:20] 新文化运动的内容,大家要知道,
[00:04:23] 这是分前期和后期,
[00:04:25] 而在新文化运动当中呢,
[00:04:27] 也涌先出来了很多代表人物,
[00:04:30] 那这代表人物呢,
[00:04:31] 首先第一个不得不说的,
[00:04:33] 就是我们所说的陈都秀先生,
[00:04:35] 第一个点呢,就是在这儿,
[00:04:38] 他说他在创刊号上发表了一个文章,
[00:04:41] 同时标注一下,
[00:04:42] 这里面考察一个人物,
[00:04:44] 和事件的对应,
[00:04:46] 这个文章呢,就叫做
[00:04:47] 静告青年,
[00:04:48] 也就是在觉醒年代当中啊,
[00:04:50] 那个毛泽东统治,
[00:04:52] 就是少年毛泽东统治,
[00:04:53] 他读的那篇文章,
[00:04:55] 他发表了叫静告青年一文,
[00:04:57] 并在这里面标注一下,
[00:04:58] 第二点,
[00:04:59] 提出了民主以及科学的口号,
[00:05:02] 所以在这里面,
[00:05:03] 这是我们所说的,
[00:05:04] 有关于陈都秀,
[00:05:05] 在新冒汉运动当中,
[00:05:06] 经常会考达啊,
[00:05:07] 那有关于静告青年的这篇文章呢,
[00:05:09] 就是人人听起来,
[00:05:10] 也是令人觉得非常感动的,
[00:05:12] 他在那里面写道,
[00:05:13] 说青年啊,
[00:05:14] 如初春,如昭日,
[00:05:16] 如百会之蒙动,
[00:05:17] 而如历任,
[00:05:18] 这心发于行,
[00:05:19] 人生最可宝贵之时期耶,
[00:05:22] 他认为新青年,
[00:05:24] 中国的青年,
[00:05:25] 应该是什么样子的呢?
[00:05:26] 他在后面说到了,
[00:05:27] 他认为中国的青年,
[00:05:28] 应该是自主的,
[00:05:29] 而非奴隶的,
[00:05:30] 而非奴隶的,
[00:05:31] 进步的,
[00:05:32] 而非保守的,
[00:05:33] 进取的,
[00:05:34] 而非隐退的,
[00:05:35] 世界的,
[00:05:36] 而非锁国的,
[00:05:37] 实力的,
[00:05:38] 而非虚伦的,
[00:05:39] 科学的,
[00:05:40] 而非想象的,
[00:05:41] 这是在静告青年当中,
[00:05:42] 所写的,
[00:05:43] 他所期待当中的,
[00:05:44] 中国青年应该有的,
[00:05:45] 一样子,
[00:05:46] 而到了我们后面的时候,
[00:05:48] 在决定年代当中,
[00:05:49] 也看到了,
[00:05:50] 当时毛泽东同志,
[00:05:51] 也就是青年毛泽东时期,
[00:05:52] 他说了,
[00:05:53] 他读了这篇文章之后,
[00:05:54] 非常的感慨,对吧,
[00:05:56] 他觉得还应该加上一条,
[00:05:57] 对吧,
[00:05:58] 应该是强健的,
[00:05:59] 而并非体弱的,
[00:06:00] 所以这是我们所说的,
[00:06:01] 在静告青年当中,
[00:06:03] 我们所提到的,
[00:06:04] 青年应当如何,
[00:06:05] 所以这是我们所说的,
[00:06:07] 新天年杂志的创开人,
[00:06:09] 就是陈都秀先生,
[00:06:10] 和他有关的事件,
[00:06:11] 这是第一个,
[00:06:12] 大家要知道,
[00:06:13] 第一个代表人物,
[00:06:15] 陈都秀,
[00:06:16] 那第二个呢,
[00:06:17] 就是我们所说的,
[00:06:18] 李大昭,
[00:06:19] 李大昭呢,
[00:06:20] 他主要是宣传,
[00:06:21] 马斯主义,
[00:06:22] 所以在这里面,
[00:06:23] 同学们需要掌握两个点,
[00:06:24] 第一个,
[00:06:25] 就是李大昭先生,
[00:06:26] 那些论助在这里,
[00:06:28] 同学们把它标志出来,
[00:06:30] 比如说,
[00:06:31] 在这里面他提到了,
[00:06:32] 叫法格革命之比较官,
[00:06:34] 庶民的胜利,
[00:06:35] 博尔实为主义的胜利,
[00:06:36] 还有我的马斯主义官,
[00:06:38] 同学们标主一下,
[00:06:39] 圈一,
[00:06:40] 这些内容呢,
[00:06:41] 其实都在去,
[00:06:42] 强调,
[00:06:43] 或者是宣传,
[00:06:44] 我们所说的,
[00:06:45] 马斯主义,
[00:06:46] 而李大昭先生,
[00:06:47] 也成为了,
[00:06:48] 叫做,
[00:06:49] 中国扛起,
[00:06:50] 马斯主义大旗的第一人,
[00:06:52] 或者说,
[00:06:53] 也是中国最早传播,
[00:06:54] 马斯主义的人,
[00:06:55] 因为他,
[00:06:56] 就是一直在认为,
[00:06:58] 马斯主义可以怎么样,
[00:06:59] 可以救中国,
[00:07:00] 因为我们尝试了,
[00:07:01] 那么多的思想,
[00:07:02] 最终都没有用,
[00:07:03] 所以在这里面,
[00:07:04] 他看到了,
[00:07:05] 我们所说的,
[00:07:06] 在,
[00:07:07] 原来的,
[00:07:08] 沙皇俄国的,
[00:07:09] 这样的一个,
[00:07:10] 不若链条之上,
[00:07:11] 民众居然把,
[00:07:12] 我们所说的,
[00:07:13] 这样的一个,
[00:07:14] 帝国推翻了,
[00:07:15] 最后建立了一个,
[00:07:16] 归大众,
[00:07:17] 所有的这样的一个,
[00:07:18] 社会和生活,
[00:07:19] 那这种情况之下,
[00:07:20] 他就认为,
[00:07:21] 这种思想,
[00:07:22] 其实可以,
[00:07:23] 拯救中国的,
[00:07:24] 宣传马斯主义的,
[00:07:25] 这样一个观点,
[00:07:26] 在电视剧当中,
[00:07:27] 也呈现出来了,
[00:07:28] 大家应该看到,
[00:07:29] 他和长信店的工人,
[00:07:30] 一起,
[00:07:31] 吃饭,煲饺的那个时候,
[00:07:32] 他就说过,
[00:07:33] 这样的一段话,
[00:07:34] 那当时咋说的呢,
[00:07:35] 他是说,
[00:07:36] 大家听过一个人没有啊,
[00:07:37] 他叫,
[00:07:38] 他叫马克斯,
[00:07:39] 德国人,
[00:07:40] 大胡子,
[00:07:41] 然后当时,
[00:07:42] 那个长信店的工人,
[00:07:43] 还开玩笑,
[00:07:44] 说有你胡子大吗,
[00:07:45] 然后当时,
[00:07:46] 李大招一些说,
[00:07:47] 哎呦,
[00:07:48] 那可比我胡子大多了,
[00:07:49] 然后在那里面,
[00:07:50] 马斯主义,
[00:07:51] 他强调的是啥呢,
[00:07:52] 无产阶级观点,
[00:07:53] 他说说白了,
[00:07:54] 这是以后土地,
[00:07:55] 归你了,
[00:07:56] 归你了,
[00:07:57] 归你了,
[00:07:58] 归大家了,
[00:07:59] 再也不用受,
[00:08:00] 其他人的欺负了,
[00:08:01] 对吧,
[00:08:02] 所以他那种情况之下,
[00:08:03] 他就认为,
[00:08:04] 马斯主义,
[00:08:05] 就能够拯救当时的中国啊,
[00:08:06] 所以在这里面,
[00:08:08] 李大招,
[00:08:09] 他是宣传,
[00:08:10] 马斯主义的,
[00:08:11] 第一人啊,
[00:08:12] 所以在这个地方,
[00:08:13] 大家注意一下,
[00:08:14] 这是第二个,
[00:08:15] 那第三一个人呢,
[00:08:16] 就是我们,
[00:08:17] 代表人物,
[00:08:18] 蔡恩培先生,
[00:08:19] 在学术上的宗旨和方质啊,
[00:08:21] 一直都是,
[00:08:22] 思想自由,
[00:08:23] 兼容并包的,
[00:08:24] 所以在这里面,
[00:08:25] 才有了我们所说的,
[00:08:27] 新文化运动的,
[00:08:28] 进一步的传播,
[00:08:29] 我给大家展示这个图,
[00:08:30] 大家应该都看过,
[00:08:31] 就是在觉醒年代当中,
[00:08:33] 他冒着风雪,
[00:08:34] 去请陈仲瑞先生,
[00:08:35] 到北大,
[00:08:36] 认较的这样的一个过程啊,
[00:08:38] 那这是我们所说的,
[00:08:39] 蔡恩培,
[00:08:40] 所以大家都说,
[00:08:41] 菜工千古,
[00:08:42] 也确实是如此啊,
[00:08:43] 所以这是第三个代表人物,
[00:08:45] 大家知道,
[00:08:46] 他的一个思想方真,
[00:08:48] 第四个人物呢,
[00:08:49] 就是胡适啊,
[00:08:50] 胡适在这里面,
[00:08:51] 第一个,
[00:08:52] 他的著作,
[00:08:53] 大家要知道啊,
[00:08:54] 这是文学改良主义,
[00:08:55] 那这个著作当中呢,
[00:08:57] 他主要强调什么问题呢,
[00:08:59] 同样标注一下,
[00:09:00] 第二个点,
[00:09:01] 就是强调用,
[00:09:02] 白画文代替文艳文,
[00:09:04] 胡适呢,
[00:09:05] 可以说是一个学者啊,
[00:09:07] 他当时来到北大的时候,
[00:09:09] 他其实也说过,
[00:09:10] 这样一段话,
[00:09:11] 他说,
[00:09:12] 无他日能见中国,
[00:09:13] 由于著名的国家大学,
[00:09:15] 可比此帮的哈佛,
[00:09:17] 中国之牛津剑桥,
[00:09:19] 德国之柏林,
[00:09:20] 法国之巴黎,
[00:09:21] 无死,
[00:09:22] 名目以,
[00:09:23] 后面他又说了,
[00:09:24] 说,单凭一张苦口,
[00:09:25] 一直突比,
[00:09:26] 现身于北大,
[00:09:27] 卖向世界著名大学的进程,
[00:09:29] 这也是当时胡适在北大,
[00:09:31] 被从美国挖回来之后,
[00:09:33] 然后在北大,
[00:09:34] 他认教之前,
[00:09:35] 所说的这样的一段话,
[00:09:36] 对吧,
[00:09:37] 所以他在整个推动北大,
[00:09:39] 卖向世界大学的进程当中,
[00:09:41] 其实做到了很大的这样的一个贡献啊,
[00:09:43] 那他在最开始,
[00:09:44] 参加新文化运动当中,
[00:09:45] 他就提到的,
[00:09:46] 要用白画文代替文艳文,
[00:09:48] 大家都知道文艳文,
[00:09:49] 相对来说呢,就是,
[00:09:50] 比较简洁,
[00:09:51] 但是我们现在学文艳文的时候,
[00:09:53] 还是要把它怎么样,
[00:09:54] 翻译一下,
[00:09:55] 才能知道他说的是什么,
[00:09:56] 那也有意味着,
[00:09:57] 文艳文,
[00:09:58] 他需要翻译,
[00:09:59] 才能够去了解,
[00:10:00] 那这里面就意味着,
[00:10:01] 那必须要去学习文艳文的语法,
[00:10:04] 我才能够明白,
[00:10:05] 会清楚他说的是什么,
[00:10:07] 那要去学习,
[00:10:08] 又不是每个人,
[00:10:09] 都有受教育的机会,
[00:10:10] 所以我们所说的这种文艳文啊,
[00:10:12] 它大部分呢,
[00:10:13] 是为少数者助言力输的,
[00:10:15] 也就是我们所说的,
[00:10:16] 可能是为统治阶级,
[00:10:18] 去写一些著作,
[00:10:19] 所以这是我们所说的,
[00:10:20] 这个文艳文,
[00:10:21] 而它提出的,
[00:10:22] 要用白画文,
[00:10:23] 去代替文艳文,
[00:10:24] 推动白画式,
[00:10:25] 就是因为白画文,
[00:10:26] 通俗易懂,
[00:10:27] 它可以从原本的,
[00:10:28] 少数的这样一种文化,
[00:10:30] 变成一种什么,
[00:10:31] 大众的文化,
[00:10:32] 变成一种,
[00:10:33] 描写老百姓生活那种文化,
[00:10:35] 所以它在它自己的著作当中,
[00:10:37] 就提到了,
[00:10:38] 要提倡用什么,
[00:10:39] 白画文,
[00:10:40] 要提倡白画文,
[00:10:41] 胡适,
[00:10:42] 它所提出来的,
[00:10:43] 那第五个人物,
[00:10:44] 也是非常照的一个人物呢,
[00:10:46] 就是要鲁迅,
[00:10:47] 那大家都知道鲁迅先生,
[00:10:49] 在这个,
[00:10:50] 崛起年代当中,
[00:10:51] 也给大家留下了,
[00:10:52] 非常深刻的这样的一个印象,
[00:10:54] 对吧,最开始的时候,
[00:10:55] 就是在那个世界口,
[00:10:56] 然后吃人选馒头那个地方,
[00:10:58] 有到它,对吧,
[00:10:59] 后来的时候呢,
[00:11:00] 就是,
[00:11:01] 我们知道一会儿,
[00:11:02] 就会给大家讲到,
[00:11:03] 巴黎合会,
[00:11:04] 要失败的时候,
[00:11:05] 它不干了,对吧,
[00:11:06] 它举个牌子,
[00:11:07] 站在那个教育部的,
[00:11:08] 那个门口,
[00:11:09] 然后上面写个字,
[00:11:11] 对于鲁迅先生呢,
[00:11:12] 就是觉得,
[00:11:13] 哎,非常可爱,对吧,
[00:11:15] 大家都亲切的,
[00:11:16] 称它为迅哥,
[00:11:17] 那鲁迅先生的比风,
[00:11:18] 也是非常犀利的,
[00:11:19] 后来呢,
[00:11:20] 他被邀请到了,
[00:11:21] 我们所说的这个,
[00:11:22] 崛起年杂志的时候,
