[00000.00-00006.96] 好了 同学们 讲完了实现中华民族伟大夫星的唯一体和四个全面之后呢
[00006.96-00011.12] 接下来看下第三个部分 就是实现中华民族伟大夫星
[00011.12-00013.12] 需要哪些重要的保障
[00013.12-00016.72] 在这个照保障当中 要给大家讲三个板块的内容
[00016.72-00019.36] 但是这三个板块可以画分成两个围度
[00019.36-00022.88] 第二个围度就是我们要知道实现中华民族伟大夫星
[00022.88-00025.60] 必须需要一些内部的条件
[00025.60-00027.92] 这些内部条件是什么呢 首先第一个
[00027.92-00030.60] 国家的发展离不开一个强大的互动
[00030.60-00034.28] 这个互动对我们来说就是国防核军队的建设
[00034.28-00035.64] 所以在重要保障当中
[00035.64-00038.92] 要给大家讲讲国防核军队现代化的建立
[00038.92-00040.64] 第二个就是我们要知道
[00040.64-00042.64] 实现周华民族的伟大附星
[00042.64-00043.92] 既然要附星
[00043.92-00047.64] 那就必须要保证我们的国家是完整的同意的
[00047.64-00050.28] 所以在我们的伟大附星的
[00050.28-00051.16] 重要保障当中
[00051.16-00052.52] 要给大家讲讲第二个
[00052.52-00054.84] 就是在这里要提到推进祖国
[00054.84-00056.84] 同意的这样的一个问题
[00056.84-00059.66] 這是實現中華民族偉大幅行的內部條件
[00059.66-00061.48] 但是我們也經常說一句話
[00061.48-00064.04] 就是中國的發展離不開世界
[00064.04-00066.28] 那作為世界當中非常著的
[00066.28-00067.24] 讓那個國家
[00067.24-00069.36] 我們是世界上最大的發展中國家
[00069.36-00069.92] 對不對
[00069.92-00072.84] 所以作為世界當中非常著的一個組成部分
[00072.84-00075.48] 那我們想要實現中國的發展
[00075.48-00076.60] 小推動中國
[00076.60-00078.32] 現在它建設目標的實現
[00078.32-00080.00] 我們必須還有一個良好的什麼
[00080.00-00080.88] 外部環境
[00080.88-00082.52] 這個外部環境的固件
[00082.52-00083.68] 要依靠的是什麼呢
[00083.68-00085.52] 要依靠的是中國特色的
[00085.52-00086.52] 大國外交
[00086.52-00087.92] 所以在重要保障当中呢
[00087.92-00089.32] 我们要从两个违度
[00089.32-00091.24] 三个板块来给大家去讲解
[00091.24-00093.96] 实现父亲的保障到底有哪些
[00093.96-00096.52] 我们就进入到我们所说的第五章
[00096.52-00098.80] 它的一个板块的学习
[00098.80-00101.16] 实现周华民族里的父亲的招报照
[00101.16-00103.16] 那么先来看一下第一节的内容
[00103.16-00106.52] 就是加快国防守军队现代化的建设
[00106.52-00109.16] 说到国防守军队现代化的建设
[00109.16-00111.60] 它的照顾对我们来说不原而欲
