[00000.00-00006.92] 好,我们讲完了,第一个内部条件,加强国防和军队性的话的四个核心的要点之后,
[00006.92-00013.76] 我们来看一下内部条件当中的第二个只是坚持一国两制推进足够统一
[00013.76-00018.28] 在这个点里面,要大家去实际的内容相对来说就比较少了,
[00018.28-00024.08] 大家一看就能得出来打,我们来快速把第二件的内容来回顾一下就可以了
[00024.08-00026.32] 首先第一个我们既然提到
[00026.32-00028.28] 说在推进国家祖国同一当中
[00028.28-00031.60] 不得不提了一个基本国策就叫做一国两制
[00031.60-00032.60] 其实提到一国两制
[00032.60-00035.80] 大家应该知道它的概念在看一下书上咋说的
[00035.80-00039.04] 他们一国两制就是在统一国家之内
[00039.04-00040.84] 国家主体事情受货主义制度
[00040.84-00042.84] 国家主体是大陆
[00042.84-00045.08] 然后在个别地区也就是在我们所说
[00045.08-00047.08] 大陆以外的搞谈
[00047.72-00050.76] 实行依法叫做实行自本主义制度
[00050.76-00053.04] 这样就叫做一国两制
[00053.04-00056.52] 主要是一国和两制的概念大家应该能变弃出来
[00056.52-00059.52] 我先给大家说一下这个地方在这些考察的时候它怎么考察
[00059.52-00061.24] 有关于两制的内容
[00061.24-00062.76] 它往往会结合第一个
[00062.76-00064.32] 我先把考察写在旁边
[00064.32-00065.80] 有关于这一节的内容
[00065.80-00067.76] 它在考察的时候首先第一个
[00067.76-00070.40] 它往往考的是综合性的考察方式
[00070.40-00072.32] 综合性考察大家都知道
[00072.32-00075.40] 这是把这里面的随便的哪一句话拿出来
[00075.40-00076.68] 给它变成一个选项
[00076.68-00078.68] 或者变成一个圈一圈圈圈圈圈四
[00078.68-00081.32] 然后给它放在那让你去进行变弃
[00081.32-00083.52] 所以在这种中文性考察里面
[00083.52-00087.32] 我们第一个要掌握住的就是这些基本概念到底是什么
[00087.32-00091.12] 第二个就是它会集合相的一些政策文件来考察
[00091.12-00095.12] 其实这也是我们实正考察的一个非常明显的一个特点了
[00095.12-00097.88] 大家都知道啊像我们实正的政策文件
[00097.88-00100.72] 你往往中特它就是过实的实正嘛
[00100.72-00104.72] 所以它的理论思想和它的内容是不断的在变化发展的
[00104.72-00109.32] 所以我们必须要有能够把它穿成馅的这样的一个能力
[00109.32-00111.40] 所以在这里面他会结会去政策文件
[00111.40-00112.40] 所以在这呢
[00112.40-00115.08] 大家知道这是在整个这一节当中
[00115.08-00117.44] 他在考察上我们需要注意的
[00117.44-00119.32] 我觉得简单的例子比较说
[00119.88-00121.80] 在之前我们所说的这个
[00121.80-00123.68] 澳门回归中年纪念的时候
[00123.68-00125.84] 你看我们国家的领导人
[00125.84-00127.64] 是不是就去了发表箱的讲话
[00127.64-00130.28] 是包括之前在香港回归纪念的时候
[00130.28-00131.80] 我们是不是也发表箱的讲话
[00131.80-00134.04] 是包括国安法的这样的一个通过
[00134.04-00135.56] 那都是那一年的大热点
[00135.56-00137.36] 他一旦成为当年的大热点的话
[00137.36-00142.28] 他就會結合當時的時政熱點事件接主要的講話和原本的
[00142.28-00144.56] 中特框架去結合再一塊就考察
[00144.56-00146.96] 所以在現在目前學的是中特
[00146.96-00150.68] 而且目前來看的話沒有和他們之間特別大的這樣
[00150.68-00151.68] 那個時政熱點事件
[00151.68-00154.88] 我們又做到的就是把卸有的這個框架去浪費好
[00154.88-00156.08] 就OK了 好吧
[00156.08-00158.88] 那麼這是整個有關於一國兩制
[00158.88-00159.88] 實現足夠統一
[00159.88-00162.72] 他在考察偉一度上大家要注意的
[00162.72-00164.56] 那我們剛才講完了一國兩制
[00164.56-00165.60] 他的那盒之後呢
[00165.60-00167.40] 接下来看一下一国和两制
[00167.40-00168.40] 他各自的地位
[00168.40-00170.40] 这个点需要同们在书上标注一下
[00170.40-00173.60] 他说一国是一国两制是一个完整的概念
[00173.60-00175.12] 同们坏下说些一国
[00175.12-00176.24] 一国是最重要的
[00176.24-00178.20] 就坚持一个中国原则
[00178.20-00180.32] 所以一国是实行两制的什么
[00180.32-00181.20] 前提和基础
[00181.20-00182.20] 大原则不能变
[00182.20-00182.40] 对吧
[00182.40-00186.20] 这是刻在我们每个人股资里面应该去制造的
[00186.20-00186.84] 第二个呢
[00186.84-00188.96] 就是我们所谓的两制
[00188.96-00191.80] 两制的话就是从数和派生育一国
[00191.80-00193.48] 大家都知道一国和两制
[00193.48-00196.30] 一个是根本一个是职业
[00196.30-00198.34] 那在同你们来看哪一个是根上
[00199.12-00200.40] 那还用说嘛 对吧
