[00000.00-00005.40] 我們在前面給大家講了實現中華民族偉大福興的內部條件
[00005.40-00011.52] 一個是加快國防和軍隊性的話建設另外一個就是堅持一國兩制推進足夠統一
[00011.52-00014.52] 這個是內部保障 會長內部條件
[00014.52-00020.08] 那麼說了實現中華民族偉大福興不僅需要內部的保障也需要外部的保障
[00020.08-00022.08] 外部就要一靠世界
[00022.08-00025.88] 我們所說的評論環境的運行就要一靠中國特色的
[00025.88-00026.92] 大國外交
[00026.92-00028.96] 中國特色的大國外交當中
[00028.96-00030.80] 我們要給大家講兩個方面問題
[00030.80-00033.88] 這是第一個中國在外交上一直走的
[00033.88-00035.28] 發展道路是什麼呢
[00035.28-00038.20] 這是和平發展道路
[00038.20-00040.60] 那為什麼中國要堅持和平發展道路呢
[00040.60-00041.92] 它其實原資源
[00041.92-00043.40] 我們的兩個原因
[00043.40-00044.64] 其實原因是多方面的
[00044.64-00047.64] 但是我們在整個獎益黨中給大家設置了兩個原因
[00047.64-00052.00] 這兩個原因分別來自於十有大和二十大報告當中所提到的那種
[00052.00-00053.36] 我們首先來看一下
[00053.36-00055.32] 中國堅持走和平發展道路
[00055.32-00057.32] 在朱多言印当中的第一个是什么
[00057.32-00059.84] 同时在书上去给他做一个简单的标准
[00059.84-00061.48] 他只有他报告指出
[00061.48-00065.56] 说世界处于大发展大边隔大调整时期
[00065.56-00068.64] 尤其是在我们所说的疫情之前
[00068.64-00070.16] 已经疫情之后这几年
[00070.16-00072.48] 我们会发现在疫情突发之前
[00072.48-00073.48] 这个很多的
[00073.48-00076.04] 比如说像我们所说的美国的时代周康等等
[00076.04-00078.36] 他就开始重新去开入去盘算
[00078.36-00080.88] 说现在的世界发展经济的运行
[00080.88-00082.32] 他的一个总体去知是什么
[00082.32-00083.86] 在整个数据显示
[00083.86-00085.40] 现在经济发展整体名型的
[00085.40-00087.44] 其实这种在从原本的
[00087.44-00088.60] 我们所说的北美的
[00088.60-00090.24] 这些欧美这些地区
[00090.24-00092.04] 转移到什么转移到压住地区
[00092.04-00094.68] 这个其实就是在之前所提到的
[00094.68-00097.04] 我们所说的世界处于大发展大变革
[00097.04-00099.24] 大调整的这样的一个具体体线
[00099.24-00100.92] 那哪怕世界处在一个
[00100.92-00103.12] 我们所说的发展变革调整时期
[00103.12-00105.12] 它有很大的这样的一个变化
[00105.12-00106.96] 资源不断的在流动
[00106.96-00108.96] 但是它依旧有一个不变的主题
[00108.96-00110.72] 这个点同时给得比较不出来
[00110.72-00113.32] 虽然世界处在这样的一个变革调整期
[00113.32-00116.36] 但是和平于发展仍然是什么
[00116.36-00117.52] 时代的主题
[00117.52-00118.48] 所以在这里面
[00118.48-00120.20] 既然世界要发展和平
[00120.20-00123.00] 那中国在整个发展的这样的一个机调上
[00123.00-00127.16] 叫把握世界发展的大事坚持走和平发展道路
[00127.16-00129.20] 所以在这里面大家需要记住的第一个点
[00129.20-00131.04] 就是当今时代的主题是什么
[00131.04-00133.24] 这是和平约发展
[00133.24-00135.24] 这个和平于发展这个点
[00135.56-00136.76] 在之前的考试当中
[00136.76-00138.56] 经常作为一个选项出现
[00138.56-00139.64] 它不会发控
[00139.64-00141.32] 他这种体骂控制太简单的说
[00141.32-00142.52] 虽然主题是啥
[00142.80-00143.76] 能不可能这么考
[00143.76-00146.20] 他只能做一个选项出现的大家知道
[00146.28-00146.88] 这是
[00147.52-00148.48] 和平以发展
[00148.48-00150.36] 认识当今时代的主题啊
[00150.36-00153.40] 这个和平发展的主题是自私业大量之后
[00153.40-00154.20] 所得出来的
[00154.20-00155.64] 之前是战争与革命
[00155.64-00158.20] 现在就进入到了和平远发展时期
[00158.20-00159.56] 大家都知道和平
[00159.56-00162.28] 他是人类用橫追求的这样的一个主题啊
[00162.28-00164.76] 也是中国古代在社会描维当中
[00164.76-00165.76] 所提到的什么
[00165.76-00167.08] 大同社会
[00167.08-00168.68] 所以人类对于和平的追求
[00168.68-00171.20] 已经持续从人类有人类开始
[00171.20-00172.72] 应该就是我们所说的什么
[00172.72-00173.92] 应该就有了
[00173.92-00175.32] 人类对于和平的追求
[00175.32-00178.92] 但是和平的维持和和平的延续
[00178.92-00180.20] 可不是那么简单的
[00180.20-00181.96] 答应能够看到现在国际
[00181.96-00183.72] 热点世界不断
[00183.72-00185.64] 它如果是国际冲突不断的话
[00185.64-00187.64] 就总有我们所说的这样的一个
[00187.64-00188.28] 伤狼在
[00188.28-00189.84] 所以全世界各国人民
[00189.84-00191.76] 去对于和平的呼类的呼声
[00191.76-00193.24] 也是越来越大了
[00193.24-00194.52] 然后感触表深的
[00194.52-00195.44] 其实就是
[00195.44-00196.84] 答应该在避战上
[00196.84-00198.20] 推荐答应去看一下
[00198.20-00200.50] 有一首歌就叫做溫废
[00200.50-00202.16] 我在这里也给大家解了一个片段
[00202.16-00204.44] 就是听完那个歌曲之后
[00204.44-00205.88] 你会感觉非常的震撼
[00205.88-00207.72] 他中间有一段是挺顿的
