[00000.00-00002.68] 今天我们要先来学习买员的第一个部分
[00002.68-00004.02] 就是它的导论
[00004.02-00006.92] 那今天学习的任务和目标非常地明确
[00006.92-00010.84] 就是需要同学们跟着老师在今天的这一堂课之上
[00010.84-00013.56] 把所有的那种现场背下来
[00013.56-00015.36] 你说很多时候不过老师
[00015.36-00016.40] 我做不到
[00016.40-00018.08] 不过你能做到
[00018.08-00019.32] 你只要跟着我的思路
[00019.32-00021.64] 你会发现背宗其实并没有那么难
[00021.64-00024.44] 那第二个就是在今天的这堂课结束之后
[00024.44-00026.20] 我会把所有的考点
[00026.20-00027.96] 变成一张思一导图
[00027.96-00033.34] 发送给大家并且在这个思维导图的基础之上抽象出来了12句核心的话
[00033.34-00038.20] 有需要的同学可以在评论区当中回复导论两个字
[00038.20-00041.22] 借时我就会把箱的内容发送给大家了
[00041.22-00044.08] 我们想要学清楚导论这一部分内容
[00044.08-00046.06] 必须先从红官上了解
[00046.06-00049.46] 咱们这一个导论他讲了几个方面的问题
[00049.46-00052.80] 咱们这一个部分的导论其实讲了三个方面的问题
[00052.80-00056.42] 第一个就是就马斯主意的科学内汉
[00056.42-00059.82] 科学内涵其实在本身上就是再给我们说清楚
[00059.82-00063.32] 马斯主义到底说了些啥东西
[00063.32-00065.70] 这个就叫做他的科学内涵
[00065.70-00067.84] 科学内涵三个组成部分
[00067.84-00070.12] 一共包含了三层口点
[00070.12-00072.52] 这个地方到时候会让同学们去记
[00072.52-00073.72] 补充口点
[00073.72-00075.72] 这是第一个他的科学内涵
[00075.72-00077.92] 第二个就是任何一个理论
[00077.92-00081.02] 他的产生都有一个先名的标志
[00081.02-00083.02] 就好比我来到了这个市场之后
[00083.02-00085.02] 我一定有一个先名的标志
[00085.02-00086.12] 就是我的出生证明
[00086.12-00086.62] 对吧
[00086.62-00089.16] 这里面马斯主义的弹声标志
[00089.16-00091.92] 类似于马斯主义这套理论的出声证明
[00091.92-00093.42] 它的标志是什么呢
[00093.42-00095.52] 我的出声标志就是一张转
[00095.52-00096.36] 叫出声证明
[00096.36-00098.22] 那马斯主义它的这个证明
[00098.22-00100.02] 就是一个注作和理论
[00100.02-00102.12] 这个就是一个文件
[00102.12-00104.12] 第二个它的弹声标志
[00104.12-00106.52] 第三个就是马斯主义
[00106.52-00108.32] 作为一套完整的理论
[00108.32-00112.12] 它和其它的一些理论有什么不一样的地方
[00112.12-00113.92] 这个就称着为他的
[00114.16-00115.40] 鲜鸣特征
[00115.52-00117.00] 鲜鸣特征的一共五个
[00117.00-00119.80] 但是在这里面最核心的是四句话
[00119.80-00120.76] 四句考虑
[00120.76-00122.56] 首先先来看一下第一个
[00122.56-00124.68] 就是马斯主义的科学内寒
[00124.68-00127.24] 也就是马斯主义到底讲了哪些内容
[00127.44-00128.44] 对于当中说
[00128.44-00131.44] 说马斯主义是马斯和恩格斯创立
[00131.44-00134.24] 被为后期者不断发展的科学理论体系
[00134.24-00136.92] 是关于自然社会和人类四为发展
[00136.92-00138.32] 一般规律的学说
[00138.32-00140.12] 然后最后等等说了一大堆
[00140.12-00142.42] 其实在这里我们只需要明确一个点
[00142.42-00143.30] 这个点呢
[00143.30-00144.72] 不需要同时们去背送
[00144.72-00146.22] 你只需要有概念就行
[00146.22-00148.32] 他如果从星期考点还来说的话
[00148.32-00150.10] 他不能算一个一星期的考点
[00150.10-00151.80] 只能算做0.5星
[00151.80-00153.70] 而在个别的选项的时候
[00153.70-00154.46] 会出现
[00154.46-00156.62] 会在个别的部分提到中会出现
[00156.62-00158.20] 就注重一个细节
[00158.20-00159.02] 好大家
[00159.02-00160.60] 在这里就是第一个
[00160.60-00163.52] 马思主义是马克思和恩格斯所创立的
[00163.52-00164.36] 这个没有问题
[00164.36-00165.46] 看明是就知道
[00165.46-00167.20] 后面有一个细节大概有这种
[00167.20-00171.00] 並為後繼者所不斷發展的
[00171.00-00172.60] 後繼者都有誰呢
[00172.60-00176.20] 大家就知道列寧主義算算馬斯主義的內容呢
[00177.20-00179.00] 看列寧是不是後繼者呢
[00179.00-00180.88] 只要是宣傳生活主義的
[00180.88-00183.00] 運用馬斯主義理論搞時間的
[00183.00-00184.80] 是不是他都是他的後繼者
[00184.80-00186.80] 所以馬斯主義所包含的內容
[00186.80-00189.00] 除了馬斯和恩格斯所創立的
[00189.00-00191.60] 我們以為會講到的那幾個部分之外
[00191.60-00193.00] 還包括後繼者們
[00193.00-00194.40] 比如說列寧主義
[00194.40-00196.60] 比如說中國的毛思想
[00196.60-00199.28] 比如说中国特色受主义理问题性
[00199.28-00202.52] 他其实都是马斯主义的组成部分
[00202.52-00204.40] 这个地方同学们注意一下
[00204.40-00206.72] 他如果出现在叛论体
[00206.72-00208.12] 或叛论选项当中
[00208.12-00210.28] 让我们去叛论关于马斯说法
[00210.28-00211.72] 正确或者错误的是
[00211.72-00213.76] 这个细节的点同学每一条主义
[00213.76-00217.12] 但是这不值得同学们单独拿出来读字去背一下
[00217.12-00220.20] 你只需要知道在这出现我刚才所说的正情况
[00220.20-00222.20] 他是不是马斯主义就可以了
[00222.20-00223.80] 那这第一个我们所说的
[00223.80-00226.48] 他的定硬,他的定硬
[00226.48-00228.98] 第二个我们就要在这来看一下
[00229.72-00232.56] 马斯主艺既然包括马恩
[00232.56-00234.44] 也包括后期整个所创丽了
[00234.44-00236.72] 他的理论就会特别多
[00236.72-00240.84] 于是我们在这里就有了马斯主艺理论体系
[00240.84-00243.28] 这个点是一个两星级的执士点
[00243.28-00249.00] 一般在考察的时候都以实际贝宋的情况出现考察的实对应
[00249.00-00251.96] 那我們來看一下馬斯主義的理論體系
[00251.96-00254.40] 他主要包含了哪些部分
[00254.40-00256.36] 他說馬斯主義的理論體系
[00256.36-00258.16] 有三個基本主乘部分
[00258.16-00260.00] 第一個叫做馬斯主義
[00260.00-00262.40] 哲學第二叫馬斯主義
[00262.40-00263.76] 政治經濟學
[00263.76-00265.32] 第三一個叫做科學
[00266.32-00267.20] 社會主義
[00267.20-00269.72] 那這三個就是他的主乘部分
[00269.72-00271.00] 而考試的時候
[00271.00-00272.56] 往往考察的
[00272.56-00274.04] 是這三個主乘部分
[00274.04-00275.60] 他克制的來源
[00275.60-00277.24] 以及他的地位
[00277.24-00279.24] 我们就一个一个来看一下吧
[00279.24-00281.04] 整第一个我们来看一下
[00281.04-00282.84] 第一个部分叫做马质
[00282.84-00284.44] 哲学研究什么呢
[00284.44-00287.04] 我们在后面会大家进行详细的介绍案
[00287.04-00291.84] 哲学其实研究的是整个世界普遍运行的一个规律
[00291.84-00294.84] 马斯通过观察通过时间
[00294.84-00297.64] 把他所获得的这些认知进行了一个抽象
[00297.64-00301.64] 于是得出来了一个观点叫做马斯主页哲学
[00301.64-00305.64] 所以马质这个部分在整个马斯主页当中的地位
[00305.64-00307.04] 就相当于一个什么呢?
[00307.04-00309.12] 就相当于一个理论直到
[00309.12-00310.76] 所以我们认为马哲
[00310.76-00313.20] 是他组成部分的理论基础
[00314.28-00316.00] 这是第一个大家要知道
[00316.00-00317.68] 而我们刚才也说了
[00317.68-00319.00] 任何一个理论
[00319.00-00322.16] 他的来源都不可能是平空产生的
[00322.16-00324.40] 你包括马斯主义也是一样的
[00324.40-00325.36] 不可能说
[00325.36-00327.84] 马斯和恩葛斯在家休息的很好
[00327.84-00328.68] 突然一拍脑门
[00328.68-00330.72] 天气好情浪空气好封光
[00330.72-00331.24] 对吧
[00331.24-00333.04] 你这时候一下子心情特别好
[00333.04-00334.32] 马原就产生了
[00334.32-00335.08] 不可能的
[00335.08-00338.92] 任何理論的產生都是站在前面的監網之上
[00338.92-00340.60] 那馬哲也不例外
[00340.60-00342.64] 他也有自己的理論來源
[00342.64-00344.72] 那既然叫馬斯主義哲學
[00344.72-00347.56] 那哲學必然來自於哲學
[00347.56-00349.32] 只會來自於南國家哲學
[00349.32-00350.76] 大家在這标注一下
[00350.76-00355.76] 馬哲來自於德國的古典哲學
[00359.28-00361.28] 來自於德國的古典哲學
[00361.28-00362.92] 而在德國古典哲學中
[00362.92-00365.12] 有两个人共歇是特别大的
[00365.12-00366.92] 一个人叫做黑格儿
[00368.72-00370.92] 黑格儿主要的理论在于什么呢
[00370.92-00373.52] 对马斯的意误在约变征反
[00374.32-00375.72] 什么叫做变征反呢
[00375.72-00377.32] 后面我们也会给大家去讲的
[00377.32-00378.52] 就是你看问题
[00378.52-00380.52] 到底从什么样的角度去看
[00380.52-00382.12] 这个就叫做变征反
[00382.12-00383.72] 那第二个人叫个什么呢
[00383.72-00384.92] 第二个人叫做
[00384.92-00385.92] Firbaha
[00387.52-00390.72] Firbaha提到的观点叫做维吴主义
[00392.92-00397.08] 其实这两个人当中和现在人物在于黑哥尔
[00397.08-00400.96] 黑哥尔当年在欧洲可以说是一个现象级的人物了
[00400.96-00403.92] 这几乎用现在的话来说那就是个全面无项
[00403.92-00405.12] 相当不得了
[00405.12-00409.48] 这里面的马克思和菲尔巴哈其实都是黑哥尔的头号粉丝
[00409.48-00412.76] 对吧 咱们说的黑哥尔太俩的强头
[00412.76-00416.00] 所以当时黑哥尔在整个欧洲发表的一些理论
[00416.00-00417.36] 大家所输知
[00417.36-00419.84] 当时菲尔巴哈喜欢黑哥尔喜欢的不行
[00419.84-00423.12] 就认为黑格尔说的所有的都是正确的
[00423.12-00426.48] 但是他在去追随黑格尔的这些思想的时候遇到了一个问题
[00426.48-00429.12] 因为F28本身的他是一个科学家
[00429.12-00432.72] 他会发现黑格尔所说的说世界是神创的
[00432.72-00435.44] 和他所观测到的好像不太一样
[00435.44-00437.20] 于是F28哈呢
[00437.20-00441.04] 就在原本黑格尔就职上发现另外一种观点
[00441.04-00443.44] 就叫做维护主义观点
[00443.44-00444.64] 所以在这里面
[00444.64-00447.92] 黑格尔提供了对于世界的看法就变政法
[00447.92-00451.64] Fair-8-2就提到了另外一种观点就叫做微巫主义
[00451.64-00455.24] 而马斯当时认为Fair-2说的变成法也是对的
[00455.24-00458.16] 认为Fair-8说的微巫主义也是对的
[00458.16-00459.56] 于是他就做了一个事
[00459.56-00460.40] 啥事呢
[00460.40-00462.56] 他就把这两个东西
[00462.56-00465.08] 年在了一块提到了一个点
[00465.08-00465.96] 叫做什么点呢
[00465.96-00466.72] 叫做
[00467.52-00468.32] 变正
[00468.96-00469.96] 微巫主义
[00470.56-00471.24] 这个点
[00471.24-00473.24] 我们在后面会同你们去讲到
[00473.24-00474.80] 所以在这里大家要知道
[00474.80-00476.00] 这里面我们说了
