[00000.00-00004.92] 上下課我們講了馬斯主義基本原理的導論了解了整個馬元說了什麼
[00004.92-00008.44] 這課我們就進入到馬元當中最重要的部分
[00008.44-00010.20] 馬哲的學習當中了
[00010.20-00012.64] 我們這一課的核心內容其實很明確
[00012.64-00015.32] 第一個 確定一個完整的框架
[00015.32-00018.28] 你應對我們的支持定位體目
[00018.28-00020.44] 第二個就是在今天的馬哲的
[00020.44-00023.64] 虛擁當中去明確一個最重要的兩千級的考點
[00023.64-00024.64] 把他蓋得到手
[00024.64-00027.32] 這是我們今天的全部的重點
[00027.32-00029.20] 那老规矩今天所有的内容呢
[00029.20-00031.52] 我也会把它变成思维导图
[00031.52-00034.28] 并且把所有的考点都放在思维导图之上
[00034.28-00035.28] 有需要的同学呢
[00035.28-00038.16] 在评论区当中留言及课案
[00038.16-00040.36] 那我们来简单的回顾一下
[00040.36-00041.48] 我们上一节课呢
[00041.48-00042.68] 讲到了马源
[00042.68-00043.80] 我们讲到了马源
[00043.80-00045.64] 他了一个导论问题
[00045.64-00045.96] 对吧
[00045.96-00048.04] 我们在马源的导论当中去明确了
[00048.04-00049.28] 马斯主义记得原理
[00049.28-00050.60] 包括三个部分的内容
[00050.60-00052.20] 马斯主义哲学
[00052.20-00053.68] 马斯主义证率兼聚学
[00053.68-00055.40] 以及科学社会主义
[00055.40-00057.56] 並且明確了這三個部分
[00057.56-00060.72] 他的理論來源以及他各自的定位
[00060.72-00064.84] 並在這裡面去眼神出來了12句核心的考點
[00064.84-00068.04] 這是我們所說的整個馬斯主義基本原理
[00068.04-00071.04] 而在馬原理當中最終要的一個張解
[00071.04-00073.08] 也是我們在考試當中
[00073.08-00077.12] 經常會考到的那就是馬斯主義哲學
[00077.12-00079.48] 我們在學習哲學的時候也是一樣的
[00079.48-00082.84] 要先了解馬哲學他到底說了什麼
[00082.84-00086.32] 虚论当中我们其实要讲两个大的问题
[00086.32-00089.20] 虚论其实就是在研究哲学
[00089.20-00092.64] 所以在整个训论当中我们第一个就是要先来看一看
[00092.64-00094.48] 到底什么是哲学
[00094.48-00096.52] 这个就叫做哲学的含意
[00096.52-00098.36] 第二个我们要去看一看
[00098.36-00100.88] 我们日常生活当中经常会说哲学
[00100.88-00102.56] 哲学到底要干什么
[00102.56-00104.40] 哲学去做的事
[00104.40-00107.40] 就是去搞定哲学的基本问题
[00107.40-00110.44] 所以第二个我们要去看一看哲学的基本问题
[00110.44-00112.44] 而在哲學的基本問題之上
[00112.44-00115.20] 又眼神出來另外一個非常詳細的考點
[00115.20-00117.88] 這個考點也是咱們本張節中
[00117.88-00119.64] 唯一一個兩星級的直視點
[00119.64-00121.80] 就是它放在任何的考視當中
[00121.80-00123.64] 它都是一個兩星級的點
[00123.64-00126.16] 這個就叫哲學的派點
[00126.16-00130.00] 那這三個問題其實都是圍繞哲學展開的
[00130.00-00132.20] 但是我們學的可不單單是哲學
[00132.20-00133.44] 哲學的分支那麼多
[00133.44-00134.52] 咱們學的是啥
[00134.52-00137.48] 咱們學的是馬克思主義哲學
[00137.48-00145.40] 所以研究完哲學之後,我們又要回歸到馬斯主義哲學身上來看看馬哲和我們所說的這個哲學
[00145.40-00147.72] 他有哪些不一樣的地方
[00147.72-00153.80] 這個就是我們所說的本章就是這一節今天咱們的這一節課,朋友需要搞定的
[00153.80-00159.32] 我們先來看一下第一個問題就是哲學的喊一
[00159.32-00163.72] 哲學的喊一就是在解釋哲學試著,哲學下個定義
[00163.72-00166.20] 但是旦繁要給一個東西下定義
[00166.20-00168.24] 他必須帶有一個參考
[00168.24-00171.12] 比如說我那名字叫捷銳
[00171.12-00172.56] 我為啥叫捷銳呢
[00172.56-00175.20] 我一定是要有一個對比和參照在的
[00175.20-00176.96] 你給任何一個東西觀明
[00176.96-00178.40] 給任何一個東西下定義
[00178.40-00179.96] 都有一個對比和參照
[00179.96-00183.20] 給哲學這個概念下定也是一樣的
[00183.20-00186.08] 他其實從兩個角度給哲學下定義
[00186.08-00189.92] 第六角度就是看哲學與世界之間的關係
[00189.92-00191.16] 給哲學下定義
[00191.16-00195.00] 看哲學語世界之間的關係給哲學下得定義說的是啥呢
[00195.00-00200.28] 哲學是系統化理論化的世界觀是世界觀和方法論的統一
[00200.28-00204.12] 這是從哲學所研究的範圍來看給哲學下得定義
[00204.12-00208.40] 第二個就是看哲學語其他科目之間的關係
[00208.40-00211.36] 我們把這個其他科目說得在形象一點
[00211.36-00214.44] 就是看哲學語具體科學之間的關係
[00214.44-00216.80] 哲學咱們在大學當中也種學
[00216.80-00218.68] 對吧 它也是一個學科
[00218.68-00220.40] 那他做了一个学科来说
[00220.40-00222.88] 他和其他的一些科目啥不样的地方呢
[00222.88-00223.94] 那这种情况之下
[00223.94-00227.16] 我们就对比其他科目来给哲学下了一个定义
[00227.16-00230.24] 认为哲学是对自然支持社会支持和
[00230.24-00232.16] 思维知识的总结和概括
[00232.16-00236.92] 这其实是从红官上从两个角度给哲学下了定义
[00236.92-00239.04] 那我们就需要从这两个角度
[00239.04-00242.00] 主意去拆分哲学到底是什么
[00242.00-00245.00] 那么先看一下第一个角度当中的哲学
[00245.00-00247.12] 来在这里面他说了
[00247.12-00249.94] 说哲学是同一名话一个观念词
[00249.94-00253.44] 哲学是系统话理论话的世界观
[00253.44-00255.32] 把系统话理论话话出来
[00255.32-00256.80] 你先换一会儿考点
[00256.80-00258.76] 我讲着讲着他就到了
[00258.76-00259.84] 你先把他标出来了
[00259.84-00262.24] 哲学是系统话理论话的世界观
[00262.24-00265.32] 是世界观和方法论的统一
[00265.32-00267.92] 在这里面出现了两个概念
[00267.92-00270.32] 一个概念叫做世界观
[00270.32-00272.20] 一个概念叫做方法论
[00272.20-00272.72] 对吧
[00272.72-00275.36] 你看到这里是否已经开始有点崩溃了
[00275.36-00276.48] 如果老师好吗
[00276.48-00284.74] 有病,我这哲学还没搞清楚,又出现了两个我不太理解的概念,跟我在这儿哥洛斯套王,是不是套王
[00284.74-00290.82] 我们小李哲哲学刚才说了,要从世界或者说他研究的范莉的角度去看
[00290.82-00295.56] 哲学呢,他剩一到两概念一个叫做世界观,什么叫做世界观呢
[00295.56-00305.16] 世界观的概念不用被,欢迎话说呢,他其实不是我们的一个考点,但是我们需要理解他才能回后到哲学这个考点身上
[00305.16-00306.70] 他們世界關係是啥呢?
[00306.70-00312.06] 說世界觀是人們對於整個世界總的看法和根本觀點
[00312.06-00314.40] 你說老師這還是有的從小咱們再直外點
[00314.40-00315.90] 同你們什麼叫做觀呢?
[00316.68-00319.24] 觀就是觀點和看法
[00319.24-00323.98] 那所謂的世界觀就是對於這個世界的觀點和看法
[00323.98-00327.38] 那這個叫世界觀世界觀人人都有
[00327.38-00329.18] 你只要接觸到這個世界
[00329.18-00331.24] 你就會有你的世界觀
[00331.24-00332.58] 我舉個簡單的例子
[00332.58-00335.70] 比如说就在这一天发生了一件
[00335.70-00337.50] 令人特别发展的一件事情
[00337.50-00337.98] 对吧
[00337.98-00339.90] 就是有一个国家臭不要脸的
[00339.90-00340.26] 对吧
[00340.26-00343.78] 在国家他就对人类犯下了
[00343.78-00346.02] 我们所说的庆祝难受的最醒
[00346.02-00347.30] 那这个国家就谁呢
[00347.30-00347.90] 就是日本
[00347.90-00348.18] 对吧
[00348.18-00349.06] 这一天日本
[00349.06-00349.94] 他就啟动了
[00349.94-00351.94] 像我们所说的大海当中
[00351.94-00353.70] 排放和不水的这样的一个
[00353.70-00355.06] 不要脸的这样的一个行为
[00355.06-00357.14] 当你看到这样的一个新闻的时候
[00357.14-00358.62] 你都不能反应是什么
[00358.62-00360.30] 我当时看到这个新闻的时候
[00360.30-00361.78] 我的地方就是我的生理
[00361.78-00362.58] 出现一些问题
[00362.58-00364.50] 就是我的血涯开始狂标
[00364.50-00366.22] 虽然一路开始狂上手
[00366.22-00366.78] 第二的呢
[00366.78-00368.58] 我就在心里默默的骂这个国家
[00368.58-00370.94] 并且具体这个国家一些品判
[00370.94-00371.22] 对吧
[00371.22-00373.98] 这个国家背后的政府真的是六人发制
[00373.98-00376.66] 那你看这个是我们对于整个
[00376.66-00378.10] 这个世界那一种看法
[00378.10-00379.74] 那我对于这个世界的看法
[00379.74-00380.82] 同学们就是什么
[00381.62-00383.78] 我对于这个世界的看法
[00383.78-00386.82] 就是我对于这件事情的世界观
[00386.82-00388.02] 所以所谓的世界观
[00388.02-00389.70] 我们不要把它理解的太抽象
[00389.70-00391.70] 不要只把他放在書面上
[00391.70-00394.10] 世界官就是一種觀念
[00394.10-00394.94] 就是一種看法
[00394.94-00396.10] 我看到一個帥哥
[00396.10-00399.14] 我當時我就新生一季
[00399.14-00399.70] 對吧
[00399.70-00401.38] 天的帥哥長得好帥
[00401.38-00402.42] 你看我
[00402.42-00403.38] 他有帶來的感覺
[00403.38-00404.02] 上心怨目
[00404.02-00405.50] 我覺得他只要長得帥
[00405.50-00406.42] 他是個好人
[00406.42-00408.78] 這事不是也是我的一種觀念和看法
[00408.78-00411.42] 那這些都是我的世界官
[00411.42-00413.74] 我有我對於這個世界平坦的標準
[00413.74-00416.02] 大家有對於大家對這個世界
[00416.02-00417.26] 某些世界看法
[00417.26-00418.50] 事務的平坦標準
[00418.50-00422.66] 每個人都不同每個人的世界觀就都不一樣
[00422.66-00424.62] 這裡就會出現一個問題
[00424.62-00428.10] 每個人都是先活的獨立的個人
[00428.10-00430.90] 它的世界觀也是先活的獨立的
[00430.90-00433.42] 世界觀就是多樣的
[00433.42-00435.10] 人人都有世界觀
[00435.10-00437.50] 能不能說人人都是哲學家
[00438.50-00439.78] 其實是不可以的
[00439.78-00440.58] 哲學呢
[00440.58-00442.34] 他本身是一個科目
[00442.34-00444.58] 或者換句話說哲學他是一個啥
[00444.58-00445.86] 他是一個學科
[00445.86-00447.22] 他既然是一個學科
[00447.22-00450.22] 那就意味着他的内容不是零散的
[00450.22-00451.42] 而是系统的
[00451.42-00452.82] 最起码咱们学哲学的时候
[00452.82-00454.62] 还有一个有一个的框架的
[00454.62-00455.12] 对吧
[00455.12-00456.42] 所以在这种情况之下
[00456.42-00459.22] 就把哲学和世界官去分开来了
[00459.22-00462.22] 去分就在于世界官是人人都有的
[00462.22-00465.02] 而哲学他有一定的理论框架
[00465.02-00467.02] 他有一个自己完整的体系
[00467.02-00470.62] 那就意味着哲学和普通的世界官不一样
[00470.62-00472.22] 哲学是什么样的世界官呢
[00472.22-00474.82] 哲学就是经过加工整理的
[00474.82-00477.02] 系统化理论化的世界官
[00477.02-00479.70] 把我们先活的多彩的
[00479.70-00481.70] 一些对于世界的观点和看法
[00481.70-00486.94] 把这些因素这些是一关背后的一些共情问题挑出来形成了哲学
[00486.94-00490.30] 那这个就叫做系统化理论化的世界观
[00490.30-00493.10] 那这个就是我们对于哲学的定义
[00493.10-00495.38] 所以在这里第一个考点就出来了
[00495.38-00496.50] 同一们标注一下
[00496.50-00498.02] 它是一个一星级的
[00498.02-00500.86] 我们所说的单选题的选项
[00500.86-00503.58] 或者是一个判论题的这样的一个点
[00503.58-00505.90] 哲学是系统化理论化的是一关就意味着
[00505.90-00512.06] 他不是先天的 不是先天自发形成的
[00515.38-00518.70] 而是怎么样 而是经过加工整理的
[00520.50-00522.54] 而是经过加工整理的后天的
[00522.80-00524.58] 而在这里面就经常会考察径划
[00524.84-00526.62] 说哲学是自发形成的
[00527.14-00530.22] 这种情况很明显是错的 明白了吧
[00530.22-00532.46] 所以在这里大家注意一下 这是哲学
[00532.46-00536.18] 第一個定義他是信用化理論化的世界觀
[00536.18-00539.30] 那其實世界觀是對於這個世界的觀點和看法
[00539.30-00541.94] 那我有了對於這個世界的觀點和看法之後
[00541.94-00543.58] 他其實會影響到我的什麼呢
[00543.58-00545.04] 影響到我的做法
[00545.04-00546.30] 影響到我的行為
[00546.30-00549.62] 而我的做法和行為就叫做什麼方法論
[00549.62-00552.10] 就是你有了什麼樣的想法就會決定
[00552.10-00553.14] 你怎麼去做
[00553.14-00555.22] 如果我看待這個世界是婚暗的
[00555.22-00556.82] 我覺得人生是沒有忙的
[00556.82-00558.30] 那這個時候我就會怎麼樣
[00558.30-00560.22] 邱吉代工對吧提不起劍
[00560.22-00563.50] 但如果覺得人性是善的,社會是溫暖的
[00563.50-00567.18] 那這個時候我去做事情的時候我就進口十足,我就想要怎麼樣,
[00567.18-00569.12] 做貢獻自己的一份力量,
[00569.12-00571.80] 那你看不同的對於這種世界的觀點,
[00571.80-00574.22] 會影響到你不同的做法,
[00574.22-00578.10] 這個就叫做我們所說的方法論,而哲學是什麼?
[00578.10-00581.18] 哲學是不僅告訴我們,世界是什麼樣子?
[00581.18-00584.02] 還要交回我們,如何去改造世界?
[00584.02-00586.66] 那這個時候就有了哲學的第二句定語,
[00586.66-00589.74] 叫哲學是世界觀和方法論的統一。
[00589.74-00591.98] 但是在这里第二句不太好
[00591.98-00593.58] 所以同时没有用去管他
[00593.58-00596.46] 我们在这里探讨了世界观和方法论之后
[00596.46-00598.30] 我们其实还要注意一下
[00598.30-00601.10] 世界观和方法论之间有什么关系
[00601.10-00604.26] 这是在哲学第一个定义当中的第二个考虑
[00604.26-00605.62] 这个点同们注意一下
[00605.62-00609.02] 它也是一个一星级的理解型的考虑
[00609.02-00612.10] 一般情况之下它会考按立体
[00612.10-00614.78] 但是考按立体特别的简单
[00614.78-00616.70] 我们只要能够变弃出来就行了
[00616.70-00618.94] 在这里他们两个的关系叫做
[00618.94-00623.40] 世界官決定方法論體現世界官
[00623.40-00624.52] 而考試的時候
[00624.52-00626.90] 經常會把他的關寫到過來
[00626.90-00629.78] 叫做世界官體現方法論
[00629.78-00632.02] 方法論決定是月官就錯了
[00632.02-00633.20] 因為咱們剛才說了
[00633.20-00635.40] 想法決定做法
[00635.40-00639.00] 所以世界官是起到決定作用的
[00639.00-00640.84] 所以世界官是起到決定作用的
[00640.84-00643.12] 這就是為什麼我們再去做事的時候
[00643.12-00644.74] 要先進行思想教育
[00644.74-00646.54] 要先進行理論理解
[00646.54-00649.10] 因为只有一个明确的事官
[00649.10-00651.14] 他都会决定了你的做法不一样
[00651.14-00652.42] 所以在这里大家注意下
[00652.42-00654.74] 这有事官决定方法论
[00654.74-00657.74] 而方法论体现会反应事件官的原因在什么呢
[00657.74-00661.02] 就是因为你对于这个事件的观点和看法
[00661.02-00663.18] 它是不可适的
[00663.18-00665.18] 比如说你对这个人的看法
[00665.18-00667.18] 到时还是会我看不见
[00667.18-00668.90] 你对于老我对吧
[00668.90-00671.54] 比如说对于作为讲这堂课的我的
[00671.54-00673.30] 这种评价的这种做法
[00673.30-00674.46] 我也看不到
[00674.46-00676.26] 所以世界观是看不到的
[00676.26-00679.86] 但是我可以通过你的行为来去平坦
[00679.86-00681.86] 比如说我特别喜欢一个人
[00681.86-00683.06] 我就无视给他现因前
[00683.06-00684.26] 对吧今天给他买平水
[00684.26-00685.86] 明天给他买给玉菌对吧
[00685.86-00686.86] 然后后天的时候
[00686.86-00689.86] 我在给他买什么三同眼料
[00689.86-00691.66] 大后天的时候给他买四季盲骨
[00691.66-00693.06] 那你看在这个过程当中
[00693.06-00694.86] 我的做法是可适的
[00694.86-00697.06] 但是我的想法没能的看见看不见
[00697.06-00699.46] 但是你可以从我的想法推断出
[00699.46-00701.86] 从我的做法推断出我的想法
[00701.86-00705.96] 我对他的这种态度是比较吃热一种喜爱的态度
[00705.96-00710.36] 所以在这里就要做方法论体现世界观
[00710.36-00712.46] 所以在这里大家一定要注意
[00712.46-00713.86] 把他去分开
[00713.86-00717.76] 把他去分开考试的时候就给您考个张观理代
[00717.76-00720.76] 所以这是低头折血的含义
[00720.76-00723.76] 从他与世界的关系来看定义折血
[00723.76-00727.46] 这是低头叫做折血是系统化折血的世界观
[00727.46-00730.76] 是一关决定方法论方法论反应世界观
[00730.76-00732.28] 这是低从定义
[00732.28-00735.60] 那我们从它有世界的角度电源折学之后
[00735.60-00737.12] 我们来看一看第二个
[00737.12-00739.40] 更为巨像化的对于折学的定义
[00739.40-00740.16] 我们说了
[00740.16-00742.64] 折学它本身也是一个学科
[00742.64-00744.28] 得版那他做一个学科
[00744.28-00745.56] 他有什么特性
[00745.56-00747.40] 他和我们所接触到的
[00747.40-00749.72] 数学语文化学生物的一些东西
[00749.72-00751.08] 有杀不一样的地方
[00751.08-00754.32] 那我们就来看一下第二个折学的行易
[00754.32-00756.80] 折学是对自然知识
[00756.80-00759.48] 社会知识和虽知识的来
[00759.48-00762.08] 把这个刺画出来蓋扩和总结
[00762.08-00764.60] 这个点同们标助一下圈一
[00765.36-00768.12] 在这里标助一个一星级的埃似
[00768.12-00770.72] 老师你总画埃二还总写埃似
[00770.72-00771.64] 代表是什么呢
[00771.64-00773.48] 咱们打个按号同学们
[00773.48-00775.56] 如果我在这里写的是埃二
[00775.56-00777.84] 就意味着他背下来没有用
[00777.84-00779.92] 他就是一个理解型的点
[00779.92-00781.56] 你在这背你拿着分的
