[00000.00-00003.02] 居然我们就进入到变认法的学习当中来了
[00003.02-00007.12] 咱们今天先讲变成法当中的第一个内容就叫做联系
[00007.12-00009.92] 咱们这节课一共是要掌握三个部分内容
[00009.92-00012.20] 第一个联系以后有四个特性
[00012.20-00014.60] 我们把握主持期最多的两个特性
[00014.60-00018.14] 第二个要从这些特性当中抽象出来在考试里面
[00018.14-00021.58] 特别容易发车中作为米获玄向主持体的内容
[00021.58-00022.88] 那其实这些内容呢
[00022.88-00025.12] 放在一块也就是六句话
[00025.12-00029.52] 我们今天主要的任务就是先把这六句话就给他搞清楚
[00029.52-00031.50] 我们说到变政法受到联系
[00031.50-00033.76] 咱们还是要回屋到框架当中来
[00033.76-00035.92] 咱们在前几节刻给大家去讲
[00035.92-00038.48] 我们所说的整个世界它是要误指的
[00038.48-00040.88] 于是我们就有了为无论的观点
[00040.88-00042.96] 而我们从误指世界的发展里面
[00042.96-00044.56] 我们又多出来了一个解论
[00044.56-00046.36] 就是这个误指世界的运行
[00046.36-00048.40] 它并不是一遍不遍的
[00048.40-00051.04] 而是运动变化和发展的
[00051.04-00053.20] 那事务的运动变化和发展
[00053.20-00054.88] 是否有规律可选呢
[00054.88-00058.64] 这个其实就是变政法要讨论的问题
[00058.64-00061.16] 变成反我们要讲三个方面的内容
[00061.16-00062.36] 一个叫两大特征
[00062.36-00064.96] 一个叫三大规律一个叫五多饭丑
[00064.96-00067.16] 五多饭丑因为平时烤得比较少
[00067.16-00070.00] 所以在这我们就不把它做一重点来讲解了
[00070.00-00073.00] 我们的重点是放在两大特征和三大规律的
[00073.40-00076.56] 两大特征其实有两个叫做联系
[00076.56-00078.36] 一个叫做发展
[00078.36-00080.16] 而正是因为是务的联系
[00080.16-00082.28] 促进了是务的发展
[00082.28-00084.44] 所以整个变成法都是围绕
[00084.44-00085.84] 发展来展开的
[00085.84-00087.90] 那小去研究树的发展
[00087.90-00090.20] 叫明確树发展的三个问题
[00090.20-00093.78] 这三个问题就对用着叫做三大规律
[00093.78-00095.06] 这三个规律分别
[00095.06-00097.36] 第一个叫做对立统一规律
[00097.36-00099.42] 对立统一规律研究什么问题呢
[00099.42-00102.48] 研究树为什么会发展
[00103.50-00105.56] 这个叫做对立统一规律
[00105.56-00107.60] 那知道了树为什么会发展
[00107.60-00109.64] 那第二个我们要解决就是树
[00109.90-00111.18] 怎么样发展
[00111.18-00112.46] 那反正就是要发展了
[00112.46-00113.74] 它怎么实现发展的呢
[00113.74-00115.02] 第二叫怎么样发展
[00115.02-00117.02] 那第3个就是我们知道
[00117.02-00118.78] 那知道了为什么知道了怎么样
[00118.78-00120.90] 还要再去看看发展来发展去
[00120.90-00123.38] 它要发展到何处去呢
[00124.62-00128.38] 那这个呢就叫做否定之否定为率
[00128.38-00130.22] 这是发展的人生三论
[00130.22-00134.42] 那这三大规率也是我们在初提当中最长考的点
[00134.42-00137.22] 那么说了事务或者是整个变政法
[00137.22-00138.82] 它都是为了发展展开的
[00138.82-00140.54] 那发展如何实现呢
[00140.54-00143.06] 它其实是通过一些基本环节来实现的
[00143.06-00145.88] 那这个基本还减的就叫做五度饭厂
[00145.88-00147.42] 所以头发什么要现在这里
[00147.42-00149.46] 掌握变政法整体的
[00149.46-00150.22] 框架
[00150.22-00152.06] 有了这个框架你才知道变政法
[00152.06-00153.82] 他到底要说什么
[00153.82-00156.88] 变政法小说明的就是这个物质世界就是
[00156.88-00158.68] 不断变化发展的
[00158.68-00160.98] 然后我们去看一下怎么样发展
[00160.98-00162.78] 为什么发展以及发展到
[00162.78-00163.54] 和出去
[00163.54-00164.82] 这是整个变政法
[00164.82-00165.84] 他的一个大框架
[00165.84-00169.42] 我们今天需要搞定的第一个问题就是变政法当中的
[00169.42-00170.70] 第一个特征叫做
[00170.70-00171.48] 联系
[00171.48-00174.62] 我们要学清楚联系要掌握联系三个方面
[00174.62-00176.08] 第一个 合为联系
[00176.08-00177.84] 我们要去看看联系的含义
[00177.84-00180.00] 第二个 所说的联系
[00180.00-00181.32] 它有什么样的特征
[00181.32-00184.92] 这个点是在联系这个里面非常重要的点
[00184.92-00186.72] 而我们所说的这种联系
[00186.72-00189.00] 它有没有什么具体特殊的表现
[00189.00-00192.64] 这个就会有提到整体和部分之间的关系
[00192.64-00196.52] 这个就是本节需要大家去掌握的内容
[00196.52-00199.52] 先来看一下整体上的导论
[00199.52-00201.20] 在这里面他给到了一个点
[00201.20-00204.48] 同時我們標準一下一個一星級的實際性的點
[00204.48-00208.00] 可以作為判斷體出現,可以作為選擇體出現
[00208.00-00211.48] 所以這裏說了,這說聯繫和發展把這句話話出來
[00211.48-00218.00] 是每物變正法的總管點和總特徵
[00218.00-00221.40] 我們先來看一下這裏面所說的聯繫
[00221.40-00224.44] 我們在日常生活當中,其實也會提到聯繫
[00224.44-00227.44] 對吧,你比如說你和你的朋友,今天出去玩玩的呢
