[00000.00-00004.90] 國民革命時期講完之後我們來看一下第二個階段
[00004.90-00007.90] 第二階段就是我們所說的土地革命
[00007.90-00010.90] 也就是在我們所說的國共合作破裂之後
[00010.90-00014.90] 中國共產黨他自身要從又年不斷走向成熟
[00014.90-00017.90] 一轉二七年到一三七年這十年間
[00017.90-00021.50] 就是中國共產黨探索自己的革命道路
[00021.50-00023.90] 然後不斷去發展壯大的一個過程
[00023.90-00027.10] 這個就把他稱為一叫做土地革命時期
[00027.10-00029.50] 那我們具體來看一下他的具體內容
[00029.50-00033.20] 那土地革命時期當中的第一個事情就是要創建自己的軍隊
[00033.20-00036.10] 在這裡面我們來看一下軍隊創建的鄉的內容
[00036.10-00038.60] 那首先第一個就是巴伊南昌旗義
[00038.60-00041.00] 我們都知道4月2個秋五反革命政變
[00041.00-00043.60] 我們屬於被人在背後怎麼樣被刺了
[00043.60-00046.70] 他從某種重重來說的是國民黨被判了我們
[00046.70-00048.10] 那這種情況之下
[00048.10-00050.10] 我中國共產黨能忍不能忍
[00050.10-00051.90] 所以在半個月之後
[00051.90-00053.60] 比如說秋五反革命政變之後
[00053.60-00056.10] 就發動了巴伊南昌旗義
[00056.10-00058.10] 那巴伊南昌旗義當中的首先第一個
[00058.10-00059.50] 我們要知道巴伊南昌旗義
[00059.50-00061.10] 他主要是誰領導的
[00061.10-00063.50] 在這裡面的人物大量能夠明確
[00063.50-00066.50] 只是專來和龍葉挺豬德劉博城
[00066.50-00067.70] 然後談評山
[00067.70-00070.30] 在這裡面比較喜歡烤的其實是專來統治
[00070.30-00071.20] 所以大家注意一下
[00071.20-00073.80] 南昌旗義是由這些人來領導的
[00073.80-00075.50] 那南昌旗義的意義在什麼呢
[00075.50-00077.30] 同能標準一下圈兒
[00077.30-00079.40] 南昌旗義在於打想了
[00079.40-00082.40] 五裝反抗國民黨反動派導
[00082.40-00084.00] 第一槍以前的時候
[00084.00-00085.40] 我們是放棄領導權
[00085.40-00087.50] 放棄軍事指揮前加入他們的
[00087.50-00089.30] 那在現在這個程度上幹嘛呢
[00089.30-00091.10] 我們要五裝反抗國民黨
[00091.10-00094.00] 所以在這裡叫做五裝反抗國民黨反動派導
[00094.00-00094.70] 第一槍
[00094.70-00097.50] 那這裡面打著一下同時也標誌著
[00097.50-00101.00] 叫做創建人民軍隊的開始
[00101.00-00102.00] 在這種情況之下
[00102.00-00103.30] 其實我們就已經意識到了
[00103.30-00105.60] 熟悉有軍有權的這樣一個中方性
[00105.60-00106.00] 對吧
[00106.00-00108.70] 所以在這種情況之下就發意南昌旗義
[00108.70-00109.80] 巴伊南昌旗義同意外
[00109.80-00112.20] 知道最終一次以成功而高中
[00112.20-00113.60] 還有失敗而高中
[00113.60-00116.30] 巴伊南昌旗義最終是以失敗而高中的
[00116.50-00119.00] 所以在巴伊南昌旗之後的一個星期
[00119.00-00121.30] 我們就要馬上去開會去討論
