[00000.00-00006.00] 好的,我们接着上次客的内容来往下看,咱们再上一期看到中,其实给大家讲完了。
[00006.00-00016.00] 我们所说的,违务变政法当中的两大特征,一个叫做联系,一个叫做发展,咱们当时讲了,所谓的联系,它其实就等同于影响。
[00016.00-00016.72] 影响
[00016.72-00017.92] 而且我們認為
[00017.92-00021.92] 正是因為事務之間的影响能夠促進事務的發展
[00021.92-00023.52] 所以對於發展的觀點
[00023.52-00025.20] 我們要產生三個疑問
[00025.20-00028.68] 這三個疑問我們把的稱為叫做三大規律
[00028.68-00031.76] 第一個就是事務到底為什麼會發展
[00031.76-00033.92] 第二個就是我們所說的事務
[00033.92-00035.20] 怎麼樣發展
[00035.20-00037.00] 第三一個就是我們強調的
[00037.00-00040.04] 發展發展去發展到何處去
[00040.04-00042.68] 這個就是為肉發展所展開的
[00042.68-00043.72] 三個方面的問題
[00043.72-00045.92] 我们把的称度也叫做三大规律
[00045.92-00047.92] 我们接下来就来看一下
[00047.92-00050.76] 这三大规律当中的第一个叫做对列
[00050.76-00051.72] 统一规律
[00051.72-00052.88] 我们来去研究一下
[00052.88-00055.44] 15到点为什么会发展
[00055.44-00057.32] 那想要搞定对立统一规律
[00057.32-00058.56] 其实在这一节里面
[00058.56-00060.52] 我们要搞定四个方面的问题
[00060.52-00063.28] 第一个方面就是对立统一规律
[00063.28-00066.36] 这里面的对立统一到底指的是什么
[00066.36-00069.64] 这个就叫做矛盾的基本数性
[00069.64-00071.08] 第二个我们就要知道
[00071.08-00073.56] 对立统一它本身代表的就是矛盾
[00073.56-00075.66] 那矛盾除了有基本属性之外
[00075.66-00077.14] 它还有什么样的特性呢
[00077.14-00079.90] 我们叫做普遍性和特殊性
[00079.90-00083.58] 从而在特殊性当中引身出地三个考察点
[00083.58-00086.18] 叫做矛盾发展的不平衡性
[00086.18-00087.38] 但是大家要注意
[00087.38-00089.52] 前三个问题其实都是在论说
[00089.52-00093.08] 矛盾或者就是在论说对立统一
[00093.08-00095.50] 但是我们这一个对立统一规律
[00095.50-00098.64] 要解决的是事务为什么发展
[00098.64-00101.04] 但是前三个问题一直都在产出这个东西
[00101.04-00102.04] 它是什么?
[00102.04-00104.32] 并没有探纠为什么会发展
[00104.32-00105.60] 那是为什么会发展?
[00105.60-00106.64] 放在哪里说呢?
[00106.64-00109.20] 放在最后一个叫做内因和外因
[00109.20-00111.12] 真正去探纠是无发展的
[00111.12-00111.92] 原因
[00111.92-00114.92] 那整个矛盾这一个节大附一下
[00114.92-00116.76] 它都是一个两星级的支点
[00116.76-00117.96] 可以说是这里面
[00117.96-00120.24] 不不是考点拒绝是考点
[00120.24-00122.08] 所以这里面我们最重要就是
[00122.08-00124.32] 拆解整个对立统一规律当中
