[00000.00-00005.38] 好的,我们进入到变政法,最后一个板块的学习,就是否定制否定规律。
[00005.38-00011.52] 在整个变政法当中,我们还是要简单回顾一下它的框架,我们在整个变政法当中讲到了
[00011.52-00018.18] 两大特征叫做联系和发展,然后违尧发展展开三方面问题,叫为什么发展?
[00018.18-00019.20] 怎么要发展?
[00019.20-00023.20] 最后一个否定制否定规律叫发展到何处去
[00023.20-00025.80] 我们在前面也在反复给大家去强调
[00025.80-00029.20] 这部分的内容它是绝对的两星级的支枝点
[00029.20-00031.80] 我们接下来看一下第三个规律
[00031.80-00033.00] 就是否定制否定
[00033.00-00034.60] 那否定制否定规律当中
[00034.60-00036.60] 我们要掌握三个方面的内容
[00036.60-00038.60] 第一个就叫我们要去理解
[00038.60-00042.60] 我们所说的否定制否定规律当中的这个否定
[00042.60-00044.80] 它到底是一个什么样的概念
[00044.80-00047.00] 我们要在这里了解基本概念
[00047.00-00048.60] 第二个我们要知道
[00048.60-00052.00] 真的以否定马斯斯怎么去看来否定的
[00052.00-00054.52] 这个就叫做变政的否定官
[00054.52-00056.72] 第三个就是从变政的否定官
[00056.72-00059.20] 进一步了解折决上的否定之后
[00059.20-00062.48] 我们再去回到否定制否定的内容当中来
[00062.48-00066.00] 就是了解一下他的具体的规律的内容
[00066.00-00067.80] 一共是在三个方面
[00067.80-00069.40] 这里面两星期的支持点
[00069.40-00072.80] 其实是在变政否定官当中有两条
[00072.80-00075.00] 还有一个就是否定制否定规律当中
[00075.00-00076.92] 有8个2,3句话
[00076.92-00078.56] 其实内容也变不是很多
[00078.56-00081.38] 那么首先先来看一下这里面的基本概念
[00082.32-00084.14] 在这里面它首先跟我们说了
[00084.14-00088.42] 说否定是否定规律叫接受了15发展的方向和道路
[00088.42-00089.86] 同时把这个点标出出来
[00089.86-00092.52] 老规矩一个一星级的实际型的点
[00092.52-00094.28] 会对比对立同于规律
[00094.28-00096.76] 治量互变规律它的地位来考察我们
[00096.76-00099.82] 我们说了它强调的是发展到何处去
[00099.82-00102.98] 那去哪里是不是和方向和道路有关呢
[00102.98-00105.78] 这个是否定是否定的地位
[00105.78-00108.60] 那在这里面我们既然讲否定制否定规律
[00108.60-00110.64] 那我们就要知道哲学上的否定
[00110.64-00114.28] 它和日常生活当中的否定有什么不同呢
[00114.28-00117.30] 我们在日常生活当中也经常会提到否定这个概念
[00117.30-00118.48] 否定就意味啥呢
[00118.48-00119.48] 我不赞同你
[00119.48-00121.04] 我反对你对吧
[00121.04-00122.28] 这个是我们所说的
[00122.28-00124.78] 对于事务在生活当中的一种态度
[00124.78-00126.12] 我们称之为否定
[00126.12-00127.98] 但哲学上的否定是啥呢
[00127.98-00130.78] 它其实是和哲学的另一个概念相对应的
[00130.78-00133.78] 这个概念呢其实是叫做肯定方面
[00133.78-00135.68] 那在这里面我们来看一下
[00135.68-00138.56] 所謂的肯定或者肯定方面他只能啥
[00138.56-00143.24] 他說肯定是維持現存事務存在的因素
[00143.24-00146.04] 而否定和他對應
[00146.04-00150.48] 他都否定而是促使現存事務面往的因素
[00150.48-00153.40] 所以在這裡我們對肯定和否定就知道
[00153.40-00156.32] 肯定是讓他繼續保持現存在
[00156.32-00159.40] 而否定是讓他消往的這樣的一個狀態
[00159.40-00161.08] 我舉個檢的例子來說
[00161.08-00163.04] 比如說現在的資本主義社會
[00163.04-00166.38] 社会上大多数的主权国家都是资文主义社会
[00166.62-00169.68] 资文主义社会当中有两大对立接级
[00169.96-00172.26] 一个接级是我们所说的公人接级
[00172.52-00173.80] 生活都比较群苦的
[00174.30-00176.36] 还有一个接级是资产接级
[00176.60-00177.38] 大家也都知道
[00177.64-00178.40] 资产接级呢
[00178.66-00179.68] 它其实是
[00179.94-00181.72] 资文主义社会的少数人
[00181.98-00183.26] 但是在有大量的财富
[00183.52-00186.86] 同一来看一下我们按照肯定是维持
[00187.10-00188.90] 存在否定是处实
[00189.16-00190.44] 滅亡的这个角度来看
[00190.68-00192.74] 对于资文主义社会的存序
[00193.04-00197.38] 公然接集是想推翻他让他秘王还是让他存在呢
[00198.16-00201.16] 很明显 公然接集是想推翻他让他秘王
[00201.16-00204.82] 因为对公然接规来说 这是对他的不需要和压口罪眼中的
[00204.82-00207.72] 所以公然接集是促使他秘王的因素
[00207.72-00211.32] 所以公然接集可以被定义为叫做否定方面
[00211.32-00214.56] 而自问主义社会就是被少数人谋力的
[00214.56-00217.36] 所以资产接集指定是想让他存序的吗
[00217.36-00221.32] 所以资产接集应该是为此资产主义社会存在的因素
[00221.32-00224.40] 那我就把它撑住一叫做肯定方面
[00224.40-00225.92] 所以在这里面
[00225.92-00227.16] 对自分主义社会来说
[00227.16-00228.72] 公然接近是否定的
[00228.72-00231.32] 而自产接近是什么是肯定的
[00231.32-00232.68] 那同时候来看一下
[00232.68-00235.80] 那自分主义社会往后一个阶段去过度
[00235.80-00237.52] 是不是就进入到了什么社会
[00237.52-00240.96] 就进入到了我们所说的社会主义社会吧
[00242.40-00243.76] 那同时候来看一下
[00243.76-00245.48] 进入到社会主义社会
[00245.48-00247.72] 也就是社会主义社会的达成
[00247.72-00249.68] 是由公然接近推翻自分主义
[00249.68-00251.68] 还是有资产階级推翻资本主义
[00251.68-00255.12] 很明显 指定是受压过数过去最严重的什么
[00255.12-00256.92] 公人階级推翻资本主义了
[00256.92-00260.96] 所以公人階级推翻资本主义社会建立什么
[00260.96-00264.40] 建立社会主义社会从而使得社会的形态
[00264.40-00266.40] 是不是向前卖进了一步
[00266.40-00268.64] 那从这个角度来看我们会发现
[00268.64-00270.84] 从社会更疊了角度来看
[00270.84-00273.84] 到底是肯定因素推动了社会的发展
[00273.84-00276.12] 还是否定因素推动了生活的发展呢
[00276.12-00278.68] 想一下从资本主义公度到社会主义
[00278.68-00282.76] 那很明顯是公認階級推動社會的進步
[00282.76-00286.52] 而公認階級以資格女社會來說是否定因素
