[00000.00-00004.00] 那我们了解了时间就是人作事
[00004.00-00006.00] 那人在做一件事情的时候
[00006.00-00009.00] 他就一定会形成对这个事情的看法和想法
[00009.00-00011.00] 因此就会形成什么呢
[00011.00-00013.00] 就是第二个概念就叫做认识
[00013.00-00016.00] 那我们接下来看一下认识的内容
[00016.00-00017.00] 那想要找过认识的话
[00017.00-00019.00] 我们需要从两个方面来看他
[00019.00-00022.00] 第一个到底从订阅上
[00022.00-00023.00] 从专业的角度来看
[00023.00-00025.00] 到底什么叫做认识
[00025.00-00027.00] 我们先来看一下认识的喊异
[00027.00-00029.00] 第二个我们要来看一下
[00029.00-00031.40] 人们所形成的这种观点看法
[00031.40-00032.36] 这种认知
[00032.36-00035.80] 它到底是经历了一个什么样的立程才形成的
[00035.80-00037.52] 在这里面我们要讲一下
[00037.52-00040.96] 叫认识它形成过程的规律
[00040.96-00042.20] 一共是有两个点
[00042.20-00046.12] 但是认识它的整体的可好相对于时间来说的话
[00046.12-00048.04] 它的靠近就会弱一些
[00048.04-00050.24] 即在纸在级各别的点
[00050.24-00052.36] 它的靠式的题目相对来说
[00052.36-00053.24] 会有一些
[00053.24-00054.84] 但这个模块
[00054.84-00056.12] 或者是这个张简
[00056.12-00058.40] 如何意识一样以理解为主
[00058.40-00060.20] 他的出奇的角度不是特别多
[00060.20-00061.72] 那么首先来看一下
[00061.72-00064.28] 第一个就是认识的很硬
[00064.28-00065.76] 他认识到的是啥呢
[00065.76-00067.68] 他说认识的本质是在
[00067.68-00072.24] 实现基础之上的主体对客体的
[00072.24-00073.64] 濃动的反应
[00073.64-00075.24] 这个就叫做认识
[00075.24-00077.16] 这里面其实就限定了第一个点
[00077.16-00078.88] 就是你想要形成认识
[00078.88-00080.48] 你待在什么旧之上
[00080.48-00081.76] 在实现旧之上
[00081.76-00082.48] 换句话说
[00082.48-00083.80] 你想要形成认识
[00083.80-00086.04] 就要去做一件事
[00086.04-00086.48] 对吧
[00086.48-00089.16] 那你去做这个事就是要实现
[00089.16-00092.24] 那就强调了实现 决定认识
[00092.24-00093.40] 那你去做这个事
[00093.40-00098.08] 那人的大脑就会自动的对于你所做的这件事
[00098.08-00100.88] 他的这个作用对象产生一定想法观点
[00100.88-00102.84] 那这个就叫做认识
[00102.84-00107.00] 比如说我现在学了一个喜也对吧
[00107.00-00109.08] 简减单的学了一个喜看了一会说
[00109.08-00113.92] 那我就会在看出的过程中形成一些我自己的一些理解和观点
[00113.92-00118.12] 这个就要在主体对客体的一种能动反应
[00118.12-00119.92] 所以认识大家就可以知道
[00119.92-00122.24] 你做事之后形成的看法
[00122.24-00124.68] 但是这里面会睡到一个小的细节的点
[00124.68-00127.40] 就是在于同样都是去做一件事
[00127.40-00129.72] 或者同样都是去读一本书
[00129.72-00131.92] 比如说我们现在看风臣
[00131.92-00133.64] 看了风臣这个电影之后
[00133.64-00135.88] 我们就我就说这个电影太好看了
[00135.88-00137.60] 我太喜欢这个电影当中的
[00137.60-00138.88] 哪一个哪一个人了
[00138.88-00140.72] 你说我也觉得很好看
[00140.72-00141.88] 我是喜欢另外一个人
[00141.88-00143.08] 而且我對於這個電影人
[00143.08-00144.76] 他有一些不同的理解
