[00000.00-00002.00] 大家好 我是杰瑞
[00002.00-00004.00] 这奖批战次应合的考试知识
[00004.00-00008.00] 今天我们要学习的内容是马斯主义哲学的最后一个本块
[00008.00-00009.00] 就叫做微妩时关
[00009.00-00012.00] 咱们来之前学习马斯主义哲学的时候给大家去说过
[00012.00-00015.00] 说哲学研究的是整个世界
[00015.00-00016.00] 而整个不知世界呢
[00016.00-00020.00] 我们又把它话分成为自然界一节人类社会
[00020.00-00023.00] 马斯主义研究自然界的运行得出来的观点
[00023.00-00025.00] 就做变政维护主义
[00025.00-00028.00] 于是我们在变政维护主义当中给大家讲了微无论
[00028.00-00029.00] 变政法一节认识论
[00029.00-00030.02] 认识论
[00030.02-00032.20] 但是整个物质世界除了要研究
[00032.20-00033.34] 赞借的疫情之外
[00033.34-00036.12] 好研究我们所处在了这样一个社会
[00036.12-00038.12] 也就是人类社会
[00038.12-00040.08] 它的一个历史更疊的问题
[00040.08-00042.68] 那研究人类社会历史的发展规律
[00042.68-00045.80] 这个观点就叫做历史维吾主义
[00045.80-00048.56] 那今天我们要把内地使用主义的内容
[00048.56-00050.24] 也拿去将军清楚
[00050.24-00051.52] 整个历史维吾主义
[00051.52-00054.08] 我们以共要研究三个大的问题
[00054.08-00055.88] 这三个大的问题就是第一个
[00055.88-00058.48] 我们要研究一下历史观的基本问题
[00058.48-00062.20] 我们之前研究哲学的所说也提到国哲学的基本问题
[00062.20-00065.04] 这里面我们研究历史观的基本问题
[00065.04-00068.36] 第二个通过对历史观的基本问题的产数
[00068.36-00072.76] 我们要去摸清楚到底是什么推动了人类社会的更疼
[00072.76-00075.04] 在这里面我们就提出了第二个问题
[00075.04-00077.60] 叫社会发展的基本规律
[00077.60-00079.76] 最后一个点我们要去看一下
[00079.76-00084.28] 整个社会的发展他主要是一靠人民群众的力量来推动
[00084.28-00085.76] 那在最後一個點上
[00085.76-00087.52] 也說在基本規律的舊執上
[00087.52-00089.36] 我們又提到了人民群眾
[00089.36-00091.32] 與人所以歷史為屋主義
[00091.32-00093.52] 一共是三個大的部分的內容
[00093.52-00095.48] 那麽首先來看一下第一個部分
[00095.48-00097.56] 就是歷史官的基本問題
[00097.56-00099.64] 歷史官的基本問題要解決的
[00099.64-00102.60] 其實人類社會存在和發展的基礎
[00102.60-00104.80] 在人類社會存在和發展基礎當中
[00104.80-00108.16] 一共詳細的分成了四個小的部分
[00108.16-00111.28] 雖然第一個就是人類社會存在和發展的基礎
[00111.28-00113.44] 是社會存在和社會意識
[00113.44-00115.44] 而對於社會存在和社會意識
[00115.44-00117.24] 他們兩張的問題的探討
[00117.24-00120.24] 就可以得出來一個就叫做歷史官
[00120.24-00121.04] 基本問題
[00121.04-00123.44] 所以歷史官的基本問題研究的是
[00123.44-00126.24] 社會存在和社會意識的關係問題
[00126.24-00127.28] 所以在這裡面
[00127.28-00130.08] 他們兩個是相互補充的
[00130.08-00131.76] 那了解了社會存在
[00131.76-00132.64] 社會存在後
[00132.64-00134.64] 還要去了解一下社會存在
[00134.64-00137.12] 和社會意識之間的變正關係
