[00000.00-00002.74] 好的,我们接着来往下看
[00002.74-00006.74] 刚刚给大家讲了1927年到1937年10年土地革命期间
[00006.74-00011.78] 对吧,我们说这10年主要是中国共产党他独立的去探索
[00011.78-00014.74] 我们所说的适合中国的这样的一条革命道路
[00014.74-00017.62] 所以在这里面我们讲了土地革命的开端
[00017.62-00019.32] 对吧,巴一南上期开始
[00019.32-00022.14] 然后到中间出现了红军长征
[00022.14-00024.90] 然后这一路上他是如何墨所发展状大的
[00024.90-00027.90] 但是这10年之间,咱们刚才讲到的那条线
[00027.90-00032.24] 它其实是有关于中国工上自身发展的这样的条件 对吧
[00032.24-00037.42] 但是在1927年到1937年这个时间当中的除了刚才我们所说的
[00037.42-00041.22] 我们去探索自己的革命道路之外的还有另外一条主线
[00041.22-00043.86] 就是在27年到37年之间
[00043.86-00045.56] 我们所说的爆发了什么
[00045.56-00047.26] 爆发了我们所说的抗担任争
[00047.26-00053.30] 所以在这里面我们来看一下1931年发生了1918世辩
[00053.30-00056.32] 然后到我们所说的1937年7月5日的条件
[00056.32-00057.86] 全面抗戰爆發
[00057.86-00059.72] 然後再到1945年
[00059.72-00060.92] 日本地交投降書
[00060.92-00061.96] 抗戰爭結束
[00061.96-00063.66] 所以在這個時間段當中
[00063.66-00064.46] 我們來看一下
[00064.46-00066.96] 從1931年一直到1945年
[00066.96-00068.92] 是我們所說的抗戰爭時期
[00068.92-00072.22] 也就是在土地革命的這個時間線上
[00072.22-00074.36] 主線就是剛才我們所說的
[00074.36-00075.04] 中國共產黨
[00075.04-00076.36] 他所革命道路的這條線
[00076.36-00078.16] 但是同時還有另外一條主線
[00078.16-00080.68] 就是從1931年開始的抗戰爭
[00080.68-00082.04] 那我們剛才講完了
[00082.04-00083.02] 黨的這一條線
[00083.02-00084.24] 接下來我們來看一下
[00084.24-00085.52] 抗戰戰爭
[00085.52-00088.92] 整个康扎争的其实可以分成两段的大家要知道
[00088.92-00093.12] 我们整个康扎的时间是从1931年到1945年
[00093.12-00098.72] 而1931年到1937年大家都知道770个小时辨
[00098.72-00100.92] 这是我们所说的局部康扎
[00100.92-00104.12] 而到了1937年770个小时辨之后
[00104.12-00106.72] 一直到1945年日本地交头上输
[00106.72-00109.32] 这个时候是全面康扎时期
