[00000.00-00002.54] 那接下來呢 還會面臨另外一個問題 就是
[00002.54-00006.64] 那我們知道了 說勞動創造了價值 對吧
[00006.64-00008.96] 就剛才所說的 具體勞動創造使用價值
[00008.96-00010.68] 創下勞動創造價值
[00010.68-00012.04] 但是問題就在於
[00012.04-00015.96] 這個東西它的價值大小到底該怎麼去衡量呢
[00015.96-00018.80] 這是我們也知道 說這個東西是勞動創造出來的
[00018.80-00020.44] 那你也趕回我也趕回
[00020.44-00022.48] 那平衡什麼說 你創造出來的
[00022.48-00023.80] 商品賣的就要貴
[00023.80-00027.20] 你的商品的價值就高我的商品的價值就低了
[00027.20-00029.12] 我们在红量商品价值的时候
[00029.12-00032.12] 是不是也需要一个我们所说的餐贴
[00032.12-00034.12] 来去对商品的价值金融红量
[00034.12-00036.16] 这时候就也入到一个新的概念
[00036.16-00036.68] 就要什么呢?
[00036.68-00038.72] 就要做商品的价值量
[00038.72-00040.96] 有这个商品的价值到底多大
[00040.96-00042.56] 它需要一个概念来红量
[00042.56-00044.72] 这个概念就叫做商品价值量
[00044.72-00046.92] 我们来看一下商品价值量是什么
[00046.92-00049.92] 它商品的价值量是商品的价值的大小
[00049.92-00052.12] 通常我们就默认为
[00052.12-00052.80] 大家注意一下
[00052.80-00054.80] 如果提案当中没有特别去想调
[00054.80-00057.00] 我们认为商品价值量值得就是
[00057.00-00058.52] 单位商品加持两
[00058.52-00060.40] 在这里就是单个商品
[00060.40-00061.00] 明白了
[00061.00-00062.40] 但这就是单个商品
[00062.40-00063.60] 我们来看一下
[00063.60-00065.52] 这个商品加持两
[00065.52-00067.12] 或者是单位商品加持两
[00067.12-00068.84] 它到底多大
[00068.84-00070.80] 我们要用什么来衡量它
[00070.80-00073.40] 接下来我们看一下下面的的话
[00073.40-00075.64] 商品的加持量的不是由
[00076.12-00077.88] 各个商品生产者使消耗的
[00077.88-00079.12] 各位老东时间决定
[00079.12-00081.44] 而是由社会必要勾动时间所决定
[00081.44-00082.32] 欢迎话说
[00082.32-00084.04] 就是商品的加持量
[00084.04-00085.36] 需要衡量
[00085.36-00088.44] 它这个时候用什么来红量用时间来红量
[00088.44-00091.48] 但是我们红量一个东西的大小用时间来红量的话
[00091.48-00093.04] 这里面会存在两个问题
[00093.04-00095.60] 第一个就是这个商品价值量的大小
[00095.60-00098.08] 我是用各别的勞动时间来红量
[00098.08-00100.96] 就是一个人生产商品的时间来红量
[00100.96-00102.08] 公平一些
[00102.08-00104.80] 还是用全社会平均的时间
[00104.80-00106.72] 生产一个商品的平均时间
[00106.72-00109.24] 我们叫社会必要勞动时间
[00110.44-00112.60] 用它来红量跟公平一些
[00112.60-00115.16] 这个就需要我们进一步去分析了
[00115.16-00118.12] 我们来看一下我们怎么去红量商品
[00118.12-00119.16] 绝个简单的例子
[00119.16-00121.16] 咱们来判断的一个时间跟合理
[00121.16-00124.60] 那假设我现在还是干嘛呢还是炸击牌
[00125.80-00126.92] 还是炸击牌
[00126.92-00131.88] 现在全世界只有三个人炸击牌就是小A小B和小C
[00131.88-00133.32] 小A小B和小C
[00133.32-00135.48] 他们炸击牌分别用过二十件呢
[00135.48-00138.20] 小A炸击牌需要四个小时
[00138.20-00140.28] 小B炸击牌需要五个小时
[00140.28-00142.76] 小C炸击牌需要六个小时
[00142.76-00144.36] 按照当时的市场价
[00144.36-00146.72] 一小时可以对话10元钱
[00146.72-00147.88] 同时来想一下
[00147.88-00151.52] 如果用个别牢动时间去红量商品价值量的话
[00151.52-00152.60] 咱们来看一下
[00152.60-00156.88] 个别牢动时间就是它自己生产商品需要消耗的时间呗
[00156.88-00159.72] 如果用个别牢动时间来红量商品价值量的话
[00159.72-00160.40] 来看一下
[00160.40-00162.20] 小A生产商品
[00162.20-00164.36] 它需要它能卖多少钱
[00165.48-00166.36] 四小时嘛
[00166.36-00167.88] 四小时就卖四周块钱
[00167.88-00169.80] 因为一小时市场上是10块嘛
[00169.80-00170.92] 那小并呢
[00171.56-00172.28] 50块
[00172.28-00173.88] 小C60塊
[00173.88-00174.52] 那你看
[00174.52-00176.92] 如果用個別時間來好兩的話
[00178.12-00179.64] 是不是就會出現一個問題
[00179.64-00180.68] 這個問題就是什麼
[00180.68-00181.32] 你看
[00181.32-00182.92] 你幹得快的
[00182.92-00184.76] 反而賣的錢怎麼樣
[00184.76-00186.04] 反而賣的錢少
[00186.04-00187.12] 人家小C
[00187.12-00187.88] 幹得慢
[00187.88-00189.80] 但是賣的是最貴的
[00189.80-00191.16] 那在這個過程當中
[00191.16-00192.68] 你會產生什麼樣的形態
[00192.68-00193.64] 你這個時候你形態
[00193.64-00194.68] 你不是崩溃了嗎
[00194.68-00195.08] 對吧
[00195.08-00195.96] 你說好家活
[00195.96-00197.32] 我批子發命了
[00197.32-00198.20] 我扣抗抗
[00198.20-00199.64] 然後我生產得這麼快
[00199.64-00200.68] 然後我消率這麼高
[00200.68-00202.12] 結果就只賣四塊錢
[00202.12-00204.36] 然后那个模样工的天天摩鱼的
[00204.36-00205.84] 头积刀把的结果
[00205.84-00207.16] 它干了摩鱼记记的
[00207.16-00209.24] 但最后它卖了60块钱
[00209.24-00210.08] 那这种情况之下
[00210.08-00211.32] 你产生的一个心理是什么
[00211.32-00213.88] 那说这个市场到那就不需要生产消留了
[00213.88-00215.88] 那大家就比漫的
[00215.88-00216.20] 对吧
[00216.20-00217.16] 谁做的漫
[00217.16-00218.04] 那这种情况之下
[00218.04-00219.56] 谁的几排价格就高
[00219.56-00220.56] 那比漫谁不会
[00220.56-00221.32] 那我最会比漫
[00221.32-00222.08] 最会偷了
[00222.08-00223.88] 你一个几排生产60块
[00223.88-00224.68] 那我一个几排
[00224.68-00225.68] 我生产72块小时
[00225.68-00226.88] 我就杂七十二小时
[00226.88-00227.88] 小时小火漫长
[00227.88-00228.32] 对吧
[00228.32-00230.88] 如果时间允许几排的质量允许的话
[00230.88-00233.52] 我扎一扎 只我家老电传承几排
[00233.52-00235.44] 那你看我这100年这个价值
[00235.44-00236.72] 那我就这一块几排
[00236.72-00238.76] 我从来太连到记住器程过来之后
[00238.76-00240.84] 那就可以了 我就实现财富自由了
[00240.84-00241.24] 对吧
[00241.24-00242.00] 那你看
[00242.00-00243.60] 在这里各别的牢东时间去
[00243.60-00244.44] 好像上面价值
[00244.44-00246.36] 所带来了问题就在越
[00246.36-00247.88] 干的越快
[00247.88-00249.68] 我们所说的收入越低
[00249.68-00251.68] 那他导致的收入问题就是
[00251.68-00253.40] 没有人再去谈生产效率
[00253.40-00254.68] 大家都在比嘛
[00254.68-00256.76] 那比嘛就是百拉的嘛 对吧
[00256.76-00260.80] 那我们所说的不好的现象就产生了
[00260.80-00263.94] 笔漫的结果就是社会生产少率集体地下
[00263.94-00265.58] 社会生产少率特别低
[00265.58-00266.78] 经济发展不起来
[00266.78-00268.54] 所以在这里面我们会发现
[00268.54-00270.02] 好像商品的价值量
[00270.02-00271.24] 我们一般请问这下
[00271.24-00272.76] 就是看这个人他的供现大小
[00272.76-00274.82] 就看他干了多少活用的多少时间
[00274.82-00276.12] 我们用时间来好两
[00276.12-00279.48] 但是很明显用个别勞动时间来好两公布公平
[00279.48-00280.12] 不公平
[00280.12-00282.16] 因为他会拖慢社会销率的
[00282.16-00283.74] 死老慢死老慢的
[00283.74-00285.00] 所以在这里面
[00285.00-00286.30] 个别勞动时间不行
[00286.30-00296.94] 那各位老东时间不行,我们又谁来衡量呢,同们注意一下,各位老东时间不能衡量的话,那我们就有社会比老东时间来衡量,说老是什么是社会比老东时间呢?
[00296.94-00316.26] 社会比老东时间,你就可以简单的理解了,在社会的平均熟练程度和老东墙度之下,这个社会它已经适用了现有的,我们所说的雜机牌的,它的这样的一个生产的流程,在现有的,我们所说的工作熟练程度和墙度之下,我们平均生产的这些,
[00316.26-00319.98] 一块鸡排在这个行业当中生产一块鸡排的什么时间
[00319.98-00321.38] 就平均时间
[00322.90-00324.66] 就是这个鸡排生产
[00324.66-00326.30] 它可能有好几家鸡排电
[00326.30-00328.02] 然后每一家鸡排电
[00328.02-00329.78] 它生产鸡排的时间不一样
[00329.78-00332.42] 我们所说的社会标劳动时间是什么呢
[00332.42-00335.14] 就是生产这一块鸡排的所有的鸡排电
[00335.14-00337.26] 它用的平均时间
[00337.26-00339.46] 这样的话就叫做社会标劳动时间
[00339.46-00340.58] 所以相对来说
[00340.58-00342.26] 用平均时间来航辆航
[00342.26-00343.70] 是不是相对来说标公平啊
[00343.70-00345.02] 比如说举个简单例子
[00345.02-00346.56] 还是刚才这个机台
[00346.80-00349.06] 这里面你看4小时5小时6小时
[00349.26-00350.70] 平均时间是哪个呢
[00350.90-00352.96] 平均时间就是5小时
[00353.20-00355.20] 这个5小时就意味着
[00355.32-00356.92] 我们所说的一块机排
[00356.92-00359.68] 我们就用5小时的时间去给机排定价
[00360.22-00363.58] 这个就是社会标劳动时间决定的价值了
[00363.78-00365.56] 但5小时的时间定价的话
[00365.56-00368.70] 那就意味着机排5争你生产的快
[00368.90-00370.00] 还是生产的慢
[00370.20-00371.90] 你这个机排都只能卖多少钱
[00372.10-00373.18] 都只能卖5时
[00373.18-00376.58] 比如说在这里小A花的四小时生产了一块几盘
[00376.58-00377.78] 小的几盘卖多少钱?
[00377.78-00378.74] 没50元
[00378.74-00379.18] 对吧?
[00379.18-00381.94] 你看,这种小A平均一个小时赚多少钱?
[00381.94-00383.10] 赚12块5
[00383.10-00383.82] 对不对
[00384.30-00388.10] 你看,如果是针对于小C那小C6小时
[00388.10-00390.02] 搞出来一块几盘,还是卖多少钱?
[00390.02-00390.78] 50块钱
[00390.78-00394.06] 那他这种时候,他一块几盘赚多少钱?一个小时多少钱?
[00394.06-00394.94] 他八块多
[00394.94-00395.30] 对吧?
[00395.30-00397.18] 这种时候,他在八块多于小时
[00397.18-00399.66] 你看,这里面才是一个正相机力
[00399.66-00400.78] 正相机力是啥呢?
[00400.78-00404.62] 你干得愈快,你专的怎么样,专的愈多。
[00404.62-00408.22] 那这个时候才能促进社会生产效率的发展,对不对?
[00408.22-00412.70] 所以在这里面我们认为,那社会标劳动时间是比较合理的。
[00412.70-00417.54] 所以大家注意一下,在这里面给到了第一个点,大家明确就是商品的价值量,
[00417.54-00422.74] 是有社会标劳动时间所决定的,而不是有各点劳动时间所决定的。
[00422.74-00427.14] 明白了吧,这个点一定要扣住,就是书商的这句话,把它话出来。
[00427.14-00432.04] 商品的價值量有社會標勞動時間所決定
[00432.04-00433.04] 這是第一個
[00433.04-00435.54] 既然有社會標勞動時間所決定
[00435.54-00438.34] 那他和社會標勞動時間是什麼樣的變化關係
[00438.34-00442.64] 我們認為你做一件是花費的時間越長
[00442.64-00444.84] 就是你沒有模樣工的情況之下
[00444.84-00448.84] 我還是強調社會平均俗戀強度和勞動強度之下
[00448.84-00451.84] 那你看你做一件是花費的時間越長
[00451.84-00454.44] 說白了你往這裡付出的薪水就怎麼樣
[00454.44-00455.28] 就越多
[00455.28-00456.74] 那你付出的新血越多
[00456.74-00457.90] 你现在就想干嘛
[00457.90-00459.26] 你现在想的就是
[00459.26-00461.24] 我付出了这么多的新血
[00461.24-00463.02] 那我就想让它
[00463.02-00464.10] 多给威胁回报
[00464.10-00465.80] 你说才会觉得这样公平嘛
[00465.80-00466.04] 对吧
[00466.04-00467.10] 所以在这里面
[00467.10-00468.30] 你花费时间越长
[00468.30-00470.40] 你就希望商品加值量就会怎么办
[00470.40-00471.28] 越高嘛
[00471.28-00472.40] 那这样才会公平
[00472.40-00475.52] 因为你需要好了那么长的时间的劳力和体力嘛
[00475.52-00476.20] 所以在这里
[00476.20-00477.76] 是会比较劳动时间
[00477.76-00480.64] 和商品加值量成政筆
[00480.64-00482.72] 商品加值量越高
[00482.72-00485.78] 那就用情况之下就意味着社会标劳动时间越吵
[00485.78-00487.06] 反过来是一样的
[00487.06-00489.26] 所以这是第一个我们要知道
