[00000.00-00005.92] 好,接着来学习一下马征英当中的第二章就是资本主义的本质
[00005.92-00010.08] 我们在第一章当中给大家去详细的介绍了一下商品经济
[00010.08-00014.72] 而马斯去分析商品经济呢,其实想借着商品经济进入去分析
[00014.72-00016.92] 资本主义,它的一个运行
[00016.92-00019.44] 所以在这里面我们要看一下第二章
[00019.44-00021.76] 小资本主义的本质机器也规律
[00021.76-00024.64] 要在资本主义本质机规律,这些内容的掌握
[00024.64-00027.12] 大家只需要掌握住它的基本概念机客
[00027.12-00029.68] 当然里面也会有一些生挖的这些支持点
[00029.68-00030.84] 这些生挖的支持点
[00030.84-00034.48] 它会适用于我们考马政经比较难调多的地区
[00034.48-00036.96] 比如说像我们所说的军队文质的考试
[00036.96-00040.16] 可能要把马斯主席证据军学的内容具体的听透
[00040.16-00043.76] 还有一部分比如说像在山东它各个比区线的这样的一些
[00043.76-00047.28] 单招考试的时候也会税到一些马政经里面
[00047.28-00049.60] 比较难一点比较深一点的一些点
[00049.60-00052.48] 所以在我们所说的资文主席本制机规律当中
[00052.48-00054.16] 还是要长终一些细节的
[00054.16-00058.60] 但是在这里面大部分的支点其实都是对于基本概念的一个考察
[00058.60-00059.96] 那小掌握好
[00059.96-00062.56] 我们所说的资本主义的本质这一张
[00062.56-00067.08] 它其实就是一个主线和几个概念
[00069.28-00072.92] 同能指要把这个一个主线和几个概念数以清楚
[00072.92-00076.56] 我们所说的第二张的内容对大家来说其实不是什么
[00076.56-00077.40] 难点
[00077.40-00082.96] 第二张当中要给大家讲第一个就是劳动立成为商品以及货币转化为资本
[00082.96-00085.78] 那貨幣轉換為資本就會創造勝於價值
[00085.78-00088.08] 我們要來看一下勝於價值的相對內容
[00088.08-00091.14] 而勝於價值的資本化就叫做資本激累
[00091.14-00092.68] 而資本激累的發展
[00092.68-00097.30] 它最終會導致我們所說的資本主義經濟危機的產生
[00097.30-00100.62] 所以它的整個質量其實是還還相扣的
[00100.62-00102.68] 所以我們才說叫做一條主線
[00102.68-00107.54] 而在這一條主線之上我把幾個概念旅順清楚這張就全部都結束了
[00107.54-00111.12] 好 那這是第二張給大家去進行了紅觀框架的書裡
[00111.12-00113.10] 我们接下来就一点一点去看
[00113.10-00116.38] 我们所说的资本主义本制机器规律当中的具体内容
[00116.38-00117.44] 我们先来看一下
[00117.44-00119.10] 第一个点就是我们所说的
[00119.10-00120.74] 叫做牢动力成为商品
[00120.74-00122.84] 以及货币转化为资本
[00122.84-00124.04] 我们要知道
[00124.04-00125.98] 牢动力成为商品货币转化的资本
[00125.98-00127.56] 它其实都和我们所说的
[00127.56-00128.96] 资本主义经济
[00128.96-00130.32] 紧密结合在一块
[00130.32-00133.06] 我们想要深意进入我们所说的
[00133.06-00134.32] 详细支点学习
[00134.32-00137.48] 我们首先就是要知道什么叫做资本主义经济
[00138.00-00139.76] 说上给到了一句话
[00139.76-00141.40] 都是资本主义经济制度
[00141.40-00143.40] 是以资本家战友生产资料
[00143.40-00145.96] 和与共用劳动为基础的经济制度
[00145.96-00147.08] 但这里
[00147.08-00149.16] 他提到了资本主义经济的运行模式
[00149.16-00150.00] 首先第一个呢
[00150.00-00150.76] 就是我们所说的
[00150.76-00151.72] 资本主义经济制度
[00151.72-00153.72] 他强调是资本家战友生产资料
[00153.72-00155.12] 有的是土地
[00155.12-00157.68] 原材料房屋等等这些东西
[00157.68-00159.24] 他是为谁所有呢
[00159.24-00160.28] 不是归集体
[00160.28-00161.56] 所以不是归大家所有的
[00161.56-00163.32] 而是为少数者所有
[00163.32-00164.24] 也就是我们常说的
[00164.24-00165.52] 叫做私有之类
[00165.52-00166.40] 那第二个呢
[00166.40-00168.04] 就是资本主义经济运行
[00168.04-00169.36] 他這樣有生產資料
[00169.36-00170.60] 但是你覺得資本家
[00170.60-00171.76] 他會自己去幹活嗎
[00171.76-00173.92] 那資本家指定不會自己去幹活的
[00173.92-00174.84] 所以在這裡面
[00174.84-00176.44] 資本家既然不自己去幹活
[00176.44-00178.12] 那在這個地方會怎麼辦呢
[00178.12-00179.24] 找人幫他幹
[00179.24-00180.64] 於是在資本主義當中
[00180.64-00181.92] 因為他這樣生產資料
[00181.92-00183.48] 所以他必須找人給他幹活
[00183.48-00184.68] 於是就出現了什麼
[00184.68-00185.96] 雇用老動
[00185.96-00187.64] 所以資本主義經濟制度
[00187.64-00190.24] 他其實是以兩個方面內容
[00190.24-00191.28] 為他主要特徵
[00191.28-00192.88] 一個是他有東西
[00192.88-00194.00] 但是他又不想幹活
[00194.00-00194.72] 又想賺錢
[00194.72-00196.24] 那這個找人幫他賺
[00196.24-00197.92] 那這個時候就要雇用老動
[00197.92-00200.22] 那郭勇勞動其實就是要買什麼
[00200.22-00201.96] 就是要買勞動者
[00201.96-00205.26] 但是問題就是在於它怎麼能夠買到這個勞動者呢
[00205.26-00206.82] 因為勞動者它本身是個人
[00206.82-00209.26] 你買賣人口本身上是要犯罰的
[00209.26-00210.66] 對吧所以在這個過程當中
[00210.66-00213.66] 就可能會出現經濟模式的一種轉變
[00213.66-00217.42] 原本在西方自文主義經濟制度出現之前
[00217.42-00220.46] 它其實和我們所說的所有社會模式都一樣
[00220.46-00221.46] 都是在幹嘛呢
[00221.46-00224.30] 都是在我們所說的這種風間經濟制度下
[00224.30-00226.66] 大家注意一下風間經濟制度
[00227.92-00231.10] 他的一个我们所说的主要的形式是啥呢
[00231.10-00235.38] 封念经济之度就是土地掌握在地主的手里
[00236.78-00237.32] 对吧
[00237.32-00240.84] 这个比如说像中国的封念社会我们的唐宗原明轻
[00240.84-00243.08] 那说土地是不是都掌握在地主的手里
[00243.08-00244.76] 而这个时候农民有没有点
[00244.76-00245.68] 农民没有点
[00245.68-00248.64] 所以农民就要去租地去租
[00248.64-00250.12] 租地去租的话
[00250.12-00251.22] 他种的是谁的地上
[00251.22-00252.24] 种的是地主的地
[00252.24-00254.80] 所以他租地他的收了两是之后
[00254.80-00256.84] 他好像地主进行交租
[00256.84-00261.08] 那換句話說原本在土地上的這些農民
[00261.08-00263.64] 他是衣服於地主而存在的
[00263.64-00267.08] 也就是他被老老的綁定在了我們所說的這個土地上
[00267.08-00268.24] 因為我要吃飯
[00268.24-00270.04] 我所有的吃飯的這些家務事
[00270.04-00271.56] 我所有吃飯的這些來源
[00271.56-00273.88] 他其實都來自於地主的那篇土地
[00273.88-00276.00] 所以這種情況之下農民和土地
[00276.00-00277.80] 是僅僅綁定在一塊的
[00277.80-00279.56] 那資本主義經濟制度怎麼
[00279.56-00282.36] 他就能夠不用勞動原因很簡單
[00282.36-00284.64] 就是隨著我們所說的社會生產的需要
[00284.64-00288.04] 尤其是我们在第一次工业革命之后
[00288.04-00291.04] 我们会发现它出现了一个非常明显的一个经济现象
[00291.04-00292.04] 什么经济现象呢
[00292.04-00295.64] 就是资恩主义第一次工业革命产生之后
[00295.64-00297.04] 就是会导致
[00297.04-00299.64] 我们会发现是不是访知业当中
[00299.64-00301.24] 我们所说的手工业啊
[00301.24-00302.44] 访知业像这样的行业
[00302.44-00304.64] 它的生产效率是不大幅度提升啊
[00304.64-00306.84] 因为第一次工业革命主要发生在无所说的
[00306.84-00308.04] 清访之工业
[00308.04-00309.64] 所以像我们所说的工厂
[00309.64-00312.04] 它的生产效率就会提升很快
[00312.04-00313.44] 那生产效率提升得快
[00313.44-00315.32] 这一位产兽的产品多
[00315.32-00317.08] 它赚钱的可能性会怎么样
[00317.08-00319.36] 赚钱的可能性会变得更多
[00319.36-00322.08] 所以在这里会导致一个问题
[00322.08-00323.32] 那同时来想一下
[00323.32-00325.08] 如果你作为一个地主
[00325.08-00326.28] 你现在就是一个地主
[00326.28-00327.00] 假设啊
[00327.00-00328.28] 假设做一个地主
[00328.28-00329.52] 你现在发现外
[00329.52-00332.08] 盖工厂生产什么布皮
[00332.08-00333.96] 生产什么其他的一些零布架
[00333.96-00335.08] 好像很赚钱
[00335.08-00336.36] 那这种情况之下
[00336.36-00337.76] 你会把你的土地
[00337.76-00339.88] 继续用来交给農民公众吗
[00339.88-00340.56] 不会的
[00340.56-00343.00] 你会想法设法把你的土地变成什么
[00343.00-00344.72] 最赚钱的那个东西
[00344.72-00348.04] 就是你要在这个土地上也去投资监场
[00348.04-00349.36] 也去盖场房
[00349.36-00352.16] 在这个情况之下会出现一个问题
[00352.16-00353.28] 什么问题呢就是
[00353.28-00355.04] 你现在要把你的土地的用途
[00355.04-00356.64] 不用来怎么样不用来中了
[00356.64-00358.72] 而是要用来干什么呢 盖场房
[00358.72-00360.80] 那你如果想用来盖场房的话
[00360.80-00363.16] 那原本要中的这个土地你就不中了
[00363.16-00364.68] 那这时候农民怎么办
[00364.68-00366.68] 就把农民从土地上赶出去就可以了
[00366.68-00367.92] 你告诉他这个地方不中了
[00367.92-00368.40] 对吧
[00368.40-00369.52] 我现在也不用你们了
[00369.52-00372.24] 也不用你们做我的地方说给我交出了
[00372.24-00373.64] 我现在要盖场方
[00373.64-00375.72] 这个其实就是我们所熟悉的什么
[00375.72-00376.60] 全地运动
[00376.60-00379.48] 在这里面他要用这些土地去盖场方
[00379.48-00381.12] 那他导致的一个结果是什么
[00381.12-00383.56] 他要把農民从这篇土地上赶出去
[00383.56-00384.84] 对吧 你现在行了
[00385.56-00388.52] 不跟你在这跟我一天什么面头黄土
[00388.52-00390.80] 被朝天的我看你可连西西台赚不了钱
[00390.80-00391.80] 你不见你赚不了钱
[00391.80-00394.08] 你赚村良事我也赚不了钱
[00394.08-00394.44] 对吧
[00394.44-00397.20] 所以他就会把農民从土地上赶出去
[00397.20-00399.52] 那把他我们所说的地主
[00399.52-00401.36] 把農民从土地上赶出去
[00401.36-00403.16] 農民首立有生產資料嗎
[00403.16-00404.24] 他啥也沒有
[00404.24-00406.74] 他都土地還是從人家的地方去租的
[00406.74-00407.76] 所以這種情況之下
[00407.76-00409.54] 社會就完成了一種轉型
[00409.54-00410.46] 什麼轉型呢
[00410.46-00411.48] 原本的地主
[00411.48-00412.70] 因為蓋了廠房
[00412.70-00413.82] 他就變成了什麼
[00413.82-00415.10] 他變成了廠主
[00415.10-00416.64] 因為變成了我們所說的什麼
[00416.64-00417.48] 資本家
[00418.76-00420.38] 也是我們所說的資產界界界
[00420.38-00422.10] 而原本的農民
[00422.10-00424.14] 大部分農民他收理是沒有土地的
[00424.14-00425.16] 那這種情況之下
[00425.16-00426.20] 農民沒有土地
[00426.20-00428.24] 他就被感到了市場當中去
[00428.24-00430.30] 他事後就完成了一個身份的推辨
[00430.30-00432.82] 他就从农民变成了什么 无产阶级
[00432.82-00434.90] 也就是我们所说的工人
[00434.90-00436.86] 所以这种情况之下 你看
[00436.86-00439.50] 农民他现在啥都没有了
[00439.50-00441.66] 那既然农民啥都没有了
[00441.66-00443.90] 那这种情况之下他想要吃饱
[00443.90-00445.30] 穿的像赚钱 他怎么办
[00445.30-00446.62] 他就一把子立起
[00446.62-00447.54] 我什么都没有了
[00447.54-00449.14] 我就只剩下我自己了
[00449.14-00451.94] 那他就可以去出卖自己的劳动力
[00451.94-00453.62] 而这个时候恰巧
[00453.62-00455.38] 我们刚才所说的这些资本家
[00455.38-00456.74] 他盖了工厂之后
[00456.74-00457.90] 对吧 他这样伤善资料
[00457.90-00458.86] 他又不想干活
[00458.86-00460.06] 那这种情况之下
[00460.06-00463.26] 到市场当中去买能够给他干活的人员
[00463.26-00464.62] 所以在这里面你看
[00464.62-00468.10] 他说了自文主义公用劳动制的形成有一个前提
[00468.10-00471.42] 他的前提必须是劳动立成为什么商品
[00471.42-00473.30] 劳动力都成为商品了同行吗
[00473.30-00474.50] 都开始已经怎么样
[00474.50-00475.62] 买卖劳动者了
[00475.62-00477.90] 以前的时候市场当中只流通什么
