[00000.00-00003.24] 同時們好 歡迎來學習經濟學的板塊
[00003.24-00007.24] 我是劫瑞老師 那今天我們要進入到一個新的科目的學習
[00007.24-00009.72] 這個科目就叫做經濟學
[00009.72-00013.44] 但同時們要知道 我們現在在這個科目當中所強調的經濟學
[00013.44-00016.88] 它和馬斯主義正的經學還是有些不同的
[00016.88-00020.72] 馬斯主義正的經濟學 特眾研究的是資本主義經濟
[00020.72-00023.04] 它運行的一個軌跡和它的本質
[00023.04-00025.92] 最終得出來的解論是資本主義最終會走向
[00025.92-00028.16] 灭亡而这里面的经济学呢
[00028.16-00030.80] 就是我们今天这个科末要一大奖解的经学
[00030.80-00033.84] 它其实包括了很多的副杂那些内容
[00033.84-00035.60] 比如说我们在大学的时候
[00035.60-00038.08] 有一些同学它可能是学财快内容的
[00038.08-00041.04] 它里面会涉及到红官和微观的经济学的知识
[00041.04-00043.84] 当然它也不单单只是红官和微观
[00043.84-00048.00] 它可能还会和我们国家的一些经济的一些状况相结合
[00048.00-00050.72] 那这里面又会强调社会主义市场经济
[00050.72-00052.32] 所以对于经济学来说呢
[00052.32-00053.60] 它其实相对来说
[00053.60-00056.42] 可以说是一个支持理论的一个大杂会
[00056.42-00058.86] 那听到大家会之后呢 投成就说完了
[00058.86-00060.08] 对吧 毁灭吧
[00060.08-00061.16] 对吧 上一个科目
[00061.16-00062.32] 我们在学马原的时候
[00062.32-00065.24] 我就觉得那些照明自己就很会色难懂了
[00065.24-00067.16] 这里又搞出来一个经济大杂会
[00067.16-00068.80] 我就感觉没有学习都动你了
[00068.80-00069.92] 同学不要慌啊
[00069.92-00071.68] 其实经济学呢 看似很难
[00071.68-00074.96] 那它其实呢都是我们生活当中的一些事
[00074.96-00077.80] 就是经济经济就叫做经事静民
[00077.80-00080.24] 经济生活 经济信息 经济
[00080.24-00082.56] 现象每天都在我们身边去
[00082.56-00088.76] 发生,你比如说,早上起来的时候,做完没吃饭,因为减肥,所以做完没吃饭,早上起来的时候饿得不行了。
