[00000.00-00002.60] 好的 那我们接着往下看
[00002.60-00008.20] 咱们讲完了自愿配方式 讲完了市场经济 那我们接下来来看一下第三个问题
[00008.20-00013.20] 是市场与市场体系 因为我们说了无论是什么样的经济
[00013.20-00018.68] 它在运行的时候 它都是要在市场当中运行的 那我们就来看很到底什么事
[00018.68-00023.56] 市场 那我们来看一下首先第一个就是市场的含义
[00023.56-00027.56] 他市场是交换关系的总合后面给到了
[00027.56-00031.36] 说他记得包括有固定交换场所的交易情况
[00031.36-00033.76] 也包括无固定交换场所的交易情况
[00033.76-00035.48] 只要产生交易关系
[00035.48-00037.16] 无论他是有型的还是无形的
[00037.16-00039.16] 我们看的见的还是看不见的
[00039.16-00041.16] 他都会形成什么市场
[00041.16-00042.96] 说老师这么说有点抽象
[00042.96-00044.56] 那么觉得几个简单的例子
[00044.56-00047.56] 比如说有固定场所的这样的一些市场
[00047.56-00050.76] 我们能够看的比如说楼下超市的菜市场
[00050.76-00052.88] 谁过市场花免市场
[00052.88-00054.60] 对吧 这些都是有固定尝锁的
[00054.60-00057.12] 定期去6年 定期买谁过
[00057.12-00058.44] 这些都叫做什么
[00058.44-00059.92] 有固定尝锁的市场
[00059.92-00061.36] 那无固定尝锁的
[00061.36-00062.24] 它有哪些呢
[00062.24-00064.44] 比如说我们看到的股票市场
[00064.44-00065.88] 甚至我们现在在淘宝
[00065.88-00068.00] 那种尝建的这种淘宝的形式 对吧
[00068.00-00069.84] 它其实都是无固定尝锁的
[00069.84-00071.64] 只要产生交换关系
[00071.64-00073.28] 那那一颗市场都产生了
[00073.28-00076.00] 比如说我在举一个例子咱们几段一点
[00076.00-00078.92] 现在我说我说卖啥呢
[00078.92-00082.88] 賣這一點 賣什麼的烤錢 家庭 命中率 百分之百
[00082.88-00083.96] 這是我想的
[00083.96-00086.08] 你看我說 那就賣這樣的一份
[00086.08-00086.96] 充自句話
[00086.96-00088.36] 然後有同學就問說老師
[00088.36-00090.08] 那個充自句話在那麽多少錢
[00090.08-00091.08] 我說十分件一份
[00091.08-00093.08] 十五錢 買不了吃 賣不了上道
[00093.08-00093.92] 你來買吧
[00093.92-00094.76] 然後呢
[00094.76-00097.28] 你跟我說說老師在那麽我說你這樣
[00097.28-00099.68] 咱們呢 晚上七點的時候
[00099.68-00101.76] 你帶上墨鏡和口罩
[00101.76-00103.28] 我也帶上墨鏡和口罩
[00103.28-00106.68] 然後咱們兩個呢 穿著我們所說的黑色的這種夜行一
[00106.68-00107.88] 然后走在那个外面
[00107.88-00111.04] 咱们在那个广场的那个一楼的那个门口
[00111.04-00112.16] 然后在那儿见面
[00112.16-00113.48] 你说老是怎么街头
[00113.48-00114.56] 我说这样吧
[00114.56-00116.32] 我说咱俩对一个案号
[00116.32-00117.52] 我是天王贵地虎
[00117.52-00118.76] 你说小丁是对模过
[00118.76-00119.80] 咱们就在那儿街头
[00119.80-00120.92] 结果晚上期待的时候
[00120.92-00123.56] 我在那个商场的一楼的那个大门门钱
[00123.56-00125.12] 看到了一个带着口罩
[00125.12-00126.96] 然后带着默奸穿着夜行一的女
[00126.96-00127.96] 然后你也看到了我
[00127.96-00129.56] 然后我说来街头
[00129.56-00130.96] 我说天王贵地虎
[00130.96-00132.20] 你说小丁是模过
[00132.20-00133.24] 我说实话显
[00133.24-00133.96] 你说捐转
[00133.96-00135.24] 一手交钱一手交货
[00135.24-00136.44] 你看咱们两个当时
[00136.44-00139.26] 在商场当中的一楼门口的行为
[00139.52-00140.54] 你把钱给我
[00140.80-00141.82] 我把捐个交给你
[00141.82-00143.86] 这一刻交换也没有产生
[00144.12-00145.14] 这一刻交换产生了
[00145.40-00146.94] 这一刻交换产生就后呢
[00147.44-00148.74] 咱们之间的这个
[00149.50-00152.06] 所处的这个空间在内刻就变成了什么
[00152.32-00153.34] 就变成了市场
[00153.60-00154.62] 所以所谓的市场
[00154.88-00156.40] 他就是交换关系的总合
[00156.66-00158.96] 他不一定说只用固定场所的材料市场
[00159.22-00160.50] 你就嫌得去理解
[00160.76-00163.84] 他只要产生交换关系的内刻市场就产生了
[00164.08-00164.86] 那大家注意一下
[00164.86-00165.90] 这市场的含意
[00165.90-00167.26] 有一个概念就行了
[00167.26-00169.18] 那知道了什么是市场之后呢
[00169.18-00169.98] 那么来看一下
[00169.98-00172.62] 那市场到底是有哪些又后够成的
[00172.62-00173.90] 那这个呢就叫做
[00174.62-00175.62] 够成要素
[00175.62-00177.86] 比如说刚才在妹院子这个东西的时候
[00177.86-00178.42] 我们说了
[00178.42-00179.86] 叫一首交钱
[00179.86-00180.58] 一首交货
[00180.58-00181.78] 我把捐子给你
[00181.78-00183.22] 你把钱给我
[00183.22-00185.02] 那你看在这个市场当中
[00185.02-00186.02] 首先第一个
[00186.02-00187.50] 你从我手里买捐子
[00187.50-00188.62] 你就是什么
[00188.62-00190.78] 你就是市场主体
[00190.78-00192.42] 你从手里买的这个捐子
[00192.42-00194.06] 这个捐子是不交易的对象
[00194.06-00196.04] 那他就叫做市场课题
[00196.04-00198.54] 那在这里面你产生了一个行为是什么行为
[00198.54-00200.54] 是知复行为 对吧
[00200.54-00203.54] 你看知复行为在这里面就意味着什么呢
[00203.54-00205.84] 知复行为在这里面就意味着
[00205.84-00207.34] 怕属于市场行为
[00207.34-00208.98] 你是买我的捐子
[00208.98-00210.78] 而不是去抢我的捐子
[00210.78-00211.08] 对吧
[00211.08-00212.84] 所以在这里就产生了市场行为
[00212.84-00215.16] 那为什么说你在买捐子的时候
[00215.16-00216.26] 你要复行给我呢
[00216.26-00218.22] 你不是在了我的捐子跑了呢
[00218.22-00220.90] 因为有市场秩序在约束你
[00220.90-00222.80] 所以市场秩序就是市场规则
[00222.80-00225.32] 你知道在那個商場能考強我的願者
[00225.32-00226.84] 我一定會報警抓你的
[00226.84-00228.16] 因為有規範
[00228.16-00231.44] 所以在這裡面才能夠保證市場的有序運行
[00231.44-00231.88] 對吧
[00231.88-00232.84] 所以市場要做
[00232.84-00234.20] 就以你買捐的為利
[00234.20-00235.76] 就是你也主體
[00235.76-00237.44] 願者客氣支付行為
[00237.44-00238.28] 就是市場行為
[00238.28-00239.88] 為什麼給錢而不是強
[00239.88-00241.80] 因為這裡是有市場秩序的
[00241.80-00243.76] 這個就要做市場秩序
[00243.76-00245.44] 那市場秩序當中的重點
[00245.44-00246.48] 或者說我們要掌握的
[00246.48-00247.84] 兩星級的點在那呢
[00247.84-00250.16] 在於市場主體當中
[00250.16-00251.72] 以及市場秩序
[00251.72-00253.72] 那我們先來看一下市場主體
[00253.72-00255.04] 什麼市場主體呢
[00255.04-00257.00] 市場主體是在市場上
[00257.00-00259.64] 參與交易活動的組織活個人
[00260.36-00261.56] 可以是企業
[00261.56-00263.68] 進行買賣相的產品後
[00263.68-00266.32] 也可以是我們買賣相的產品後
[00266.32-00267.40] 你點賣賣了
[00267.40-00268.56] 在逃亡上下單了
[00268.56-00268.88] 對吧
[00268.88-00271.44] 這都屬於市場主體個人的行為
[00271.44-00273.00] 這裡面我們來看一下
[00273.00-00275.64] 他們市場主體同樣標準一下圈意
[00275.64-00279.32] 上主體最重要最本質的特徵是啥呢
[00279.32-00281.60] 同樣標準一下就做有力性
[00281.60-00282.60] 注意一下这个影案
[00282.60-00284.80] 他有时候会在选丢中给到这个影
[00284.80-00285.80] 说是影力
[00285.80-00286.60] 这样就错了
[00286.60-00288.60] 大家注意一下是这个轻影的影
[00288.60-00289.80] 影代表什么
[00289.80-00293.60] 你是赚钱而不是简单的运营一个企业
[00293.60-00294.60] 所以在这里面
[00294.60-00297.40] 大家注意一下影力的影力非常重要
[00297.40-00298.50] 他经常会给错
[00298.50-00300.00] 你一定要注意一下这个小点
[00300.00-00303.00] 所以第一个最重要最本身的特征就是要赚钱
[00303.00-00304.80] 我买称的位叫做影力性
[00304.80-00306.60] 而市场的主体千千万
[00306.60-00307.10] 对吧
[00307.10-00308.60] 政府可以算上主体
[00308.60-00310.70] 大家想一想我们刚才给大家讲到的
[00310.70-00314.10] 他在我这儿买雨毛球的在我这儿买运动服
[00314.10-00315.62] 那政府可以是主体
[00315.62-00318.82] 我刚才和你进行捐资的这样的一个买卖
[00318.82-00320.30] 那这个时候他也可以是什么
[00320.30-00322.62] 他也我们作为个人也可以是主体
[00322.62-00324.38] 那你说老师我不在你这儿买捐资
[00324.38-00325.26] 你再这儿买呢
[00325.26-00328.62] 我说我就从哪个什么企业里面去买
[00328.62-00328.78] 对吧
[00328.78-00329.94] 现在交陪机构那么多
[00329.94-00331.22] 你就从那个机构里面去买
[00331.22-00332.70] 那你看那些机构他属于什么
[00332.70-00334.14] 他属于企业
[00334.14-00335.98] 所以在市场主体当中
[00335.98-00338.54] 他的具体本形式其实还很多的
[00338.54-00342.02] 但在这些主题里面谁才是最重要的事实体呢?
[00342.02-00343.78] 大家注意一下,写上圈儿
[00343.78-00345.70] 在这些主题里面大家注意一下
[00345.70-00348.30] 企业才是最重要的事实上主题
[00348.30-00351.02] 为什么企业是最重要的事实体呢?
[00351.02-00353.42] 因为企业是整个市场当中
[00353.42-00356.46] 最大的生产者和最大的消费者
[00356.46-00358.50] 企业的消费体量和生产体量
[00358.50-00362.82] 相对一个人来说那是成绩和背书的这样的一个书量在
[00362.82-00363.18] 对吧
[00363.18-00364.94] 所以企业是最大的生产者
[00364.94-00365.98] 最大的消费者
[00365.98-00367.50] 最大的事实上参与者
[00367.50-00369.82] 所以从这条度来看我们就认为
[00369.82-00372.74] 企业是最重要的市场主体
[00372.74-00374.54] 那说企业老师我懂
[00374.54-00376.78] 我相信同一们家里有双的有企业的
[00376.78-00377.02] 对吧
[00377.02-00378.10] 企业大家很懂
[00378.10-00380.78] 企业他的形式其实还这比较多样的
[00380.78-00382.54] 比如说在这里我们常见的
[00382.54-00384.82] 有个人业主制的企业形式
[00384.82-00389.90] 这种个人业主制就比如说我在我的楼下开了一个小型的超市
[00389.90-00391.02] 这个就叫做什么
[00391.02-00391.82] 个人业主制
[00391.82-00395.34] 就类似于我们今天所说的各体工商户的重形式
[00395.34-00397.58] 那第二种就叫做合伙制
