[00000.00-00003.72] 大家好,我是杰瑞老师,欢迎大家来学习。
[00003.72-00010.16] 今天我们要给大家讲解的那种是经济学当中的第二章,也就是我们所说的微观经济。
[00010.16-00024.24] 咱们在上一节课当中给大家去讲到了市场经济理论,我们在市场经济理论当中,去了解了合为市场,资源如何配置什么市场经济以及我们国家社会主义市场经济,它的一些基本课征。
[00024.24-00026.60] 那在第一章市场经济倫当中呢
[00026.60-00029.80] 我们是有三个两星期的支持门块的
[00029.80-00031.56] 那他分别是我们所说的
[00031.56-00036.28] 最安配置的方式市场机制以及在市场过程要素当中
[00036.28-00038.16] 给大家提到的市场主体
[00038.16-00040.04] 这个点是格外重要的
[00040.04-00043.04] 也是各地区在考察经济学内容当中
[00043.04-00044.40] 几乎都会覆盖到的
[00044.40-00045.84] 那市场经济倫呢
[00045.84-00048.24] 他解决的只不过是整个市场
[00048.24-00049.76] 他的一般运行的规律
[00049.76-00052.40] 他没有深入去研究市场当中
[00052.40-00054.12] 他的具体运行的情况
[00054.12-00057.24] 那今天我們就深入市場當中去看一下
[00057.24-00059.34] 具體經濟 输入和越醒的
[00059.34-00061.34] 那今天的先給大家去來講解
[00061.88-00063.56] 我們的立官經濟
[00063.56-00064.84] 在立官經濟當中
[00064.84-00066.48] 我們要講三節的內容
[00066.48-00068.20] 這三節分別是第一個
[00068.20-00069.36] 我們了解一下
[00069.36-00071.36] 立官經濟它大概是什麼情況
[00071.36-00073.24] 叫做立官經濟的蓋數
[00073.24-00075.08] 第二個從蓋數當中
[00075.08-00075.76] 去知道了
[00075.76-00078.64] 立官經濟研究當個個體的行為
[00078.64-00080.88] 那這當個個體分別就設一道
[00080.88-00083.24] 三個概念分別是需求
[00083.24-00085.32] 共级以及市场理论
[00085.32-00087.44] 这里面最重要的知识点
[00087.44-00090.60] 其实两星期的知识点在于需求上
[00090.60-00092.52] 在于公求军红上
[00092.52-00093.60] 共同军红
[00093.60-00095.40] 整体的考察的频率
[00095.40-00096.60] 没有需求那么高
[00096.60-00098.60] 但是它是一个绝对的难点
[00100.12-00101.04] 同时没有注意
[00101.04-00102.76] 所以对于公求军红
[00102.76-00104.88] 这个点要着重去理解
[00104.88-00107.44] 最后一个就是我们所说的市场理论
[00107.44-00109.80] 它主要也是考的相对来说比较复杂
[00109.80-00110.60] 所以在这里
[00110.60-00112.96] 它也是一个两星期的重难点的一个
[00112.96-00113.96] 這是矛盾
[00113.96-00116.44] 那麼先來看一下第一個部分的內容
[00116.44-00118.44] 就是微官經濟的概數
[00118.44-00121.28] 咱們來看一下微官經濟到底研究什麼
[00121.28-00122.64] 在這裡他說了
[00122.64-00125.20] 說微官經濟學研究對象是
[00125.20-00127.68] 當個經濟個體微官
[00127.68-00129.48] 它只能不是一個群體
[00129.48-00131.68] 而是當個的經濟行為
[00131.68-00133.68] 那這個當個的經濟單位
[00133.68-00134.80] 它都包括什麼呢
[00134.80-00135.76] 首先第一個
[00135.76-00138.36] 微官經學研究當個消費者
[00138.36-00141.12] 消費者就是市場當中無數個
[00141.12-00144.12] 你我咱们都会再玩玩去逃跑去够物
[00144.12-00144.62] 对吧
[00144.62-00147.92] 这个时候我们就是这个市场当中的单个消费者
[00147.92-00149.76] 以我自己为单位
[00149.76-00152.12] 单个消费者他对应的概念
[00152.12-00155.52] 其实在经济学当中叫做需求
[00155.52-00158.92] 所以研究单个消费者去研究他的需求
[00158.92-00160.62] 你说老师研究需求有什么用呢
[00160.62-00162.82] 就看消费者为什么会这么消费
[00162.82-00164.32] 消费者在消费的时候呢
[00164.32-00166.82] 当他的买一程度最高的时候
[00166.82-00169.52] 我们如何去订阅他的这样的指标
[00169.52-00171.80] 这个就叫做单个消费者
[00171.80-00173.32] 我们去买东西
[00173.32-00175.32] 总归是要有人提供东西
[00175.32-00179.52] 而提供东西的就是我们所说的生产者
[00179.52-00181.72] 生产者有关的精学概念
[00181.72-00183.12] 它其实强调的是
[00183.12-00183.92] 供击
[00183.92-00185.72] 而供击和需求放在块
[00185.72-00188.20] 就是我们在微观进一些第一节里面
[00188.20-00189.60] 要就给大家去强调的
[00189.60-00191.72] 叫做需求和供击理论
[00191.72-00193.20] 但是无论是单个
[00193.20-00195.72] 消费者还是单个生产者
[00195.72-00196.76] 它的精技行为
[00196.76-00198.92] 都是要在市场当中进行的
[00198.92-00202.50] 所以我们还要去研究单个市场它的一个理论情况
[00202.50-00204.80] 这个其实就是第二节当中
[00204.80-00206.60] 叫做市场理论
[00206.60-00209.84] 所以微观经济学就是研究单个消费者
[00209.84-00214.02] 单个生产者以及单个市场它的一些经济状况
[00214.02-00217.04] 但是我们其实把经济学成为一个学科
[00217.04-00221.04] 我们所研究的其实相对来说都是比较理想的状态
[00221.04-00225.80] 所以所有的经济理论当中都会存在一个假设条件
[00225.80-00227.96] 同時把假設條件標準出來
[00227.96-00231.06] 它是一個醫興級的實際性的點
[00231.06-00233.84] 所有經濟理論當中都存在一個假設條件
[00233.84-00234.84] 這個條件是什麼呢?
[00234.84-00236.46] 叫做核酷理性人
[00236.46-00239.72] 或者叫理性人或者叫經濟人的假設條件
[00239.72-00240.64] 這個點呢
[00240.64-00242.08] 在之前的施的位置
[00242.08-00244.44] 考試過是當中的考過單選品
[00244.44-00246.16] 就是直接在這兒的八個控
[00246.16-00250.64] 在這裏面他肩考過同時把它去實際清楚
[00250.64-00253.04] 那說老師什麼叫做核酷理性人
[00253.04-00255.20] 或者叫做理性人或者叫經濟人
[00255.20-00257.88] 就是我们在去研究进去现象的时候
[00257.88-00259.96] 我们把市场当中的所有的人
[00259.96-00261.28] 都普遍认为
[00261.28-00263.12] 他都是具有什么性的呢
