[00000.00-00003.04] 好 那我们今日来往下看第二节的内容
[00003.04-00005.24] 那第二节都没有给大家讲市场理论
[00005.24-00008.12] 咱们在整个微观进学当中给大家讲了
[00008.12-00010.84] 微观进学到底研究什么讲的概数
[00010.84-00013.04] 从概数当中呢我们抽象出来了
[00013.04-00017.52] 微观进学研究单个经济个体的行为 对吧
[00017.52-00019.56] 在研究单个经济个体当中
[00019.56-00022.88] 我们就演成出来了要研究单个消费者
[00022.88-00025.60] 单个生产者以及单个市场
[00025.60-00027.64] 单个消费者对用的是需求
[00027.64-00029.76] 单个生产者对用的是共挤
[00029.76-00033.72] 但无论是需求和供给他都要在市场当中运行
[00033.72-00037.32] 接下来我们就要来开一下微关键学当中的最后一个板块
[00037.32-00039.12] 就是市场理论
[00039.12-00042.16] 这个市场理论的本身他在考察的时候
[00042.16-00043.96] 他更测重的大家注意下
[00043.96-00047.16] 他更测重的是综合性题目的考察
[00047.16-00049.48] 就是他给到这些市场的具体内容
[00049.48-00054.08] 然后他问说关于这个市场特征说法正确或者错误的事
[00054.08-00056.72] 或者是以下ABCD四权当中
[00056.72-00060.30] 哪一个更符合它所提干当中所给到的这个市场要求
[00060.30-00061.58] 这是一种考察方式
[00061.58-00065.36] 第二种考察方式会考察一些理解性的题目
[00065.36-00068.24] 那这个理解性的题目测证在两个角度
[00068.24-00072.94] 第一个角度就是测证在这些市场它有什么样的静征手段
[00072.94-00076.68] 然后在手段这个地方会涉及一些理解性的题目
[00076.68-00081.94] 第二个呢它就在这个地方让我们去判断这些市场当中
[00081.94-00085.14] 比如说它提到了完全静征市场的隐段静征等等
[00085.14-00088.14] 像这市场当中他的近四市场有那些
[00090.02-00091.74] 所以在这里面大家注意一下
[00091.74-00094.74] 我们想要把这种理解型的题目大对
[00094.74-00098.90] 必须要了解市场当中每一个市场他的特点
[00098.90-00102.14] 所以在这个地方绝对的两星期的理解型的制施点
[00102.14-00103.42] 大家要重点掌握
[00103.42-00105.30] 那么来看一下它是咋说的
[00105.30-00108.26] 它说根据不同市场结构特征
[00108.26-00110.66] 将市场可以花紛为同一标主一下
[00110.66-00112.22] 完全竞争市场
[00112.22-00116.06] 隆斷竞争市场挂投隆斷和完全隆斷
[00116.06-00120.10] 在这里面,第一个考点一星级的实际型的题目
[00120.10-00121.42] 考市场的分类
[00121.42-00123.58] 他说根据市场不同的结果特征
[00123.58-00125.98] 可以将市场分为两大类
[00125.98-00127.66] 这两大类,大家注意一下
[00127.66-00130.14] 第一类,叫做完全竞争市场
[00130.14-00132.86] 在这个市场当中只有竞争因素
[00132.86-00134.22] 没有其他因素
[00134.22-00137.42] 第2个就是叫做不完全竞争市场
[00137.42-00142.50] 大家一起在旁边,叫做不完全精彻市场。
[00142.50-00148.06] 不完全精彻市场帮包括三个小的类别分别叫做隆断精彻,
[00148.06-00152.14] 滚头隆断,以及完全隆断,以及完全隆断。
[00152.14-00157.86] 所以在这里面,大家第一个注意一下,它的分类是两大类和四个子市场。
[00157.86-00162.26] 所以它在考判断体的时候,你一定要看清楚它是咋说的。
[00162.26-00168.12] 他如果說我們按照不同的市場結構把市場花分為完全競爭和不完全競爭市場
[00168.12-00172.28] 證書法也是正確的所以大家一定要注意一下它的紛類
[00172.28-00175.96] 那竟然是按照不同的市場結構特徵來花分的
[00175.96-00179.06] 那這個不同的市場結構特徵有哪些呢
[00179.06-00181.74] 他下面給到那些特徵因素
[00181.74-00186.26] 他在這裡給到第一個就是按從廠商的數目來研究
[00186.26-00189.06] 第二個從產品的差異化程度來研究
[00189.06-00192.64] 第三一個就是對商品的價格的控價程度來
[00192.64-00196.36] 最後一個就是從它是否能夠進入到一個行業
[00196.36-00199.04] 這四個角度來去總結了市場結構
[00199.04-00201.20] 你說老師這麼說相對來說有點抽象
[00201.20-00203.14] 沒有方便大家去理解和對比
[00203.14-00207.22] 我把這四個市場的所有特徵總結成了一張表格
[00207.22-00208.78] 咱們來對比來看
[00208.78-00211.32] 那我們首先來看一下第一大類
[00211.32-00213.52] 也就是我們所說的第一個市場類型
[00213.52-00215.70] 叫做完全競爭市場
[00215.70-00218.32] 如果老師什麼叫做完全競爭市場
[00218.32-00221.14] 要判斷它是不是完全竞争市场要看
[00221.14-00223.88] 它是否符合这几个条件
[00223.88-00226.24] 如果一旦符合了这四个条件
[00226.24-00228.56] 那么它就叫做完全竞争市场
[00228.56-00229.56] 咱们来看一下
[00229.56-00230.80] 都哪些条件呢
[00230.80-00233.32] 首先第一个小达到完全竞争市场
[00233.32-00234.52] 在这里面它说了
[00234.52-00236.08] 廠商数量有多少个呢
[00236.08-00236.86] 大助一下
[00236.86-00239.04] 廠商数量有无数个
[00239.04-00240.56] 在这个市场内行当中
[00240.56-00241.56] 大家要明去
[00241.56-00243.44] 完全竞争市场当中
[00243.44-00245.56] 除了有无数个廠商之外
[00245.56-00246.36] 还有什么呢
[00246.36-00247.76] 还有无数个消费者
[00248.32-00250.84] 还有无数个消费者
[00250.84-00252.80] 同时就可以这么去理解
[00252.80-00254.12] 在这个市场当中
[00254.12-00256.52] 产品的流动以及要素的流动
[00256.52-00258.32] 它其实是完全自由的
[00258.32-00260.04] 就是不受任何控制
[00260.04-00261.32] 如果你是生产者
[00261.32-00262.76] 那你想要生产A产品
[00262.76-00263.88] 那你想来你就来
[00263.88-00264.88] 想做你就走
[00264.88-00266.96] 这个其实就是完全进入市场
[00266.96-00268.80] 它的自由度是极其之高的
[00268.80-00270.60] 所以在场上数量来看的话
[00270.60-00271.40] 我们就会发现
[00271.40-00272.84] 既然它自由度这么高
[00272.84-00274.52] 我想来就来想做就走了
