[00000.00-00003.28] 同一们好 欢迎大家来学习今天的内容
[00003.28-00008.52] 我是权威老师 那今天我们要给大家去讲解的是经济学当中的第三个
[00008.52-00011.08] 大的板块就是红官经济学
[00011.08-00013.88] 咱们在前面的内容 其实给大家去讲到了
[00013.88-00017.48] 市场经济理论 描述了一下它的基本原理和状况
[00017.48-00022.52] 然后把我们的市场的分在单个个体的经济行为研究上于是得出了
[00022.52-00023.64] 被关经济学
[00023.64-00026.72] 但是我们之前也给大家去铺电5我们说市场当中
[00026.72-00029.88] 它是有无数个生产者和无数个消费者的
[00029.88-00032.02] 而无数个生产者和消费者
[00032.02-00034.50] 他们之间的这样一个经济行为的研究
[00034.50-00037.52] 就够成了整个经济社会的运行
[00037.52-00040.34] 那这个时候我们就把视角从单个个体
[00040.34-00041.66] 放到了整个社会
[00041.66-00044.42] 就进入到了红官经济学的研究
[00044.42-00045.62] 所以红官经学呢
[00045.62-00047.32] 我们要给大家去讲两个部分
[00047.32-00050.54] 那既然要研究一个国家和一个社会的经运行
[00050.54-00052.52] 那必须就先销去了解
[00052.52-00054.38] 这个国家或者是这个社会
[00054.38-00056.34] 它经济运行的目标是什么
[00056.34-00058.80] 那这是第一个就红官调控目标
[00058.80-00060.60] 第二个 既然有了这个目标
[00060.60-00062.52] 我们如何来实现这个目标
[00062.52-00063.40] 那第二节呢
[00063.40-00066.04] 我们要给大家去讲一下它的政策分析
[00066.04-00067.92] 在整个红官进学当中
[00067.92-00069.72] 它其实是全书当中
[00069.72-00071.52] 最重要的一个张节
[00071.52-00073.84] 它可以说是我们学习的重中之重了
[00073.84-00076.72] 它在整体的考察上可以单独的去考察
[00076.72-00079.08] 这里面的箱的知识学类一些原理
[00079.08-00081.72] 当然了它也可以结合实征的内容去考察
[00081.72-00084.32] 因为这里面它和我们的政府工作报告以后
[00084.32-00085.80] 国家的箱政策也好
[00085.80-00088.04] 其实有很大的这样的一个关联关系的
[00088.04-00091.76] 所以红官进学时全数最为重要的一个张简
[00091.76-00094.20] 我们首先来看一下第一节的内容
[00094.20-00097.88] 我们来看一下我们所说的红官条控的目标
[00097.88-00099.68] 在红官条控的目标当中
[00099.68-00101.16] 一共是有三个目标
[00101.16-00102.60] 这四个目标
[00102.60-00104.76] 这四个目标分别是经济增长
[00104.76-00109.68] 就纵家稳定物件以及保持国际收支平衡
[00109.68-00112.40] 这里面两星期的知识点搭住一下
[00112.40-00115.04] 是在经济增长和稳定入价上
[00115.04-00117.68] 这两个地方的考点非常非常的密集
[00117.68-00119.96] 而且都是理解行题目的考察
[00119.96-00121.96] 经济增长只有一个模块
[00121.96-00123.64] 是我们考察的重点
[00123.64-00126.32] 或者说称这个叫两星期的知识点
[00126.32-00129.68] 我们所提到的失业的类型
[00129.68-00131.68] 其他的在有关于就意了
[00131.68-00133.32] 相关内容的知识点
[00133.32-00136.44] 同时没有一个基本概念掌握就可以了
[00136.44-00139.24] 我们就演这四个目标主义来看一下
[00139.24-00142.32] 咱们整个红官条控目标的内容
[00142.32-00143.60] 我们来看一下
[00143.60-00145.64] 在红官条控目标正在开之前
[00145.64-00147.16] 他给了我们一端总论
[00147.16-00148.24] 在总论当中
[00148.24-00149.68] 我们来看一下他怎么说的
[00150.68-00152.68] 他说红官调控的主要目标
[00152.96-00156.48] 有四个叫促进经济增长增加就业
[00156.48-00159.36] 稳定物价以及保持国际收拾拼红
[00159.36-00161.32] 同时把这个点去给他标注一下
[00161.32-00162.48] 就写上圈一
[00162.48-00165.28] 叫做红官调控的主要目标
