[00000.00-00005.62] 好的,我们来接日来看一下第二个逃控目标,第二个逃控标叫做增加就业。
[00005.62-00018.76] 按说老师讲就业怎么还突然讲到失业了呢?它其实有一个原因,就是根据我们的数据来看的话,我们通常是用一个国家的失业率来衡量一个国家的就业情况。
[00018.76-00023.32] 老实为啥又有事业率来衡量一个国家的就业情况
[00023.32-00024.96] 其实原因很简单
[00024.96-00030.04] 第一个就是一个国家他在整体的总的人数当中是施业的人数更多
[00030.04-00031.56] 还是就业的人数更多
[00031.56-00033.68] 只顶着是就业的人数更多
[00033.68-00035.40] 我不知道同学的小说施业
[00035.40-00037.24] 只顶着就业的人数更多
[00037.24-00042.04] 所以班庆王之下我们会用施业率这样的一个小一点的这份指标去
[00042.04-00043.68] 进行侧算他更好算
[00043.68-00046.04] 第二个就是我们增加就业的目的
[00046.04-00048.00] 其实本身是要解决救疫狀況
[00048.00-00051.16] 其实用失业率它更能更加直外的
[00051.16-00053.60] 去红量一个国家的总体的一个决决水平
[00053.60-00055.00] 所以在增加救疫当中
[00055.00-00056.96] 我们有一个非常重要的指标
[00056.96-00058.20] 就是失业率
[00058.20-00060.16] 所以用失业率来红量救疫情况
[00060.16-00063.20] 那既然是用失业率来红量的谈到失业率
[00063.20-00064.76] 就必须要明确一个概念
[00064.76-00067.90] 就是我们要在增加救疫当中去研究到底什么事
[00067.90-00068.76] 失业
[00068.76-00070.88] 那我们先来看一下失业的含意
[00070.88-00073.44] 他们失业是指达到救疫年领域
[00073.44-00075.74] 有工作能力但某球工作的位置
[00075.74-00078.04] 就也机会的这样一个狀況
[00078.04-00079.84] 版成这位叫做失业
[00079.84-00083.44] 失业呢 他在这里面是同时满足三个条件
[00083.44-00086.44] 这三个条件的就是有救业能力
[00086.44-00089.44] 第二个是有救业医院第三个是没有工作
[00089.44-00091.04] 也说他在这里面提到的
[00091.04-00093.84] 说救业年龄区别工作能力
[00093.84-00094.94] 也就意味着
[00094.94-00096.94] 一定是达到法定工作年龄之后
[00096.94-00098.94] 他才能算做我们所说的
[00098.94-00100.44] 从业人员当中的一个
[00100.44-00101.04] 对吧
[00101.04-00103.04] 也就是一二不行
[00103.04-00104.72] 那只是在这里面大家知道
[00104.72-00106.08] 第二个就是谋求工作
[00106.08-00107.28] 谋求工作就意味着
[00107.28-00109.60] 它其实是有一定的就业意愿的
[00109.60-00111.08] 但是结果是什么
[00111.08-00112.20] 没有就业机会
[00112.20-00114.60] 所以这就是我们所说的由就业能力
[00117.48-00119.32] 第二个还有就业意愿
[00119.32-00120.20] 就是我有能力
[00120.20-00121.76] 我还想工作
[00121.76-00123.12] 但是在这种情况下
[00123.12-00124.60] 我却没有工作的
[00124.60-00126.60] 同时满足在三个条件
[00126.60-00130.40] 才能算作我们在经济学当中所提到的实验
[00130.40-00132.68] 那对事业大家其实比我们过生
[00132.68-00134.92] 这种传统意义上的找不到工作
[00134.92-00138.08] 所以这个概念的同学们简单有一个了解
[00138.08-00140.24] 知道它同时满足三个条件就OK了
[00140.24-00142.92] 但本身这个点不是一个非常重要的考点
[00142.92-00145.08] 这是第一个我们知道了什么事实验
[00145.36-00146.84] 知道了什么事实验之后呢
[00146.84-00147.60] 第二个点
[00147.60-00150.72] 我们来看一下这个点是一个两星级的理解性的点
[00150.72-00153.28] 我们来看一下实验的类型
[00153.28-00155.24] 在实验的类型里面在这个地方
[00155.24-00157.00] 讲到了四种实验类型
[00157.00-00159.56] 考试的时候一般就是给你一个案例
[00159.56-00162.00] 问它属于哪一种实验类型
[00162.00-00163.08] 那我们就要注意了
[00163.08-00164.60] 那首先第一个呢就叫做
[00164.60-00165.72] 抹擦性识业
[00165.72-00166.92] 什么叫抹擦性识业呢
[00166.92-00168.96] 同时可以在旁边给它补充上
[00168.96-00169.96] 所以抹擦识业
[00169.96-00172.24] 它就是人口正常流动
[00172.24-00173.52] 所导致的识业
[00175.52-00177.68] 人口在正常流动中
[00177.68-00178.76] 所导致的识业
[00178.76-00181.56] 它其实就是我们所说的抹擦性识业
[00181.56-00183.20] 你比如说我们在考试当中
[00183.20-00184.32] 最常考的
[00184.32-00188.00] 像我们经常提到的比如说跳槽
[00188.00-00194.12] 當跳槽換工作的時候會不會出現一個空檔期啊
[00194.12-00197.40] 跳槽換工作的時候只定會出現一個空檔期的
[00197.40-00200.40] 比如說我現在從一家公司去到B家公司
[00200.40-00203.16] 但是我在去到B家公司之前我是不是要投檢列
[00203.16-00205.40] 那我投檢列在重新找工作這段時間
[00205.40-00207.00] 其實就本質的就是我什麼
[00207.00-00210.00] 有工作能力有工作醫院但是沒有工作
[00210.00-00212.80] 沒有具體的工作機會是不是處在這樣的一個階段
[00212.80-00215.20] 所以跳槽換工作的空檔期
[00215.20-00218.56] 你就属于人口正常流动过程当中所造成的实验
[00218.56-00220.38] 那他就属于我们所说的什么
[00220.38-00222.00] 摩擦性实验
[00222.00-00223.58] 这是第1个跳舞和工作
[00223.58-00225.18] 那还有比较常见的是什么呢
[00225.18-00228.72] 比如说我们所说的从AD去必地工作
[00230.80-00232.02] 从AD去必地
[00232.02-00234.52] 所以AD去必地也是会遇到正常的什么
[00234.52-00235.48] 人口流动的
[00235.48-00237.46] 比如说我大学是在上海上的
[00237.46-00239.08] 那我后来我就去了什么
[00239.08-00241.06] 我后来我就去了北京工作
[00241.06-00242.60] 那你看我大学在上海
[00242.60-00244.76] 我找工作最开始的时候是在北京
[00244.76-00246.04] 我在北京工作了4年
[00246.04-00246.56] 对吧
[00246.56-00249.36] 那你看我从上海到北京这个期间
