[00000.00-00003.06] 好了 那我们接着来往下看
[00003.06-00004.80] 咱们先做一个減转的回顾
[00004.80-00007.80] 好吧 咱们再把这条时间线反正服复拉出来说一下
[00007.80-00010.74] 咱们说了五思运动是新民主主义革命的开端
[00010.74-00013.06] 于是在他之后成立了中国共产党
[00013.06-00014.60] 又了坚强的领导力量
[00014.60-00018.44] 我们去开始探索中国的父强独立之路
[00018.44-00020.16] 于是召开了中共一大
[00020.16-00025.34] 有了中国共产党二大 立钢三大国共要合作四大领导共同盟
[00025.34-00027.40] 所以到中共三大国共合作的时候
[00027.40-00030.48] 其实就是要开始起第一次国民大革命时期
[00030.48-00034.32] 所以三大国共要合作之后到底合不合作呢
[00034.32-00036.76] 国民党一大 看人要国民党那边怎么说
[00036.76-00039.16] 对吧 所以在这里面是召开了国民党一大
[00039.16-00042.92] 所以1924年到1927年国民革命开始搞什么呢
[00042.92-00044.92] 开始搞我们所说的北法战中
[00044.92-00046.36] 等北法打到一半
[00046.36-00050.44] 最终讲解时何邦经为发动了思绕和敲无反革命正面
[00050.44-00054.52] 国民革命失败国共合作破裂
[00054.52-00055.80] 所以这是这个时期
[00055.80-00058.20] 那我们被人被刺了 那这个时候要反抗
[00058.20-00061.96] 所以在两星期之后发动了巴姨南常企业
[00061.96-00063.72] 所以从巴姨南常企业开始
[00063.72-00067.88] 中国共产党开始独立地去探索自己的革命道路
[00067.88-00073.88] 独立地去探索去带领中国能够走向新的父强灰狂和独立的这样一条道路
[00073.88-00075.96] 对吧 所以在这里面才有了土地革命
[00075.96-00079.00] 土地革命时期1927年到1937年 对吧
[00079.00-00082.20] 中间发生了34年到36年的红军场争
[00082.20-00084.52] 但在土地革命时期当中咱们也说了
[00084.60-00087.08] 土地革命中国共产党是一条主线
[00087.08-00089.72] 还有另外一条主线就是日本对于中国的侵略
[00089.72-00093.16] 所以在1931年日本发动1918时面之后
[00093.16-00095.16] 到1945年这14年之间
[00095.16-00099.24] 我们是抗日战争所以共14年是抗日战争
[00099.24-00102.20] 那这个抗日战争咱们刚才讲了好长一段时间 对吧
[00102.20-00103.40] 分成两个阶段
[00103.40-00105.48] 第一个是局部抗战第二全面抗战
[00105.48-00106.76] 全面抗战的标志
[00106.76-00108.28] 期期劳过朝十点
[00108.28-00111.16] 那打了好多年1945年
[00111.48-00113.16] 日本地交同行书 对吧
[00113.16-00115.40] 那这时候抗战结束
[00115.40-00118.20] 那1945年日本地交同行书抗战争结束之后
[00118.20-00120.60] 那接下来中国何去何从
[00120.60-00122.12] 因为他跟接下来面临的问题
[00122.12-00123.24] 又该怎么解决呢
[00123.24-00124.92] 大家都知道1945年之后
[00124.92-00125.96] 把日本干走了
[00125.96-00129.08] 日本干走了中华民族和地国主义之间的矛盾
[00129.08-00131.08] 这个主要矛盾就被解决了
[00131.08-00132.36] 那这个矛盾解决了
[00132.36-00134.52] 那接下来中国的主要矛盾变成了谁呢
[00134.52-00137.16] 就变成了中国共产党和国民党之间的
[00137.16-00138.36] 这个问题 对吧
[00138.36-00141.32] 两个政党都想要怎么样呢
[00141.32-00142.60] 来治理这个国家
[00142.60-00144.52] 那接下来到底应该怎么办
[00144.52-00145.80] 是接着打呢
[00145.80-00149.16] 还是说能够实现两岛和平治国呢
[00149.16-00149.48] 对吧
[00149.48-00152.36] 那这个就是1945年看着民族战争
[00152.36-00154.44] 我们所说的抗战争结束之后
[00154.44-00156.60] 我们要去考虑的这样一个问题
[00156.60-00159.08] 所以我们就讲完了前面进入到了
[00159.08-00160.52] 才生最后一个结端
[00160.52-00162.36] 那最后一个结端就是我们所说的
[00163.24-00164.60] 解放战争实际
[00164.60-00167.80] 解放战争就是从1945年到1949年
[00167.80-00169.48] 整体上呆先注意
[00169.48-00171.72] 解放战争他要考察的点
[00171.72-00172.92] 就少了很多
[00172.92-00174.76] 而且他考察点的细节呢
[00174.76-00176.04] 也会少很多
