[00000.00-00004.34] 那講完了才能爭测以後我們再來一起看一下貨幣政策
[00004.34-00006.36] 貨幣政策他發生了極致呢
[00006.36-00008.84] 其實是和財政政策有些差異在的
[00008.84-00011.40] 我們先來看一下貨幣政策的喊异
[00011.40-00015.44] 他說貨幣政策是指專業銀行通過控制和條結貨幣
[00015.44-00019.54] 國人量以保持社會總共結合總需求平衡的一種經政策
[00019.54-00022.40] 那其實在這裡面我們也能夠很好地獨出來
[00022.40-00024.16] 貨幣政策他最終的目標
[00024.16-00027.78] 其實也是為了實現社會總共需的平衡
[00027.78-00031.88] 那也就回后了我们在红官条控目标当中的第一个制装
[00031.88-00035.08] 就是红官条控的基本目标就是在供续平衡上
[00035.08-00038.68] 那么来把这个政策进行一下拆解把他里面的考察点
[00038.68-00040.28] 咱们主意给他拿出来
[00040.28-00041.28] 旋第一个呢
[00041.28-00043.78] 大家注意一下 会比政策和财政策不一样
[00043.78-00046.98] 财政策的制定主体是政府及其相关部门
[00046.98-00048.48] 而会比政策他的主体
[00048.48-00049.98] 同时在旁边标注意一下
[00049.98-00052.98] 他的主体只有一个就是装印行
[00052.98-00054.68] 而在整体的考察当中
[00054.68-00059.42] 这个货币政策材争策之间的区分主体也是一个考察的点
[00059.42-00064.52] 他们的以下AVCD4个选项哪一个属于材争策哪一个属于货币政策
[00064.52-00068.64] 除了根据它具体内容来判断之外也可以根据它的主体来判断
[00068.64-00072.24] 那货币政策的主体就是装影号
[00072.24-00074.14] 而说了装影号的大家注意一下
[00074.14-00077.46] 它不是我们日常生活当中所理解的影号
[00077.46-00079.20] 虽然它就做装影号
[00079.20-00081.76] 但它其实是国家的形政机关
[00081.76-00084.40] 就是它和什么教育部、司法部
[00084.40-00087.36] 然後什麼國家受眾局等等
[00087.36-00089.36] 這些類的
[00089.36-00090.52] 其實本質上是一樣的
[00090.52-00092.44] 這是國務院下屬的這個部門
[00092.44-00094.12] 所以它雖然叫專銀行
[00094.12-00096.84] 但是它不是我們傳統一理解上的銀行
[00096.84-00097.88] 大家也要注意一下
[00097.88-00099.04] 這裡的專銀行
[00099.04-00101.24] 它是專管國家銀行
[00101.24-00103.12] 運營的行政機構
[00103.12-00105.16] 其實它就是一個行政機關
[00105.16-00106.76] 所以叫做專銀行
[00106.76-00108.44] 在中國的銀行體系當中
[00108.44-00109.84] 我們有中央銀行
[00109.84-00111.68] 它是國家行政機關
[00111.68-00113.28] 我們有政策行銀行
[00113.28-00114.92] 我們大人也有商業銀行
[00114.92-00118.40] 商業銀行的主要就是我們比較常見的內蕾
[00118.40-00124.00] 什麼農航、招航、健航、光大銀行等等
[00124.00-00124.80] 什麼有證
[00124.80-00128.64] 這些是我們所說的日常生活當中所理解的商銀行
[00128.64-00131.64] 而專銀行是幹嘛的?是專能管他們的
[00131.64-00133.12] 所以大家一定要知道
[00133.12-00135.04] 專銀行它不是傳統意義上
[00135.04-00137.36] 我們所理解的商業銀行的類型
[00137.36-00139.52] 它屬於國家行政機關
[00139.52-00143.72] 所以貨幣政策的制定主体有且只有一个就是装銀行
[00143.72-00145.52] 所以只要是装銀行制定的
[00145.52-00148.12] 那他就属于貨幣政策只是第一個
[00148.12-00151.12] 那第二一個就是装銀行制定的貨幣政策
[00151.12-00153.92] 他要實現社會總統警告總區球的平衡
[00153.92-00156.32] 他不是像我們之前所提到的
[00156.92-00158.72] 財政政策一步到位
[00158.72-00163.12] 財政政策他是直接作用在了社會總統警告總區球上
[00163.12-00167.92] 如果更為精準的說是財政政策直接作用在了社會需求上
[00167.92-00173.16] 对吧 就是通过刺激消费或者是一直消费来实现社会总共训的平衡
[00173.16-00176.88] 而货比政策他其实是中间价了一个桥
[00176.88-00180.96] 在这里面他其实走了一个我们所说的中间目标
[00180.96-00184.00] 这个中间目标是什么呢 大家来看一下在这里
[00184.00-00192.24] 货比政策是装盐行通过调节和控制商业盐行的货比供应量一保持社会总共计则就需求的平衡
[00192.24-00196.08] 所以货比政策他有一个中间目标 同时把它标主在旁边
[00196.08-00200.24] 他的中间目标是调节和控制货币供应量
[00200.24-00201.90] 所以既然给到了货币供应量
[00201.90-00203.90] 其实就回货到了咱们再讲
[00203.90-00205.30] 通货膨胀当中
[00205.30-00209.88] 我们说了通货膨胀的直接原因是市场当中流通的货币太多了
[00209.88-00211.70] 那么接下来要控制货币
[00211.70-00213.50] 通过谁来控制货币呢?
[00213.50-00216.50] 就是通过中央银行的货币政策
[00216.50-00218.62] 所以货币政策他发行
[00219.12-00221.98] 或者说货币政策他发挥作用的一个机制
[00221.98-00223.94] 其实是非常明确的
[00223.94-00225.74] 他发挥作用的机制是什么呢?
[00225.74-00232.86] 就是中央银行通过条件商业银行的货币供应量
[00235.34-00236.94] 从而来控制什么
[00236.94-00239.94] 从而来控制市场当中的货币供应量
[00239.94-00242.66] 如果在这个过程当中发生了通货膨胀
[00242.66-00245.22] 通货膨胀咱们之前其实说过
[00245.22-00249.98] 通货膨胀它其实市场当中流通的货币太多了
[00249.98-00253.18] 那我们的目的是想市场当中流通的货币渐少
[00253.18-00254.70] 这种情况之下怎么办
[00254.70-00259.26] 那就像專業航控制商業銀行的貨幣量減少就可以了
[00259.26-00262.78] 那如果反過來它面對的是通過緊縮的情況
[00262.78-00266.82] 通過緊縮就是市場當中流通的貨幣也太少了
[00266.82-00269.18] 比如市場當中流通的錢不夠用
[00269.18-00272.38] 那這些錢不足以讓整個市場經濟運營起來
[00272.38-00275.58] 那這個時候你就讓市場當中流通的錢多一點就行了
[00275.58-00277.82] 那這個時候控制貨幣工人家怎麼控制呢
[00277.82-00279.78] 就是讓商業航控制
[00279.78-00282.10] 專業航控制商業銀行的貨幣量
[00282.10-00284.92] 让商业严行所存处的会比较多一点
[00284.92-00289.56] 那这种情况之下就可以保证市场当中流通的会比较增多
[00289.56-00291.32] 所以在整体上大家注意一下
[00291.32-00293.48] 会比政策他在去进行调节的时候
[00293.48-00295.80] 他是和财政策有一个本质的区别的
[00295.80-00298.48] 就是他是通过控制会比供应量
[00298.48-00301.80] 有时候会比供应量的调控是他的中间目标
[00301.80-00304.56] 而我们所说的财政政策的最终目标
[00305.40-00307.18] 在这里大家标注意一下
[00307.18-00308.72] 实际上圈四
[00308.72-00314.88] 才能政策的最终目标才是我们所说的社会总共集合总续球的平衡
[00314.88-00316.76] 所以大家能够看得出来
[00316.76-00318.60] 虽然最终的目标是一支的
[00318.60-00321.12] 但是发挥总的机制完全不同
[00321.12-00323.64] 这也是为什么我三栗五生给同们去强调
[00323.64-00324.92] 我求求大家了
[00324.92-00327.92] 一定要去区分财政策或者不政策作用的机制
[00327.92-00330.60] 因为在后面我们把整个货政策讲完之后
[00330.60-00333.08] 我们再去对比你就知道它有的时候考题
[00333.08-00336.32] 不一定都是双级级的政策或双消息的政策
[00336.32-00338.90] 好,那这是我们所提到的
[00338.90-00341.90] 获必政策,它的一些细节的考点
[00341.90-00345.18] 一共是四个,通过这四个考点也知道了
[00345.18-00347.38] 获必政策发挥作用的机制
[00347.38-00352.22] 当说了,获必政策是装益和调节和控制商业严行的获必工人量
[00352.22-00356.22] 那他通过什么样的方式去调节商严行的获必工人量呢?
[00356.22-00359.18] 那这里面就要设议到获必政策的具体内容
[00359.18-00361.66] 我们来看一下,叫获必政策工具
[00361.66-00365.06] 会被政策工具一共是有两类达住一下
[00365.06-00368.46] 这两类一个是叫做一般性政策工具
[00370.06-00372.86] 一个叫做其他政策工具
[00373.86-00375.26] 一般性政策工具的话
[00375.26-00379.06] 一般情况下我们有三个叫做法定存款准备机率
[00379.06-00382.66] 在贴限率以及我们所说的公开市场业务
[00382.66-00383.86] 一般情况是在三个
[00383.86-00387.26] 其他的政策工具就是我们所说的机准利率
[00387.26-00391.06] 所有的机准利率就是商业也行的存带款利率
[00391.06-00396.86] 那么就来看一下这些方式它到底是如何调节控制货币工人量的
[00396.86-00400.06] 那么先来看一下第一个叫法定存款准备精率
[00400.06-00402.06] 通常什么是法定存款准备精率呢
[00402.06-00403.66] 它下面给到了一个喊一样
[00403.66-00407.06] 它说专业行控制货币工人量的正确工具当中
[00407.06-00410.66] 同时的话一个词叫做最猛烈的正确工具
[00410.66-00411.66] 把这个点化出来
[00413.06-00416.46] 法定存款准备精率的被称为叫最猛烈的正确工具
[00416.46-00418.26] 一会咱们再说它为什么猛烈
[00418.26-00420.46] 现在是标出来它是一个医行级的
[00421.06-00423.06] 实际行的考察点
[00423.06-00425.54] 这里面到底什么是法定存亚准备级率
[00425.54-00426.54] 他后面说了
[00426.54-00433.54] 说是中央严行规定的商业严行对存款所必须保持的准备金的比率
[00433.54-00436.66] 这个就叫做法定存款准备级率
[00436.66-00438.14] 从老师还是有点抽象
[00438.14-00441.14] 咱们就需要把这个概念去给他拆解一下
[00441.14-00444.34] 大家都知道我们现在看到的宫宫中间纠
[00444.34-00445.78] 就是各大严好吗
[00445.78-00448.50] 这些严行它本质上都是商业严好
[00448.50-00450.78] 也就是这些严行存在的目的是为了干啥
[00450.78-00454.30] 存在的目的不是为了像人间不傻爱的
[00454.30-00456.02] 也不是为了做三台同子的
[00456.02-00457.90] 它存在的目的就是为了赚钱
[00457.90-00461.54] 所以我们会发现商严行本质的目的是隐利
[00461.54-00464.38] 其实所以说在这个本质上来看
[00464.38-00467.26] 它其实和其他的我们所说的这种公司和企业
[00467.26-00468.70] 没有什么太大的企链
[00468.70-00470.34] 就是因为它也要赚钱嘛
[00470.34-00475.34] 但是它和其他的我们所看到的企业的这些企业公司又一点不同
[00475.34-00476.90] 就是商严也好
[00476.90-00479.46] 它代表的是一个国家的信欲系统
[00479.46-00481.50] 所以如果單純的從贏力的角度
[00481.50-00483.00] 把它定義為企業的話
[00483.00-00484.84] 放任他自己資深自命
[00484.84-00486.16] 風險其實還很高
[00486.16-00487.96] 因為咱們都把錢存在也好累了
[00487.96-00489.34] 那每個銀行一旦破產的話
[00489.34-00491.30] 是不是對咱老百姓也想特別大
[00491.30-00493.58] 所以這種情況之下的國際國家
[00493.58-00495.98] 為了保證金融系統正常運行
[00495.98-00497.76] 就對於我們所說的商業
[00497.76-00500.02] 又加了一道限制和保護
[00500.02-00501.48] 那這道限制和保護呢
[00501.48-00503.02] 就是要求商業
[00503.02-00505.44] 它每一次贏力所獲得的存款
[00505.44-00506.72] 也就是它賺到的錢
[00506.72-00508.66] 它不能賺多少花多少
[00508.66-00512.62] 它必须把它转到这个钱里面拿出来一部分
[00512.62-00515.02] 然后被自由就相当于有网个小金顾
[00515.02-00516.22] 网个续维持
[00516.22-00520.14] 从它现有的这些钱里面拿出来一部分放在它的续维持里面
[00520.14-00522.46] 然后以背以后的不实之虚
[00522.46-00523.58] 那这种情况之下
[00523.58-00525.22] 它拿出来的这笔钱
[00525.22-00526.78] 就是装一行规定的
[00526.78-00529.26] 它必须要流存的什么呢
[00529.26-00532.86] 必须要流存的叫做春环准备金
[00532.86-00533.86] 由在这种情况之下
[00533.86-00536.30] 为了保证或简少商业好的风险
