[00000.00-00004.96] 欢迎来学习经济学当中的第四章内容就是国际经济
[00004.96-00012.00] 咱们在之前的内容当中的给大家去讲到了市场理论研究市场当中的单个个体的行为有了微观经济
[00012.00-00016.56] 然后把单个个体无数的单个体价股在一块就有了红观经济
[00016.56-00020.24] 我们在红观经济学当中给大家去重点讲了红观条控制目标
[00020.24-00023.60] 比重册分析它是绝对的两星期的支点
[00023.60-00028.96] 但是我们前面的这些研究它其实是基于国内的经济的一些研究和说明
[00028.96-00032.18] 那我们中国的经济发展不解要看国内要看国际
[00032.18-00035.48] 所以今天我就把视角放在国际经济上
[00035.48-00037.90] 那国际经济当中要给大家重点讲的内容
[00037.90-00038.76] 有三节
[00038.76-00041.06] 第一节叫国际经济的基本知识
[00041.06-00043.86] 这里面主要要给大家去讲一些基本概念
[00043.86-00045.32] 以及相应的会论问题
[00045.32-00047.26] 第二个就是经济全球化
[00047.26-00049.32] 第三个就是重要经济组织
[00049.32-00051.04] 这里面的两星期的知点
[00051.04-00051.96] 他们注意一下
[00051.96-00055.54] 一定是我们所说的国际经济的基本知识
[00055.54-00057.96] 因为它里面会出很多理解形的题目
[00057.96-00061.32] 好,那么先来看一下第一节国际经济的基本知识
[00061.32-00064.36] 在国际经济基本知识里面我们要给大家去讲
[00065.00-00070.68] 两个方面的内容,第一个就是既然要睡到国际经济,就睡到些国际贸易
[00070.68-00073.08] 我们要长为些国际贸易的基本概念
[00073.08-00075.88] 第二个呢,就是在国际贸易当中我们要解决的是
[00075.88-00080.76] 我们再去买卖商品的时候,任何一个国家的货币,他都会有所差异
[00080.76-00083.00] 这个会率问题到底应该怎么解决
[00083.00-00085.00] 那种对外贸易中的会率问题
[00085.00-00088.00] 两星期的支持点在会率这个地方
[00088.00-00089.60] 而国际贸易这个点呢
[00089.60-00093.20] 同时你们只需要做一个基本概念去掌握就可以了
[00093.20-00096.80] 好 那我们就主意来看一下 首先来看一下我们所说的
[00097.20-00098.40] 国际贸易
[00098.40-00101.60] 在国际贸易当中咱们首先第一个要知道什么是国际贸易
[00101.60-00104.00] 它这里面的内容给得非常简单
[00104.00-00106.20] 它说国际贸易一般是有进口贸易
[00106.20-00109.20] 然后出口贸易组成也成为叫进出口贸易
[00109.20-00112.20] 有时候我们经常在新闻上看到了什么进出口
[00112.20-00115.00] 買賣,那這種他是屬於國際貿易
[00115.00-00117.52] 那國際貿易當中,他有進口有出口
[00117.52-00121.96] 進口就相當於往回買東西,出口就相當於往外買東西
[00121.96-00123.32] 那我們就來看一下
[00123.32-00125.76] 當出口和進口沒有辦法達到平衡的時候
[00125.76-00127.88] 就可能會產生兩種情況
[00127.88-00131.28] 第一種情況,同樣標準一下,就做貿易順查
[00132.28-00134.16] 這個點是需要同學們去掌握
[00134.16-00137.20] 貿易順查是出口格大於進口格
[00137.20-00141.04] 也就是往外卖的东西多往外卖的东西少
[00141.04-00142.58] 你卖的多是不就赚钱
[00142.84-00145.14] 所以你看他赚钱他就处在一个什么地位
[00145.14-00146.80] 他就处在一个出超的地位
[00146.94-00149.24] 所以这是我们所说的这种贸易顺差
[00149.48-00151.12] 还有一个就叫做逆产
[00151.12-00152.30] 逆就是不好呗
[00152.56-00155.12] 这是出口小约进口
[00155.12-00157.32] 这种情况就叫贸易逆产
[00157.32-00159.48] 有就是我们国家的出口不赚钱
[00159.48-00161.26] 买过来的东西还比较多
[00161.26-00163.06] 这个就叫做逆产
[00163.32-00166.38] 所以在这里面这两个基本概念同时没有掌握
[00166.38-00170.94] 出差 出差 或者是要顺差 顺不是心情好吧
[00170.94-00172.54] 心情好就代表你专前了
[00172.54-00174.70] 所以出口大约 静口
[00174.70-00176.38] 所以在这里面大家要注意一下
[00176.38-00178.70] 我们在这要四口一个问题
[00178.70-00181.10] 它往往会形成一个医心级的
[00181.74-00184.46] 判断体或者是我们所说的选项
[00184.46-00186.06] 在这里面我们刚才说了
[00186.06-00188.62] 说顺差太代表的是出口大级口
[00188.62-00191.58] 这一位这基本之上你是专前的
[00191.58-00192.22] 对吧
[00192.22-00194.46] 而你差的你 你什么叫你
[00194.46-00195.50] 你就是不好
[00195.50-00198.26] 所以在这里面你其实是没有赚头的
[00198.26-00200.42] 或者说在出口上其实是不赚钱的
[00200.42-00202.22] 这里面就出口小的进口
[00202.22-00205.62] 那同们思考一下到底是顺差好还是逆差好呢
[00206.62-00208.46] 大部分同学可能会觉得说老师
[00208.46-00209.42] 顺差很好
[00209.42-00211.34] 顺差带到赚钱赚钱都不开心吗
[00211.34-00213.66] 他们要知道这种相反是错的
[00213.66-00215.02] 顺差过大也不好
[00215.02-00216.02] 逆差过大也不好
[00216.02-00216.98] 我们在前面讲到
[00216.98-00220.34] 红观条红观不要是保持国际收支平衡
[00221.34-00222.74] 所以在这里大家注意一下
[00222.74-00225.14] 如果是出口大约进口的话
[00225.14-00227.70] 触大一进口就意味着确实是赚钱
[00227.70-00229.16] 但是如果这个顺差过大
[00229.16-00230.58] 大量的会比赢了国内
[00230.58-00232.82] 可能会又发国内的通过膨胀
[00232.82-00234.26] 它是有一定张的风险的
[00234.26-00236.90] 所以我们说了太大也不好
[00236.90-00237.94] 太逆也不好
[00237.94-00239.58] 这时候要保持收支平衡
[00239.58-00241.10] 这个点出过一个选项
[00241.10-00242.10] 大家要知道
[00242.10-00244.10] 这里还是继续击稳概念考察
[00244.10-00245.74] 同时知道顺差和逆差是什么
[00245.74-00246.70] 就OK了
[00246.70-00247.86] 第二个就是
[00247.86-00249.30] 我们在国际贸易到我们既然
[00249.30-00251.66] 是一道我们所说的进出口
[00251.66-00252.74] 我们就要考虑到
[00252.74-00254.78] 其实我们经常会看到一些政策
[00254.78-00257.18] 會對於進出口進行相當的保護
[00257.18-00260.06] 我們把這些稱為叫做貿易保護主義
[00260.06-00262.18] 所以什麼叫貿易保護主義呢
[00262.18-00263.46] 它書上有一個概念
[00263.46-00266.78] 這是只在對來進入中時行限制進口
[00266.78-00270.06] 以保護本國商品在國內免受
[00270.06-00273.14] 外國商品的競爭變相本國商品提供優惠
[00273.14-00275.26] 增強其國際競爭力的主張和政策
[00275.26-00277.50] 這個就叫做貿易保護主義
[00277.50-00280.82] 比如說我們國家出口到其他國家的商品
[00280.82-00281.74] 這種情況之下
[00281.74-00283.58] 如果是有貿易保護主義的話
[00283.58-00284.38] 他會怎麼辦呢
[00284.38-00286.62] 第一個就是給你加工程康的限制
[00286.62-00287.16] 檢測
[00287.16-00288.26] 順利又會不合格
[00288.26-00289.86] 所以不能進入到我本國國內
[00289.86-00290.22] 對吧
[00290.22-00292.94] 又或者給到什麼增加各種這樣的關稅
[00292.94-00295.22] 我把商品進口到他們國家的時候
[00295.22-00297.26] 他就給我增加50%的關稅
[00297.26-00298.12] 那相對來說
[00298.12-00301.06] 我的產品在他市場當中的售價就會怎麼樣
[00301.06-00301.62] 便高
[00301.62-00302.30] 就是說
[00302.30-00303.30] 我的東西沒人買
[00303.30-00304.42] 他們都會去買什麼
[00304.42-00305.46] 本國的商品
[00305.46-00306.78] 那你這種就叫做什麼
[00306.78-00308.54] 貿易保護主義
[00308.54-00309.54] 貿易保護主義
[00309.54-00311.94] 他的措施主要有兩種
[00312.18-00313.26] 大致一下
[00313.26-00315.94] 一个是关税壁类,一个是飞关税壁类
[00315.94-00320.98] 大家注意一下莫一宝户主义,首先第一个,你要明确,它是限制金口方面
