[00000.00-00006.66] 好的,同学们,我们书接上回进入到第二节内容的学习,就是我们所说的先行
[00006.66-00027.14] 先行,如果从时间上来,它其实只得是在前朝建立之前的这样一个时间,也就是我们所说的下朝商朝周朝当中,西州和东州,而东州又分为春秋和战果,也就是我们所说的这几个时代更疊的这样的一段时间,我们同程为先行
[00027.14-00029.86] 那么现在看一下先行当中的第一个朝代
[00029.86-00031.42] 就是我们所说的下朝
[00031.42-00036.74] 那下朝的时间大概是在公元前2007年到公元前6600年的时间
[00036.74-00041.42] 那总共下朝存序的时间大概是47多年不到500年
[00041.42-00043.54] 那我们在这里要掌握的这么几个点
[00043.54-00045.70] 那第一个点就是我们要在这里知道
[00045.70-00047.90] 我们下朝的开国者是谁呢
[00047.90-00049.18] 在这里把的标注出来
[00049.18-00052.06] 是我们所说的大雨的儿子企业
[00052.06-00054.74] 我们上一次客旗日又给大家说到
[00054.74-00059.22] 大雨呢 其实想买他的王位 传给高摇的儿子博异
[00059.22-00061.86] 但是博异呢 推脱说哎呦不行 我不行 对吧
[00061.86-00063.46] 我觉得我不能成继重
[00063.46-00067.06] 于是就把他的王妹传给了他的儿子起也
[00067.06-00072.22] 那自大雨传练给起开始 整个王位的传承制度
[00072.22-00076.82] 就发生了一些改变 从原本的擅让制就变成了我们所说的
[00076.82-00077.82] 试息制
[00077.82-00079.94] 而这个试息制啊 同学没有知道
[00079.94-00083.70] 他其实呢 是王位在一家之内传承的这种方式
[00083.70-00087.34] 而王妹在一家之内传承可能会存在两种情况
[00087.34-00089.02] 一种情况就是父亲媒了
[00089.02-00090.18] 而自上位对吧
[00090.18-00092.34] 这种叫做父死子季
[00094.42-00095.78] 还有另一种形式啥呢
[00095.78-00096.82] 派里的形式就是
[00096.82-00097.66] 我哥美了
[00097.66-00099.02] 对我哥原来是国军
[00099.02-00100.86] 但现在我哥美了我上位
[00100.86-00102.50] 那这种情况之下就做
[00102.50-00104.02] 凶中地级
[00107.06-00109.02] 所以我们所说的试级之下
[00109.02-00110.74] 它其实是有两种方式的
[00110.74-00113.06] 那夏朝和商潮的试级之呢
[00113.06-00117.14] 一般墙下都是附死子季或胸中地级
[00117.14-00121.18] 而我们到了周朝之后才正是缺力了附死子季
[00121.18-00124.34] 这种形式尤其是我们所强调的低张子
[00124.34-00125.22] 几成质
[00125.22-00128.62] 所以这是我们所说的实际制的常见的两种形式
