[00000.00-00007.12] 好的,我们接下来看文说流帮打败了相语,然后结束了处罕之争。
[00007.12-00010.56] 这后流帮称地就建立了我们所说的西汉。
[00010.56-00022.52] 来看一下有关西汉的具体内容,他说流帮称地以后一汉内国后,定录那人常安,大家知道,常安就是我们现在所说的,西汉,流帮就是我们所说的汉高组。
[00022.52-00024.58] 大家其实能看到啊 文所说的
[00024.58-00025.74] 黄利啊
[00025.74-00027.64] 它其实都是有自己的庙号的
[00027.64-00030.70] 开国皇帝都叫做什么 什么祖
[00030.70-00033.78] 而我们所说的 守国皇帝都叫做什么 什么
[00033.78-00036.60] 宗那就是我们常说的祖宗祖宗
[00036.60-00037.62] 所以在这里
[00037.62-00041.84] 有祖有宗 那在这里其实是我们所说的它的庙号
[00041.84-00042.74] 大家知道
[00042.74-00045.80] 而祖是开国宗市的宿国
[00045.80-00048.88] 所以我们常说叫祖有宗有德
[00048.88-00051.14] 所以才有了我们所说的祖宗祖宗
[00051.14-00054.30] 在这里面只有一个人例外就是我们所说的租地
[00054.30-00055.66] 租地是名成组
[00055.66-00056.62] 是名成组
[00056.62-00057.74] 所以大家知道一下
[00057.74-00059.02] 这是我们所说的庙号
[00059.02-00061.10] 因为我们在整个既年当个
[00061.10-00063.46] 除了庙号还有年号
[00063.46-00065.34] 比如说康西前龙
[00065.34-00066.86] 还有我们所说的珍观
[00066.86-00068.14] 这属于它的年号
[00068.14-00069.78] 所以这里的组说中
[00069.78-00070.62] 属于庙号
[00070.62-00072.06] 大家稍微注意一下这个点
[00072.06-00075.02] 也是文学当中常见的一个考点
[00075.02-00075.98] 那么来看一下
[00075.98-00078.34] 说到西产就要回屋到我们所说的
[00078.34-00080.02] 汉高组流帮的身上
[00080.02-00081.34] 和流光相关的点顾呢
[00081.34-00082.70] 其实也是比较多的
[00082.70-00083.62] 那使人第一个呢
[00083.62-00084.90] 我们说了流帮呢
[00085.54-00087.32] 它其实也加入到我们所说的
[00087.32-00089.46] 农民旗的大军当中去对吧
[00089.46-00092.06] 那流帮为什么要会加入到我们所说的
[00092.06-00093.90] 农民旗的大军当中去
[00093.90-00096.54] 其实在这里还有一个小小的点顾
[00096.54-00099.74] 就是我们所说的流帮叫做战白蛇旗翼
[00099.74-00101.18] 这个流帮战白蛇旗
[00101.18-00102.98] 大家应该听过这个故事对吧
[00102.98-00105.02] 去流帮当时是我们所说的
[00105.02-00106.74] 它的职练其实是停长
[00106.74-00108.38] 这个停长有点像什么呢
[00108.38-00111.46] 有人说这个停长人类似于现在的派出所所长
[00111.46-00114.78] 会说我们所说的据委会的支援宝位的主任
[00114.78-00116.58] 就连类似于这样的一个角色
[00116.58-00118.38] 后来他作为停长的时候
