[00000.00-00004.10] 咱們把前面的前和漢之間的這個更疊的順序
[00004.10-00007.16] 於它的整個縱向的時間賣落講清楚之後
[00007.16-00010.76] 咱們來看一下在整個前和時期它的政治制度
[00010.76-00012.80] 以及它所取得的重要成就
[00012.80-00016.90] 那麼首先先來看一下第一個就是在前和時期的政治制度
[00016.90-00019.20] 我們先來看一下情朝的政治制度
[00019.20-00021.50] 那說到情朝我們第一個想到的就是
[00021.50-00022.90] 其實黃 對吧
[00022.90-00025.60] 那其實黃的制衝為史黃地
[00025.60-00028.92] 那從它開始就有了我們所說的黃地制度
[00028.92-00031.48] 那我们需要在这里掌握这么几个点
[00031.48-00033.80] 那第一个呢就是我们所说的皇帝皇帝
[00033.80-00035.08] 他来自于什么呢
[00035.08-00039.16] 我们都知道皇帝其实是来自于我们所说的叫做三皇
[00039.16-00041.80] 武帝是来自于三皇武帝
[00041.80-00045.24] 那大家知道我们以前天下的这个天子
[00045.24-00047.88] 称着一叫做王而不叫做皇帝
[00047.88-00049.00] 为什么叫王呢
[00049.00-00051.96] 这里面表示三个皇分别代表的是天
[00051.96-00054.12] 我们所说的人还有地
[00054.12-00055.56] 也就是说我们所说的王
[00055.56-00057.68] 它是溝通天和地之间的
[00057.68-00060.20] 这样一个桥量所以才有了这样一个王
[00060.20-00062.56] 但是其实黄之后就不称秦王了
[00062.56-00063.80] 他觉得自己
[00064.44-00065.80] 同意了六国
[00065.80-00067.72] 我的正级没谁了
[00067.72-00068.80] 非常非常的大
[00068.80-00070.68] 可以说给自己点个大大的散
[00070.68-00074.24] 所以他认为自己是公盖三皇德高五弟
[00074.24-00076.24] 他觉得就要找一个东西
[00076.24-00079.52] 能够形容自己这么好的这样一个攻击
[00079.52-00082.04] 显然就要三五显那个点二
[00082.04-00083.68] 所以在这里面都选得了
[00083.68-00086.04] 另外两个字就是我们所说的皇帝
[00086.04-00088.44] 所以皇帝自度就从这就带升了
[00088.44-00090.60] 所以大家知道这是我们所说的第一个
[00090.60-00093.88] 皇帝自度由来是来自用所说的三皇武帝
[00093.88-00096.24] 而从皇帝自度开始
[00096.24-00099.08] 我们都知道皇上就有了自己的独称
[00099.08-00101.24] 这个时候他就可以称
[00101.24-00103.20] 大家知道这个镇这个子
[00103.20-00106.88] 从亲皇之后他成为了皇帝的独称
[00107.88-00110.36] 只有皇帝才能叫做镇
[00110.36-00114.40] 以前的时候在亲使皇帝前谁都可以称镇
[00114.40-00116.70] 所以在这里成了皇帝的独称
[00116.70-00118.66] 第二个就是为了保证
[00118.66-00121.20] 我们所说的它的地位的独特性
[00121.20-00123.62] 所以它在下照纸的时候
[00123.62-00125.40] 我们经常说了
[00125.40-00126.70] 不是总门它的电人养的
[00126.70-00128.36] 风天成月皇帝照约
[00128.36-00129.56] 对吧 这个胜指
[00129.56-00131.12] 这个胜指我们所说的
[00131.12-00133.04] 就被称着为叫做质
[00133.04-00135.00] 或者叫做什么叫做照
[00135.00-00135.64] 也就是说
[00135.64-00138.48] 它现在下的照书有自己独特的成为了
[00138.48-00139.22] 所以在这里
[00139.22-00140.50] 这是能够突显
[00140.50-00142.56] 它的地位的这样的一个
[00142.56-00143.88] 我们所说的内容
[00143.88-00144.60] 所以大家知道
[00144.60-00145.44] 这是第一个
[00145.44-00146.76] 黄地制度由来
[00146.76-00147.68] 第二个就是
[00147.68-00149.04] 金螞光搭了黄地之后
[00149.04-00150.24] 还有一些成育
[00150.24-00151.52] 其实是和它有关的
[00151.52-00152.32] 所以在这里面
[00152.32-00153.52] 我们来记一个成育
[00153.52-00154.92] 这个成育就叫做
[00154.92-00156.28] 橫蛋梁书
[00158.28-00160.96] 就叫做橫蛋梁书
[00160.96-00162.68] 或者还有另外一种说法
[00162.68-00164.76] 叫做选蛋成书
[00167.72-00169.40] 或者叫做选蛋成书
[00169.40-00171.04] 这个事情说的是什么的
[00171.04-00172.40] 就是用来形容
[00172.40-00174.08] 我们所说的这个秦数黄
[00174.08-00175.48] 当了黄力之后
[00175.48-00177.32] 他要给自己订阅一个目标
[00177.32-00177.92] 就是我说的
[00177.92-00179.44] 我要非常的秦政
[00179.44-00181.76] 就是每天我要看作张看多少
[00181.76-00184.04] 他看作张都是拿称来称的
[00184.04-00184.80] 以前我们都知道
[00184.80-00186.00] 做张在
[00186.00-00187.76] 只出现之前都是逐渐
[00187.76-00189.64] 所以他一天给自己规定目标
[00189.64-00191.76] 就是我一天要看多少蛋
[00191.76-00193.40] 我们所说的这样的一些作张
[00193.40-00195.88] 大家都这股时候一旦是一百五时间
[00195.88-00197.40] 所以他每天就给自己规定
[00197.40-00198.92] 我一天看过几百一间
[00198.92-00200.84] 然后我今天的任务就完成了
[00200.84-00201.92] 所以每天就在那看
[00201.92-00204.16] 看到什么程度呢 逐渐要翻呢
[00204.16-00205.00] 它的那个手啊
