[00000.00-00004.36] 要学的这个朝代或者说这个时期相对来说会比较特殊一点
[00004.36-00006.40] 我们把的充电位叫三国两季
[00006.40-00007.44] 三北朝时期对吧
[00007.44-00009.60] 听到这个名字大家应该有知道了
[00009.60-00013.28] 三国两季南北朝他一定不是一个统异的朝代
[00013.28-00013.60] 对吧
[00013.60-00016.12] 我们一般形容说三国两季南北朝时期
[00016.12-00018.96] 他是一个黑暗以光明病存的这样的一个时代
[00018.96-00022.56] 所以黑暗就是因为他连年真正群雄主路
[00022.56-00024.92] 战争不停老百姓的日子特别多苦
[00024.92-00027.18] 中王餐失踪所說的那樣
[00027.18-00028.68] 叫初門無所見
[00028.68-00030.18] 白谷必平原
[00030.18-00031.58] 所以在這種情況之下
[00031.58-00032.86] 到處都是市民變遠
[00032.86-00034.92] 這是戰爭帶來的黑暗與谷痛
[00034.92-00037.64] 但是恰恰是在這樣的一個時期
[00037.64-00039.46] 它造就了文人的風谷
[00039.46-00040.46] 畢竟創造力
[00040.46-00042.16] 所以我們能夠聽到一個詞
[00042.16-00043.56] 叫做微進風度
[00043.56-00044.96] 這是它的光明所在
[00044.96-00046.76] 像這樣一個複雜
[00046.76-00048.12] 而某多的一個時代
[00048.12-00049.76] 它具體是如何更嚴的
[00049.76-00051.62] 它到底發生了哪些事情呢
[00051.62-00054.28] 那我們就正式進入到今天的三國兩劑
[00054.28-00055.30] 南美朝的学习
[00055.30-00057.36] 在这里 现在给同学们
[00057.36-00059.26] 要去打一个小小的浴房之间
[00059.26-00060.68] 这个浴房之间就说
[00061.32-00062.92] 三国两进南美朝时期
[00062.92-00065.02] 它的潮袋根据非常的平反
[00065.02-00067.34] 所以在整体上它的麦路
[00067.34-00069.56] 相对来说是相当混乱的
[00069.56-00071.52] 但是同学们不要害怕
[00071.52-00074.52] 我们只需要掌握住考试当中
[00074.52-00076.68] 它所呈现的主线就可以了
[00076.68-00078.60] 所以我们在这一刻的讲解当中
[00078.60-00081.72] 会尽量地去检化很多历史的内容
[00081.72-00085.30] 只把我们所说的考试当中可考的考点
[00085.30-00087.86] 书里出一条主线,帮助大家去实际
[00087.86-00091.18] 所以在讲解过程当中可能会和大家所接触的
[00091.18-00093.76] 我们所说的历史有一些小小的出路
[00093.76-00095.54] 就是它会显得有一点跳
[00095.54-00098.24] 那是因为我把不考的地方全都塞掉了
[00098.24-00100.40] 我们只留考试这部分的精华
[00100.40-00104.50] 所以同学们在学习过程当中跟着老师的主线走就可以了
[00104.50-00105.78] 那么来看一下
[00105.78-00109.12] 既然说到三国两天南北朝我们要对它的一个根据
