[00000.00-00001.80] 今天来聊聊
[00001.80-00003.92] 人们历史常识当中的送缘
[00003.92-00005.60] 这样的一个时期
[00005.60-00006.60] 这个送缘时期
[00006.60-00008.48] 其实我们要讲两个大的部分
[00008.48-00009.76] 这两个大的部分分别
[00009.76-00010.32] 第一个
[00010.32-00011.72] 既然是送缘
[00011.72-00013.20] 或者是同学们经常听到的
[00013.20-00014.64] 另外一个说法就做
[00014.64-00018.44] 聊送下金
[00018.44-00020.96] 缘无论怎么说都一样
[00020.96-00023.44] 他们之间的根跌是什么样子
[00023.44-00025.08] 这个同学们是需要有一个
[00025.08-00026.64] 非常清晰的卖落的
[00026.64-00028.16] 第一个部分就需要同学们
[00028.16-00029.72] 去找问朝代的根跌
[00029.72-00033.30] 我们说到宋我们要讲讲被宋和男宋是怎么来的
[00033.30-00035.86] 和被宋男宋病例的政权有哪些
[00035.86-00039.96] 然后之后蒙古我们所说的原炒它是如何建立的
[00039.96-00041.50] 这个是炒在的根点
[00041.50-00045.84] 第二个在炒在根点之下呢我们要透过这些炒在的变先
[00045.84-00051.48] 去了解这些炒在背后它的政治和社会经济的发展状况
[00051.48-00054.56] 从而来透视这个社会它的发展情况
[00054.56-00059.68] 那这样的话我们这几个就是整个宋原这个张解却就分成了两个部分
[00059.68-00060.60] DQ部分呢
[00060.60-00061.46] 我們去了解
[00061.46-00062.16] 潮在更地
[00062.16-00062.76] 第二部分
[00062.76-00063.36] 我們了解
[00063.36-00064.60] 正如經濟生活
[00064.60-00067.44] 那我們今天主要給大家講的是哪一個部分呢
[00067.44-00068.76] 就是我們所說的
[00068.76-00071.44] 潮在更地當中的第一個部分
[00071.44-00071.96] 好
[00071.96-00074.76] 這是我們所說的整個送源時期
[00074.76-00075.76] 我們要知道
[00075.76-00077.36] 我們這些科藥學什麼
[00077.36-00077.96] 那了解
[00077.96-00079.48] 這些科學什麼之後呢
[00079.48-00081.40] 我們接下來來正式進入到
[00081.40-00082.48] 我們內容的學習
[00082.48-00083.96] 咱們再講送源時期
[00083.96-00085.28] 在正式開始講解之前
[00085.28-00087.68] 咱們要做一個簡單的前情回忽
[00087.68-00089.08] 這個前情回忽是啥呢
