[00000.00-00003.00] 在之前把整个朝代根理讲完了之后呢
[00003.00-00003.72] 我们说了
[00003.72-00005.64] 我们在了解宋原十七
[00005.64-00009.48] 还要从两个维度来进行宋原十七整个
[00009.48-00011.48] 它的一个发展立场的一个书领
[00011.48-00012.80] 那一个就是它的
[00013.68-00014.64] 政治维度
[00014.64-00017.44] 还有一个就是它的经济社会的发展
[00017.44-00019.32] 那在宋原的政治制度当中呢
[00019.32-00020.68] 我们要讲两个点啊
[00020.68-00022.72] 一个是北宋家墙装集权
[00022.72-00024.40] 一个是原炒的正要制度
[00024.40-00026.80] 这两个点是我们在考试过程当中
[00026.80-00028.44] 甚至在常试考试当中
[00028.44-00030.68] 经常会考察的这样的一个支持点
[00030.68-00032.64] 那掌握这两个地方怎么办呢
[00032.64-00036.72] 我们需要用框架的形式去把它输立清楚
[00036.72-00039.48] 这里面会睡到个别细节点的
[00039.48-00041.92] 去分这个点同学们一定要注意
[00041.92-00043.88] 这是在政治制度上
[00043.88-00046.24] 那第二个就是在社会经济当中
[00046.24-00047.12] 那社会经济当中
[00047.12-00050.44] 网络体现了宋原时期生活的反顾多彩
[00050.44-00052.60] 我们一般说整个宋原时期
[00052.60-00053.96] 尤其是在宋朝
[00053.96-00056.76] 他是中国经济发展标顶射的一个时期
[00056.76-00058.76] 送朝的經濟強大到
[00058.76-00060.92] 在世界經濟總量的25%
[00060.92-00061.80] 都同意想一下
[00061.80-00063.52] 這個體量是相當之大了
[00063.52-00065.08] 所以整個送朝的強大
[00065.08-00066.36] 體現在他的經濟上
[00066.36-00067.64] 經濟表現出來
[00067.64-00069.00] 就在於我們所說的
[00069.00-00070.44] 農業
[00070.44-00072.60] 手工業以及商業的發展
[00072.60-00073.72] 那在農業的手工業
[00073.72-00074.80] 商業的發展當中
[00074.80-00076.24] 同時需要重點掌握的
[00076.24-00077.60] 一個是致詞業
[00077.60-00078.72] 一個是我們所說的
[00078.72-00080.44] 在商業發展當中
[00080.44-00081.92] 不得不提到一個
[00081.92-00083.72] 我們所說的金融產物
[00083.72-00084.96] 就叫做交資
[00084.96-00090.08] 那他们两个呢要求也是要用框架的时候全面掌握
[00090.08-00094.08] 所以在整个宋原的政治和经济制度当中虽然点很多
[00094.08-00096.48] 但是其实需要我们做框架掌握的
[00097.44-00098.80] 只有这三个点
[00098.80-00103.12] 那我在后面的家里当中呢也会把这个框架给同们去收理清楚
[00103.12-00106.00] 好的 那这是我们所说的整体的框架
[00106.00-00108.16] 那了解了咱们这些科学什么
[00108.16-00111.20] 那重点要解决就是这一节的内容
[00111.20-00112.68] 他在考试过程当中
[00112.68-00114.88] 你什么样的方式来触去考察呢
[00114.88-00115.96] 我们来看一下
[00115.96-00117.44] 在这一节当中
[00117.44-00119.80] 它主要是以综合考察为主
[00119.80-00121.52] 它不是单纯的挖控
[00121.52-00123.60] 也不是像我们在日常做练习体当中
[00123.60-00125.96] 而说给你一个点把它变成一个单选
[00125.96-00127.72] 这样的话太简单了
[00127.72-00129.40] 这一年是一单位考试
[00129.40-00130.48] 越来越测重
[00130.48-00131.76] 综合能力的考察
[00131.76-00132.84] 所以在这里面
[00132.84-00134.04] 综合考察为主
[00134.04-00135.32] 接着是综合考察
[00135.32-00137.80] 它的社问角度就会变得比较多元
[00137.80-00139.28] 它一方面可以结合
[00139.28-00140.32] 当下的热点
[00140.32-00141.88] 有时去作品等等
[00142.68-00145.26] 考察相应的 只是点的内容
[00145.26-00146.44] 您比如说举个例子
[00146.44-00148.88] 这一段时间的风神这个电影比较火
[00148.88-00150.36] 那它既然是一个比较热的点
