[00000.00-00004.38] 今天我们就从考试的角度来聊聊整个明天时期
[00004.38-00009.86] 它的一些考点以及考点背后所呈现出来的这些温暖的感人
[00009.86-00012.50] 或者是灰黄的这样的故事
[00012.50-00014.34] 那我们就走入今天的明天
[00014.34-00015.50] 那和以前一样
[00015.50-00018.34] 咱们在证实学习这一节内容之前咱们要了解
[00018.34-00021.18] 咱们这节课主要讲哪些内容
[00021.18-00023.82] 咱们要讲的内容主要包括这么几个方面
[00023.82-00025.80] 第一个我们还是一样的老规矩
[00025.80-00027.42] 要讲一两朝代的根点
[00027.42-00030.40] 在这里面就要讲到明朝要讲得清朝
[00030.40-00032.52] 同时还要讲一讲这个时期
[00032.52-00034.46] 我们的政治经济生活
[00034.46-00036.38] 但是明清这个时代和之前
[00036.38-00038.84] 咱们所讲的其他朝代不太一样
[00038.84-00040.12] 在这个时期当中
[00040.12-00041.66] 我们掌握的重点
[00041.66-00042.46] 其实在这
[00042.46-00044.32] 我在这里已经给同时标注出来了
[00044.32-00047.94] 我们只需要掌握住一条主线和三位地方极刻
[00047.94-00049.16] 因为我们在考试当中
[00049.16-00051.66] 最长考的其实就是这些内容
[00051.66-00053.70] 那一条主线其实就是明朝
[00053.70-00054.88] 它的一个根本
[00054.88-00056.56] 於在這條時間線上
[00056.56-00058.68] 它的人物世界已經典故
[00058.68-00060.80] 它相當呈現出來了一些對應
[00060.80-00062.44] 而在清朝這個地方
[00062.44-00065.40] 它經常會考到三個人的成就
[00065.40-00066.60] 那這三位地方的話
[00066.60-00067.52] 就是我們所說的
[00067.52-00068.88] 抗襲擁證和
[00068.88-00069.60] 潛龍
[00069.60-00071.00] 大家對它沒很熟悉
[00071.00-00072.28] 那其他的這些
[00072.28-00073.84] 比如說像政治制度也好
[00073.84-00076.72] 或者我們所說的社會經濟生活也好
[00076.72-00077.96] 那這一部分的內容
[00077.96-00079.80] 我們主要就是有一個印象
[00079.80-00080.48] 就可以了
[00080.48-00082.08] 所以我們這一節刻的重點
[00082.76-00084.40] 其實是放在前面的
[00084.40-00086.92] 我们就进入到今天的学义当中
[00086.92-00088.52] 咱们先来看一看明朝
[00088.52-00091.20] 说明朝就要谈谈明朝的那些事了
[00091.20-00093.04] 但是说到明朝的这些事
[00093.04-00095.32] 几个要从一个农民说起
[00095.32-00096.84] 这个农民是谁呢
[00096.84-00098.40] 大家其实非常熟悉
[00098.40-00100.00] 这个农民就是我们所说的
[00100.00-00101.48] 朱元章统治
[00101.48-00102.20] 在这儿了
[00102.20-00103.60] 给他们标注了一下
[00103.60-00104.92] 这个形象呢
[00104.92-00106.20] 其实来自于饮食剧
[00106.20-00107.76] 朱元章电视剧
[00107.76-00109.72] 当时是由胡军书业事严的
[00109.72-00111.08] 朱元章这个角色
[00111.08-00114.36] 大陸中原帳他其实是出生農民的
[00114.36-00116.52] 他和其他的那些地方不太一样
[00116.52-00118.88] 有很多人的地方比如说他出生于贵族
[00118.88-00120.08] 试家大谷 对吧
[00120.08-00121.92] 但是中原帳不是他是一个農民
[00121.92-00124.40] 他以前的梦想其实非常的简单
[00124.40-00126.08] 只是老婆孩子热抗头
[00126.08-00127.52] 他想有金目地
[00127.52-00129.28] 对吧有几头女儿去个媳妇
[00129.28-00130.80] 和他的父母一起生活
[00130.80-00132.80] 但就是他这样一个普诉的院老
[00132.80-00134.08] 其实并没有达成
[00134.08-00136.64] 主要就是因为在他所生活的那个年代
[00136.64-00138.52] 这是我们所说的原仇末年
[00138.52-00140.56] 老本性生活其实是非常的苦
[00140.56-00142.76] 咱们在上节课其实有给大家说过
[00142.76-00144.60] 原朝人有一点奇怪
[00144.60-00145.12] 对吧
[00145.12-00146.84] 少数民族入主中原之后
[00146.84-00148.40] 并没有把中原的百姓
[00148.40-00151.48] 当作他自己家的人当作他自己的子民
[00151.48-00152.60] 而是来到中原之后
[00152.60-00153.64] 19稍杀强略
[00153.64-00155.68] 所以老百姓过得非常非常苦
[00155.68-00158.00] 具体我们所说的这种
[00158.00-00159.52] 血身火热的这种情况
[00159.52-00160.64] 其实在引述巨当中
[00160.64-00161.92] 有很多的表现
[00161.92-00164.12] 比如说同一订看过一个电视剧
[00164.12-00164.88] 叫做
[00165.52-00166.64] 一天图龙继
[00166.64-00168.12] 那在一天图龙继里面
[00168.12-00171.40] 说讲到了名叫和原朝之间的抗招
[00171.40-00173.60] 那位常抗招拿着老百姓过得太苦了
[00173.60-00176.40] 而当时名叫里面就有一个人就叫做出院章
[00176.40-00179.80] 这是京老先生比下的我们所说的这个出院章
[00179.80-00181.20] 那又胡说回出院章
[00181.20-00182.48] 咱们刚才说出院章
[00182.48-00186.08] 他本身有一个非常普粋的这样的一个生活院了
[00186.08-00186.84] 但是后来呢
[00186.84-00188.84] 他的父母就去世了
[00188.84-00189.80] 去世了之后呢
[00189.80-00192.00] 他因为没有钱去买造他的父母
[00192.00-00193.56] 然后又向地主去借钱
[00193.56-00196.48] 他当时他就不明白为什么他的日子过得如此的苦
[00196.48-00198.36] 而他买藏好了他的父母之后
[00198.36-00200.40] 他就出家去当了河上
[00200.40-00202.08] 他本来以来在4秒当中
[00202.08-00203.68] 当了河上能吃口宝饭
[00203.68-00205.56] 但是结果在那个年代的宝饭
[00205.56-00206.72] 不是那么容易吃的
[00206.72-00208.76] 所以就经常出去化缘
[00208.76-00209.80] 于说是化缘
[00209.80-00211.84] 到不如说那个时候经常会出去
[00211.84-00213.36] 启吐翻
[00213.36-00214.92] 而他吃的又多
[00214.92-00216.96] 完事就是干活干的又少
[00216.96-00219.24] 吐翻着过程当于遇到了很多的问题
[00219.24-00220.48] 所以他就不停了
[00220.48-00222.08] 在发出这样的一问
[00222.08-00224.12] 为什么日子活过程这个样子
[00224.12-00227.00] 就在他四秒当合上的时间
[00227.00-00228.36] 他有一个好朋友
[00228.36-00229.76] 这个朋友吃谁呢
[00229.76-00231.36] 这个人就会偷合
[00232.24-00233.52] 就给他写了一封信
[00233.84-00235.60] 他和给他写的信上写的啥呢
[00235.60-00238.00] 就是呼吁铸赵说你来吧
[00238.00-00239.24] 来跟我们一起做饭
[00239.36-00240.64] 当时铸铸赵这个人
[00240.64-00242.60] 他其实是非常有尽未新的人
[00242.60-00245.12] 我们说一般请问我们形容一个大英雄
[00245.12-00246.76] 就说阿就就无所固局
[00246.76-00248.08] 对吧勇敢滚异
[00248.08-00249.88] 但铸铸铸铸其实是一个非常
[00249.88-00251.24] 紧小圣威
[00251.24-00253.44] 但是又很尽未死亡的这样的一个人
[00253.44-00255.44] 不得从这个角度不得不说出来
[00255.44-00257.28] 它其实非常有声光有力的
[00257.28-00259.00] 它和给它想这种信之后
[00259.00-00260.04] 看了一眼
[00260.04-00261.40] 就是呼类
[00261.40-00262.60] 就是找它来造反
[00262.60-00264.64] 它知道是沙头的重随
[00264.64-00265.84] 然后它啥也没说
[00265.84-00267.60] 它就把这个信死了
[00267.60-00269.76] 死了之后就用火烧掉了
[00269.76-00273.16] 然后这个事就被死妙当中的其他人知道了
[00273.16-00275.08] 当时在四面关于我和人就说
[00275.08-00276.44] 说你其名造反就是
[00276.44-00277.60] 已经有人知道了
[00277.60-00278.88] 它已经去举报你了
[00278.88-00280.32] 你看你现在怎么办吧
