[00000.00-00003.08] 好的 那我们讲完了前面的内容
[00003.08-00007.04] 其实我们就把整个世界科技发展使得进程给拿出了
[00007.04-00011.48] 但是我们说完世界科技发展使 还是要看一看中国的科技发展历程
[00011.48-00016.00] 中国的科技发展历程的往往会考察一些基本情况以及我们所说的
[00016.00-00019.92] 它的一个实正相结合的一个点
[00019.92-00022.36] 我们来看一下中国的现章的科技发展使
[00022.36-00024.64] 中国的现章的科技发展使当中的第一个点
[00024.64-00026.52] 大家要注意一下 给它标注出来
[00026.52-00032.08] 走中國人自行設計和建造了第一條鐵路幹線叫做精彰鐵路
[00032.08-00034.12] 精彰鐵路的設計者大家都知道是
[00034.12-00034.92] 沾天又
[00034.92-00037.12] 它什麼樣的就是在這裡我們所說的
[00037.12-00039.20] 人自行的這樣的一個設計
[00039.20-00040.44] 這個是精彰鐵路
[00040.44-00042.92] 那個時候大家都知道中國的輕鬆服
[00042.92-00044.20] 那是晚清時期
[00044.20-00045.80] 人要啥沒有啥
[00045.80-00048.60] 我們中國的鐵路也不是中國人自己建造的
[00048.60-00050.96] 所以那個時候中國人就排除萬難
[00050.96-00052.32] 想建造一個自己的鐵路
[00052.32-00053.32] 就是精彰鐵路
[00053.32-00055.92] 這條鐵路幹線的我們所說的建造
[00055.92-00056.96] 非常难
[00056.96-00057.96] 因为它整体上
[00057.96-00059.92] 这个地方的地形和地事
[00059.92-00060.96] 它就比较特殊
[00060.96-00063.68] 在加上我们没有特别先进的这样的一些方法
[00063.68-00065.76] 所以在整个经济体书休间的时候
[00065.76-00067.76] 它其实是三段路
[00067.76-00069.32] 用了三种不同的方式
[00069.32-00071.28] 当时从风台到南口的时候
[00071.28-00073.08] 那个地方天体特别的多
[00073.08-00075.08] 火车它如果在这里面
[00075.08-00077.24] 我们所说的去见到这个铁鬼的话
[00077.24-00079.44] 如果没有足够好的重处理方法
[00079.44-00080.76] 这个身体很多的地方
[00080.76-00083.92] 就很容易造成火车的火车勾 折断
[00083.92-00085.56] 然后导致这样的火车脱鬼
[00085.56-00092.80] 那怎么样能够说让这个山体特别多的这样的一个列视变成我们所说的这个火车能够运行的这样的一个方法呢
[00092.80-00096.56] 就是尽量想法设法不让这个火车这个车够折断
[00096.56-00099.72] 于是这个说的占天就就想到了走的自动道够法
[00099.72-00101.68] 就是在这种运行的情况之下
[00101.68-00103.32] 你这样情况之下运行就折断了
[00103.32-00105.04] 那他就自动道够反过来
[00105.04-00107.52] 那在这里面就能够让他评论运行
[00107.52-00108.48] 这是低段路
[00108.48-00109.52] 第二段路呢
[00109.52-00111.92] 就是我们所说的最难的就是打碎道
[00111.92-00113.24] 这个打碎刀的时候呢
[00113.24-00114.32] 我们没有人
[00114.32-00115.60] 大家想一下反清使弃
[00115.60-00117.12] 但是啥时候的
[00117.12-00118.72] 我们所说的政府条件
