[00000.00-00002.88] 我們再來看一下第三個部分的內容
[00002.88-00006.32] 就是電磁學的內容就比較簡單了
[00006.32-00007.68] 它其實是以後我們生活當中
[00007.68-00010.00] 常見的常識是緊密結合在塊的
[00010.00-00012.16] 首先來看一下第一個部分
[00012.16-00015.60] 就是電磁學它的一個電磁理論的提出和發展
[00015.60-00018.36] 這個地方在考察的時候只要考察人物
[00018.36-00020.48] 你覺得成就的對應
[00020.48-00021.84] 這個地方的內容
[00021.84-00024.00] 我們在前面的科技革命當中
[00024.00-00025.84] 其實有給大家去講過
[00025.84-00028.16] 現在我們再來簡單的回歸一下
[00028.16-00030.68] 人在跌子里面当中要提到的第一个人
[00030.68-00032.92] 我们画一下就是我们所说的法拉地
[00032.92-00036.28] 法拉地提出来的叫做电磁感应现象
[00036.28-00037.40] 咱们在前面说了
[00037.40-00041.48] 说如果说这个导体在资上当中做7个此改前运动的话
[00041.48-00042.88] 就可以产生电流
[00042.88-00044.68] 它是找了2块此铁
[00044.68-00048.00] 此铁之间会由我们所说的看不见的此改线
[00048.00-00049.72] 然后它找了一个导体
[00049.72-00051.40] 比如说在这里找了一个小
[00051.40-00053.20] 同帮或者铁帮之类的
[00053.20-00055.24] 然后在它这个2边
[00055.24-00056.76] 同帮个铁帮的2边
[00056.76-00057.78] 加上线
[00057.78-00058.68] 然后这个线
[00058.68-00059.74] 连接的是啥呢
[00059.74-00062.40] 连接的是我们所说的电流表
[00062.40-00063.68] 连接了电流表
[00063.68-00065.98] 然后就像这个小铁棒在这个
[00065.98-00067.96] 辞场当中做切割赐线运动
[00067.96-00068.78] 这不是刺耳线嘛
[00068.78-00070.28] 就做切割赐动
[00070.28-00072.38] 然后就发现这个电流表的指针
[00072.38-00073.56] 它发生了幻动
[00073.56-00074.92] 那就意味着词
[00074.92-00076.60] 其实是可以什么生电的
[00076.60-00077.88] 这个叫什么现象
[00077.88-00078.68] 终于像
[00078.68-00080.72] 叫做电磁感应现象
[00080.72-00083.52] 有时通过切割赐线运动可以产生电流
[00083.52-00085.88] 也就是为电磁它的记录
[00085.88-00087.68] 发展电腾了一个基础
[00087.68-00088.70] 这是第一个人物
[00088.70-00090.24] 大家知道它的成就
