[00000.00-00006.32] 那我們來看一下第五個部分就是生意在日常生活當中天天都能夠接觸到
[00006.32-00012.00] 對吧我們聽到汽車的名敵聲我們出去跑步的時候聽到小鳥的叫聲和朋友交談
[00012.00-00016.56] 我聽到朋友的聲音對吧那這些都是生學他研究的一些範圍
[00016.56-00022.80] 那我們首先要掌握的第一個知識點就是聲音啊他的產聲我們都知道是有正動產聲的
[00022.80-00026.92] 比如說我們為什麼能夠聽到別人說話我在屏幕的這段講解
[00026.92-00028.72] 同時在評論的一段領庭
[00028.72-00031.60] 就是因為聲音引起大家的耳末政動
[00031.60-00033.96] 所以才產生了我們所說的聲音
[00033.96-00034.84] 所以在這裡
[00034.84-00036.00] 同時要掌握的第一個點
[00036.00-00036.64] 就是在這
[00036.64-00037.36] 大家知道
[00037.36-00038.44] 說聲音是物體
[00038.44-00040.12] 政動產生了什麼
[00040.12-00041.32] 聲波
[00041.32-00043.56] 然後聲波在通過戒指
[00043.56-00044.64] 進行傳遞
[00044.64-00046.04] 我們才能聽到聲音
[00046.04-00046.80] 所以第一個
[00046.80-00047.92] 大家把它畫出來
[00047.92-00049.72] 聲音它產生的原因
[00049.72-00051.56] 是有物體政動產生的
[00051.56-00052.88] 這有時候物體政動
[00052.88-00055.44] 它會產生我們所說的聲波
[00055.44-00059.12] 那针对于这个生波它其实有一个小的细节的点
[00059.12-00060.92] 大家知道只要是播的话
[00060.92-00063.96] 它一般情况下就分为红播和众播
[00063.96-00067.92] 只过生音在传播的过程中由于它的阶纸不一样
[00067.92-00069.80] 所以我们再去观测生音的时候
[00069.80-00072.40] 它的生波就会有所差异
[00072.40-00075.60] 同时在生播上面去给它简单的进行标注
[00075.60-00078.76] 如果生音是在气体比如说在空气当中
[00078.76-00081.80] 我说话大家听到在空气当中传播
[00081.80-00084.20] 或者我们在水下游泳的时候
[00084.20-00086.96] 我在这里跟你说话 也能听到声音 对吧
[00086.96-00089.76] 声音它在气体和业体当中传播的时候
[00089.76-00092.16] 我们能够观测到的是声播的什么呢
[00092.16-00093.44] 众播
[00093.44-00096.92] 就是你去观测声播的时候最主要的是众播 对吧
[00096.92-00099.44] 如果声音是在固体当中传播的话
[00099.44-00100.76] 在这种情况之下
[00100.76-00105.40] 我们既可以看到红播也可以看到众播
[00105.40-00108.12] 所以在这个点里面 出过一个选项
[00108.12-00111.12] 就是关于声音说法 正确或者错误的是
[00111.12-00114.16] 我们要知道这个声播 它到底是怎么回事
[00114.16-00115.96] 这是第一个点 大家要明确
[00115.96-00117.48] 那第二个点呢就是
[00117.48-00119.84] 我们所说的声音他是产生
[00119.84-00121.00] 震动发声
[00121.00-00122.92] 所以要在缘头上
[00122.92-00125.00] 由我们所说的这样的一个声音的
[00125.00-00126.68] 我们所说的或者是某一个东西
[00126.68-00127.84] 他产生震动之后
[00127.84-00129.48] 我们才能够听到声音
[00129.48-00130.80] 那我们在听声音的时候
[00130.80-00132.84] 声音对外传递的时候需要
[00132.84-00133.44] 戒指
[00133.44-00134.52] 大家第二句话
[00134.52-00135.36] 去的标出来
[00135.36-00137.24] 叫声音的传播需要
[00137.24-00137.88] 戒指
[00137.88-00138.80] 没有戒指
[00138.80-00140.20] 是听不到声音的
[00140.20-00142.20] 比如说我们之前看过茫薇的电影
[00142.20-00142.68] 对吧
[00142.68-00144.88] 在Many店有付出了聯盟的時候
[00144.88-00146.16] 大家不知道還沒有印象
[00146.16-00148.28] 就是在付出了聯盟第一步的時候
[00148.28-00151.68] 當時那個落機
[00151.68-00153.80] 它不是演了很多的那個怪物
[00153.80-00155.32] 然後就來到了這個地球上
[00155.32-00157.12] 然後他們就開始打那個怪獸
[00157.12-00158.84] 當然還記得有一個場景
[00158.84-00160.52] 就是那個鋼鐵下
[00160.52-00163.80] 那個鋼鐵下它把那個原子弹最後
[00163.80-00165.00] 在那個太空當中
[00165.00-00167.20] 它把那個原子弹頭到太空裡面
[00167.20-00169.00] 然後它本來想吸收自己
[00169.00-00171.76] 希望那個原子弹不要在美國爆炸
[00171.76-00174.44] 然后经过他把原子弹热闹太空之后
[00174.44-00175.76] 你发现烫了一下
[00175.76-00177.16] 原子弹出现爆了
[00177.16-00178.40] 对原子弹爆热之后
[00178.40-00180.16] 但是我们在看电影的时候
[00180.16-00181.64] 有没有听到声音呢
[00181.64-00182.88] 其实没有听到声音的
[00182.88-00184.00] 只看到那个东西一爆
[00184.00-00186.24] 但是整体上是非常安静的
[00186.24-00186.68] 对吧
[00186.68-00187.64] 那在这种情况之下
[00187.64-00188.48] 它其实相对来说
[00188.48-00190.12] 就是有一些科学根据在的
[00190.12-00191.84] 因为在太空当中
[00191.84-00193.64] 它是真空状态
[00193.64-00194.56] 因为真空状态
[00194.56-00195.24] 没有戒指
[00195.24-00197.40] 所以声音是不能传播的
[00197.40-00199.52] 所以声音的传播需要戒指
[00199.52-00200.68] 那也出来的第一个点
[00200.68-00204.88] 就是在真空当中声音是不能传播的
[00204.88-00208.08] 这个点其实就和我们前面所讲的光
[00208.08-00209.88] 他进行了一个区分光呢
[00209.88-00212.68] 他其实是在任何情况下都能传播的
[00212.68-00216.28] 所以光在真空中可以传播
[00216.28-00217.68] 但是声音不行啊
[00217.68-00221.48] 这光在声空中可以传播
[00224.28-00226.28] 但是声音不可以啊
[00226.28-00227.68] 所以在这里大家注意一下
[00227.68-00230.88] 這是聲音傳播需要借著當中的第一個細節點
[00230.88-00233.88] 這兩個點經常會出現選項混銷
[00233.88-00235.52] 同樣也要給它去分清楚
[00235.52-00236.44] 這是第一個
[00236.44-00240.56] 第二個就是我們要知道整體上聲音所傳播需要的借著
[00240.56-00242.92] 它的材料可能是不同的
[00242.92-00246.72] 比如說我現在帶著聽整器來聽心跳
[00246.72-00250.12] 這時候它聲音是通過固體當中傳播的
[00250.12-00253.80] 聲音也可以在夜體當中傳播比如說在水下交談
[00253.80-00255.80] 當然也有相信這樣
[00255.80-00258.44] 大家把这个课程的内容打开
[00258.44-00259.84] 然后在那地方去听
[00259.84-00262.76] 那这个时候声音是通过空气传播的
[00262.76-00264.44] 所以在不同的阶级当中
[00264.44-00265.64] 声音都能传播
[00265.64-00268.36] 只我传递的速度有快有慢
[00268.36-00269.32] 所以第二个点
[00269.32-00272.36] 我们需要掌握的就是声音传播的阶纸
[00272.36-00273.88] 在场温条件下
[00273.88-00276.36] 不同的阶纸当中传播速度不同
[00276.36-00278.84] 一般情况之下是故题大约
[00278.84-00280.68] 夜体大约气体
[00280.68-00282.44] 这里面有两个考察点
[00282.44-00283.24] 大家注意一下
[00283.24-00284.68] 第一个考察点在哪呢
[00284.68-00286.68] 就是考察一个案例
[00286.68-00287.76] 考察案例的时候
[00287.76-00288.88] 他就会问到
[00288.88-00290.16] 给到你几个东西
[00290.16-00290.88] 比如说
[00290.88-00292.60] 一个声音他在固体当中
[00292.60-00293.64] 在海棉当中
[00293.64-00295.20] 然后还在水当中等等
[00295.20-00297.68] 让你去比较声音传播的速度
[00297.68-00299.40] 在各地世界单位考试当中
[00299.40-00300.16] 其实有考误
[00300.16-00302.08] 这种声音传播速度的比较
[00302.08-00304.32] 那这个时候他就会考察一个案例
[00304.32-00306.44] 那大家应该知道是在长温下
[00306.44-00308.04] 固体最强、业体验
[00308.04-00310.24] 其次最后一个是气体
[00310.24-00311.68] 这是第一个考察点
[00311.68-00312.68] 大家要注意一下
[00312.68-00315.24] 除了考察我们所说的比较之外
[00315.24-00317.86] 我在这段写的详细点是考案例
[00317.86-00319.28] 它传播速度的比较
[00319.28-00320.48] 除了考这个之外
[00320.48-00322.80] 它还考过很多日常生活现象
[00322.80-00324.84] 像这些日常生活现象里面
[00324.84-00327.16] 它最为长考的就是我们所说的什么
[00327.16-00328.24] 凭整器
[00328.24-00329.84] 在这个听整器当中
[00329.84-00330.96] 它就经常会说到
[00330.96-00332.76] 说我们在听整器选择的时候
[00332.76-00334.48] 往往会用到一些金属
[00334.48-00336.04] 为什么要用金属呢
[00336.04-00338.96] 那就是因为金属的传生效果会比较好
[00338.96-00341.28] 所以在这里面它还会考察一些
[00341.28-00343.68] 我们所说的生活常见的一些现象
[00343.68-00345.08] 这个点大有注意
[00345.08-00349.92] 那第三个点就是在案例或者是我们所说的这种理解性题目考察的时候
[00349.92-00351.16] 他也会考察到
[00351.16-00353.20] 如果都是固体的情况之下
[00353.20-00355.76] 那哪一种传播效果会更好
[00355.76-00358.04] 大距也如果借着不同的时候
[00358.04-00360.48] 那是固体大余液体大余液体
[00360.48-00362.64] 如果是借着相同的话
[00362.64-00365.52] 那密度大的一定是为大余密度小的
[00365.52-00367.96] 声音在金属当中传播的速度
[00367.96-00370.76] 一定会比在幕头当中传播的速度要
[00370.76-00373.96] 所以在这里面大家注意无论他口比较
[00373.96-00378.20] 还是考案例,我们在这里都能知道他的一图是什么
[00378.20-00380.60] 尤其是在比较里面你要分清楚
[00380.60-00384.28] 他口茶的是不同戒指当中的传播是这种形式
[00384.28-00386.44] 还是我们所说的同一个戒指
[00386.44-00389.24] 比如说都是固体,都是业体或都是气体
[00389.24-00392.28] 如果是相同的戒指的话,你要知道何什么有关
[00392.28-00394.84] 相同戒指的话和密度有关
[00394.84-00398.68] 我把它不充在旁边,就是相同戒指条件下
[00400.76-00405.26] 密度 越大 傳播效果 越好
[00405.26-00407.26] 這是我們所說的第一個
[00407.26-00410.76] 他在考察安立的時候可能考察比較 可能考察現象
[00410.76-00412.26] 第二個就是他不考安立
[00412.26-00414.76] 而考什麼呢 而考一個變息選項
[00414.76-00417.76] 或者是在這裡面考察一個判斷體
[00417.76-00420.26] 或判斷選項 我們把的稱為叫變息選項
[00420.26-00423.56] 這裡面有一個條件經常會被我們忽視大家注意
[00423.56-00426.76] 我們傳統意義上認為是固體大於液體大企體
[00426.76-00428.26] 但它是不是固定不變的
[00428.26-00430.26] 就一定是这样的一个传播状况的
[00430.26-00430.94] 不是的
