[00000.00-00007.24] 好,我们讲完了生学之后,我们就把我们所提到的内几大生光电力热都给大家说完了
[00007.24-00011.24] 对吧,生光电力热其实都是一般物理的研究范园之内
[00011.24-00015.68] 但是随着人类社会的不断发展物理学,它也是不断进步的
[00015.68-00018.92] 到了现在我们就提到了有现代物理学
[00018.92-00021.72] 现在物理学当中,要给大家讲两个内容
[00021.72-00024.08] 这两个内容,大家其实并不陌生
[00024.08-00028.02] 我们在前面提到的那个科技革命的时候
[00028.02-00030.28] 这两个点其实都说过
[00030.28-00033.92] 我们来看一下现在物理学的两大之处主要是谁呢
[00033.92-00034.68] 有两个
[00034.68-00036.12] 一个是相对论
[00036.12-00037.84] 一个是量子力学
[00037.84-00039.32] 相对论和量子力学
[00039.32-00043.16] 它其实是我们在整个物理学的发展当中
[00043.16-00044.44] 是丰富了物理学
[00044.44-00046.72] 它的一个研究的领域饭仇
[00046.72-00047.52] 所以在这里面
[00047.52-00050.60] 当然对于这个点有一个印象就可以了
[00050.60-00051.00] 好
[00051.00-00052.68] 我们今天要提到现在物理学
[00052.68-00055.22] 我们不得不提的就是在这里来看一下
[00055.22-00057.26] 我们先来看一下在现在物理学当中
[00057.26-00060.72] 经常会提到一些基本的单位
[00060.72-00063.04] 我们就来看一下它的这些基本单位
[00063.04-00064.40] 它怎么考一些
[00064.40-00066.44] 这基本单位大部分内容
[00066.44-00068.16] 其实我们都说过
[00069.16-00071.24] 来看一下在基本单位当中
[00071.24-00074.60] 这些内容我们其实都有设议到过
[00074.60-00076.64] 这里面在基本单位当中
[00076.64-00077.48] 同时注意
[00077.48-00079.12] 考不出别的样式来
[00079.12-00082.04] 这个地方就只考察一个单纯的对应
[00082.04-00084.18] 说老师这么简单的那种一口对应
[00084.18-00085.62] 他这个地方在考察的时候
[00085.62-00086.64] 同时注意一下
[00086.64-00088.58] 我们去掌握这些基本单位的时候
[00088.58-00089.78] 需要投入门去掌握
[00089.78-00092.68] 他对应的符号单位名称
[00092.68-00094.68] 以及单位的符号有哪些
[00094.68-00095.92] 那你看像长间的
[00095.92-00096.96] 就不用去计了
[00096.96-00099.20] 不长间的同样要给他记住
[00099.20-00101.56] 咱们来看一下在国际基本单位当中
[00101.56-00102.52] 同样注意
[00102.52-00103.88] 在国际基本单位当中
[00103.88-00105.12] 第一个点要明确
[00105.12-00106.62] 国际基本单位只有几个
[00106.62-00108.32] 1234567
[00108.32-00109.24] 所以第一个
[00109.24-00111.64] 国际基本单位只有7个
[00111.64-00112.66] 没有多了
[00112.66-00114.72] 所以在这里首先第一个要明确
[00114.96-00116.24] 只有这七个
[00116.50-00119.84] 那这七个分别是长度治量时间电流
[00119.84-00121.88] 这个都太长一点了 对吧长度
[00122.14-00125.68] 然后呢当地名称你也然后当地符号iM
[00125.68-00127.52] 这个我们都知道治量 对吧
[00127.76-00131.80] 符号iM然后我们现在买东西称东西都是用签课
[00131.80-00133.08] 那这个是要KG
[00133.20-00134.76] 时间的话是米昂 对吧
[00134.76-00138.00] 当地是i色电流的话是i咱们前面讲过是什么
[00138.00-00140.32] 是安排对吧是安排
