[00000.00-00006.54] 好的,我们看完了飞机属元素以后,我们来看一下第二个部分,就是常见的金属元素
[00006.54-00015.26] 在常见的金属元素当中,第一个需要掌握的是美,美,我们要从两方面来掌握,第一个就是美的颜色,它的一个特性
[00015.26-00018.98] 损标主一下它是引白色的有光则的金属
[00018.98-00020.58] 我们所说的美
[00020.58-00023.02] 其实在以前的高中或出生客厂当中
[00023.02-00024.22] 我们都见过对吧
[00024.22-00025.78] 我们经常在客上的时候
[00025.78-00026.78] 我们会发现老师
[00026.78-00027.98] 它会给我们讲美
[00027.98-00028.38] 特性
[00028.38-00029.70] 然后今天做了华时
[00029.70-00031.54] 就是燃烧美条
[00031.54-00033.54] 所以到美条一旦被点燃的时候
[00033.54-00036.22] 我们会发现它会发出大量的白光
[00036.22-00037.46] 所以在这里面
[00037.46-00038.82] 它就给到了第二句话
[00038.82-00040.30] 说美在燃烧时
[00040.30-00041.82] 会发出名量的光
[00041.82-00044.34] 因此它可以用做製造充名单
[00044.34-00045.82] 所以同能把第二个点
[00045.82-00048.46] 只是每个用途去给他标注出来
[00048.46-00051.86] 这里面的重点其实就是在这个照明带上
[00051.86-00052.74] 我们也都知道了
[00052.74-00054.30] 这个照明带就像我在这里
[00054.30-00055.70] 大家图视展示的一样
[00055.70-00057.54] 你看这是在一个水面上
[00057.54-00060.46] 照明带向太空上空中发射之后
[00060.46-00062.54] 它可以把整个水面照亮
[00062.54-00064.94] 照明带它的原定其实就是
[00064.94-00065.78] 这么几个
[00065.78-00069.54] 第一个就是照明带它的一个保护性制的金属外殼
[00069.54-00071.98] 然后在照明带当中会有一个要统
[00071.98-00074.58] 这个钥铜里面的装的一般请来就是没粉
[00074.58-00076.32] 然后还有一个控制装制
[00076.32-00077.62] 当这个控制装制呢
[00077.62-00079.90] 我们说对它施加一定的作用之后
[00079.90-00081.38] 那就会引爆钥银
[00081.38-00084.22] 然后这个我们所说的照明蛋
[00084.22-00085.70] 发生一定的话就反应
[00085.70-00089.18] 在这个里面就会产生高温和释放大量的能量
[00089.18-00092.10] 而产生高温和释放大量能量的这个过程
[00092.10-00093.62] 就可以我们所说的什么
[00093.62-00094.86] 就可以用做照明
[00094.86-00096.38] 这个是我们所说的照明蛋
[00096.38-00097.58] 它一个原理
[00097.58-00099.22] 在这里面同时要掌握呢
[00099.22-00101.38] 就是在这我们要知道这个美
[00101.38-00103.58] 它主要的用途就是照明蛋
[00103.58-00104.46] 这是第一个
[00104.46-00106.30] 我们需要掌握的金属
[00106.30-00108.74] 第二个我们常见的金属就是太
[00108.74-00113.70] 这里面比较重要的就是第一个我们要知道太它的一个画面性质
[00113.70-00115.34] 太的画性质比较稳定
[00115.34-00118.70] 比如说白了它不太喜欢发生氧化反映
[00118.70-00120.58] 它都有啥样的画性质呢
[00121.22-00122.42] 团标注意一下
[00122.42-00125.82] 它第一个非常大的特性的就可以说是刀枪不入
[00125.82-00129.86] 叫那个问内地问抗强酸和抗强界
[00129.86-00131.52] 那麥高外外的第一文
[00131.52-00133.36] 它就可以用做很好
[00133.36-00136.20] 好像好像天的能源
[00136.20-00137.86] 或者是用在好像好像天上
[00137.86-00138.86] 大家想一下
[00138.86-00140.70] 當我們所看到的火箭
[00140.70-00142.02] 发射也好或者是
[00142.02-00144.32] 好在人好像非喘也好
[00144.32-00145.52] 它能在整个发射过程
[00145.52-00147.70] 那都会产生这么几个问题
[00147.70-00148.76] 第一个问题
[00148.76-00151.70] 就是在发射当中比如火箭生空
[00151.70-00154.18] 当火箭生空的火箭的速度是非常快
[00154.18-00155.70] 那火箭速度非常快
[00155.70-00156.58] 相上走的时候
[00156.58-00159.82] 它必然会和大气产生相的摩擦
[00159.82-00161.10] 那个大器产与摩擦之后
[00161.10-00162.58] 他就会产生大量的热
[00162.58-00163.58] 如果一个金属
[00163.58-00164.62] 他不耐高温的话
[00164.62-00166.18] 是不是就被阻止掉了
[00166.18-00167.46] 这是第一个耐高温
[00167.46-00169.30] 第二个耐低温有什么好处呢
[00169.30-00171.22] 耐低温的好处就在于大想下
[00171.22-00172.62] 如果一旦到了外台口
[00172.62-00174.26] 没有大器从保护的时候
[00174.26-00175.18] 那这种情况之下
[00175.18-00176.70] 我们经常会说
[00176.70-00177.78] 海拔越高
[00177.78-00178.70] 请了越低
[00178.70-00179.54] 那这时候
[00179.54-00181.50] 海拔越高的这种情况之下
[00181.50-00182.78] 那等分渡就会越低
[00182.78-00184.42] 你的这个航空航力气好
[00184.42-00187.10] 只是像天空当中飞的这个东西好
[00187.10-00188.86] 他是不是就会结冰结霜啊
[00188.86-00191.06] 如果现在它不耐低溫的话
[00191.06-00192.06] 那就很容易被动会
[00192.06-00194.34] 这个整个零气家人会失火了
[00194.34-00195.26] 所以在这里
[00195.26-00198.06] 耐高溫耐低溫抗强酸抗强劫
[00198.06-00201.78] 它其实都为它能够做很好的太空金属
[00201.78-00203.38] 比如说应用在航空航天
[00203.38-00205.70] 武器设备上打下了一个良好的基础
[00205.70-00207.54] 所以它的画面性是第一个方面
[00207.54-00209.18] 你就可以简单地去理解
[00209.18-00211.06] 它其实刀枪不入的
[00211.06-00214.06] 就是耐高溫耐低溫抗强酸抗强劫
[00214.06-00218.70] 同时它有一个特性的高强度和低密度的特性
[00218.86-00220.78] 那这里面尤其是这个滴滴肚
[00220.78-00224.66] 那这个滴肚就体现在它相对来说是制力比较轻的
[00224.66-00226.06] 而制力一旦很轻
[00226.06-00227.06] 那就说来了
[00227.06-00229.38] 这时候制造什么东西它的印度还大
[00229.38-00230.70] 它的又很轻化
[00230.70-00232.14] 或者是又很轻烈
[00232.14-00234.66] 那这是相当理想的这样的这种材料了
[00234.66-00236.10] 所以在这里的标注一下
[00236.10-00237.86] 第一个它的特性是什么
[00237.86-00239.74] 第二个就是在这里面我们说了
[00239.74-00241.50] 那这个太由于这样的特性
[00241.50-00244.82] 它被约违换一下就做太空金属
[00244.82-00246.50] 被称为太空金属
[00246.50-00250.62] 所以能够用在航空航天武器能源等各种高能领域
[00250.62-00252.78] 只是需要我们掌握太大 第二点
[00252.78-00254.66] 第三个点就是大注意下
[00254.66-00256.34] 太太还有另外一个特性
[00256.34-00258.10] 就是在太元素当中
[00258.10-00259.54] 加入一些其他的元素
[00259.54-00261.94] 这时候就可以得到太的合机
[00261.94-00262.82] 太合机呢
[00262.82-00265.62] 它和人的身体有非常好的这种生物相容性
[00265.62-00266.74] 比如说相有的人
[00266.74-00267.70] 它身体受伤之后
[00267.70-00269.34] 会在身体当中打写钢冰
[00269.34-00269.74] 对吧
[00269.74-00271.06] 你看像这种钢冰的话
[00271.06-00273.54] 它其他人身体没有很好的这种进入性
[00273.54-00277.54] 如果刚兵他在身体当中发生一系列问题的
[00277.54-00279.54] 很容易对人体造成二次伤害
[00279.54-00282.54] 但是这个态他就不会这个态的核心
[00282.54-00284.54] 就是他在生物体当中
[00284.54-00286.54] 他不会和人体产生排车反应
[00286.54-00287.54] 就有点相伤的
[00287.54-00289.54] 就有点相理身体的谷格
[00289.54-00291.54] 他先天然在身体当中
[00291.54-00293.54] 就是隐那种方式存在
[00293.54-00295.54] 他不会说在这里面存在各种高的
[00295.54-00296.54] 后天的问题
[00296.54-00297.54] 对吧
[00297.54-00298.54] 所以在这里态核心
[00298.54-00299.54] 他就具有这样的特性
[00299.54-00302.54] 就是非常良好的生物相容性
[00302.54-00304.78] 如果说它有很好的生物相容性的话
[00304.78-00307.46] 就可以用了一用金属材料
[00307.46-00309.18] 只入人体内
[00309.18-00311.18] 在这里面这是太得合金
[00311.18-00313.42] 所以这是第二个我们需要掌握的
[00313.42-00317.06] 金属元素就是太一共三个方面的问题
[00317.06-00321.06] 第三个就是在生活当中比较长线的就是体
[00321.06-00323.66] 这个体在上生活当中太长线了
[00323.66-00326.22] 我们经常能看到个人刚才的体3 对吧
[00326.22-00329.66] 或者是体4就是一盘一盘一盘一盘的东西
[00329.66-00332.10] 它其实在生活当中比较长线的元素
[00332.10-00337.70] 这里面我们需要掌握的第一点的就是我们要知道这个铁或者我们常说的铁粉
[00337.70-00340.46] 它有什么样的作用同标注意下
[00340.46-00344.14] 就是铁粉它能够和水和养棲发生反应
[00344.14-00346.58] 从而可以做双吸劲
[00346.58-00351.22] 同时大住一下第一个它和水发生反应的话可以怎么样可以防潮
[00353.10-00354.62] 可以防潮 对吧
[00354.62-00358.34] 那它和养棲发生反应就可以怎么样抗养换
[00358.34-00379.24] 那这种情况之下,铁粉做一双细记就可以放在食品当中,一方面吸水,它不愿意浮浪电汁,一方面和养气发生反应,也可以让这个东西不浮浪电汁,所以在铁粉当中,它的应用就是双细,进动和水,用的和养气发生反应。
[00379.24-00384.16] 所以在水,这个贴粉的特性当中,第一个要知道它能做双吸劲
[00384.16-00388.96] 第二个就是在这里面考察的时候,不仅考他和水和养气发生反耀
[00388.96-00397.16] 它还根据贴粉,它能够生成氧化铁的特性,考过贴的保存的问题
[00397.16-00403.04] 这个贴的保存呢,当日考得到提示,以下avcd4个选人当中,哪一个选项
[00403.04-00406.56] 它这个铁被腐石的重度是最慢的
[00406.56-00408.96] 那它同时当时给到了两个选项
[00408.96-00411.68] 一个是西南地区暴露在失败的
[00411.68-00414.16] 我们所说的铁制的相应东西
[00414.16-00415.96] 第二的是在西北地区
[00415.96-00418.48] 然后我们所说的暴露在失败的什么东西
[00418.48-00420.12] 那在这里面它就让我们去比较
[00420.12-00421.96] 很多同时就说这一道铁啥意
[00421.96-00425.84] 它的意义就在于它所强热的西南地区和西北地区
[00425.84-00427.68] 结束在让我们去比较什么
[00427.68-00431.68] 就让我们去比较它的这个空气当中的水的喊量
[00431.68-00433.22] 新南地區多降雨
[00433.22-00434.48] 所以空氣相對來說
[00434.48-00435.72] 潮食很多
