[00000.00-00004.90] 我们接着来看第三节的内容就是生物一学之事
[00004.90-00008.70] 既然要说到生物一学之事,我们首先要知道什么是生物
[00008.70-00012.80] 然后在从了解生物的旧物上去了解一些一学厂时
[00012.80-00015.10] 那首先第一个到底什么是生物呢?
[00015.10-00019.60] 这个子对我们来说并不陌生,对吧,初中的时候咱们还学过生物学
[00019.60-00024.00] 对吧,然后高中的时候也学生物,大家在大学如果是学习相关专业的话
[00024.00-00025.60] 也会听到这样的一个子
[00025.60-00030.08] 那么从丁议上或从他的组成上来看生物到底包括哪些呢
[00030.08-00031.96] 在这里他就给到了很多
[00031.96-00034.36] 但是生物是有缘和生物
[00034.36-00036.84] 比如说没有西宝和结构的这一类
[00036.84-00040.64] 或者还有真和生物有西宝和比如说动物、植物
[00040.64-00042.36] 以及非西宝生物
[00042.36-00046.76] 这里面非西宝生物主要指的是我们提到的病毒
[00046.76-00049.04] 所以在这里面我们在考试的时候
[00049.04-00053.04] 默认我只说是使用在咱们的世界单位考试
[00053.04-00054.88] 或者是设计到常试考试里面
[00054.88-00057.38] 我们认为病毒它是生物的一种
[00057.38-00058.64] 当然了这种说法
[00058.64-00061.92] 它可能会在大家的学书理论上会有些争议
[00061.92-00064.44] 但是我们在掌握世界单位考试的时候
[00064.44-00065.88] 不用掌握的这么深
[00065.88-00067.54] 你就知道考试的时候
[00067.54-00070.24] 我默认非生物细报当中的病毒
[00070.24-00072.98] 它也是属于我们所说的这样的一个生物
[00072.98-00073.72] 就OK了
[00073.72-00075.32] 所以第一个点大家要知道
[00075.32-00077.28] 第二个点就是在这里我们要知道
[00077.28-00079.54] 生物和非生物之间的区别在什么呢
[00079.54-00080.94] 其实在这里面有一句话
[00080.94-00082.68] 他们给它标注出来
[00082.68-00083.76] 说生物
[00083.76-00086.72] 他和非生物之间最明显的区别就是生物
[00086.72-00089.32] 他可以进行新成代谢
[00089.32-00090.60] 什么叫新成代谢呢
[00090.60-00091.52] 举个简单的例子
[00091.52-00092.20] 比如说
[00092.20-00094.00] 今天我的手不小心
[00094.00-00096.16] 因为参那个贵子受伤了
[00096.16-00096.48] 对吧
[00096.48-00097.84] 然后他就留血
[00097.84-00098.88] 留血了之后呢
[00098.88-00100.72] 这个地方可能还掉了一块皮
[00100.72-00101.76] 或者掉了一块肉
[00101.76-00103.48] 就是因为被拿了一下
[00103.48-00104.76] 所以他就在血流不止
[00104.76-00105.96] 然后就给他执血
[00105.96-00106.76] 执血之后呢
[00106.76-00108.20] 我会发现过一个人时期
[00108.20-00109.92] 我的这个伤口的这个地方
[00109.92-00111.28] 他就会慢慢的怎么样
[00111.28-00112.12] 富源
[00112.12-00115.96] 这个原因呢 看到复原的原因就是因为它在不断的怎么样
[00115.96-00120.56] 西包不断的分裂 在这个过程当中完成了这个伤痕的修复
[00120.56-00124.76] 这个过程的其实就是生活新成代协的一个表现之一
[00124.76-00127.04] 那生物它是能够进行新成代协的
[00127.04-00128.44] 而非生物它不行
[00128.44-00131.84] 比如说那个桌子 那个桌子现在你给它砍掉一角
[00131.84-00135.56] 你会发现第二天早上这个桌子呢 砍掉的一角又长出来了吗
[00135.56-00136.48] 其实没有的
[00136.48-00138.04] 所以在这里大家注意一下
[00138.04-00140.44] 这个地方只有这一个细节的考察点
[00140.44-00143.76] 就是生物和飞生物之间的区别
[00143.76-00146.96] 就是在于它是否能够进行新成代性
[00146.96-00150.76] 这是我们所说的第一个叫做生物的概念
[00150.76-00152.64] 那了解了什么是生物之后呢
[00152.64-00153.68] 我们来看一下啊
[00153.68-00155.36] 那第二个点就是我们要知道
[00155.36-00157.88] 那购成生物的基本搭位事实
[00157.88-00161.16] 其实我们都知道购成生物的基本搭位事
[00161.16-00163.68] 西包单这里面的考虑在什么呢
[00163.68-00165.36] 并非所有的生物
[00165.36-00168.00] 它都是由西包购成的
[00168.00-00169.16] 这里面来看一下
[00169.80-00174.00] 她说西包是生物基本的结构或者是功能单位
[00174.00-00176.64] 但是除水之外除病毒之外
[00176.76-00177.44] 这个地方呢
[00177.44-00179.24] 她经常就会考察一句话
[00179.24-00181.12] 同们标助一下 想圈一
[00181.24-00185.24] 她说所有的生物都是由西包过程的
[00185.24-00186.44] 正说她对还是错
[00186.44-00187.84] 正说是要错的
[00187.96-00189.48] 因为我们所说的这个
[00189.60-00191.08] 西包是基本
[00191.08-00192.16] 但是病毒呢
[00192.16-00193.24] 她不是有西包过程的
[00193.24-00194.04] 我们都要病毒
[00194.04-00195.04] 她是有一个
[00195.04-00196.56] 而或者是第二
[00196.56-00198.88] 然后再加上一个蛋白之外可够成的
[00198.88-00200.40] 这么说大家可能有点抽象
[00200.40-00201.32] 咱们来看一下
[00201.32-00203.56] 我在这里给同门放了两副图
[00203.56-00206.00] 其中有一副图你看在这里面
[00206.00-00207.32] 这副绿色的这个
[00207.32-00208.28] 它其实是什么呢
[00208.28-00209.56] 它是植物洗胞
[00209.56-00209.76] 对吧
[00209.76-00211.16] 你看在植物洗胞的这种
[00211.16-00212.20] 就是这个绿色的
[00212.20-00213.28] 在植物洗胞的
[00213.28-00215.52] 它有夜胖有夜绿体有洗胞并
[00215.52-00216.32] 有没有一种
[00216.32-00217.76] 梦回出这种或者高中
[00217.76-00218.64] 克堂的感觉
[00218.64-00220.32] 但是我们在这里面
[00220.32-00221.64] 不需要同一面去记
[00221.64-00224.08] 就是植物洗胞和东西
[00224.08-00225.62] 基本到底都有哪些購償
[00225.62-00227.28] 我们只需要大概的了解
[00227.28-00228.90] 它长什么样子就行了
[00228.90-00230.90] 所以你看这是我们所说的什么呢
[00230.90-00232.20] 植物洗包 对吧
[00232.20-00234.70] 而东西包就是这个红色的这个
[00234.70-00237.16] 你看看里面有中心利用和汤体等等
[00237.16-00240.04] 这个它都是有完整的洗包结构的
[00240.04-00243.68] 这个就是我们所说的大部分的收入的组成
[00243.68-00245.12] 而病毒长什么样呢
[00245.12-00247.32] 来看一下我在这里给同时举了例子
[00247.32-00249.02] 就是颜草花业病毒
[00249.02-00249.92] 所有的病毒呢
[00249.92-00252.88] 它其实都是由我们所说的
[00252.88-00254.64] 一个蛋白之外可看到了
[00254.64-00256.72] 这个像于灵一样的东西白色的
[00256.72-00259.52] 蛋白之外可里面包裹着是什么
[00259.52-00260.80] 据到RNA
[00260.80-00262.96] 所以购成了颜草化业病毒
[00262.96-00264.48] 所以在这里大家知道
[00264.48-00265.68] 大部分的
[00265.68-00266.96] 我们所说的生物
[00266.96-00268.64] 它的基本结构是西宝
[00268.64-00270.24] 但是病毒出外
[00270.24-00272.48] 所以这里面如果考察一个判断体
[00272.48-00274.16] 你要能够去变弃出来
[00274.16-00274.96] 这是第一个
[00274.96-00277.04] 我们所说的它的一个购成
[00277.04-00279.44] 那知道了西宝是大部分生物
[00279.44-00280.72] 它的基本购成单位
[00280.72-00284.00] 那第二个我们来看一下西坡到底是谁发现的
[00284.00-00285.44] 在这里我们来看一下
[00285.44-00288.28] 他说191838年到1939年
[00288.28-00290.88] 德国史误学家同们化两个人就行了
[00290.88-00292.88] 就失来登合失望
[00292.88-00295.76] 他们两个是分别提出来了
[00295.76-00298.56] 西坡是购成生命体的基本单位
[00298.56-00299.92] 才创建了西坡学生
[00299.92-00301.84] 就是分别去搞出来的
[00301.84-00302.72] 他俩不是说
[00302.72-00305.04] 你研究研究研究植物
[00305.04-00307.04] 然后大家发现都是西坡不是这样的
[00307.04-00308.88] 所以大家在这里只知道
[00308.88-00311.84] 西包學說是有他們兩個提出的就可以了
[00311.84-00312.92] 這是第二個點
[00312.92-00314.68] 那第三一個點就是
[00314.68-00315.92] 對於人體來說
[00315.92-00317.88] 人家他其實屬於高等動物了
[00317.88-00318.16] 對吧
[00318.16-00320.40] 人體他也是有西包過程
[00320.40-00324.36] 人體最大的西包是軟西包最小的西包是驚喜寶
[00324.36-00325.60] 這個了解下就行了
[00325.60-00327.12] 目前在考試的時候
[00327.12-00329.28] 其實幾乎沒有在考察到
[00329.28-00331.28] 人體最大和最小的西包了
[00331.28-00332.40] 在西包當中
[00332.40-00334.16] 我們只需要掌握兩個點就行了
[00334.16-00334.88] 第一個
[00334.88-00337.64] 它是大部分生物的基本工程單位
[00337.64-00340.04] 第二个他是有两个人体出来的
[00340.04-00342.68] 就失来灯和失望打住一下
[00342.68-00344.12] 这是第一个西胞
[00344.12-00347.04] 西胞是构成生命的基本单位
[00347.04-00348.40] 但是我们说了生命
[00348.40-00350.24] 他是不断的养削的
[00350.24-00353.08] 也就是生命他是需要传承和反显的
[00353.08-00354.36] 在反显的过程当中
[00354.36-00356.08] 就会涉及到另外一个问题
[00356.08-00358.56] 什么问题就叫做移传
[00358.56-00360.88] 所以我们在生物当中来看下第二个问题
[00360.88-00362.08] 就叫做移传
[00362.08-00362.92] 但注意
[00362.92-00364.24] 这个移传考什么呢
[00364.24-00367.40] 他不会像我们在以前出中
[00367.40-00368.88] 高竹访考的那么难
[00368.88-00369.92] 然后考个人刚刚
[00369.92-00370.88] 他的一个配责
[00370.88-00371.96] 然后怎么去配责的
[00371.96-00372.96] 他不会这么考
[00372.96-00374.24] 这个地方大家注意一下
[00374.24-00376.68] 他主要考的是一些基本概念
[00377.80-00378.92] 他在考察的时候
[00378.92-00381.08] 是以基本概念的形式出现的
[00381.32-00383.96] 在这里面既然他不考那么难的内容
[00383.96-00385.24] 他考的基本概念
[00385.24-00386.60] 那考的基本概念的什么呢
[00386.60-00388.12] 就考一些基本概念
[00388.12-00391.08] 他的一个逻辑关系和他的话分
[00391.08-00392.04] 有人说白了
[00392.04-00393.92] 在我们所说的一团物的这样
[00393.92-00394.64] 这个地方
[00394.64-00395.64] 我们要掌握住
[00395.64-00398.52] 一传物着它考试当中的一个框架
[00401.52-00404.16] 这是这个执是点的框架是需要我们掌握的
[00404.16-00406.64] 那么首先来看一下什么是一传物质
[00406.64-00409.40] 它说一传物质是亲戚的一传物质
[00409.40-00413.32] 一传的一传物质就叫做一传物质
[00413.32-00416.12] 就像我给大家之前应该说过这个点
[00416.12-00418.92] 我和我的父母掌的很像原因在什么呢
[00418.92-00421.16] 就是因为他们身上有很多的特性
[00421.16-00422.36] 一传给了我
[00422.36-00424.24] 他们的特性一传到我
[00424.24-00429.80] 能够寫在他们身体信息的那个东西就叫做移传物质
[00429.80-00431.60] 所以这个移传物质大家应该都知道
[00431.60-00433.84] 移传物质到底是啥呢
[00433.84-00436.40] 它说除以部分病毒的移传物质是
[00436.40-00438.80] 而是外其余的都是什么
[00438.80-00441.16] 其余的都是脱养和堂合算
[00441.16-00442.28] 也就是我们所说的
[00442.28-00445.32] 所以根据这个概念
[00445.32-00446.64] 我们其实可以检划
[00446.64-00448.64] 检划什么呢就是移传物质
[00448.64-00449.88] 其实就是啥
[00449.88-00451.68] 移传物质其实就是
[00451.68-00454.24] RNA和DNA
[00455.26-00458.04] 我们就可以把RNA和DNA称为什么
[00458.04-00459.06] 一传物质
[00459.06-00461.14] 而RNA和DNA统称为什么呢
