[00000.00-00004.08] 我們接著來往下看來看一下怎樣建設收主義問題
[00004.08-00008.08] 那麼說想要建設收主義第一個要認清中國的基本情況
[00008.08-00011.36] 就是我們說了收主義建議要解放生產力發展生產力
[00011.36-00013.08] 最有實現共同富裕
[00013.08-00017.24] 咱們的生產力階段咱們國家所處的絕段到底是哪一個階段呢
[00017.24-00019.20] 第一個必須要明確中國的什麼
[00019.20-00021.88] 國情這個叫收主義出擊階段
[00021.88-00023.48] 那了解了這個國情之後
[00023.48-00026.20] 我們想要走出收主義出現完應該怎麼辦
[00026.20-00028.72] 應該堅持黨的基本路線不動搖
[00028.72-00031.22] 那在坚持黨的基本路線不動搖的
[00031.22-00033.42] 這個我們所說的平台之上
[00033.42-00036.02] 我們還要做的就是通過改革開放
[00036.02-00038.22] 來推動中國生產力的發展
[00038.22-00040.72] 以完成解放生產力的這樣一個要求
[00040.72-00042.22] 而最後一個點就是想要
[00042.22-00043.72] 在記憶不推動生產力的發展
[00043.72-00047.22] 我們還要通過市場這樣一個非常重要的
[00047.22-00048.72] 配置資源的一個手段
[00048.72-00050.22] 來推動生產力發展
[00050.22-00052.02] 所以在怎樣建設收主義當中
[00052.02-00053.72] 我們要講四個方面的問題
[00053.72-00055.02] 只是任性國情
[00055.02-00058.22] 堅持路線改革開放和市場經濟
[00058.22-00059.70] 那我们先来看一下第一个吧
[00059.70-00062.82] 就是我们所提到的社会主义初期阶段理论
[00062.82-00065.26] 同们来看一下在社会主义初期阶段理论当中
[00065.26-00066.26] 这么几个考点啊
[00066.26-00066.98] 这几个点呢
[00066.98-00068.46] 它一般在考试的时候
[00068.46-00071.10] 还是做综合形提目的考察
[00071.10-00072.38] 首先第一个我们要知道
[00072.38-00074.02] 社会主义初期阶段
[00074.02-00076.66] 它的提出和产数是在什么时候
[00076.66-00077.94] 同们画一次会议
[00077.94-00080.42] 叫做党的实山大 实山大
[00080.42-00081.26] 实山大
[00081.26-00083.50] 说党的实山大对社会主义初期阶段
[00083.50-00084.94] 进行了全面的产数
[00084.94-00086.10] 不解释全面产数
[00086.10-00088.40] 而且也是在擋的食材大的時候
[00088.40-00091.22] 第一次提供社會主義衝擊階段
[00091.22-00094.54] 所以大家注意一下標準一下第一個點就是他的提出
[00094.54-00096.10] 那第二個點是要知道
[00096.10-00098.82] 既然叫社會主義衝擊階段
[00098.82-00103.00] 那既有出擊階段它的旗旨時間是從什麼時候開始的
[00104.28-00107.48] 我們要知道社會主義衝擊階段的旗旨時間
[00107.48-00114.22] 我們進入社會主義也是在1956年3大改造完成之後
[00114.22-00117.36] 对吧,我们记录社会主义,初期阶段
[00117.36-00119.72] 而什么时候走出社会主义初期阶段呢?
[00119.72-00122.48] 按照到平同着三部走的理论来看的话
[00122.48-00126.96] 走出社会主义初期阶段,它要结束于基本实现现代化
[00128.68-00134.12] 基本实现现代化的时候,我们走出社会主义初期阶段
[00134.12-00136.76] 所以它的骑制时间,对不对说很重要
[00136.76-00139.50] 同样把这个时间给它有一个大费的印象
[00139.50-00143.86] 我们到后面的时候,我们再讲新思想的时候会用到它
[00143.86-00146.06] 所以在这里大家知道它的骑士时间
[00146.06-00148.66] 但是如果拋开现在的现代化经常来看
[00148.66-00150.70] 从盗平统治那个年代开始
