[00000.00-00005.36] 好的,我们今天来往下看一下第四节,第四节叫做生活城市,
[00005.36-00011.76] 其实在这一节当中大部分的内容,我们是见过的,它是在我们生活当中常见的一些生活现象,
[00011.76-00018.12] 而在考试的时候,针对于生活城市考什么,大家注意一下,它往往就是考察这种生活现象,
[00018.12-00026.44] 它背后所运寒的,我们所说的原理,如果说,就事业单位考试来看的话,它是考现象和原理的对应,
[00026.44-00028.08] 那会相对来说比较简单
[00028.08-00030.24] 但是问题就出在生活厂时
[00030.24-00031.16] 这个板块呢
[00031.16-00032.36] 它不单单会考试
[00032.36-00033.00] 单位啊
[00033.00-00034.20] 三制一副这个考试
[00034.20-00035.92] 它在国生考考试当中
[00035.92-00038.20] 搭住一下也是非常常见的
[00038.20-00039.96] 而如果我们所说的
[00039.96-00041.00] 生活厂时
[00041.00-00042.44] 在国生考考试里面
[00042.44-00043.52] 去进考察的话
[00043.52-00044.36] 那大家就注意一下
[00044.36-00045.96] 它的难度就会提升
[00045.96-00047.48] 就不单单只是考察
[00047.48-00049.08] 这些现象背后的原理
[00049.08-00050.52] 而是要很像的
[00050.52-00051.68] 去结合我们所说的
[00051.68-00052.88] 相应的一些
[00052.88-00053.68] 细节
[00053.68-00054.72] 能够把这些
[00054.72-00056.70] 支持点去给他进行破争
[00056.70-00058.30] 所以针对于生活厂史
[00058.30-00059.94] 在国生跑和世界单位当中
[00059.94-00062.18] 他考察的错证是不太一样的
[00062.18-00064.12] 国生跑跟加车中在应用上
[00064.12-00066.08] 跟加轸中在一些细节和面儿上
[00066.08-00068.04] 而无如说世界单位的话
[00068.04-00071.32] 我们就掌握主席的生活厂史的基本原理就OK了
[00071.32-00073.48] 再讲第四节生活厂史
[00073.48-00075.92] 这个里面其实我们要去给大家
[00075.92-00078.08] 把生活厂史当中不太常见的点
[00078.08-00079.36] 给同时进行破争
[00079.36-00081.16] 所以在这里可能会睡到一些
[00081.16-00082.32] 支持点的补充案
[00082.32-00083.72] 希望同时能够做好笔记
[00083.72-00086.16] 那我们就一起来看一下生活当中
[00086.16-00087.84] 常见的有趣的生活现象
[00087.84-00090.36] 它背后遇上的原理到底是什么样子
[00090.36-00091.84] 那首先第一个我们来看一下
[00091.84-00094.32] 在生活常见当中第一个安全常识
[00094.32-00095.60] 安全常识在于常识
[00095.60-00097.48] 我当中无非是用水
[00097.48-00099.08] 用电对吧和火
[00099.08-00100.28] 在相关的这些
[00100.28-00102.48] 这些都是后我们安全常识有关
[00102.48-00103.92] 那首先第一个我们来看一下
[00103.92-00105.68] 就是居家安全
[00105.68-00106.72] 在居家安全当中
[00106.72-00107.64] 第一个问题
[00107.64-00108.92] 同时标注一下
[00108.92-00110.64] 第一个问题就是由国期火
[00110.64-00112.00] 之后能不能用水面
[00112.00-00114.00] 放下第一個點,血上圈一
[00114.00-00117.36] 油鍋起火之後,不能用水來焦面
[00117.36-00118.36] 原因在什麼呢?
[00118.36-00123.00] 因為我們都知道,這個油,它是比水的密度要大還是小
[00123.00-00124.76] 只跟聲哦,小的
[00124.76-00128.84] 因為我們正常看板那個油低到水裏,那個油,它是會都符在水面上
[00128.84-00130.56] 所以你這個時候用火去滅水
[00130.56-00133.60] 香腦魚沒有啥,用完那個油還在上面人燒
[00133.60-00136.28] 所以在這裡面大注意下,不能用水面火的原因
[00136.28-00138.68] 就是油的密度小
[00138.68-00144.04] 有的密度小就是它一直飄在水的上方
[00144.04-00145.48] 那是火是密度的
[00145.48-00148.40] 那如果说油鍋起火不能用水面的怕怎么办呢
[00148.40-00150.20] 那这个时候有另外一种方法
[00150.20-00153.60] 它说迅速用锅盖麻布的覆盖物
[00153.60-00155.24] 可觉油鍋当中的空气
[00155.24-00156.76] 就是这个时候把锅盖的怎么样
[00156.76-00157.88] 赶紧给它干涉
[00157.88-00160.64] 那这是我们所说的这种油鍋起火
[00160.64-00162.04] 消我们去掌握的这个点
[00162.04-00163.60] 其实像这样的生活现象
[00163.60-00166.04] 我们经常同你们如果刷低战的话
[00166.04-00168.86] 那个刷冒过吧 各地的消防员再去做演示
[00168.86-00172.40] 然后之前我在玩看到一个特别搞笑的一个视频剪几
[00172.40-00173.98] 就那消防员给大家演示说
[00173.98-00175.64] 由国其火不能用水灭
[00175.64-00177.92] 然后他就在外面去做那个外景
[00177.92-00179.48] 然后有一个由国其火了
[00179.48-00181.92] 然后那消防员要演示不能用水灭
[00181.92-00182.76] 说那个水灭不了
[00182.76-00184.48] 结果一篇宽水倒几个之后
[00184.48-00185.52] 灭回就吸灭了
[00185.52-00188.24] 然后那个视频就是剪的这种搞笑的视频对吧
[00188.24-00189.40] 但是如果说
[00189.40-00192.20] 他是在因为是在世外而且当天是有风的嘛
[00192.20-00193.64] 但是如果我们是居家
[00193.64-00195.24] 我们所说的炒菜的时候
[00195.24-00196.64] 由国企广的话切记
[00196.64-00198.00] 一定不能用水面
[00198.00-00199.04] 所以这是第一个点
[00199.04-00200.00] 大家要注意到
[00200.00-00202.24] 那第二个就是在日常生活当中
[00202.24-00204.84] 用电也是要注意用电安全的
[00204.84-00205.88] 在用电安全当中
[00205.88-00206.72] 就会提到一个点
[00206.72-00208.00] 就是保险斯
[00208.00-00209.96] 我们经常看到家里停电
[00209.96-00212.20] 就会说是不是保险斯收断了
[00212.20-00215.24] 现在可能是在我们所说的这个城市里面
[00215.24-00216.60] 不太会存在这种现象
[00216.60-00217.84] 但是如果是居家
[00217.84-00219.04] 比如说我的老家
[00219.04-00220.60] 以前就是在农村老家的
[00220.60-00223.48] 在农村老家每家每乎是不都是独立的电表
[00223.48-00224.68] 那这种独立的电表
[00224.68-00226.56] 我们现在在城市当中居住的
[00226.56-00227.90] 你的一层楼当中
[00227.90-00230.00] 你所的变积就在那个一层楼上
[00230.00-00230.84] 其实不一样的
[00230.84-00232.88] 那如果美家美互都是独立的电表
[00232.88-00233.68] 它可能
[00233.68-00236.04] 这一家它的用电功率过大的话
[00236.04-00237.62] 它的保障似就会
[00237.62-00238.26] 荣端
[00238.26-00240.14] 什么叫用电功率过大呢
[00240.14-00241.16] 比如说在農村
[00241.16-00242.50] 它用电的地方很多
[00242.50-00243.66] 比如说它习近一期
[00243.66-00245.16] 它有习一复同时
[00245.16-00246.30] 冰乡要做工
[00246.30-00247.82] 那在家里面之后
[00247.82-00249.48] 比如说家里养一个生处
[00249.48-00250.98] 养个牛外两个羊
[00250.98-00251.38] 对吧
[00251.38-00254.64] 你这有时候家里要做一些草料味牛羊吃吧
[00254.64-00257.24] 那这个做草料味女生吃的话东北话就说
[00257.24-00259.00] 在炸点草给这个牛池
[00259.00-00262.20] 那你炸草的话你不可能说用手去炸
[00262.20-00264.36] 你家里要是两个20头30头牛的话
[00264.36-00266.72] 你炸不过来这时候怎么样的用机器
[00266.72-00268.44] 那个机器呢就是杂草机
[00268.44-00270.76] 你这边把那个什么玉米的结果
[00270.76-00272.40] 都对到那个个耳机里那边呢
[00272.40-00274.96] 特地把那个结果都切碎了
[00274.96-00277.28] 但是大家这一下像这样的一个杂草机
[00277.28-00278.60] 它的功率就特别大
[00278.60-00281.52] 那如果说在農哲老家当中
[00281.52-00284.40] 它的一互一家的这个功率
[00284.40-00285.12] 是固定的
[00285.12-00286.68] 那如果说在这种情况之下
[00286.68-00288.44] 你同时开了几个机器
[00288.44-00290.56] 那就有说导致电流过大
[00290.56-00291.72] 那这种情况之下
[00291.72-00292.84] 保险思就怎么样
[00292.84-00293.68] 容易容易容易断
[00293.68-00294.88] 所以保险思容断
[00294.88-00296.36] 其实在很大程度上
[00296.36-00298.08] 就起到了相当的保险作用
[00298.08-00299.12] 那么长书的
[00299.12-00301.12] 像这种保险思同们注意一下
[00301.12-00303.12] 这种保险思一般情况之下
[00303.12-00304.12] 是我们所说的
[00304.12-00305.56] 低容点核进制成的
[00305.56-00307.16] 同时标注一下缺一
[00307.16-00308.72] 就是率替核进等
[00308.72-00309.72] 低容点容成的
[00309.72-00311.28] 因为为什么要低容点
[00311.28-00312.64] 如果电流过大的话
[00312.64-00316.36] 大家也都知道跌流过大流过金属的时候
[00316.36-00317.56] 它一定会有跌组
[00317.56-00319.04] 它里面是不是会产生热
[00319.04-00320.68] 如果跌流过大的话
[00320.68-00322.88] 热很高的话是不是容易发生火灾
[00322.88-00324.94] 如果说现在不是用这种
[00324.94-00326.72] 容点比较低的这种核件
[00326.72-00329.04] 你换了一些像同核铁肉那比较快
[00329.04-00330.80] 好加火门那边都烧起来
[00330.80-00331.84] 你这边还没有断电
[00331.84-00333.40] 那起不到箱的保护作用
[00333.40-00333.80] 对吧
[00333.80-00335.36] 所以在这里面我们要的是什么呢
[00335.36-00338.00] 同标主一下是容点比较低的
[00338.00-00339.16] 这种核件与体
[00339.16-00340.28] 你也各等等
[00340.28-00342.08] 但是同核体也只能不行
[00342.08-00344.32] 大家都知道 通过铁荣点太高了
